<TICKER>,<DTYYYYMMDD>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
DTAC,20070622,42.50,43.50,41.75,41.75,63534300
DTAC,20070625,41.75,42.25,40.00,40.50,11769200
DTAC,20070626,40.00,40.25,39.50,40.00,11020900
DTAC,20070627,40.25,41.75,40.25,41.75,10339400
DTAC,20070628,42.00,42.00,40.50,41.00,8586200
DTAC,20070629,41.25,41.50,41.00,41.00,2129900
DTAC,20070702,41.00,41.75,40.75,41.50,3418400
DTAC,20070703,41.75,42.50,41.75,42.50,12369100
DTAC,20070704,42.50,43.00,42.50,42.75,8834500
DTAC,20070705,43.00,44.00,42.75,43.25,11818500
DTAC,20070706,43.25,43.50,42.75,43.25,3445200
DTAC,20070709,43.75,44.00,43.50,43.50,5048600
DTAC,20070710,43.75,44.00,43.00,43.50,5969800
DTAC,20070711,43.50,43.75,43.25,43.25,2005000
DTAC,20070712,43.50,45.50,43.25,44.75,18940100
DTAC,20070713,45.75,45.75,44.75,45.00,4883000
DTAC,20070716,45.50,46.75,45.00,46.75,8990200
DTAC,20070717,46.75,49.50,45.75,48.50,9398900
DTAC,20070718,48.50,49.25,46.75,47.00,5170100
DTAC,20070719,47.25,47.25,46.50,46.75,700400
DTAC,20070720,47.00,47.75,47.00,47.00,1168600
DTAC,20070723,46.00,46.50,45.50,46.50,1986900
DTAC,20070724,47.00,47.50,45.75,45.75,10660700
DTAC,20070725,46.00,46.75,45.75,46.25,2731700
DTAC,20070726,46.75,47.00,45.25,45.25,5819500
DTAC,20070727,44.50,45.00,44.00,44.75,3308300
DTAC,20070731,45.25,45.75,44.50,45.50,2344800
DTAC,20070801,45.00,45.25,43.75,43.75,2955200
DTAC,20070802,44.25,44.50,43.25,43.75,3323400
DTAC,20070803,44.25,44.75,44.00,44.25,458100
DTAC,20070806,43.00,43.50,42.50,43.00,1068500
DTAC,20070807,43.00,43.75,42.75,43.50,1612300
DTAC,20070808,43.75,44.00,43.00,43.25,1215400
DTAC,20070809,43.75,43.75,41.25,41.50,3695000
DTAC,20070810,40.00,41.50,40.00,41.25,2667400
DTAC,20070814,41.25,42.00,40.75,41.00,837200
DTAC,20070815,40.75,40.75,39.75,40.00,2945400
DTAC,20070816,39.25,39.25,37.75,38.25,3977200
DTAC,20070817,38.75,39.75,38.00,39.50,3211800
DTAC,20070820,41.00,41.25,40.00,41.25,2455400
DTAC,20070821,41.75,41.75,39.50,39.50,1581800
DTAC,20070822,40.25,40.50,40.00,40.25,1060400
DTAC,20070823,40.75,41.25,40.50,40.75,1332500
DTAC,20070824,40.50,40.75,40.25,40.75,287700
DTAC,20070827,41.25,41.25,40.50,40.50,315600
DTAC,20070828,40.75,41.00,40.25,40.25,576200
DTAC,20070829,39.50,40.50,39.50,40.25,490700
DTAC,20070830,40.50,40.50,39.50,39.75,1683200
DTAC,20070831,40.00,40.75,39.75,40.75,1217000
DTAC,20070903,40.50,41.25,40.50,41.00,1316100
DTAC,20070904,41.25,41.50,41.00,41.00,815300
DTAC,20070905,42.00,42.75,41.50,41.75,3471600
