<TICKER>,<DTYYYYMMDD>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
DTDB,19810130,4.183726,4.183726,4.183726,4.183726,174.485602
DTDB,19810211,4.298349,4.35566,4.298349,4.35566,488.559686
DTDB,19810212,4.384316,4.384316,4.384316,4.384316,69.794241
DTDB,19810216,4.412972,4.412972,4.384316,4.412972,279.176963
DTDB,19810217,4.441627,4.441627,4.441627,4.441627,69.794241
DTDB,19810218,4.55625,4.55625,4.55625,4.55625,48.855969
DTDB,19810303,4.55625,4.55625,4.55625,4.55625,34.89712
DTDB,19810305,4.498939,4.584906,4.498939,4.584906,104.691361
DTDB,19810313,4.341332,4.341332,4.341332,4.341332,69.794241
DTDB,19810317,5.692606,5.692606,5.654272,5.654272,260.864699
DTDB,19810407,5.500936,5.500936,5.500936,5.500936,52.17294
DTDB,19810409,5.3476,5.3476,5.3476,5.3476,73.042116
DTDB,19810410,5.3476,5.3476,5.270932,5.270932,573.902338
DTDB,19810416,5.117595,5.117595,5.117595,5.117595,52.17294
DTDB,19810417,5.040927,5.040927,5.040927,5.040927,313.037639
DTDB,19810420,5.002593,5.002593,4.964259,4.964259,573.902338
DTDB,19810421,4.964259,5.040927,4.964259,4.964259,260.864699
DTDB,19810422,4.964259,4.964259,4.849257,4.887591,417.383519
DTDB,19810423,4.810923,4.810923,4.695921,4.695921,260.864699
DTDB,19810424,4.734255,4.772589,4.734255,4.772589,860.853508
DTDB,19810427,4.734255,4.734255,4.734255,4.734255,78.25941
DTDB,19810428,4.734255,4.734255,4.695921,4.695921,730.421158
DTDB,19810430,4.695921,4.734255,4.657587,4.734255,130.43235
DTDB,19810504,4.734255,4.734255,4.734255,4.734255,52.17294
DTDB,19810513,4.657587,4.772589,4.657587,4.772589,62.607528
DTDB,19810515,4.810923,4.810923,4.810923,4.810923,26.08647
DTDB,19810522,4.657587,4.657587,4.619253,4.619253,286.951169
DTDB,19810528,4.619253,4.619253,4.619253,4.619253,521.729399
DTDB,19810602,4.619253,4.619253,4.619253,4.619253,104.34588
DTDB,19810605,4.619253,4.619253,4.619253,4.619253,156.51882
DTDB,19810609,4.619253,4.619253,4.619253,4.619253,260.864699
DTDB,19810629,4.542585,4.542585,4.542585,4.542585,52.17294
DTDB,19810703,4.542585,4.542585,4.542585,4.542585,52.17294
DTDB,19810706,4.504251,4.504251,4.504251,4.504251,52.17294
DTDB,19810710,4.427583,4.504251,4.427583,4.504251,208.691759
DTDB,19810715,4.504251,4.504251,4.504251,4.504251,260.864699
DTDB,19810716,4.504251,4.504251,4.504251,4.504251,104.34588
DTDB,19810720,4.504251,4.504251,4.504251,4.504251,52.17294
DTDB,19810721,4.580919,4.619253,4.580919,4.619253,260.864699
DTDB,19810722,4.619253,4.619253,4.619253,4.619253,104.34588
DTDB,19810723,4.619253,4.619253,4.619253,4.619253,52.17294
DTDB,19810724,4.619253,4.619253,4.619253,4.619253,208.691759
DTDB,19810727,4.619253,4.619253,4.619253,4.619253,313.037639
DTDB,19810806,4.504251,4.504251,4.504251,4.504251,52.17294
DTDB,19810810,4.504251,4.504251,4.504251,4.504251,78.25941
DTDB,19810901,4.31258,4.31258,4.31258,4.31258,357.906367
DTDB,19810911,4.31258,4.31258,4.31258,4.31258,260.864699
DTDB,19810914,4.350914,4.350914,4.350914,4.350914,104.34588
DTDB,19810915,4.389249,4.389249,4.389249,4.389249,313.037639
DTDB,19810922,4.31258,4.31258,4.31258,4.31258,260.864699
DTDB,19810925,4.31258,4.31258,4.31258,4.31258,26.08647
DTDB,19810929,4.350914,4.350914,4.350914,4.350914,78.25941
DTDB,19811116,4.350914,4.350914,4.350914,4.350914,52.17294
DTDB,19811117,4.465917,4.465917,4.465917,4.465917,104.34588
DTDB,19811118,4.427583,4.427583,4.427583,4.427583,52.17294
DTDB,19811119,4.389249,4.389249,4.389249,4.389249,52.17294
DTDB,19811126,4.465917,4.504251,4.465917,4.504251,104.34588
DTDB,19811203,4.389249,4.389249,4.389249,4.389249,52.17294
DTDB,19811229,4.465917,4.465917,4.465917,4.465917,208.691759
DTDB,19820127,4.580919,4.580919,4.580919,4.580919,26.08647
DTDB,19820316,4.427583,4.427583,4.427583,4.427583,1357.018166
DTDB,19820409,4.427583,4.427583,4.427583,4.427583,104.34588
DTDB,19820519,4.580919,4.580919,4.580919,4.580919,26.08647
