<TICKER>,<DTYYYYMMDD>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
EFORL,20090219,0.11820897,0.16047763,0.11247763,0.15617912,2138144211.89864
EFORL,20090220,0.16620898,0.17767166,0.16047763,0.17194032,1248466677.275
EFORL,20090223,0.17194032,0.1791045,0.1633433,0.16477614,544711327.744417
EFORL,20090224,0.1633433,0.18770152,0.16191047,0.18770152,701254016.509915
EFORL,20090225,0.18483584,0.21349256,0.18197017,0.18770152,1689131205.52527
EFORL,20090226,0.19056719,0.19773137,0.13182091,0.14758211,744809594.398801
EFORL,20090227,0.14901494,0.15188062,0.13683584,0.13755226,208342057.290576
EFORL,20090302,0.13826867,0.14041793,0.12107464,0.12179106,61404096.4911546
EFORL,20090303,0.12179106,0.13397017,0.11964181,0.13397017,451007651.957377
EFORL,20090304,0.13325375,0.13397017,0.12537315,0.1275224,218019368.580912
EFORL,20090305,0.1275224,0.13182091,0.12394031,0.12537315,194397684.033623
EFORL,20090306,0.12537315,0.12967166,0.12537315,0.1275224,101422633.155504
EFORL,20090309,0.12967166,0.13110449,0.12537315,0.12680599,123154359.605705
EFORL,20090310,0.1275224,0.13038808,0.12608957,0.12680599,116087256.322426
EFORL,20090311,0.1275224,0.13970151,0.1275224,0.13253733,723506388.728368
EFORL,20090312,0.13182091,0.13253733,0.12608957,0.12823882,207120703.276579
EFORL,20090313,0.12967166,0.13182091,0.12895524,0.12895524,75785365.5268293
EFORL,20090316,0.12895524,0.13325375,0.12895524,0.13325375,153845939.102591
EFORL,20090317,0.13397017,0.13397017,0.13038808,0.13110449,96562342.0963739
EFORL,20090318,0.13182091,0.13325375,0.12895524,0.12895524,31132662.7750838
EFORL,20090319,0.12967166,0.13110449,0.1275224,0.12823882,29259454.6759015
EFORL,20090320,0.13038808,0.13038808,0.1275224,0.1275224,17771747.7785315
EFORL,20090323,0.12895524,0.13038808,0.12823882,0.12895524,22605518.0076436
EFORL,20090324,0.13038808,0.13253733,0.12823882,0.12823882,69268220.5081391
EFORL,20090325,0.12823882,0.12967166,0.12680599,0.12895524,25956913.4220525
EFORL,20090326,0.12895524,0.13038808,0.12680599,0.12895524,14331019.041956
EFORL,20090327,0.12823882,0.13253733,0.1275224,0.13253733,37317599.5019667
EFORL,20090330,0.13038808,0.135403,0.12895524,0.12895524,42621765.5056126
EFORL,20090331,0.13038808,0.13182091,0.12967166,0.13038808,6282645.0480027
EFORL,20090401,0.13038808,0.13038808,0.12608957,0.12608957,18907955.9698388
EFORL,20090402,0.12823882,0.13325375,0.12680599,0.13110449,29400433.8249458
EFORL,20090403,0.12895524,0.12967166,0.1275224,0.12823882,12360102.6216538
EFORL,20090407,0.12895524,0.12895524,0.1275224,0.1275224,563916.59617709
EFORL,20090408,0.12823882,0.12895524,0.12465673,0.12895524,1582874.80214065
EFORL,20090409,0.13253733,0.13253733,0.12394031,0.12465673,1309291.50300523
EFORL,20090410,0.12465673,0.12608957,0.12250748,0.12608957,196812.47539844
EFORL,20090416,0.12895524,0.13182091,0.11964181,0.12823882,9134332.19154181
EFORL,20090417,0.12823882,0.13110449,0.12680599,0.12823882,8740707.24074493
EFORL,20090420,0.12967166,0.13038808,0.12680599,0.1275224,10041623.744797
EFORL,20090421,0.12823882,0.13038808,0.12179106,0.12179106,15408602.2405914
EFORL,20090422,0.12680599,0.12680599,0.12179106,0.12465673,23255976.2596696
EFORL,20090423,0.12465673,0.12537315,0.12107464,0.12107464,29093350.5299979
EFORL,20090424,0.12179106,0.12465673,0.12107464,0.12179106,31993891.8340969
EFORL,20090427,0.12179106,0.1232239,0.12035822,0.12035822,19166185.1042269
EFORL,20090428,0.12107464,0.12179106,0.11892539,0.12107464,25945746.7567817
EFORL,20090429,0.12035822,0.12823882,0.12035822,0.12107464,105520799.3099
EFORL,20090430,0.1232239,0.12680599,0.11820897,0.11892539,108271986.466002
EFORL,20090504,0.11964181,0.12179106,0.11820897,0.11820897,17290185.3387268
EFORL,20090506,0.11892539,0.12107464,0.11749255,0.11892539,25875955.0988389
EFORL,20090507,0.11892539,0.1232239,0.11820897,0.1232239,29385079.6601984
EFORL,20090511,0.12465673,0.12465673,0.11964181,0.11964181,11443040.2362866
EFORL,20090512,0.12107464,0.12179106,0.11892539,0.12107464,6358020.03858083
EFORL,20090513,0.12035822,0.12250748,0.11749255,0.12035822,25640059.2949926
EFORL,20090514,0.12179106,0.12179106,0.11605972,0.11605972,19072664.2825836
