<TICKER>,<DTYYYYMMDD>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
FTSE SET Small Cap Index,20080624,387.70,null,null,889.63,null
FTSE SET Small Cap Index,20080625,883.75,904.32,883.75,903.45,null
FTSE SET Small Cap Index,20080626,903.45,914.72,896.24,896.24,null
FTSE SET Small Cap Index,20080627,896.24,899.24,888.87,898.95,null
FTSE SET Small Cap Index,20080630,898.95,904.36,891.84,895.52,null
FTSE SET Small Cap Index,20080702,895.52,896.92,878.32,880.27,null
FTSE SET Small Cap Index,20080703,880.27,880.27,860.77,862.47,null
FTSE SET Small Cap Index,20080704,862.47,871.40,861.63,863.07,null
FTSE SET Small Cap Index,20080707,863.07,864.70,825.42,827.85,null
FTSE SET Small Cap Index,20080708,827.85,827.85,810.61,816.24,null
FTSE SET Small Cap Index,20080709,816.24,831.55,816.24,820.36,null
FTSE SET Small Cap Index,20080710,820.36,828.57,815.93,828.57,null
FTSE SET Small Cap Index,20080711,828.57,841.30,828.57,839.96,null
FTSE SET Small Cap Index,20080714,839.96,839.96,825.84,828.68,20167767
FTSE SET Small Cap Index,20080715,828.68,828.68,805.37,805.37,12157220
FTSE SET Small Cap Index,20080716,805.37,809.83,785.27,786.72,8259117
FTSE SET Small Cap Index,20080718,786.72,800.99,784.02,784.02,15852098
FTSE SET Small Cap Index,20080721,784.02,798.06,784.02,798.06,7937034
FTSE SET Small Cap Index,20080722,798.06,801.40,788.98,790.30,6863398
FTSE SET Small Cap Index,20080723,790.30,805.23,790.30,803.79,9488362
FTSE SET Small Cap Index,20080724,803.79,814.49,803.29,808.97,8367109
FTSE SET Small Cap Index,20080725,808.97,810.27,802.37,804.72,5083271
FTSE SET Small Cap Index,20080728,804.72,814.67,803.41,807.79,5238410
FTSE SET Small Cap Index,20080729,807.79,808.71,804.10,808.71,3212127
FTSE SET Small Cap Index,20080730,808.71,816.91,808.71,812.73,10712052
FTSE SET Small Cap Index,20080731,812.73,817.60,807.32,809.10,6038359
FTSE SET Small Cap Index,20080801,809.10,817.76,806.93,816.25,4768200
FTSE SET Small Cap Index,20080804,816.25,820.77,815.37,815.37,4383830
FTSE SET Small Cap Index,20080805,815.37,822.67,809.93,815.01,6261406
FTSE SET Small Cap Index,20080806,815.01,828.09,815.01,822.85,9559018
FTSE SET Small Cap Index,20080807,822.85,844.07,822.85,841.63,15496940
FTSE SET Small Cap Index,20080808,841.63,841.63,828.19,831.06,10010175
FTSE SET Small Cap Index,20080811,831.06,847.57,831.06,833.59,10039624
FTSE SET Small Cap Index,20080813,833.59,840.19,831.59,834.49,11934452
FTSE SET Small Cap Index,20080814,834.49,838.48,832.54,834.50,6405728
FTSE SET Small Cap Index,20080815,834.50,835.98,826.94,830.00,9617563
FTSE SET Small Cap Index,20080818,830.00,832.03,816.96,816.96,11322365
FTSE SET Small Cap Index,20080819,816.96,818.87,808.79,811.75,7460345
FTSE SET Small Cap Index,20080820,811.75,814.35,805.95,809.58,8940396
FTSE SET Small Cap Index,20080821,809.58,813.31,798.75,801.33,7299290
FTSE SET Small Cap Index,20080822,801.33,806.39,801.33,801.97,3120229
FTSE SET Small Cap Index,20080825,801.97,803.26,782.56,782.56,5484412
FTSE SET Small Cap Index,20080826,782.56,782.56,761.57,767.78,4482817
FTSE SET Small Cap Index,20080827,767.78,783.72,767.78,781.47,4415146
FTSE SET Small Cap Index,20080828,781.47,790.47,781.47,786.54,5094487
FTSE SET Small Cap Index,20080829,786.54,791.91,774.93,783.16,4303814
FTSE SET Small Cap Index,20080901,783.158,783.158,771.801,773.892,null
FTSE SET Small Cap Index,20080902,773.89,773.89,758.83,761.90,3685031
FTSE SET Small Cap Index,20080903,761.90,765.85,757.65,759.32,4137647
FTSE SET Small Cap Index,20080904,759.32,766.91,758.82,763.46,6698681
FTSE SET Small Cap Index,20080905,763.46,763.46,756.34,759.19,3002177
FTSE SET Small Cap Index,20080908,759.19,776.55,759.19,774.36,6460599
FTSE SET Small Cap Index,20080909,774.36,775.96,770.76,772.64,5133339
FTSE SET Small Cap Index,20080910,772.64,775.31,768.34,769.38,2295125
FTSE SET Small Cap Index,20080911,769.38,778.45,768.45,768.45,3181947
