<TICKER>,<DTYYYYMMDD>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
FVC,20131029,2.54,2.60,1.89,1.99,148565600.00
FVC,20131030,1.92,1.96,1.57,1.64,123653100.00
FVC,20131031,1.64,1.71,1.51,1.54,48002400.00
FVC,20131101,1.52,1.55,1.43,1.43,21947500.00
FVC,20131104,1.42,1.44,1.34,1.34,14690900.00
FVC,20131105,1.37,1.50,1.37,1.42,42040000.00
FVC,20131106,1.42,1.70,1.42,1.65,132125700.00
FVC,20131107,1.63,1.74,1.55,1.58,97025100.00
FVC,20131108,1.57,1.61,1.44,1.45,45720100.00
FVC,20131111,1.44,1.45,1.40,1.42,17660000.00
FVC,20131112,1.45,1.52,1.44,1.47,36661400.00
FVC,20131113,1.45,1.51,1.45,1.45,18783100.00
FVC,20131114,1.48,1.50,1.42,1.42,16028400.00
FVC,20131115,1.44,1.48,1.42,1.42,14304800.00
FVC,20131118,1.44,1.50,1.42,1.43,25433500.00
FVC,20131119,1.44,1.52,1.43,1.45,52576400.00
FVC,20131120,1.47,1.51,1.44,1.45,32645000.00
FVC,20131121,1.47,1.48,1.38,1.38,15959900.00
FVC,20131122,1.39,1.40,1.31,1.32,12694600.00
FVC,20131125,1.29,1.31,1.25,1.26,4832800.00
FVC,20131126,1.27,1.35,1.27,1.32,15338500.00
FVC,20131127,1.32,1.39,1.31,1.35,25443000.00
FVC,20131128,1.36,1.41,1.32,1.32,27575400.00
FVC,20131129,1.34,1.36,1.31,1.31,9800000.00
FVC,20131202,1.31,1.35,1.30,1.34,8108300.00
FVC,20131203,1.34,1.39,1.33,1.36,12505300.00
FVC,20131204,1.36,1.37,1.33,1.33,3994100.00
FVC,20131206,1.34,1.36,1.29,1.29,3907300.00
FVC,20131209,1.31,1.33,1.28,1.29,4553200.00
FVC,20131211,1.31,1.31,1.26,1.27,3229700.00
FVC,20131212,1.27,1.43,1.27,1.43,47358600.00
FVC,20131213,1.42,1.43,1.33,1.34,19288800.00
FVC,20131216,1.34,1.37,1.28,1.28,11034200.00
FVC,20131217,1.30,1.34,1.28,1.30,6086500.00
FVC,20131218,1.31,1.42,1.31,1.41,39527200.00
FVC,20131219,1.39,1.41,1.35,1.36,10320900.00
FVC,20131220,1.36,1.40,1.34,1.34,10077000.00
FVC,20131223,1.35,1.35,1.11,1.11,16835800.00
FVC,20131224,1.12,1.15,1.12,1.13,3985000.00
FVC,20131225,1.13,1.15,1.13,1.15,2167700.00
FVC,20131226,1.15,1.19,1.07,1.10,4834900.00
FVC,20131227,1.10,1.10,1.06,1.07,1259000.00
FVC,20140102,1.06,1.06,.85,.87,3209800.00
FVC,20140103,.87,.94,.87,.89,4950900.00
FVC,20140106,.87,.89,.86,.86,1904700.00
FVC,20140107,.87,.92,.87,.91,3944900.00
FVC,20140108,.91,.94,.90,.91,2584500.00
FVC,20140109,.90,1.05,.90,.97,21603800.00
FVC,20140110,.95,.98,.92,.92,11235700.00
FVC,20140113,.94,.98,.92,.96,11050400.00
FVC,20140114,.96,1.02,.96,1.00,16215900.00
FVC,20140115,1.01,1.05,.98,.98,16744400.00
FVC,20140116,1.01,1.01,.99,1.00,3826200.00
FVC,20140117,1.00,1.04,.97,.97,4108000.00
FVC,20140120,.98,1.00,.96,.97,2676700.00
FVC,20140121,.98,.99,.97,.97,3245800.00
FVC,20140122,.96,.97,.95,.96,1158400.00
FVC,20140123,.97,.98,.96,.96,1219700.00
FVC,20140124,.97,.98,.94,.94,1776300.00
FVC,20140127,.94,.95,.93,.93,554700.00
FVC,20140128,.94,.94,.91,.91,520700.00
FVC,20140129,.91,.96,.91,.93,2209100.00
FVC,20140130,.91,.97,.91,.97,4111100.00
FVC,20140131,.97,.97,.94,.94,1786700.00
FVC,20140203,.95,.97,.95,.97,3726100.00
FVC,20140204,.96,1.02,.96,1.01,21356200.00
FVC,20140205,1.02,1.02,.98,.99,9152000.00
FVC,20140206,.99,1.00,.98,.99,4149600.00
FVC,20140207,.99,1.10,.99,1.04,39707500.00
FVC,20140210,1.05,1.05,.98,1.01,7757500.00
FVC,20140211,1.01,1.03,.99,1.01,5755200.00
FVC,20140212,1.02,1.02,1.01,1.02,4331900.00
FVC,20140213,1.02,1.08,1.02,1.07,21774000.00
FVC,20140217,1.09,1.12,1.08,1.09,17721400.00
FVC,20140218,1.09,1.09,1.04,1.05,7417500.00
FVC,20140219,1.07,1.10,1.05,1.07,6964000.00
FVC,20140220,1.07,1.07,1.04,1.05,2712800.00
FVC,20140221,1.05,1.06,1.01,1.06,1596000.00
FVC,20140224,1.03,1.05,1.02,1.03,662300.00
FVC,20140225,1.06,1.06,1.04,1.04,1286700.00
FVC,20140226,1.04,1.05,1.03,1.03,534400.00
FVC,20140227,1.04,1.05,1.02,1.02,585400.00
FVC,20140228,1.02,1.03,.99,.99,3531800.00
FVC,20140303,1.02,1.02,1.00,1.01,994400.00
FVC,20140304,1.02,1.02,1.00,1.01,431800.00
FVC,20140305,1.02,1.05,1.00,1.02,2170700.00
FVC,20140306,1.02,1.03,1.02,1.03,722300.00
FVC,20140307,1.03,1.06,1.03,1.04,3768200.00
FVC,20140310,1.05,1.05,1.04,1.04,588000.00
FVC,20140311,1.05,1.05,1.03,1.04,898800.00
FVC,20140312,1.04,1.07,1.04,1.04,2733100.00
FVC,20140313,1.05,1.09,1.05,1.08,8026000.00
FVC,20140314,1.08,1.11,1.07,1.07,6781800.00
FVC,20140317,1.06,1.08,1.06,1.07,1504100.00
FVC,20140318,1.07,1.10,1.05,1.05,2190100.00
FVC,20140319,1.06,1.11,1.06,1.08,9794000.00
FVC,20140320,1.07,1.12,1.07,1.08,14463300.00
FVC,20140321,1.09,1.10,1.07,1.07,3475000.00
FVC,20140324,1.07,1.07,1.02,1.03,1918200.00
FVC,20140325,1.04,1.04,1.00,1.01,2281400.00
FVC,20140326,1.02,1.02,1.01,1.01,554000.00
FVC,20140327,1.02,1.02,1.00,1.01,706200.00
FVC,20140328,1.01,1.02,1.01,1.01,351800.00
FVC,20140331,1.02,1.02,1.01,1.02,341700.00
FVC,20140401,1.01,1.03,1.01,1.02,436200.00
FVC,20140402,1.03,1.03,1.02,1.03,615100.00
FVC,20140403,1.04,1.04,1.02,1.02,252700.00
FVC,20140404,1.02,1.02,1.01,1.01,716800.00
FVC,20140408,1.02,1.02,1.01,1.01,129100.00
FVC,20140409,1.02,1.02,.99,.99,532400.00
