<TICKER>,<DTYYYYMMDD>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
GEL,19910329,80.0711987319209,103.67113098975,80.0711987319209,101.563994181015,2768685.91342346
GEL,19910401,99.8782847340276,105.778267798485,95.6640111165581,99.0354300105337,899087.326530811
GEL,19910402,97.3497205635459,99.0354300105337,94.8211563930642,97.3497205635459,320102.613747708
GEL,19910403,99.0354300105337,99.8782847340276,93.1354469460764,94.8211563930642,639018.783411843
GEL,19910404,95.6640111165581,96.506865840052,93.9783016695703,94.8211563930642,333153.498666999
GEL,19910405,94.8211563930642,95.6640111165581,91.4497374990886,91.4497374990886,434950.401037471
GEL,19910409,93.1354469460764,95.6640111165581,91.4497374990886,92.2925922225825,377051.92975916
GEL,19910410,92.2925922225825,93.1354469460764,91.4497374990886,92.2925922225825,180576.789519648
GEL,19910411,92.2925922225825,99.8782847340276,92.2925922225825,99.0354300105337,485967.496631064
GEL,19910415,99.0354300105337,99.0354300105337,93.1354469460764,94.8211563930642,270983.82868783
GEL,19910416,97.3497205635459,97.3497205635459,94.8211563930642,95.6640111165581,202644.649474086
GEL,19910417,98.1925752870398,98.1925752870398,93.1354469460764,93.9783016695703,104881.656987759
GEL,19910418,94.8211563930642,97.3497205635459,93.1354469460764,95.6640111165581,461526.748509482
GEL,19910419,97.3497205635459,99.0354300105337,94.8211563930642,96.506865840052,351662.026370721
GEL,19910422,97.3497205635459,97.3497205635459,92.2925922225825,92.2925922225825,229695.574579526
GEL,19910423,93.9783016695703,97.3497205635459,93.1354469460764,93.1354469460764,317729.725580564
GEL,19910424,94.8211563930642,94.8211563930642,91.4497374990886,93.9783016695703,328407.722332711
GEL,19910425,94.8211563930642,95.6640111165581,92.2925922225825,93.1354469460764,276441.47147226
GEL,19910426,93.1354469460764,94.8211563930642,91.4497374990886,92.2925922225825,142847.867662061
GEL,19910429,92.2925922225825,92.2925922225825,89.7640280521008,90.6068827755947,100373.169470186
GEL,19910430,90.6068827755947,93.1354469460764,88.9211733286069,90.6068827755947,66915.446313457
GEL,19910502,92.2925922225825,92.2925922225825,88.078318605113,90.6068827755947,208102.292258517
GEL,19910503,89.7640280521008,89.7640280521008,87.2354638816191,88.078318605113,72847.6667313167
GEL,19910507,87.2354638816191,88.078318605113,81.3354808171618,82.1783355406556,100847.747103614
GEL,19910508,82.1783355406556,82.5997629024026,81.7569081789087,82.1783355406556,83288.3746667497
GEL,19910509,82.1783355406556,84.2854723493904,81.3354808171618,84.2854723493904,72373.0890978879
GEL,19910510,85.9711817963782,85.9711817963782,81.7569081789087,83.4426176258965,37491.6330408731
GEL,19910513,82.1783355406556,82.1783355406556,79.6497713701739,80.0711987319209,16610.2171700071
GEL,19910514,79.228344008427,79.228344008427,75.8569251144513,79.228344008427,181051.367153077
GEL,19910515,77.5426345614391,77.5426345614391,74.5926430292105,77.5426345614391,130508.849192913
GEL,19910516,75.4354977527044,75.4354977527044,72.0640788587288,72.0640788587288,32271.2790731566
GEL,19910517,72.9069335822227,79.228344008427,71.2212241352349,79.228344008427,146644.488729491
GEL,19910520,74.1712156674636,79.228344008427,74.1712156674636,75.8569251144513,58135.7600950247
GEL,19910521,75.0140703909574,76.2783524761983,73.7497883057166,73.7497883057166,50067.9403267356
GEL,19910522,73.7497883057166,73.7497883057166,69.5355146882471,73.7497883057166,82101.9305831778
GEL,19910523,71.6426514969818,74.5926430292105,71.6426514969818,73.7497883057166,61220.5147123118
GEL,19910524,73.7497883057166,75.4354977527044,73.7497883057166,75.0140703909574,18271.2388870078
GEL,19910527,75.8569251144513,75.8569251144513,74.1712156674636,74.1712156674636,34169.5896068717
GEL,19910529,74.1712156674636,74.1712156674636,72.0640788587288,72.0640788587288,67627.3127636002
GEL,19910530,72.0640788587288,72.9069335822227,70.378369411741,70.378369411741,145220.755829205
GEL,19910531,70.378369411741,75.4354977527044,70.378369411741,74.1712156674636,120780.007707623
GEL,19910603,73.7497883057166,74.1712156674636,71.6426514969818,71.6426514969818,24915.3257550106
GEL,19910604,72.4855062204757,74.1712156674636,72.4855062204757,73.3283609439696,20169.5494207229
GEL,19910605,73.7497883057166,77.5426345614391,73.7497883057166,75.8569251144513,96576.5484027554
GEL,19910606,76.6997798379453,83.4426176258965,76.6997798379453,83.4426176258965,177492.034902361
GEL,19910607,83.4426176258965,86.8140365198721,83.4426176258965,83.8640449876434,190542.919821652
GEL,19910610,83.4426176258965,84.2854723493904,81.7569081789087,83.4426176258965,65491.7134131707
GEL,19910611,83.0211902641496,84.2854723493904,83.0211902641496,83.4426176258965,71186.645014316
GEL,19910612,83.4426176258965,83.4426176258965,80.0711987319209,82.5997629024026,12813.5961025769
GEL,19910613,82.5997629024026,83.0211902641496,80.0711987319209,83.0211902641496,81152.7753163202
GEL,19910614,80.9140534554148,80.9140534554148,80.9140534554148,80.9140534554148,4033.90988414457
GEL,19910617,81.3354808171618,82.5997629024026,80.0711987319209,82.5997629024026,51966.2508604507
GEL,19910618,84.2854723493904,84.2854723493904,81.7569081789087,81.7569081789087,52915.4061273082
GEL,19910619,80.4926260936678,81.3354808171618,80.0711987319209,80.0711987319209,63356.1140627412
GEL,19910620,80.0711987319209,80.0711987319209,72.0640788587288,72.0640788587288,97051.1260361841
GEL,19910621,72.9069335822227,75.4354977527044,72.4855062204757,72.9069335822227,64542.5581463132
GEL,19910624,72.9069335822227,73.7497883057166,71.6426514969818,72.9069335822227,101322.324737043
GEL,19910625,74.5926430292105,76.6997798379453,73.7497883057166,75.8569251144513,50305.22914345
GEL,19910626,75.8569251144513,80.0711987319209,75.8569251144513,80.0711987319209,91593.4832517533
GEL,19910627,81.3354808171618,82.5997629024026,80.4926260936678,82.1783355406556,109390.144505332
GEL,19910628,83.4426176258965,83.4426176258965,80.0711987319209,80.0711987319209,73796.8219981743
GEL,19910702,77.9640619231861,80.0711987319209,76.6997798379453,80.0711987319209,76406.9989820325
GEL,19910703,76.2783524761983,80.0711987319209,76.2783524761983,80.0711987319209,48169.6297930205
GEL,19910704,77.9640619231861,77.9640619231861,76.2783524761983,76.6997798379453,47457.7633428773
GEL,19910705,75.8569251144513,76.6997798379453,75.8569251144513,76.2783524761983,23017.0152212955
GEL,19910708,76.2783524761983,77.5426345614391,76.2783524761983,77.5426345614391,37966.2106743019
GEL,19910709,77.5426345614391,77.5426345614391,75.8569251144513,76.2783524761983,47457.7633428773
GEL,19910710,75.0140703909574,75.8569251144513,73.7497883057166,73.7497883057166,29661.1020892983
GEL,19910711,73.7497883057166,75.0140703909574,73.7497883057166,73.7497883057166,15423.7730864351
GEL,19910712,71.6426514969818,71.6426514969818,70.7997967734879,70.7997967734879,14949.1954530064
