<TICKER>,<DTYYYYMMDD>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
GPSC,20150518,26.25,27.25,26.00,26.00,134638900
GPSC,20150519,26.50,28.00,26.50,27.75,115939900
GPSC,20150520,27.75,28.25,27.00,27.25,77842000
GPSC,20150521,27.25,27.50,26.75,26.75,32472500
GPSC,20150522,27.00,27.25,26.50,26.75,19367000
GPSC,20150525,27.00,27.50,26.75,27.25,35048100
GPSC,20150526,27.50,27.50,26.50,26.50,18951600
GPSC,20150527,26.50,27.00,26.25,26.75,11931000
GPSC,20150528,26.75,27.00,26.50,26.75,8782300
GPSC,20150529,27.00,27.25,26.50,26.75,20430600
GPSC,20150602,26.75,26.75,26.00,26.25,20979800
GPSC,20150603,26.25,26.50,26.00,26.25,10623900
GPSC,20150604,26.50,26.50,26.00,26.25,9291100
GPSC,20150605,26.50,26.75,26.25,26.50,12448600
GPSC,20150608,26.50,27.00,26.50,26.50,11432400
GPSC,20150609,26.50,26.75,26.25,26.25,13657800
GPSC,20150610,26.50,26.75,26.25,26.50,8383400
GPSC,20150611,26.75,27.00,26.50,26.50,11827700
GPSC,20150612,26.75,26.75,26.50,26.50,2424700
GPSC,20150615,26.50,26.75,26.25,26.50,5036900
GPSC,20150616,26.50,26.75,26.25,26.50,4402000
GPSC,20150617,26.50,26.50,26.25,26.25,2405600
GPSC,20150618,26.50,26.50,26.25,26.25,6133500
GPSC,20150619,26.50,26.50,26.00,26.25,8571700
GPSC,20150622,26.25,26.25,26.00,26.25,6983300
GPSC,20150623,26.25,26.25,26.00,26.00,2348100
GPSC,20150624,26.00,26.50,26.00,26.25,5747000
GPSC,20150625,26.25,26.50,26.00,26.00,3028300
GPSC,20150626,26.25,26.25,26.00,26.25,2011700
GPSC,20150629,26.00,26.25,25.75,26.00,7648700
GPSC,20150630,26.00,26.25,25.75,26.00,4488200
GPSC,20150702,26.00,26.25,25.75,26.00,4539300
GPSC,20150703,26.25,26.25,25.75,26.00,2931300
GPSC,20150706,25.75,26.00,25.50,25.50,3538600
GPSC,20150707,25.75,26.00,25.50,25.50,1614900
GPSC,20150708,25.50,25.75,25.25,25.25,2534400
GPSC,20150709,25.50,25.50,25.00,25.25,3264500
GPSC,20150710,25.50,25.50,25.25,25.50,1765800
GPSC,20150713,25.50,25.75,25.25,25.50,1601900
GPSC,20150714,25.50,26.00,25.25,25.50,9875400
GPSC,20150715,25.75,25.75,25.50,25.50,1818300
GPSC,20150716,25.50,25.50,25.00,25.25,2665000
GPSC,20150717,25.25,25.25,24.80,24.90,6609600
GPSC,20150720,24.90,24.90,24.50,24.50,3934900
GPSC,20150721,24.50,24.60,23.70,23.80,7031900
GPSC,20150722,23.80,24.60,23.50,24.50,6111200
GPSC,20150723,24.50,24.60,24.20,24.20,1785200
GPSC,20150724,24.20,24.20,23.90,23.90,1948800
GPSC,20150727,24.00,24.00,23.60,23.60,2835800
GPSC,20150728,23.80,23.80,23.50,23.60,2186100
GPSC,20150729,23.70,23.70,23.40,23.60,2129000
GPSC,20150731,23.70,23.90,23.60,23.90,1563100
GPSC,20150803,23.80,24.80,23.70,24.70,6566300
GPSC,20150804,24.60,24.70,24.20,24.40,3880100
GPSC,20150805,24.40,24.50,24.30,24.40,1820100
GPSC,20150806,24.50,24.50,23.90,24.30,3631800
GPSC,20150807,24.30,24.50,24.10,24.30,1456300
GPSC,20150810,24.40,24.40,24.10,24.20,950300
GPSC,20150811,24.20,24.20,23.80,23.80,2058500
GPSC,20150813,23.60,24.00,23.50,24.00,2518200
GPSC,20150814,24.00,24.40,23.90,24.10,2750200
GPSC,20150817,24.20,24.60,24.20,24.50,4894800
GPSC,20150818,24.00,24.40,23.70,23.90,6936800
GPSC,20150819,24.00,24.10,23.90,23.90,2799700
GPSC,20150820,23.90,24.00,23.70,23.80,3063000
GPSC,20150821,23.70,23.80,23.60,23.70,1539100
GPSC,20150824,23.30,23.40,22.30,22.30,6849500
GPSC,20150825,22.20,22.40,21.50,22.00,4777700
GPSC,20150826,21.90,22.30,21.80,22.00,2286400
GPSC,20150827,22.30,22.50,22.10,22.40,2298100
GPSC,20150828,22.60,22.80,22.40,22.50,1716700
GPSC,20150831,22.50,22.70,22.50,22.60,782300
GPSC,20150901,22.60,22.80,22.30,22.30,1410500
GPSC,20150902,22.30,22.70,22.30,22.40,1115800
GPSC,20150903,22.60,22.70,22.50,22.50,1344900
GPSC,20150904,22.60,23.40,22.50,23.00,14150400
GPSC,20150907,23.00,23.40,22.90,22.90,3418400
GPSC,20150908,23.00,23.10,22.80,23.00,1544900
GPSC,20150909,23.20,23.40,23.10,23.30,2155700
GPSC,20150910,23.30,23.30,23.10,23.20,1382400
GPSC,20150911,23.30,23.80,23.20,23.20,7371300
GPSC,20150914,23.30,23.40,22.80,22.90,3731400
GPSC,20150915,23.00,23.10,22.80,22.90,3910900
GPSC,20150916,23.00,23.00,22.90,22.90,951500
GPSC,20150917,23.00,23.20,22.90,22.90,2893100
GPSC,20150918,23.00,23.20,23.00,23.10,1999300
GPSC,20150921,23.00,23.10,22.90,23.10,689400
GPSC,20150922,23.10,23.10,22.80,22.80,1836900
GPSC,20150923,22.70,22.80,22.50,22.80,2190600
GPSC,20150924,22.70,22.80,22.60,22.70,530000
GPSC,20150925,22.80,22.80,22.50,22.60,1791300
GPSC,20150928,22.70,22.70,22.30,22.30,1409900
GPSC,20150929,22.20,22.30,22.00,22.20,1925100
GPSC,20150930,22.30,22.40,22.10,22.10,938400
GPSC,20151001,22.30,22.30,22.00,22.10,1361200
GPSC,20151002,22.20,22.30,22.00,22.10,1793600
GPSC,20151005,22.20,22.50,22.20,22.40,2593200
GPSC,20151006,22.50,22.50,22.30,22.30,2561700
GPSC,20151007,22.30,23.10,22.30,23.00,8268900
GPSC,20151008,22.90,23.30,22.80,22.80,2960800
GPSC,20151009,23.00,23.40,22.90,23.10,5071700
GPSC,20151012,23.20,23.20,23.00,23.00,1026700
GPSC,20151013,23.00,23.20,22.90,23.10,1703700
GPSC,20151014,23.10,23.20,22.80,23.00,2755700
GPSC,20151015,23.10,23.10,22.90,23.10,3263400
GPSC,20151016,23.10,23.20,22.90,22.90,1929100
GPSC,20151019,23.00,23.10,22.90,23.00,1759500
GPSC,20151020,23.00,23.20,22.90,23.00,1619800
GPSC,20151021,23.00,23.10,22.80,22.90,3807800
GPSC,20151022,22.90,23.00,22.80,22.90,704900
GPSC,20151026,22.90,23.10,22.90,23.00,1833300
GPSC,20151027,23.00,23.00,22.90,22.90,649700
GPSC,20151028,23.00,23.00,22.60,22.70,1484600
GPSC,20151029,22.80,22.80,22.50,22.50,1241500
GPSC,20151030,22.50,22.70,22.50,22.60,525600
GPSC,20151102,22.60,22.70,22.50,22.60,380900
GPSC,20151103,22.70,22.90,22.60,22.70,1857800
GPSC,20151104,22.80,22.80,22.60,22.70,1522000
GPSC,20151105,22.80,22.80,22.60,22.60,705300
GPSC,20151106,22.70,22.70,22.50,22.60,754000
GPSC,20151109,22.70,22.80,22.60,22.70,1518800
GPSC,20151110,22.80,23.90,22.70,23.60,23023000
GPSC,20151111,23.70,24.20,23.20,23.30,15920100
GPSC,20151112,23.40,23.40,23.00,23.00,3115600
GPSC,20151113,23.10,23.70,23.10,23.40,7059400
GPSC,20151116,23.20,23.70,23.10,23.70,5564500
GPSC,20151117,23.80,24.10,23.70,23.80,8798800
GPSC,20151118,23.80,23.90,23.30,23.40,3398700
GPSC,20151119,23.50,24.50,23.50,24.50,12469300
GPSC,20151120,24.70,25.25,24.30,24.90,19064000
GPSC,20151123,25.00,25.25,24.70,24.70,6902800
GPSC,20151124,24.70,25.25,24.40,24.60,8731400
GPSC,20151125,24.60,24.80,24.20,24.60,4769800
GPSC,20151126,24.60,24.70,24.20,24.40,4208700
GPSC,20151127,24.40,24.80,24.20,24.60,4308800
GPSC,20151130,24.50,25.00,24.20,24.20,11117000
GPSC,20151201,24.20,24.40,23.50,23.60,10398100
GPSC,20151202,23.60,24.00,23.30,23.30,5245500
GPSC,20151203,23.20,23.40,22.90,23.20,4757200
GPSC,20151204,23.10,23.30,23.00,23.10,1983300
GPSC,20151208,23.10,23.10,22.70,22.90,1842500
GPSC,20151209,22.90,23.10,22.60,22.70,2387700
GPSC,20151211,22.60,23.00,22.60,22.70,3294300
GPSC,20151214,22.60,22.60,21.40,21.80,8210400
GPSC,20151215,22.00,22.50,21.90,22.30,3512100
GPSC,20151216,22.50,22.60,22.10,22.10,2500500
GPSC,20151217,22.30,22.60,22.20,22.60,977100
