<TICKER>,<DTYYYYMMDD>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
GRAMMY,19950217,17.75466281,20.55803063,17.75466281,19.62357469,43994583.7467591
GRAMMY,19950220,19.24979231,20.74492181,19.06290113,20.37113944,9915930.35920969
GRAMMY,19950221,20.55803063,20.55803063,19.81046588,20.18424825,7813102.4770764
GRAMMY,19950222,19.99735706,19.99735706,18.50222756,18.87600994,5112065.54348637
GRAMMY,19950223,18.87600994,19.81046588,18.59567316,19.62357469,3725162.26855266
GRAMMY,19950224,20.37113944,20.55803063,19.81046588,19.99735706,2445273.13520334
GRAMMY,19950227,18.68911875,19.99735706,18.59567316,19.81046588,1483216.00235966
GRAMMY,19950228,19.81046588,20.37113944,19.81046588,20.37113944,2356451.39768829
GRAMMY,19950301,19.81046588,20.37113944,19.81046588,20.37113944,430196.84916925
GRAMMY,19950302,19.99735706,19.99735706,19.81046588,19.99735706,144469.09113893
GRAMMY,19950303,19.81046588,19.81046588,19.24979231,19.24979231,554333.25340715
GRAMMY,19950306,19.06290113,19.06290113,18.68911875,18.68911875,471932.36438717
GRAMMY,19950307,18.87600994,19.06290113,18.87600994,18.87600994,224729.69732722
GRAMMY,19950308,18.50222756,18.68911875,18.50222756,18.68911875,2888311.68136272
GRAMMY,19950309,18.59567316,18.59567316,18.40878197,18.50222756,958846.70859615
GRAMMY,19950310,18.40878197,18.50222756,16.82020688,18.03499959,885006.95090292
GRAMMY,19950313,17.75466281,17.84810841,17.38088044,17.66121722,164801.77803996
GRAMMY,19950314,17.38088044,17.38088044,16.91365247,17.38088044,317832.00050564
GRAMMY,19950315,17.38088044,17.84810841,17.38088044,17.75466281,207607.43467372
GRAMMY,19950316,17.19398925,17.75466281,17.19398925,17.38088044,204397.01042619
GRAMMY,19950317,17.56777163,19.06290113,17.56777163,19.06290113,934233.45603174
GRAMMY,19950320,18.87600994,19.06290113,18.68911875,18.87600994,128416.96990127
GRAMMY,19950321,18.87600994,18.87600994,18.59567316,18.59567316,88821.73751504
GRAMMY,19950322,18.31533638,19.81046588,18.31533638,19.4366835,792974.78914034
GRAMMY,19950323,19.4366835,19.62357469,19.24979231,19.4366835,657066.82932816
GRAMMY,19950324,19.24979231,19.4366835,18.87600994,19.06290113,687030.78897179
GRAMMY,19950327,19.24979231,19.24979231,19.06290113,19.06290113,901059.07214057
GRAMMY,19950328,19.06290113,19.4366835,19.06290113,19.4366835,462301.09164457
GRAMMY,19950329,19.4366835,19.62357469,19.06290113,19.4366835,578946.50597156
GRAMMY,19950330,19.4366835,19.4366835,19.06290113,19.06290113,615331.31411025
GRAMMY,19950331,19.24979231,19.24979231,19.24979231,19.24979231,98453.01025764
