<TICKER>,<DTYYYYMMDD>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
IFEC,19880506,5.18236461520316,5.63963208125049,5.18236461520316,5.41099834822682,375272.707422915
IFEC,19880509,5.48720959256805,5.48720959256805,5.3347871038856,5.3347871038856,553724.064798846
IFEC,19880510,5.3347871038856,5.3347871038856,5.22047023737377,5.22047023737377,41988.5546766898
IFEC,19880511,5.25857585954438,5.3347871038856,5.25857585954438,5.3347871038856,339844.864414458
IFEC,19880512,5.3347871038856,5.41099834822682,5.3347871038856,5.41099834822682,136462.802699242
IFEC,19880513,5.41099834822682,5.56342083690927,5.41099834822682,5.56342083690927,242746.331724613
IFEC,19880516,5.63963208125049,5.94447705861538,5.63963208125049,5.83016019210355,300480.594405061
IFEC,19880517,6.13500516946844,6.13500516946844,5.94447705861538,6.02068830295661,376584.849756561
IFEC,19880518,6.09689954729783,6.3255332803215,6.09689954729783,6.3255332803215,527481.218125915
IFEC,19880519,6.24932203598028,6.93522323505128,6.24932203598028,6.93522323505128,1024783.16257796
IFEC,19880520,7.24006821241617,7.62112443412229,7.24006821241617,7.58301881195168,1604750.07404974
IFEC,19880523,7.54491318978106,7.58301881195168,6.85901199071006,6.85901199071006,103659.244358078
IFEC,19880524,6.17311079163905,6.43985014683333,6.17311079163905,6.3255332803215,425134.116101484
IFEC,19880525,6.47795576900395,6.51606139117456,6.43985014683333,6.43985014683333,250619.185726492
IFEC,19880526,6.40174452466272,6.47795576900395,6.40174452466272,6.43985014683333,52485.6933458622
IFEC,19880527,6.40174452466272,6.40174452466272,6.3255332803215,6.36363890249211,34115.7006748104
IFEC,19880531,6.21121641380967,6.40174452466272,6.09689954729783,6.17311079163905,94474.248022552
IFEC,19880601,6.3255332803215,6.3255332803215,6.21121641380967,6.21121641380967,246682.758725552
IFEC,19880602,6.3255332803215,6.3255332803215,6.17311079163905,6.17311079163905,242746.331724613
IFEC,19880603,6.24932203598028,6.24932203598028,6.13500516946844,6.17311079163905,114156.38302725
IFEC,19880606,6.24932203598028,6.24932203598028,6.13500516946844,6.13500516946844,127277.806363716
IFEC,19880607,6.17311079163905,6.17311079163905,6.13500516946844,6.17311079163905,39364.2700093966
IFEC,19880608,6.13500516946844,6.13500516946844,6.13500516946844,6.13500516946844,57734.2626804484
IFEC,19880609,6.24932203598028,6.24932203598028,6.17311079163905,6.17311079163905,167954.218706759
IFEC,19880610,6.17311079163905,6.17311079163905,6.13500516946844,6.17311079163905,129902.091031009
IFEC,19880613,6.21121641380967,6.24932203598028,6.13500516946844,6.13500516946844,160081.36470488
IFEC,19880614,6.17311079163905,6.21121641380967,6.13500516946844,6.21121641380967,166642.076373113
IFEC,19880615,6.24932203598028,6.3255332803215,6.24932203598028,6.24932203598028,288671.313402242
IFEC,19880616,6.3255332803215,6.36363890249211,6.24932203598028,6.3255332803215,171890.645707699
IFEC,19880617,6.3255332803215,6.85901199071006,6.3255332803215,6.63037825768639,272925.605398483
IFEC,19880620,6.85901199071006,7.01143447939251,6.70658950202761,6.70658950202761,318850.587076113
IFEC,19880621,6.63037825768639,6.70658950202761,6.55416701334517,6.55416701334517,198133.49238063
IFEC,19880622,6.668483879857,6.668483879857,6.43985014683333,6.43985014683333,35427.843008457
IFEC,19880623,6.47795576900395,6.47795576900395,6.40174452466272,6.47795576900395,131214.233364656
IFEC,19880624,6.55416701334517,6.55416701334517,6.24932203598028,6.24932203598028,47237.124011276
IFEC,19880627,6.09689954729783,6.21121641380967,6.09689954729783,6.21121641380967,83977.1093533796
IFEC,19880628,6.17311079163905,6.40174452466272,6.09689954729783,6.3255332803215,186324.211377811
IFEC,19880629,6.40174452466272,6.55416701334517,6.40174452466272,6.47795576900395,112844.240693604
IFEC,19880630,6.63037825768639,6.63037825768639,6.55416701334517,6.55416701334517,354278.43008457
IFEC,19880704,6.63037825768639,6.63037825768639,6.55416701334517,6.63037825768639,283422.744067656
IFEC,19880706,6.63037825768639,6.89711761288067,6.63037825768639,6.89711761288067,397579.127094906
IFEC,19880707,7.01143447939251,7.20196259024556,6.97332885722189,7.12575134590434,477619.809447346
IFEC,19880708,7.24006821241617,7.81165254497534,7.16385696807495,7.69733567846351,1738588.59208169
IFEC,19880711,7.69733567846351,7.92596941148718,7.46870194543984,7.69733567846351,910626.779550709
IFEC,19880712,7.69733567846351,8.0021806558284,7.62112443412229,7.69733567846351,629828.320150346
IFEC,19880713,7.92596941148718,7.92596941148718,7.39249070109862,7.46870194543984,397579.127094906
IFEC,19880714,7.50680756761045,7.50680756761045,7.39249070109862,7.46870194543984,157457.080037587
IFEC,19880715,7.46870194543984,7.46870194543984,7.24006821241617,7.3162794567574,139087.087366535
IFEC,19880718,7.46870194543984,7.46870194543984,7.24006821241617,7.3162794567574,56422.1203468019
IFEC,19880719,7.16385696807495,7.16385696807495,7.01143447939251,7.04954010156311,148272.083702061
IFEC,19880720,7.04954010156311,7.16385696807495,7.01143447939251,7.01143447939251,80040.6823524399
IFEC,19880721,7.16385696807495,7.3162794567574,7.16385696807495,7.3162794567574,59046.405014095
IFEC,19880722,7.27817383458679,7.62112443412229,7.16385696807495,7.62112443412229,123341.379362776
IFEC,19880725,7.62112443412229,7.62112443412229,7.16385696807495,7.39249070109862,303104.879072354
IFEC,19880726,7.46870194543984,7.46870194543984,7.3162794567574,7.39249070109862,385769.846092087
IFEC,19880727,7.3162794567574,7.39249070109862,7.3162794567574,7.39249070109862,164017.791705819
IFEC,19880728,7.3162794567574,7.46870194543984,7.3162794567574,7.43059632326923,157457.080037587
IFEC,19880801,7.43059632326923,7.43059632326923,7.39249070109862,7.39249070109862,26242.8466729311
IFEC,19880802,7.39249070109862,7.39249070109862,7.24006821241617,7.3162794567574,17057.8503374052
IFEC,19880803,7.39249070109862,7.54491318978106,7.39249070109862,7.46870194543984,91849.9633552589
IFEC,19880804,7.54491318978106,7.54491318978106,7.3162794567574,7.50680756761045,320162.729409759
IFEC,19880805,7.46870194543984,7.6592300562929,7.46870194543984,7.6592300562929,255867.755061078
IFEC,19880808,7.6592300562929,7.96407503365779,7.6592300562929,7.88786378931657,1120569.55293416
IFEC,19880809,8.49672310984758,8.49672310984758,8.49672310984758,8.49672310984758,39615.2723406846
IFEC,19880810,8.17866395600301,8.17866395600301,7.86060480215845,7.99691586809183,38514.8481089989
IFEC,19880811,7.99691586809183,7.99691586809183,7.95147884611404,7.99691586809183,82531.8173764262
IFEC,19880815,7.95147884611404,7.95147884611404,7.95147884611404,7.95147884611404,23108.9088653993
