<TICKER>,<DTYYYYMMDD>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
IHL,20051222,2.55714226047602,2.6428565261903,2.37142801809508,2.37142801809508,null
IHL,20051223,2.38571372904746,2.44285657285698,2.34285659619032,2.4285708619046,null
IHL,20051226,2.4999994166665,2.4999994166665,2.41428515095222,2.41428515095222,null
IHL,20051227,2.44285657285698,2.44285657285698,2.39999943999984,2.41428515095222,null
IHL,20051228,2.41428515095222,2.48571370571412,2.41428515095222,2.44285657285698,null
IHL,20051229,2.45714228380936,2.48571370571412,2.44285657285698,2.44285657285698,null
IHL,20051230,2.45714228380936,2.45714228380936,2.41428515095222,2.41428515095222,null
IHL,20060103,2.4285708619046,2.52857083857126,2.4285708619046,2.52857083857126,null
IHL,20060104,2.52857083857126,2.55714226047602,2.52857083857126,2.52857083857126,null
IHL,20060105,2.52857083857126,2.55714226047602,2.51428512761888,2.52857083857126,null
IHL,20060106,2.52857083857126,2.54285654952364,2.51428512761888,2.51428512761888,null
IHL,20060109,2.51428512761888,2.51428512761888,2.45714228380936,2.47142799476174,null
IHL,20060110,2.47142799476174,2.51428512761888,2.44285657285698,2.48571370571412,null
IHL,20060111,2.48571370571412,2.48571370571412,2.45714228380936,2.45714228380936,null
IHL,20060112,2.48571370571412,2.51428512761888,2.44285657285698,2.48571370571412,null
IHL,20060113,2.48571370571412,2.48571370571412,2.45714228380936,2.45714228380936,null
IHL,20060116,2.45714228380936,2.45714228380936,2.44285657285698,2.44285657285698,null
IHL,20060117,2.44285657285698,2.45714228380936,2.4285708619046,2.45714228380936,null
IHL,20060118,2.45714228380936,2.4999994166665,2.4285708619046,2.4285708619046,null
IHL,20060119,2.48571370571412,2.48571370571412,2.44285657285698,2.44285657285698,null
IHL,20060120,2.47142799476174,2.48571370571412,2.44285657285698,2.44285657285698,null
IHL,20060123,2.47142799476174,2.47142799476174,2.45714228380936,2.45714228380936,null
IHL,20060124,2.45714228380936,2.45714228380936,2.4285708619046,2.4285708619046,null
IHL,20060125,2.44285657285698,2.44285657285698,2.4285708619046,2.4285708619046,null
IHL,20060126,2.44285657285698,2.47142799476174,2.44285657285698,2.44285657285698,null
IHL,20060127,2.41428515095222,2.44285657285698,2.41428515095222,2.4285708619046,null
IHL,20060130,2.45714228380936,2.45714228380936,2.41428515095222,2.41428515095222,null
IHL,20060131,2.41428515095222,2.44285657285698,2.41428515095222,2.41428515095222,null
IHL,20060201,2.4285708619046,2.4285708619046,2.38571372904746,2.39999943999984,null
IHL,20060202,2.38571372904746,2.38571372904746,2.34285659619032,2.34285659619032,null
IHL,20060203,2.32857088523794,2.3571423071427,2.29999946333318,2.3571423071427,null
IHL,20060206,2.3571423071427,2.37142801809508,2.34285659619032,2.34285659619032,null
IHL,20060207,2.34285659619032,2.41428515095222,2.34285659619032,2.37142801809508,null
IHL,20060208,2.39999943999984,2.39999943999984,2.38571372904746,2.38571372904746,null
IHL,20060209,2.38571372904746,2.39999943999984,2.38571372904746,2.39999943999984,null
IHL,20060210,2.38571372904746,2.39999943999984,2.37142801809508,2.39999943999984,null
IHL,20060215,2.37142801809508,2.39999943999984,2.37142801809508,2.38571372904746,null
IHL,20060216,2.38571372904746,2.39999943999984,2.37142801809508,2.39999943999984,null
IHL,20060217,2.41428515095222,2.47142799476174,2.39999943999984,2.45714228380936,null
IHL,20060220,2.4285708619046,2.44285657285698,2.39999943999984,2.39999943999984,null
IHL,20060221,2.39999943999984,2.41428515095222,2.38571372904746,2.41428515095222,null
IHL,20060222,2.4285708619046,2.48571370571412,2.4285708619046,2.44285657285698,null
IHL,20060223,2.44285657285698,2.51428512761888,2.4285708619046,2.4285708619046,null
IHL,20060224,2.45714228380936,2.4999994166665,2.4285708619046,2.48571370571412,null
IHL,20060227,2.47142799476174,2.51428512761888,2.47142799476174,2.51428512761888,null
IHL,20060228,2.48571370571412,2.48571370571412,2.44285657285698,2.44285657285698,null
IHL,20060301,2.4285708619046,2.48571370571412,2.4285708619046,2.47142799476174,null
IHL,20060302,2.47142799476174,2.47142799476174,2.47142799476174,2.47142799476174,null
IHL,20060303,2.45714228380936,2.48571370571412,2.45714228380936,2.45714228380936,null
IHL,20060306,2.47142799476174,2.4999994166665,2.47142799476174,2.47142799476174,null
IHL,20060307,2.48571370571412,2.59999939333316,2.47142799476174,2.58571368238078,null
IHL,20060308,2.55714226047602,2.62857081523792,2.55714226047602,2.55714226047602,null
IHL,20060309,2.58571368238078,2.59999939333316,2.55714226047602,2.59999939333316,null
IHL,20060310,2.59999939333316,2.68571365904744,2.59999939333316,2.61428510428554,null
IHL,20060313,2.61428510428554,2.6428565261903,2.58571368238078,2.58571368238078,null
IHL,20060314,2.58571368238078,2.6428565261903,2.58571368238078,2.6428565261903,null
IHL,20060315,2.62857081523792,2.65714223714268,2.58571368238078,2.58571368238078,null
IHL,20060316,2.61428510428554,2.62857081523792,2.5714279714284,2.58571368238078,null
IHL,20060317,2.61428510428554,2.77142792476172,2.59999939333316,2.77142792476172,null
IHL,20060320,2.74285650285696,2.81428505761886,2.7142850809522,2.74285650285696,null
IHL,20060321,2.74285650285696,2.7857136357141,2.7142850809522,2.7857136357141,null
IHL,20060322,2.7857136357141,2.84285647952362,2.7857136357141,2.82857076857124,null
IHL,20060323,2.82857076857124,2.87142790142838,2.7857136357141,2.7857136357141,null
IHL,20060324,2.7857136357141,2.82857076857124,2.7857136357141,2.82857076857124,null
IHL,20060327,2.84285647952362,2.88571361238076,2.84285647952362,2.87142790142838,null
IHL,20060328,2.88571361238076,2.89999932333314,2.87142790142838,2.88571361238076,null
IHL,20060329,2.88571361238076,2.9285707452379,2.857142190476,2.91428503428552,null
IHL,20060330,2.9285707452379,2.95714216714266,2.89999932333314,2.89999932333314,null
IHL,20060331,2.91428503428552,2.94285645619028,2.88571361238076,2.9285707452379,null
IHL,20060403,2.9285707452379,2.94285645619028,2.84285647952362,2.87142790142838,null
IHL,20060404,2.857142190476,2.91428503428552,2.82857076857124,2.82857076857124,null
IHL,20060405,2.87142790142838,2.89999932333314,2.84285647952362,2.88571361238076,null
IHL,20060407,2.88571361238076,2.89999932333314,2.857142190476,2.857142190476,null
IHL,20060410,2.857142190476,2.88571361238076,2.84285647952362,2.857142190476,null
IHL,20060411,2.857142190476,2.89999932333314,2.81428505761886,2.81428505761886,null
IHL,20060412,2.82857076857124,2.857142190476,2.79999934666648,2.857142190476,null
IHL,20060417,2.84285647952362,2.857142190476,2.82857076857124,2.857142190476,null
IHL,20060418,2.82857076857124,2.857142190476,2.75714221380934,2.81428505761886,null
IHL,20060420,2.82857076857124,2.84285647952362,2.7857136357141,2.81428505761886,null
IHL,20060421,2.81428505761886,2.82857076857124,2.74285650285696,2.74285650285696,null
IHL,20060424,2.7857136357141,2.79999934666648,2.69999936999982,2.75714221380934,null
IHL,20060425,2.7142850809522,2.77142792476172,2.7142850809522,2.77142792476172,null
IHL,20060426,2.72857079190458,2.72857079190458,2.65714223714268,2.65714223714268,null
IHL,20060427,2.7142850809522,2.72857079190458,2.6428565261903,2.67142794809506,null
IHL,20060428,2.67142794809506,2.68571365904744,2.61428510428554,2.6428565261903,null
IHL,20060502,2.67142794809506,2.74285650285696,2.61428510428554,2.72857079190458,null
IHL,20060503,2.74285650285696,2.75714221380934,2.69999936999982,2.75714221380934,null
IHL,20060504,2.75714221380934,2.77142792476172,2.68571365904744,2.68571365904744,null
IHL,20060508,2.68571365904744,2.75714221380934,2.67142794809506,2.68571365904744,null
IHL,20060509,2.68571365904744,2.72857079190458,2.62857081523792,2.62857081523792,null
IHL,20060510,2.68571365904744,2.68571365904744,2.61428510428554,2.6428565261903,null
IHL,20060511,2.61428510428554,2.62857081523792,2.58571368238078,2.61428510428554,null
IHL,20060515,2.58571368238078,2.59999939333316,2.55714226047602,2.5714279714284,null
IHL,20060516,2.59999939333316,2.61428510428554,2.48571370571412,2.54285654952364,null
IHL,20060517,2.55714226047602,2.55714226047602,2.38571372904746,2.55714226047602,null
IHL,20060518,2.48571370571412,2.48571370571412,2.34285659619032,2.41428515095222,null
IHL,20060519,2.41428515095222,2.4285708619046,2.34285659619032,2.34285659619032,null
IHL,20060522,2.34285659619032,2.37142801809508,2.25714233047604,2.32857088523794,null
IHL,20060523,2.32857088523794,2.34285659619032,2.25714233047604,2.27142804142842,null
IHL,20060524,2.31428517428556,2.31428517428556,2.18571377571414,2.18571377571414,null
IHL,20060525,2.18571377571414,2.22857090857128,2.12857093190462,2.142856642857,null
IHL,20060526,2.2142851976189,2.22857090857128,2.17142806476176,2.2142851976189,null
IHL,20060529,2.22857090857128,2.31428517428556,2.2142851976189,2.29999946333318,null
IHL,20060530,2.31428517428556,2.32857088523794,2.24285661952366,2.2857137523808,null
IHL,20060531,2.22857090857128,2.24285661952366,2.17142806476176,2.18571377571414,null
IHL,20060601,2.19999948666652,2.24285661952366,2.17142806476176,2.2142851976189,null
IHL,20060602,2.2142851976189,2.27142804142842,2.2142851976189,2.22857090857128,null
IHL,20060605,2.24285661952366,2.24285661952366,2.18571377571414,2.19999948666652,null
IHL,20060606,2.17142806476176,2.2142851976189,2.17142806476176,2.18571377571414,null
IHL,20060607,2.19999948666652,2.19999948666652,2.142856642857,2.15714235380938,null
IHL,20060608,2.15714235380938,2.15714235380938,1.91428526761892,2.08571379904748,null
IHL,20060609,2.08571379904748,2.22857090857128,2.08571379904748,2.2142851976189,null
IHL,20060614,2.2142851976189,2.29999946333318,2.2142851976189,2.27142804142842,null
IHL,20060615,2.2857137523808,2.29999946333318,2.25714233047604,2.27142804142842,null
IHL,20060616,2.2857137523808,2.29999946333318,2.17142806476176,2.17142806476176,null
IHL,20060619,2.142856642857,2.24285661952366,2.142856642857,2.142856642857,null
IHL,20060620,2.17142806476176,2.2142851976189,2.09999950999986,2.09999950999986,null
IHL,20060621,2.12857093190462,2.15714235380938,2.11428522095224,2.12857093190462,null
IHL,20060622,2.12857093190462,2.15714235380938,2.12857093190462,2.12857093190462,null
IHL,20060623,2.11428522095224,2.17142806476176,2.11428522095224,2.12857093190462,null
IHL,20060626,2.12857093190462,2.15714235380938,2.11428522095224,2.142856642857,null
IHL,20060627,2.142856642857,2.2142851976189,2.142856642857,2.19999948666652,null
IHL,20060628,2.19999948666652,2.22857090857128,2.15714235380938,2.17142806476176,null
IHL,20060629,2.18571377571414,2.34285659619032,2.18571377571414,2.2857137523808,null
IHL,20060630,2.29999946333318,2.34285659619032,2.27142804142842,2.29999946333318,null
IHL,20060703,2.2857137523808,2.32857088523794,2.2857137523808,2.32857088523794,null
IHL,20060704,2.29999946333318,2.34285659619032,2.19999948666652,2.19999948666652,null
IHL,20060705,2.22857090857128,2.2857137523808,2.2142851976189,2.27142804142842,null
IHL,20060706,2.25714233047604,2.29999946333318,2.25714233047604,2.2857137523808,null
IHL,20060707,2.27142804142842,2.2857137523808,2.19999948666652,2.19999948666652,null
IHL,20060710,2.22857090857128,2.24285661952366,2.19999948666652,2.22857090857128,null
IHL,20060712,2.22857090857128,2.24285661952366,2.19999948666652,2.22857090857128,null
IHL,20060713,2.18571377571414,2.22857090857128,2.18571377571414,2.22857090857128,null
IHL,20060714,2.19999948666652,2.22857090857128,2.17142806476176,2.22857090857128,null
IHL,20060717,2.18571377571414,2.22857090857128,2.17142806476176,2.22857090857128,null
IHL,20060718,2.24285661952366,2.24285661952366,2.24285661952366,2.24285661952366,null
IHL,20060719,2.22857090857128,2.2857137523808,2.19999948666652,2.2857137523808,null
