<TICKER>,<DTYYYYMMDD>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
ILINK,20040820,2.03,2.52,2.03,2.27,494297512.22
ILINK,20040823,2.39,2.49,2.27,2.36,201813812.11
ILINK,20040824,2.34,2.37,2.22,2.24,68997470.63
ILINK,20040825,2.24,2.24,1.88,1.88,74226161.10
ILINK,20040826,1.91,2.01,1.86,1.86,41780547.50
ILINK,20040827,1.89,1.96,1.78,1.88,54783679.85
ILINK,20040830,1.91,2.14,1.88,2.03,153264015.98
ILINK,20040831,2.03,2.06,2.01,2.03,59036165.20
ILINK,20040901,2.06,2.11,1.94,1.94,59697729.72
ILINK,20040902,1.96,1.99,1.88,1.88,377412.08
ILINK,20040903,1.91,1.93,1.78,1.78,10934233.41
ILINK,20040906,1.79,1.84,1.78,1.79,10115161.85
ILINK,20040907,1.83,1.99,1.81,1.91,61264022.99
ILINK,20040908,1.94,2.06,1.91,1.93,70121008.02
ILINK,20040909,1.94,1.99,1.89,1.91,32126623.58
ILINK,20040910,1.91,1.98,1.89,1.91,18025336.53
ILINK,20040913,1.93,1.96,1.91,1.93,12752010.24
ILINK,20040914,1.96,1.98,1.91,1.93,19444649.94
ILINK,20040915,1.94,1.96,1.91,1.93,13159549.02
ILINK,20040916,1.96,2.07,1.94,1.99,80965608.33
ILINK,20040917,2.01,2.01,1.93,1.94,13818215.93
ILINK,20040920,1.94,2.01,1.79,1.79,19622470.37
ILINK,20040921,1.81,1.88,1.79,1.83,21459117.79
ILINK,20040922,1.84,1.91,1.81,1.83,21930163.01
ILINK,20040923,1.81,1.83,1.73,1.78,5701548.95
ILINK,20040924,1.78,1.79,1.74,1.76,4136352.07
ILINK,20040927,1.78,1.83,1.74,1.79,7455819.34
ILINK,20040928,1.79,1.83,1.76,1.76,6038686.67
ILINK,20040929,1.78,1.81,1.74,1.76,3303855.72
ILINK,20040930,1.78,1.79,1.73,1.76,3053092.05
ILINK,20041001,1.78,1.79,1.76,1.76,3696153.44
ILINK,20041004,1.79,1.79,1.78,1.78,3024420.18
ILINK,20041005,1.76,1.78,1.73,1.73,962780.33
ILINK,20041006,1.73,1.73,1.53,1.53,6089855.68
ILINK,20041007,1.53,1.53,1.43,1.43,3014986.38
ILINK,20041008,1.41,1.49,1.36,1.45,2307689.63
ILINK,20041011,1.45,1.48,1.43,1.45,512777.41
ILINK,20041012,1.46,1.46,1.41,1.41,1024470.49
ILINK,20041013,1.42,1.42,1.33,1.37,1142411.01
ILINK,20041014,1.33,1.47,1.33,1.37,5994409.28
ILINK,20041015,1.39,1.41,1.38,1.40,607133.45
ILINK,20041018,1.41,1.41,1.35,1.35,887291.89
ILINK,20041019,1.39,1.39,1.34,1.34,324794.27
ILINK,20041020,1.35,1.35,1.33,1.33,521123.85
ILINK,20041021,1.33,1.33,1.27,1.29,575199.51
ILINK,20041022,1.34,1.34,1.28,1.31,355276.40
ILINK,20041026,1.29,1.29,1.27,1.28,87455.39
ILINK,20041027,1.26,1.28,1.16,1.22,150603.38
ILINK,20041028,1.22,1.22,1.06,1.09,731607.14
ILINK,20041029,1.08,1.08,1.03,1.04,1239767.06
ILINK,20041101,1.03,1.03,.98,1.00,502253.25
ILINK,20041102,1.00,1.02,1.00,1.01,412617.13
ILINK,20041103,1.03,1.08,1.02,1.08,677173.06
ILINK,20041104,1.08,1.37,1.08,1.20,6692998.13
ILINK,20041105,1.22,1.23,1.14,1.16,2200270.26
ILINK,20041108,1.19,1.24,1.19,1.22,2077248.38
ILINK,20041109,1.22,1.49,1.21,1.34,9252909.28
ILINK,20041110,1.41,1.47,1.37,1.40,20719158.19
ILINK,20041111,1.41,1.42,1.33,1.36,4380588.59
ILINK,20041112,1.35,1.38,1.33,1.34,2595107.16
ILINK,20041115,1.34,1.35,1.32,1.32,1354710.57
ILINK,20041116,1.33,1.37,1.30,1.33,5696467.59
ILINK,20041117,1.33,1.35,1.31,1.33,2519263.29
ILINK,20041118,1.33,1.35,1.31,1.31,3049462.51
ILINK,20041119,1.32,1.33,1.29,1.29,1531805.09
ILINK,20041122,1.29,1.29,1.26,1.26,418059.93
ILINK,20041123,1.26,1.31,1.25,1.26,1533985.83
ILINK,20041124,1.29,1.31,1.27,1.29,952614.60
ILINK,20041125,1.29,1.30,1.27,1.27,377053.65
ILINK,20041126,1.28,1.28,1.27,1.27,313544.20
ILINK,20041129,1.27,1.31,1.26,1.27,711284.72
ILINK,20041130,1.29,1.29,1.28,1.29,534551.65
ILINK,20041201,1.30,1.31,1.27,1.27,1355430.46
ILINK,20041202,1.27,1.29,1.27,1.27,512412.95
ILINK,20041203,1.28,1.29,1.28,1.29,1171444.33
ILINK,20041207,1.29,1.29,1.27,1.27,179633.69
ILINK,20041208,1.26,1.27,1.24,1.24,543259.54
ILINK,20041209,1.24,1.26,1.24,1.26,145157.57
ILINK,20041213,1.25,1.26,1.25,1.26,124699.60
ILINK,20041214,1.24,1.25,1.22,1.24,496445.98
ILINK,20041215,1.24,1.24,1.22,1.22,62777.51
ILINK,20041216,1.23,1.24,1.22,1.22,389460.35
ILINK,20041217,1.22,1.24,1.22,1.23,357092.67
ILINK,20041220,1.25,1.29,1.24,1.25,1559386.60
ILINK,20041221,1.26,1.27,1.26,1.26,1122088.59
ILINK,20041222,1.26,1.28,1.25,1.25,811080.55
ILINK,20041223,1.25,1.26,1.24,1.24,655037.37
ILINK,20041227,1.11,1.23,1.11,1.17,631085.41
ILINK,20041228,1.22,1.22,1.19,1.20,462695.77
ILINK,20041229,1.21,1.22,1.16,1.22,290318.14
ILINK,20041230,1.21,1.22,1.19,1.19,292134.42
ILINK,20050104,1.17,1.23,1.16,1.23,296851.32
ILINK,20050105,1.24,1.24,1.20,1.20,149874.46
ILINK,20050106,1.22,1.22,1.21,1.21,689462.29
ILINK,20050107,1.21,1.23,1.21,1.21,1506033.84
ILINK,20050110,1.21,1.23,1.21,1.23,54431.08
ILINK,20050111,1.22,1.22,1.20,1.20,34473.11
ILINK,20050112,1.20,1.22,1.20,1.21,98344.01
ILINK,20050113,1.21,1.21,1.18,1.18,244594.96
ILINK,20050114,1.21,1.21,1.19,1.19,350923.96
ILINK,20050117,1.20,1.22,1.19,1.21,308462.84
ILINK,20050118,1.20,1.21,1.19,1.19,444581.19
ILINK,20050119,1.20,1.21,1.19,1.19,365439.11
ILINK,20050120,1.21,1.25,1.21,1.24,1626516.55
ILINK,20050121,1.24,1.25,1.21,1.22,935195.81
ILINK,20050124,1.22,1.31,1.22,1.30,361448.12
ILINK,20050125,1.31,1.31,1.27,1.30,75301.69
ILINK,20050126,1.30,1.30,1.27,1.27,1314065.73
ILINK,20050127,1.29,1.29,1.28,1.28,370156.01
ILINK,20050128,1.29,1.33,1.29,1.32,4728973.38
ILINK,20050131,1.36,1.37,1.31,1.31,2580592.00
ILINK,20050201,1.33,1.33,1.31,1.31,1204.83
ILINK,20050202,1.32,1.33,1.30,1.31,1121362.68
ILINK,20050203,1.30,1.31,1.30,1.31,525479.30
ILINK,20050204,1.32,1.32,1.30,1.31,337351.58
