<TICKER>,<DTYYYYMMDD>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
INTUCH,19900831,3.18211688327172,4.09129313563507,3.18211688327172,3.98219198535146,2525417.91982749
INTUCH,19900903,3.60033795935886,4.3458624862968,3.60033795935886,4.291311911155,614622.300733696
INTUCH,19900904,4.36404601134407,4.36404601134407,3.87309083506786,3.94582493525693,383533.994749176
INTUCH,19900905,3.92764141020966,4.05492608554053,3.65488853450066,3.74580615973699,247036.808777359
INTUCH,19900906,3.70943910964246,3.87309083506786,3.54578738421706,3.87309083506786,263975.218640098
INTUCH,19900907,3.94582493525693,3.94582493525693,3.56397090926432,3.76398968478426,2429451.92888437
INTUCH,19900910,3.72762263468973,3.98219198535146,3.72762263468973,3.9094578851624,190007.162583654
INTUCH,19900911,3.9094578851624,3.9094578851624,3.76398968478426,3.8549073100206,122088.538621045
INTUCH,19900912,3.72762263468973,3.8003567348788,3.63670500945339,3.72762263468973,119723.760620728
INTUCH,19900913,3.72762263468973,3.76398968478426,3.58215443431159,3.72762263468973,102510.376571905
INTUCH,19900914,3.69125558459519,3.72762263468973,3.60033795935886,3.72762263468973,113289.364666376
INTUCH,19900917,3.63670500945339,3.63670500945339,3.36395213374439,3.47305328402799,91621.3988030008
INTUCH,19900918,3.58215443431159,3.60033795935886,3.29121803355532,3.49123680907526,79742.5139641964
INTUCH,19900919,3.45486975898072,3.56397090926432,3.45486975898072,3.50942033412252,97010.8928502361
INTUCH,19900920,3.45486975898072,3.47305328402799,3.25485098346079,3.29121803355532,95141.0683848688
INTUCH,19900921,3.27303450850805,3.29121803355532,3.07301573298812,3.27303450850805,65993.8046600246
INTUCH,19900924,3.32758508364985,3.41850270888619,3.18211688327172,3.25485098346079,57579.5945658714
INTUCH,19900925,3.23666745841352,3.23666745841352,2.94573105765725,2.94573105765725,53015.0230768864
INTUCH,19900926,2.87299695746818,3.05483220794085,2.81844638232638,3.03664868289358,53235.0024257532
INTUCH,19900927,2.96391458270451,3.18211688327172,2.96391458270451,3.16393335822445,60714.3002872226
INTUCH,19900928,3.16393335822445,3.27303450850805,3.12756630812992,3.20030040831899,50375.2708904854
INTUCH,19901001,3.25485098346079,3.36395213374439,3.18211688327172,3.36395213374439,45205.7561921168
INTUCH,19901002,3.56397090926432,3.69125558459519,3.52760385916979,3.69125558459519,65773.8253111578
INTUCH,19901003,3.72762263468973,3.9640084603042,3.52760385916979,3.70943910964246,127258.053319414
INTUCH,19901004,3.74580615973699,3.74580615973699,3.34576860869712,3.36395213374439,53015.0230768864
INTUCH,19901005,3.49123680907526,3.49123680907526,3.30940155860259,3.45486975898072,31237.0675390783
INTUCH,19901008,3.47305328402799,3.76398968478426,3.40031918383892,3.67307205954793,47185.5703319176
INTUCH,19901009,3.72762263468973,3.76398968478426,3.60033795935886,3.60033795935886,48945.4051228516
INTUCH,19901010,3.50942033412252,3.50942033412252,3.38213565879166,3.50942033412252,24967.656096376
INTUCH,19901011,3.36395213374439,3.49123680907526,3.36395213374439,3.43668623393346,20568.069119041
INTUCH,19901012,3.45486975898072,3.47305328402799,3.38213565879166,3.40031918383892,13033.7764203549
INTUCH,19901015,3.47305328402799,3.63670500945339,3.47305328402799,3.61852148440613,34316.7784232128
INTUCH,19901016,3.67307205954793,3.67307205954793,3.60033795935886,3.63670500945339,32226.9746089787
INTUCH,19901017,3.63670500945339,3.63670500945339,3.58215443431159,3.60033795935886,18918.2240025404
INTUCH,19901018,3.67307205954793,3.69125558459519,3.60033795935886,3.65488853450066,25297.6251196761
INTUCH,19901019,3.63670500945339,3.74580615973699,3.63670500945339,3.74580615973699,45370.7407037669
INTUCH,19901022,3.81854025992606,4.10947666068233,3.81854025992606,4.10947666068233,104050.232013972
INTUCH,19901024,4.09129313563507,4.27312838610774,4.018559035446,4.0731096105878,73583.0921959274
INTUCH,19901025,4.09129313563507,4.10947666068233,3.89127436011513,3.89127436011513,14628.6266996388
INTUCH,19901026,3.9094578851624,3.9094578851624,3.74580615973699,3.87309083506786,14188.6680019053
INTUCH,19901029,3.87309083506786,3.89127436011513,3.78217320983153,3.87309083506786,16828.4201883063
INTUCH,19901030,3.87309083506786,3.87309083506786,3.8003567348788,3.81854025992606,19688.151723574
INTUCH,19901031,3.81854025992606,3.81854025992606,3.63670500945339,3.76398968478426,23757.7696776088
INTUCH,19901101,3.74580615973699,3.76398968478426,3.63670500945339,3.76398968478426,37286.4996329139
INTUCH,19901102,3.81854025992606,3.81854025992606,3.76398968478426,3.81854025992606,19578.1620491406
INTUCH,19901105,3.87309083506786,3.92764141020966,3.8003567348788,3.92764141020966,27277.4392594768
INTUCH,19901106,3.9640084603042,3.9640084603042,3.81854025992606,3.87309083506786,34976.716469813
INTUCH,19901107,3.81854025992606,3.8549073100206,3.8003567348788,3.8549073100206,17268.3788860398
INTUCH,19901108,3.8549073100206,3.89127436011513,3.8549073100206,3.89127436011513,10778.9880944707
INTUCH,19901109,3.9094578851624,3.9094578851624,3.87309083506786,3.89127436011513,17488.3582349065
INTUCH,19901112,3.89127436011513,3.89127436011513,3.70943910964246,3.8549073100206,6379.40111713571
INTUCH,19901113,3.78217320983153,3.81854025992606,3.72762263468973,3.81854025992606,9239.13265240344
INTUCH,19901114,3.78217320983153,3.8003567348788,3.76398968478426,3.8003567348788,6049.43209383559
INTUCH,19901115,3.8003567348788,3.8003567348788,3.72762263468973,3.76398968478426,9459.11200127019
INTUCH,19901116,3.76398968478426,3.76398968478426,3.65488853450066,3.69125558459519,22987.8419565752
INTUCH,19901119,3.67307205954793,3.67307205954793,3.63670500945339,3.63670500945339,16058.4924672726
INTUCH,19901120,3.61852148440613,3.63670500945339,3.41850270888619,3.47305328402799,46745.6116341841
INTUCH,19901121,3.45486975898072,3.47305328402799,3.41850270888619,3.47305328402799,17488.3582349065
INTUCH,19901122,3.41850270888619,3.45486975898072,3.36395213374439,3.43668623393346,50485.2605649188
INTUCH,19901123,3.43668623393346,3.43668623393346,3.36395213374439,3.38213565879166,11988.8745132378
INTUCH,19901126,3.07301573298812,3.18211688327172,3.05483220794085,3.18211688327172,21008.0278167745
INTUCH,19901127,3.12756630812992,3.12756630812992,3.01846515784632,3.09119925803538,10559.0087456039
INTUCH,19901128,3.09119925803538,3.09119925803538,3.00028163279905,3.09119925803538,12153.8590248879
INTUCH,19901129,3.05483220794085,3.05483220794085,3.00028163279905,3.01846515784632,10778.9880944707
INTUCH,19901130,2.90936400756271,2.90936400756271,2.72752875709004,2.72752875709004,19248.1930258405
INTUCH,19901203,2.72752875709004,3.00028163279905,2.72752875709004,3.00028163279905,1099.89674433374
INTUCH,19901204,3.10938278308265,3.18211688327172,2.90936400756271,3.18211688327172,19028.2136769738
INTUCH,19901206,3.27303450850805,3.43668623393346,3.27303450850805,3.38213565879166,20788.0484679077
INTUCH,19901207,3.45486975898072,3.49123680907526,3.34576860869712,3.43668623393346,30467.1398180447
INTUCH,19901211,3.47305328402799,3.54578738421706,3.43668623393346,3.45486975898072,25792.5786546263
INTUCH,19901212,3.40031918383892,3.45486975898072,3.29121803355532,3.29121803355532,23647.7800031755
INTUCH,19901213,3.29121803355532,3.30940155860259,3.29121803355532,3.30940155860259,11658.9054899377
INTUCH,19901214,3.36395213374439,3.50942033412252,3.36395213374439,3.47305328402799,22437.8935844084
INTUCH,19901217,3.54578738421706,3.70943910964246,3.43668623393346,3.49123680907526,40476.2001914817
INTUCH,19901218,3.49123680907526,3.54578738421706,3.40031918383892,3.40031918383892,12098.8641876712
INTUCH,19901219,3.36395213374439,3.45486975898072,3.36395213374439,3.41850270888619,26397.5218640098
INTUCH,19901220,3.38213565879166,3.38213565879166,3.32758508364985,3.32758508364985,6489.39079156908
INTUCH,19901221,3.29121803355532,3.30940155860259,3.29121803355532,3.30940155860259,8029.24623363632
INTUCH,19901224,3.23666745841352,3.30940155860259,3.21848393336625,3.30940155860259,14848.6060485055
INTUCH,19901225,3.29121803355532,3.30940155860259,3.29121803355532,3.30940155860259,1319.87609320049
INTUCH,19901226,3.36395213374439,3.38213565879166,3.36395213374439,3.36395213374439,3739.64893073473
INTUCH,19901227,3.38213565879166,3.38213565879166,3.32758508364985,3.32758508364985,769.92772103362
INTUCH,19901228,3.30940155860259,3.47305328402799,3.30940155860259,3.47305328402799,7479.29786146945
INTUCH,19910102,3.43668623393346,3.43668623393346,3.43668623393346,3.43668623393346,109.989674433374
INTUCH,19910103,3.18211688327172,3.30940155860259,3.18211688327172,3.27303450850805,3189.70055856785
INTUCH,19910104,3.45486975898072,3.50942033412252,3.38213565879166,3.45486975898072,8029.24623363632
INTUCH,19910107,3.27303450850805,3.29121803355532,3.21848393336625,3.29121803355532,9129.14297797007
INTUCH,19910108,3.21848393336625,3.23666745841352,3.18211688327172,3.20030040831899,9019.15330353669
INTUCH,19910109,3.20030040831899,3.27303450850805,3.20030040831899,3.23666745841352,1979.81413980074
INTUCH,19910110,3.16393335822445,3.29121803355532,3.16393335822445,3.29121803355532,1429.86576763387
INTUCH,19910111,3.36395213374439,3.36395213374439,3.30940155860259,3.36395213374439,5279.50437280197
INTUCH,19910114,3.30940155860259,3.30940155860259,3.30940155860259,3.30940155860259,439.958697733497
INTUCH,19910115,3.27303450850805,3.30940155860259,3.21848393336625,3.30940155860259,5389.49404723534
INTUCH,19910116,3.30940155860259,3.30940155860259,3.30940155860259,3.30940155860259,1429.86576763387
INTUCH,19910117,3.36395213374439,3.63670500945339,3.36395213374439,3.63670500945339,78312.6481965625
INTUCH,19910118,3.63670500945339,3.78217320983153,3.38213565879166,3.54578738421706,67753.6394509586
INTUCH,19910121,3.54578738421706,3.54578738421706,3.34576860869712,3.34576860869712,16608.4408394395
INTUCH,19910122,3.34576860869712,3.43668623393346,3.30940155860259,3.43668623393346,9459.11200127019
INTUCH,19910123,3.36395213374439,3.36395213374439,3.32758508364985,3.36395213374439,8249.22558250307
INTUCH,19910124,3.32758508364985,3.41850270888619,3.32758508364985,3.41850270888619,5059.52502393522
INTUCH,19910125,3.41850270888619,3.43668623393346,3.38213565879166,3.43668623393346,9019.15330353669
INTUCH,19910128,3.36395213374439,3.49123680907526,3.36395213374439,3.47305328402799,8139.2359080697
INTUCH,19910129,3.49123680907526,3.58215443431159,3.49123680907526,3.54578738421706,28377.3360038106
INTUCH,19910130,3.56397090926432,3.63670500945339,3.56397090926432,3.61852148440613,20788.0484679077
INTUCH,19910131,3.65488853450066,3.67307205954793,3.61852148440613,3.65488853450066,21887.9452122415
INTUCH,19910201,3.67307205954793,3.72762263468973,3.65488853450066,3.69125558459519,16058.4924672726
INTUCH,19910204,3.69125558459519,3.89127436011513,3.69125558459519,3.89127436011513,36406.5822374469
INTUCH,19910205,3.81854025992606,3.92764141020966,3.81854025992606,3.9094578851624,19908.1310724407
INTUCH,19910206,3.9094578851624,3.92764141020966,3.76398968478426,3.83672378497333,21777.9555378081
INTUCH,19910207,3.89127436011513,4.00037551039873,3.83672378497333,4.00037551039873,43005.9627034494
INTUCH,19910208,3.9640084603042,4.27312838610774,3.9640084603042,4.27312838610774,59394.4241940221
INTUCH,19910211,4.32767896124954,4.32767896124954,4.10947666068233,4.10947666068233,21997.9348866749
INTUCH,19910212,4.16402723582413,4.27312838610774,4.09129313563507,4.16402723582413,30577.1294924781
INTUCH,19910213,4.09129313563507,4.14584371077687,4.018559035446,4.0731096105878,14518.6370252054
INTUCH,19910214,4.09129313563507,4.10947666068233,4.03674256049327,4.10947666068233,4949.53534950184
INTUCH,19910215,4.09129313563507,4.09129313563507,4.05492608554053,4.0731096105878,12593.8177226214
INTUCH,19910218,4.09129313563507,4.1822107608714,4.0731096105878,4.0731096105878,17928.31693264
INTUCH,19910219,4.0731096105878,4.16402723582413,4.03674256049327,4.16402723582413,50595.2502393522
INTUCH,19910220,4.2367613360132,4.27312838610774,4.03674256049327,4.03674256049327,19578.1620491406
INTUCH,19910221,4.00037551039873,4.00037551039873,3.92764141020966,3.94582493525693,13638.7196297384
INTUCH,19910222,4.05492608554053,4.14584371077687,4.05492608554053,4.14584371077687,127038.073970547
INTUCH,19910225,4.14584371077687,4.14584371077687,3.74580615973699,3.74580615973699,17928.31693264
INTUCH,19910226,3.72762263468973,3.72762263468973,3.38213565879166,3.38213565879166,73363.1128470606
INTUCH,19910227,3.43668623393346,3.43668623393346,3.05483220794085,3.23666745841352,61264.2486593895
INTUCH,19910301,3.23666745841352,3.50942033412252,3.09119925803538,3.50942033412252,60274.3415894891
INTUCH,19910304,3.50942033412252,3.63670500945339,3.45486975898072,3.61852148440613,84032.111267098
INTUCH,19910305,3.63670500945339,3.63670500945339,3.47305328402799,3.54578738421706,57744.5790775215
INTUCH,19910306,3.47305328402799,3.63670500945339,3.47305328402799,3.61852148440613,20843.0433051244
INTUCH,19910307,3.47305328402799,3.50942033412252,3.47305328402799,3.47305328402799,13308.7506064383
INTUCH,19910308,3.50942033412252,3.60033795935886,3.50942033412252,3.60033795935886,13638.7196297384
INTUCH,19910311,3.58215443431159,3.65488853450066,3.58215443431159,3.65488853450066,21667.9658633747
INTUCH,19910312,3.65488853450066,3.72762263468973,3.58215443431159,3.72762263468973,11658.9054899377
INTUCH,19910313,3.74580615973699,4.09129313563507,3.72762263468973,4.09129313563507,45315.7458665502
INTUCH,19910314,4.09129313563507,4.1822107608714,4.00037551039873,4.09129313563507,56534.6926587544
INTUCH,19910315,4.05492608554053,4.1822107608714,4.00037551039873,4.1822107608714,28487.3256782439
INTUCH,19910318,4.27312838610774,4.27312838610774,4.14584371077687,4.27312838610774,1188988.38062478
INTUCH,19910319,4.2367613360132,4.3458624862968,4.03674256049327,4.30949543620227,57524.5997286548
INTUCH,19910320,4.2367613360132,4.32767896124954,4.1822107608714,4.32767896124954,1144002.60378153
INTUCH,19910321,4.3458624862968,4.74590003733668,4.3458624862968,4.74590003733668,77927.6843360457
INTUCH,19910322,4.81863413752574,5.18230463847108,4.81863413752574,4.90955176276208,73143.1334981939
INTUCH,19910325,4.98228586295115,5.00046938799841,4.81863413752574,4.87318471266755,107129.942898107
INTUCH,19910326,4.87318471266755,4.87318471266755,4.54588126181674,4.61861536200581,29477.2327481443
INTUCH,19910327,4.67311394160228,4.74940967942436,4.57774426932469,4.57774426932469,1887.39245612656
INTUCH,19910328,4.50144853150261,4.61589213823573,4.44422672813605,4.61589213823573,16462.2564228817
INTUCH,19910329,4.61589213823573,4.61589213823573,4.55867033486917,4.57774426932469,2123.31651314238
INTUCH,19910401,4.57774426932469,4.61589213823573,4.57774426932469,4.61589213823573,1677.68218322361
