<TICKER>,<DTYYYYMMDD>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
IRC,19940825,12.888888,14.1777768,11.814814,13.7481472,35796416.2618218
IRC,19940826,14.0703694,14.3925916,12.888888,12.9962954,11144483.5272058
IRC,19940829,12.7814806,13.2111102,12.6740732,13.1037028,3562138.17669918
IRC,19940830,13.2111102,13.6407398,12.9962954,13.1037028,2714896.7389584
IRC,19940831,13.1037028,13.2111102,12.7814806,12.888888,2705586.39348872
IRC,19940901,12.9962954,13.425925,12.7814806,13.425925,4087241.66118908
IRC,19940902,13.425925,13.962962,13.2111102,13.5333324,8014345.38029968
IRC,19940905,13.6407398,13.7481472,13.425925,13.5333324,3897310.61360763
IRC,19940906,13.5333324,13.5333324,13.2111102,13.3185176,1361172.50766707
IRC,19940907,13.3185176,13.425925,12.9962954,13.3185176,1735448.39554817
IRC,19940908,13.2111102,13.2111102,12.888888,12.9962954,1407724.23501546
IRC,19940909,13.1037028,13.1037028,12.7814806,12.9962954,722482.80844709
IRC,19940912,12.7814806,12.7814806,12.6740732,12.7814806,270000.01862069
IRC,19940913,12.7814806,12.888888,12.7814806,12.7814806,364965.54241142
IRC,19940914,12.888888,13.3185176,12.888888,12.888888,670344.87381689
IRC,19940915,12.888888,12.9962954,12.7814806,12.888888,327724.1605327
IRC,19940916,12.888888,12.888888,12.5666658,12.5666658,486000.03351724
IRC,19940919,12.6740732,12.888888,12.4592584,12.5666658,268137.94952676
IRC,19940920,12.4592584,12.5666658,12.351851,12.351851,640551.76831392
IRC,19940921,12.2444436,12.2444436,12.0296288,12.2444436,316551.74596909
IRC,19940922,12.2444436,12.351851,12.2444436,12.351851,154551.73479667
IRC,19940923,12.351851,12.351851,11.7074066,11.7074066,1160069.045522
IRC,19940926,11.814814,11.814814,11.4925918,11.5999992,392896.57882045
IRC,19940927,11.814814,11.9222214,11.5999992,11.9222214,1081862.1435767
IRC,19940928,11.9222214,12.0296288,11.814814,12.0296288,670344.87381689
IRC,19940929,11.9222214,11.9222214,11.7074066,11.9222214,949655.23790726
IRC,19940930,12.0296288,12.0296288,11.7074066,11.7074066,145241.38932699
IRC,19941003,11.814814,11.814814,11.5999992,11.5999992,78206.9019453
IRC,19941004,11.7074066,11.814814,11.5999992,11.814814,68896.55647562
IRC,19941005,11.7074066,11.814814,11.7074066,11.814814,80068.97103924
IRC,19941006,11.7074066,11.9222214,11.7074066,11.814814,532551.76086564
IRC,19941007,11.7074066,11.7074066,11.4925918,11.4925918,122896.56019976
IRC,19941010,11.3851844,11.3851844,11.0629622,11.1703696,286758.64046611
IRC,19941011,11.3851844,11.3851844,11.1703696,11.277777,61448.28009988
IRC,19941012,11.277777,11.277777,11.1703696,11.277777,83793.10922711
IRC,19941013,11.3851844,11.3851844,11.277777,11.3851844,74482.76375743
IRC,19941014,11.3851844,11.7074066,11.277777,11.7074066,70758.62556956
IRC,19941017,11.4925918,11.7074066,11.4925918,11.7074066,72620.6946635
IRC,19941018,11.5999992,11.5999992,11.4925918,11.4925918,40965.52006659
IRC,19941019,11.3851844,11.4925918,11.3851844,11.4925918,35379.31278478
IRC,19941020,11.4925918,11.5999992,11.277777,11.3851844,223448.2912723
IRC,19941021,11.3851844,11.3851844,11.277777,11.3851844,201103.46214507
IRC,19941025,11.1703696,11.277777,11.1703696,11.1703696,37241.38187872
IRC,19941026,11.1703696,11.277777,11.1703696,11.277777,33517.24369084
IRC,19941027,11.1703696,11.1703696,11.0629622,11.1703696,18620.69093936
IRC,19941028,11.1703696,11.1703696,10.8481474,10.9555548,122896.56019976
IRC,19941031,10.8481474,11.1703696,10.8481474,11.1703696,44689.65825446
IRC,19941101,11.1703696,11.1703696,10.9555548,10.9555548,93103.45469679
IRC,19941102,10.9555548,11.1703696,10.9555548,11.1703696,37241.38187872
IRC,19941103,11.1703696,11.1703696,11.1703696,11.1703696,91241.38560285
IRC,19941104,11.277777,11.5999992,11.277777,11.277777,374275.8878811
IRC,19941107,11.277777,11.277777,11.1703696,11.1703696,121034.49110583
IRC,19941108,11.1703696,11.1703696,10.9555548,10.9555548,65172.41828775
IRC,19941109,10.9555548,11.0629622,10.9555548,11.0629622,5586.20728181
IRC,19941110,11.0629622,11.0629622,10.6333326,10.74074,91241.38560285
IRC,19941111,10.5259252,10.74074,10.3648141,10.74074,141517.25113912
IRC,19941114,10.74074,10.74074,10.4185178,10.4185178,7448.27637574
IRC,19941115,10.4185178,10.6870363,10.4185178,10.6333326,284896.57137218
