<TICKER>,<DTYYYYMMDD>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
IRCP,20030731,2.22575476,2.52473674,2.22575476,2.34202553,122727017.835152
IRCP,20030801,2.37524575,2.39185586,2.2921952,2.2921952,17487066.2018756
IRCP,20030804,2.30880531,2.32541542,2.27558509,2.27558509,2998933.33696447
IRCP,20030805,2.30880531,2.37524575,2.27558509,2.27558509,10067395.62572
IRCP,20030806,2.27558509,2.32541542,2.27558509,2.27558509,1910504.04988663
IRCP,20030807,2.30880531,2.35863564,2.30880531,2.30880531,10861856.9605268
IRCP,20030808,2.34202553,2.34202553,2.30880531,2.30880531,4179119.74417387
IRCP,20030811,2.32541542,2.34202553,2.30880531,2.30880531,2741495.64882106
IRCP,20030813,2.32541542,2.32541542,2.2921952,2.2921952,2963841.27221196
IRCP,20030814,2.30880531,2.30880531,2.27558509,2.27558509,1673776.4327447
IRCP,20030815,2.25897498,2.27558509,2.24236487,2.24236487,1267916.56909067
IRCP,20030818,2.25897498,2.35863564,2.24236487,2.25897498,5072241.55611274
IRCP,20030819,2.2921952,2.32541542,2.27558509,2.2921952,3226456.47810574
IRCP,20030820,2.30880531,2.44168619,2.2921952,2.44168619,29400246.9056025
IRCP,20030821,2.47490641,2.52473674,2.35863564,2.35863564,15060536.216202
IRCP,20030822,2.37524575,2.42507608,2.32541542,2.32541542,5425750.96251302
IRCP,20030825,2.32541542,2.67422773,2.32541542,2.65761762,39230051.9945555
IRCP,20030826,2.6243974,2.82371872,2.49151652,2.50812663,56671671.0961778
IRCP,20030827,2.55795696,2.6243974,2.52473674,2.52473674,11214215.807427
IRCP,20030828,2.57456707,2.57456707,2.50812663,2.52473674,3001809.73571467
IRCP,20030829,2.55795696,2.55795696,2.4582963,2.4582963,5440708.23601409
IRCP,20030901,2.49151652,2.54134685,2.47490641,2.49151652,1929488.28163799
IRCP,20030902,2.50812663,2.69083784,2.50812663,2.57456707,13646786.2304759
IRCP,20030903,2.57456707,2.65761762,2.50812663,2.65761762,11320354.9213096
IRCP,20030904,2.67422773,2.69083784,2.55795696,2.55795696,8997662.93051846
IRCP,20030905,2.60778729,2.60778729,2.55795696,2.55795696,2117317.12002642
IRCP,20030908,2.55795696,2.64100751,2.55795696,2.60778729,2046845.35064638
IRCP,20030909,2.6243974,3.27219169,2.6243974,3.02304004,26366509.1437606
IRCP,20030910,3.07287037,3.65422423,2.98981982,3.55456357,22987603.5318939
IRCP,20030911,3.52134335,3.55456357,3.38846247,3.45490291,7461953.63778364
IRCP,20030912,3.45490291,3.65422423,3.45490291,3.45490291,6183682.03319222
IRCP,20030915,3.55456357,3.55456357,3.42168269,3.45490291,2522314.06405538
IRCP,20030916,3.52134335,3.82032533,3.52134335,3.62100401,6366908.63358032
IRCP,20030917,3.75388489,3.78710511,3.48812313,3.48812313,6595869.9740967
IRCP,20030918,3.62100401,4.18574775,3.55456357,4.18574775,9473131.64392746
IRCP,20030919,4.18574775,4.58439039,3.91998599,4.35184885,9175136.73340615
IRCP,20030922,4.48472973,5.64743744,4.48472973,5.64743744,24102495.6874737
IRCP,20030923,5.64743744,5.64743744,5.11591392,5.14913414,9553670.80893322
IRCP,20030924,5.18235436,5.38167568,5.11591392,5.18235436,4822570.14459488
IRCP,20030925,5.18235436,5.34845546,5.01625326,5.01625326,4646822.18095731
IRCP,20030926,5.11591392,5.18235436,4.98303304,5.01625326,1750863.91925021
IRCP,20030929,5.0826937,5.11591392,4.9165926,4.9165926,906928.52593986
IRCP,20030930,4.98303304,5.21557458,4.78371172,4.94981282,3976045.99240934
IRCP,20031001,4.98303304,4.98303304,4.81693194,4.85015216,1122672.81419904
IRCP,20031002,4.85015216,4.98303304,4.78371172,4.78371172,887081.37456344
IRCP,20031003,4.81693194,4.85015216,4.38506907,4.38506907,1149984.22033224
IRCP,20031006,4.38506907,4.48472973,4.11930731,4.21896797,523216.93266242
IRCP,20031007,4.21896797,4.25218819,4.05286687,4.25218819,405284.58390398
IRCP,20031008,4.25218819,4.51794995,4.25218819,4.51794995,442102.48790662
IRCP,20031009,4.51794995,4.7504915,4.48472973,4.65083083,483234.99003456
IRCP,20031010,4.7504915,5.04947348,4.65083083,4.85015216,3461745.89587256
IRCP,20031013,4.98303304,5.0826937,4.78371172,4.78371172,1653066.36174322
IRCP,20031014,4.78371172,5.44811612,4.7504915,5.11591392,8906768.73001196
IRCP,20031015,5.18235436,5.31523524,4.98303304,4.98303304,3783614.91602058
IRCP,20031016,5.04947348,5.11591392,4.98303304,4.98303304,944034.06981751
IRCP,20031017,5.04947348,5.14913414,4.94981282,4.94981282,1308186.15159355
IRCP,20031020,5.04947348,5.54777678,5.04947348,5.31523524,13544961.7147187
IRCP,20031021,5.34845546,5.44811612,5.18235436,5.21557458,4110086.17416893
IRCP,20031022,5.2487948,6.77692493,5.2487948,6.47794295,19539376.7101473
IRCP,20031024,6.47794295,6.57760361,6.24540141,6.41150251,2332471.7465418
IRCP,20031027,6.41150251,6.81014515,6.21218119,6.34506207,4123605.2482949
IRCP,20031028,6.34506207,6.41150251,6.24540141,6.24540141,1238002.02208853
IRCP,20031029,6.37828229,6.67726427,6.27862163,6.34506207,3504316.59737561
IRCP,20031030,6.51116317,6.64404405,6.31184185,6.37828229,3033450.12196693
IRCP,20031031,6.47794295,6.64404405,6.37828229,6.37828229,3834814.81377424
IRCP,20031103,6.37828229,6.77692493,6.37828229,6.47794295,4076144.6689165
IRCP,20031104,6.54438339,6.64404405,6.37828229,6.41150251,1740508.88374947
IRCP,20031105,6.41150251,6.71048449,6.41150251,6.51116317,3176119.49997714
IRCP,20031106,6.51116317,7.80675176,6.51116317,6.97624625,6855896.42111529
IRCP,20031107,7.04268669,7.30844845,6.90980581,6.97624625,1560158.68211157
IRCP,20031110,7.04268669,7.64065066,6.97624625,7.04268669,3372289.89474117
IRCP,20031111,7.04268669,7.17556757,6.77692493,6.77692493,551980.92016447
IRCP,20031112,6.87658559,7.10912713,6.77692493,6.97624625,594839.26154254
IRCP,20031113,7.00946647,7.47454956,7.00946647,7.07590691,3170079.06260171
IRCP,20031114,7.07590691,7.20878779,6.74370471,6.74370471,1350469.21322158
IRCP,20031117,6.74370471,6.74370471,6.31184185,6.31184185,1102811.28082887
IRCP,20031118,6.31184185,6.31184185,5.94641942,5.94641942,839333.15531002
