<TICKER>,<DTYYYYMMDD>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
IVL,20100205,10.00,10.20,9.70,10.00,108321000
IVL,20100208,10.10,10.40,10.00,10.10,53451700
IVL,20100209,10.10,10.20,9.95,10.10,32493500
IVL,20100210,10.20,10.30,10.10,10.10,11302700
IVL,20100211,10.10,11.50,10.00,11.50,103376700
IVL,20100212,11.60,11.70,11.00,11.20,78602200
IVL,20100215,11.10,11.20,10.90,11.10,22180700
IVL,20100216,11.10,11.90,11.00,11.80,65685800
IVL,20100217,11.90,12.10,11.50,11.60,70890900
IVL,20100218,11.60,11.70,11.40,11.40,32096100
IVL,20100219,11.30,11.60,11.10,11.50,29482400
IVL,20100222,11.60,11.70,11.50,11.50,17600200
IVL,20100223,11.40,11.90,11.40,11.70,50168500
IVL,20100224,11.70,12.20,11.60,12.00,93802900
IVL,20100225,12.10,12.40,11.70,12.30,67362800
IVL,20100226,12.30,12.50,12.20,12.30,50588200
IVL,20100302,12.40,13.10,12.30,13.00,63525300
IVL,20100303,13.10,13.60,12.90,13.50,41392100
IVL,20100304,13.50,15.00,13.30,14.10,83804200
IVL,20100305,14.30,14.50,13.90,14.00,35560900
IVL,20100308,14.00,14.20,13.50,13.50,27641700
IVL,20100309,13.50,14.00,13.40,13.80,42205200
IVL,20100310,13.80,13.90,13.60,13.60,14723500
IVL,20100311,13.60,14.00,13.60,13.80,26744700
IVL,20100312,13.80,14.10,13.70,14.00,26101800
IVL,20100315,13.90,14.00,13.80,13.80,18410800
IVL,20100316,13.90,14.70,13.90,14.60,59950600
IVL,20100317,14.90,15.40,14.60,15.30,67739600
IVL,20100318,15.40,15.40,15.00,15.00,34091200
IVL,20100319,15.10,16.00,15.10,15.90,79716900
IVL,20100322,15.80,16.20,15.20,15.40,71450900
IVL,20100323,15.70,16.60,15.60,16.50,93395000
IVL,20100324,16.80,18.10,16.50,17.90,111141200
IVL,20100325,17.80,18.50,17.40,17.60,94096100
IVL,20100326,17.90,18.50,17.70,18.00,119110100
IVL,20100329,18.20,18.30,17.30,17.40,70649200
IVL,20100330,17.50,17.60,16.80,17.20,61039600
IVL,20100331,17.20,17.30,16.30,16.30,44735600
IVL,20100401,16.70,17.20,16.70,16.90,35253100
IVL,20100402,17.10,17.20,16.80,17.00,34360200
IVL,20100405,16.90,18.50,16.90,18.30,112167000
IVL,20100407,18.50,18.80,17.90,17.90,68513300
IVL,20100408,17.80,18.10,16.90,17.00,68238400
IVL,20100409,17.00,17.50,16.80,17.50,50193300
IVL,20100412,16.80,17.40,16.70,17.30,58130000
IVL,20100416,17.00,17.20,15.70,15.70,53561400
IVL,20100419,15.20,15.30,14.20,14.40,93963000
IVL,20100420,14.80,16.80,14.80,16.60,110979800
IVL,20100421,16.40,16.50,15.70,15.80,81742400
IVL,20100422,15.90,16.80,15.90,16.20,73861800
IVL,20100423,15.80,16.10,15.70,16.10,41330700
IVL,20100426,16.50,16.70,16.30,16.30,37875300
IVL,20100427,16.20,16.40,16.10,16.10,23116000
IVL,20100428,16.00,16.40,15.80,15.80,36454900
IVL,20100429,16.10,16.20,15.90,16.00,24802500
IVL,20100430,16.20,16.40,16.10,16.30,33023200
IVL,20100504,17.20,17.90,17.10,17.80,108426400
IVL,20100506,17.40,18.10,17.30,18.10,94584600
IVL,20100507,17.80,18.00,17.30,17.60,88529800
IVL,20100510,17.80,18.00,17.60,17.70,59195500
IVL,20100511,18.00,18.30,17.80,17.80,77698300
IVL,20100512,17.80,17.90,17.50,17.50,50070400
IVL,20100513,17.70,17.80,17.10,17.30,25346100
IVL,20100514,17.00,17.80,16.90,17.80,28763000
IVL,20100517,17.10,17.50,17.10,17.30,23915200
IVL,20100518,17.40,17.70,17.30,17.50,26017000
IVL,20100519,17.30,17.90,17.30,17.90,28179100
