<TICKER>,<DTYYYYMMDD>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
FTSE SET All-Share Index,20150427 08:01:00,1841.3,1841.3,1841.3,1841.3,null
FTSE SET All-Share Index,20150427 08:02:00,1841.3,1841.3,1841.3,1841.3,null
FTSE SET All-Share Index,20150427 08:03:00,1841.3,1841.3,1841.3,1841.3,null
FTSE SET All-Share Index,20150427 08:04:00,1841.3,1841.3,1841.3,1841.3,null
FTSE SET All-Share Index,20150427 08:05:00,1841.3,1841.3,1841.3,1841.3,null
FTSE SET All-Share Index,20150427 08:06:00,1841.3,1841.3,1841.3,1841.3,null
FTSE SET All-Share Index,20150427 08:07:00,1841.3,1841.3,1841.3,1841.3,null
FTSE SET All-Share Index,20150427 08:08:00,1841.3,1841.3,1841.3,1841.3,null
FTSE SET All-Share Index,20150427 08:09:00,1841.3,1841.3,1841.3,1841.3,null
FTSE SET All-Share Index,20150427 08:10:00,1841.3,1841.3,1841.3,1841.3,null
FTSE SET All-Share Index,20150427 08:11:00,1841.3,1841.3,1841.3,1841.3,null
FTSE SET All-Share Index,20150427 08:12:00,1841.3,1841.3,1841.3,1841.3,null
FTSE SET All-Share Index,20150427 08:13:00,1841.3,1841.3,1841.3,1841.3,null
FTSE SET All-Share Index,20150427 08:14:00,1841.3,1841.3,1841.3,1841.3,null
FTSE SET All-Share Index,20150427 08:15:00,1841.3,1841.3,1841.3,1841.3,null
FTSE SET All-Share Index,20150427 08:16:00,1841.3,1841.3,1841.3,1841.3,null
FTSE SET All-Share Index,20150427 08:17:00,1841.3,1841.3,1841.3,1841.3,null
FTSE SET All-Share Index,20150427 08:18:00,1841.3,1841.3,1841.3,1841.3,null
FTSE SET All-Share Index,20150427 08:19:00,1841.3,1841.3,1841.3,1841.3,null
FTSE SET All-Share Index,20150427 08:20:00,1841.3,1841.3,1841.3,1841.3,null
FTSE SET All-Share Index,20150427 08:21:00,1841.3,1841.3,1841.3,1841.3,null
FTSE SET All-Share Index,20150427 08:22:00,1841.3,1841.3,1841.3,1841.3,null
FTSE SET All-Share Index,20150427 08:23:00,1841.3,1841.3,1841.3,1841.3,null
FTSE SET All-Share Index,20150427 08:24:00,1841.3,1841.3,1841.3,1841.3,null
FTSE SET All-Share Index,20150427 08:25:00,1841.3,1841.3,1841.3,1841.3,null
FTSE SET All-Share Index,20150427 08:26:00,1841.3,1841.3,1841.3,1841.3,null
FTSE SET All-Share Index,20150427 08:27:00,1841.3,1841.3,1841.3,1841.3,null
FTSE SET All-Share Index,20150427 08:28:00,1840.4,1840.4,1840.4,1840.4,null
FTSE SET All-Share Index,20150427 08:29:00,1838.56,1838.56,1838.56,1838.56,null
FTSE SET All-Share Index,20150427 08:30:00,1838.41,1838.41,1838.41,1838.41,null
FTSE SET All-Share Index,20150427 08:31:00,1838.66,1838.66,1838.66,1838.66,null
FTSE SET All-Share Index,20150427 08:32:00,1838.85,1838.85,1838.85,1838.85,null
FTSE SET All-Share Index,20150427 08:33:00,1838.83,1838.83,1838.83,1838.83,null
FTSE SET All-Share Index,20150427 08:34:00,1839.42,1839.42,1839.42,1839.42,null
FTSE SET All-Share Index,20150427 08:35:00,1837.51,1837.51,1837.51,1837.51,null
FTSE SET All-Share Index,20150427 08:36:00,1838.79,1838.79,1838.79,1838.79,null
FTSE SET All-Share Index,20150427 08:37:00,1838.64,1838.64,1838.64,1838.64,null
FTSE SET All-Share Index,20150427 08:38:00,1839.11,1839.11,1839.11,1839.11,null
FTSE SET All-Share Index,20150427 08:39:00,1839.42,1839.42,1839.42,1839.42,null
FTSE SET All-Share Index,20150427 08:40:00,1838.93,1838.93,1838.93,1838.93,null
FTSE SET All-Share Index,20150427 08:41:00,1838.38,1838.38,1838.38,1838.38,null
FTSE SET All-Share Index,20150427 08:42:00,1838.69,1838.69,1838.69,1838.69,null
