<TICKER>,<DTYYYYMMDD>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
JWD,20150929,13.80,15.90,13.10,15.90,249676800
JWD,20150930,15.90,16.40,14.40,14.40,131309600
JWD,20151001,14.40,14.90,13.40,13.40,57540800
JWD,20151002,13.60,14.00,12.60,13.00,53309200
JWD,20151005,13.30,14.30,13.20,14.10,52379600
JWD,20151006,14.00,14.30,13.70,13.80,18510400
JWD,20151007,13.80,14.90,13.60,13.80,80301500
JWD,20151008,13.90,13.90,13.30,13.60,23196800
JWD,20151009,13.80,14.10,13.60,13.80,12223100
JWD,20151012,13.90,14.20,13.50,13.80,17029100
JWD,20151013,13.80,14.10,13.80,13.90,6700300
JWD,20151014,14.00,14.60,14.00,14.50,22409800
JWD,20151015,14.50,14.70,14.20,14.20,9978700
JWD,20151016,14.50,15.20,14.00,14.30,42289200
JWD,20151019,14.20,14.60,14.20,14.50,5671300
JWD,20151020,14.60,15.00,14.60,14.70,8607300
JWD,20151021,14.80,14.80,14.50,14.60,3814900
JWD,20151022,14.50,14.60,14.30,14.60,4770300
JWD,20151026,14.30,14.50,14.20,14.30,1426300
JWD,20151027,14.30,14.30,14.00,14.00,931700
JWD,20151028,14.10,14.30,14.10,14.10,549300
JWD,20151029,14.20,14.30,14.00,14.30,672200
JWD,20151030,14.30,14.80,14.10,14.80,4453400
JWD,20151102,14.70,15.00,14.70,14.80,1181900
JWD,20151103,14.70,15.70,14.70,15.60,11185400
JWD,20151104,15.70,17.30,15.30,17.30,25058500
JWD,20151105,17.20,18.30,16.80,17.30,10518500
JWD,20151106,17.30,18.50,17.10,18.40,5121800
JWD,20151109,18.40,18.50,17.80,18.00,4509500
JWD,20151110,18.00,18.30,17.50,18.00,3999600
JWD,20151111,18.00,18.20,17.70,17.80,1872300
JWD,20151112,17.80,18.00,17.50,18.00,1069900
JWD,20151113,18.00,18.00,17.30,17.80,1514800
JWD,20151116,17.60,18.90,17.50,18.60,2939600
JWD,20151117,18.60,18.90,18.40,18.60,1831200
JWD,20151118,18.70,19.40,18.40,19.10,4142100
JWD,20151119,19.20,20.00,19.00,20.00,4236300
JWD,20151120,20.00,20.30,19.70,19.80,2927900
JWD,20151123,19.90,19.90,19.10,19.50,3719200
JWD,20151124,19.60,19.60,18.70,19.20,4934800
JWD,20151125,19.30,19.40,19.10,19.10,528100
JWD,20151126,19.20,19.30,18.20,18.90,2226200
JWD,20151127,18.80,19.20,18.50,19.20,1179000
JWD,20151130,19.30,19.60,19.00,19.60,3545700
JWD,20151201,19.80,19.90,19.40,19.60,1088100
JWD,20151202,19.70,19.80,19.30,19.30,811300
JWD,20151203,19.30,19.30,18.70,19.30,1391400
JWD,20151204,19.00,19.20,18.80,19.10,1000800
JWD,20151208,18.90,19.00,18.60,18.90,869200
JWD,20151209,18.80,19.00,18.70,18.80,496600
JWD,20151211,18.80,18.90,18.30,18.30,606900
JWD,20151214,17.90,18.40,16.90,18.30,1285900
JWD,20151215,18.00,19.00,18.00,18.80,724400
