<TICKER>,<DTYYYYMMDD>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
KAMART,19950117,6.1847206,6.5236094,6.0999984,6.3118039,488514.22649554
KAMART,19950118,6.2270817,6.354165,6.1847206,6.3118039,99419.04247057
KAMART,19950119,6.2694428,6.2694428,6.0999984,6.1847206,35185.5829995
KAMART,19950120,6.0152762,6.0152762,5.8034707,5.8881929,33450.50057718
KAMART,19950123,5.5916652,5.5916652,5.3374986,5.3374986,15320.65975624
KAMART,19950124,5.3374986,5.506943,5.083332,5.506943,8533.77273017
KAMART,19950125,5.6763874,5.7611096,5.4222208,5.7611096,2419.67276582
KAMART,19950126,5.5493041,5.7611096,5.506943,5.7611096,2372.45963868
KAMART,19950127,5.7187485,5.8034707,5.6763874,5.8034707,3257.70577251
KAMART,19950130,5.6763874,5.6763874,5.5493041,5.5493041,188.85250855
KAMART,19950131,5.506943,5.6340263,5.506943,5.6340263,672.78706171
KAMART,19950201,5.5493041,5.6763874,5.506943,5.6763874,3340.328745
KAMART,19950202,5.5916652,5.7611096,5.5916652,5.7611096,389.50829889
KAMART,19950203,5.6763874,5.7611096,5.5916652,5.6763874,3729.83704389
KAMART,19950206,5.7611096,5.7611096,5.5493041,5.7187485,3304.91889965
KAMART,19950207,5.5916652,5.7187485,5.506943,5.6763874,5252.46039409
KAMART,19950208,5.5916652,5.6340263,5.506943,5.6340263,1971.14805801
KAMART,19950209,5.506943,5.5493041,5.4222208,5.5493041,1428.19709592
KAMART,19950210,5.3798597,5.5493041,5.3798597,5.5493041,991.4756699
KAMART,19950213,5.4222208,5.4222208,5.3374986,5.3374986,1062.2953606
KAMART,19950215,5.3374986,5.4645819,5.3374986,5.4645819,2797.37778292
KAMART,19950216,5.4645819,5.4645819,5.4222208,5.4222208,1534.42663198
KAMART,19950217,5.4222208,5.5916652,5.4222208,5.506943,5417.70633907
KAMART,19950220,5.4222208,5.5493041,5.4222208,5.506943,1416.39381414
KAMART,19950221,5.506943,5.8034707,5.506943,5.7611096,9572.4615272
KAMART,19950222,5.7611096,5.8034707,5.6340263,5.6763874,20655.74312282
KAMART,19950223,5.6763874,5.7187485,5.5493041,5.7187485,6338.36231826
KAMART,19950224,5.7187485,6.0576373,5.7187485,5.9729151,18306.89004771
KAMART,19950227,5.8034707,5.9729151,5.7187485,5.9729151,9478.03527293
KAMART,19950228,5.9729151,6.1423595,5.8881929,6.0999984,4438.03395096
KAMART,19950301,6.0152762,6.2694428,5.9729151,6.2694428,16465.57808933
KAMART,19950302,6.2694428,6.5236094,6.2694428,6.3965261,33946.23841213
KAMART,19950303,6.3118039,6.354165,6.2270817,6.2270817,10469.51094282
KAMART,19950306,6.2270817,6.2694428,6.0999984,6.2694428,12051.15070194
KAMART,19950307,6.2270817,6.3118039,6.1847206,6.2694428,4379.01754204
KAMART,19950308,6.354165,6.354165,6.0999984,6.2694428,3741.64032568
KAMART,19950309,6.1847206,6.4388872,6.1847206,6.3965261,7424.26424243
KAMART,19950310,6.2694428,6.7354149,6.2694428,6.3965261,15556.72539193
KAMART,19950313,6.3965261,6.6083316,6.354165,6.6083316,20419.67748713
KAMART,19950314,6.6083316,6.6083316,6.354165,6.3965261,6102.29668257
