<TICKER>,<DTYYYYMMDD>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
KTECH,20040901,61.460344,64.253996,54.127008,54.127008,null
KTECH,20040902,54.127008,54.825421,48.88891,49.587323,null
KTECH,20040903,49.93653,50.285736,44.698432,46.793671,null
KTECH,20040906,46.444465,47.492084,42.9524,43.650813,null
KTECH,20040907,44.000019,47.142878,43.301606,46.444465,null
KTECH,20040908,46.793671,46.793671,41.90478,43.650813,null
KTECH,20040909,44.349226,45.746052,44.000019,44.698432,null
KTECH,20040910,45.396845,46.793671,44.698432,45.746052,null
KTECH,20040913,46.444465,47.142878,45.746052,45.746052,null
KTECH,20040914,46.095258,46.444465,45.047639,45.047639,null
KTECH,20040915,45.396845,50.984149,45.047639,50.984149,null
KTECH,20040916,50.984149,54.476214,49.587323,50.984149,null
KTECH,20040917,51.682562,52.031769,47.142878,47.142878,null
KTECH,20040920,47.492084,48.88891,45.396845,45.396845,null
KTECH,20040921,45.746052,46.095258,44.349226,44.698432,null
KTECH,20040922,45.047639,47.841291,45.047639,45.746052,null
KTECH,20040923,45.047639,46.095258,42.9524,44.000019,null
KTECH,20040924,44.349226,45.047639,43.301606,44.349226,null
KTECH,20040927,44.698432,46.095258,44.349226,45.047639,null
KTECH,20040928,44.698432,45.047639,41.555574,42.253987,null
KTECH,20040929,42.603193,43.301606,42.253987,42.603193,null
KTECH,20040930,43.301606,44.000019,42.603193,42.603193,null
KTECH,20041001,43.301606,43.650813,42.9524,42.9524,null
KTECH,20041004,44.000019,44.698432,43.301606,43.301606,null
KTECH,20041005,43.301606,43.650813,42.253987,42.603193,null
KTECH,20041006,42.603193,42.9524,40.507954,40.507954,null
KTECH,20041007,40.507954,41.206367,39.460335,39.460335,null
KTECH,20041008,39.111128,40.158748,38.761922,39.460335,null
KTECH,20041011,39.460335,40.857161,39.460335,40.857161,null
KTECH,20041012,41.206367,42.253987,39.460335,39.460335,null
KTECH,20041013,39.809541,40.158748,39.111128,39.460335,null
KTECH,20041014,39.111128,41.206367,39.111128,41.206367,null
KTECH,20041015,41.90478,42.9524,41.206367,41.555574,null
KTECH,20041018,41.90478,42.253987,39.111128,39.111128,null
KTECH,20041019,40.857161,41.206367,39.809541,40.158748,null
KTECH,20041020,40.507954,41.555574,39.460335,40.857161,null
KTECH,20041021,40.857161,40.857161,39.809541,39.809541,null
KTECH,20041022,40.158748,40.507954,39.809541,39.809541,null
KTECH,20041026,39.809541,39.809541,38.761922,39.111128,null
KTECH,20041027,39.111128,39.111128,34.780967,34.92065,null
KTECH,20041028,35.619063,35.96827,34.222237,34.36192,null
KTECH,20041029,33.663507,34.92065,33.663507,34.92065,null
KTECH,20041101,34.92065,34.92065,34.222237,34.222237,null
KTECH,20041102,34.36192,35.96827,34.36192,34.780967,null
KTECH,20041103,35.269857,35.619063,34.641285,34.92065,null
KTECH,20041104,35.619063,36.666683,34.92065,35.619063,null
KTECH,20041105,36.666683,37.714302,34.92065,35.269857,null
KTECH,20041108,35.269857,35.619063,34.501602,34.501602,null
KTECH,20041109,34.780967,34.92065,34.501602,34.92065,null
KTECH,20041110,35.269857,35.96827,34.36192,34.36192,null
KTECH,20041111,34.222237,34.641285,34.082554,34.082554,null
KTECH,20041112,34.780967,34.780967,34.36192,34.501602,null
KTECH,20041115,34.641285,34.92065,34.501602,34.501602,null
KTECH,20041116,34.641285,34.780967,34.082554,34.222237,null
KTECH,20041117,34.222237,34.641285,34.222237,34.36192,null
