<TICKER>,<DTYYYYMMDD>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
MBKET,20031203,35.00,36.50,32.50,36.00,null
MBKET,20031204,37.25,40.00,37.00,39.25,null
MBKET,20031208,39.50,40.50,37.50,37.75,null
MBKET,20031209,38.50,38.75,36.50,37.25,null
MBKET,20031211,36.50,37.50,34.00,34.75,null
MBKET,20031212,35.25,36.75,34.75,35.75,null
MBKET,20031215,36.75,39.00,36.25,39.00,25000
MBKET,20031216,38.25,38.50,37.50,37.50,null
MBKET,20031217,38.00,38.50,37.00,37.25,null
MBKET,20031218,37.50,38.50,37.50,38.25,null
MBKET,20031219,38.75,41.50,38.25,40.75,null
MBKET,20031222,41.50,43.50,41.25,41.75,null
MBKET,20031223,42.25,42.25,40.50,40.50,50000
MBKET,20031224,40.75,42.50,40.75,42.00,null
MBKET,20031225,42.25,43.00,41.25,41.50,null
MBKET,20031226,41.75,42.00,40.75,41.25,null
MBKET,20031229,42.00,45.00,41.75,45.00,null
MBKET,20031230,45.75,49.50,45.25,48.00,null
MBKET,20031231,49.00,49.50,47.00,48.25,null
MBKET,20040105,48.50,54.00,47.75,54.00,25000
MBKET,20040106,55.00,58.50,53.00,56.00,null
MBKET,20040107,55.00,61.50,53.00,60.00,null
MBKET,20040108,60.50,68.50,60.00,67.00,null
MBKET,20040109,65.00,68.00,63.50,66.00,null
MBKET,20040112,67.50,74.50,67.50,71.00,null
MBKET,20040113,72.50,73.50,69.00,69.00,null
MBKET,20040114,71.00,74.00,70.00,74.00,null
MBKET,20040115,75.50,77.00,72.50,73.00,null
MBKET,20040116,67.00,71.00,66.00,71.00,null
MBKET,20040119,71.50,71.50,66.50,67.00,null
MBKET,20040120,66.00,66.00,58.50,61.00,null
MBKET,20040121,60.00,63.00,57.00,59.00,null
MBKET,20040122,59.50,60.50,57.00,58.00,null
MBKET,20040123,55.00,59.50,54.00,59.50,null
MBKET,20040126,58.00,59.00,55.50,55.50,null
MBKET,20040127,56.00,60.00,54.00,60.00,null
MBKET,20040128,58.50,59.50,56.00,57.50,null
MBKET,20040129,56.00,62.00,56.00,62.00,null
MBKET,20040130,63.50,64.50,58.50,59.00,null
MBKET,20040202,60.00,61.00,55.00,56.00,null
MBKET,20040203,55.00,59.50,54.50,58.50,null
MBKET,20040204,59.00,61.50,58.00,60.50,null
MBKET,20040205,61.00,62.00,60.00,61.00,null
MBKET,20040206,61.50,62.00,56.00,57.00,null
MBKET,20040209,59.50,60.00,58.50,59.00,null
MBKET,20040210,60.00,60.50,58.50,59.50,null
MBKET,20040211,59.50,60.00,58.00,59.00,null
MBKET,20040212,59.50,61.00,59.00,59.00,null
MBKET,20040213,60.50,61.00,59.00,59.50,null
MBKET,20040216,60.00,60.50,58.00,58.00,null
MBKET,20040217,58.00,59.00,57.50,58.50,null
MBKET,20040218,58.50,59.00,57.00,57.00,null
MBKET,20040219,57.50,58.00,56.00,56.00,null
MBKET,20040220,55.00,55.00,52.50,54.00,null
MBKET,20040223,55.00,56.00,54.00,54.50,null
MBKET,20040224,54.50,55.50,54.00,54.00,null
MBKET,20040225,53.00,54.00,50.00,51.00,null
MBKET,20040226,51.50,52.00,48.25,50.00,null
MBKET,20040227,49.50,54.50,49.25,54.50,null
MBKET,20040301,55.00,55.00,51.00,51.00,null
MBKET,20040302,51.00,52.00,50.00,50.00,null
MBKET,20040303,50.00,50.50,49.25,49.75,null
MBKET,20040304,49.75,53.50,49.50,53.00,null
MBKET,20040308,53.00,53.50,52.00,52.00,null
MBKET,20040309,52.50,56.50,52.50,56.00,null
MBKET,20040310,56.50,58.00,54.50,55.50,null
MBKET,20040311,54.50,58.50,53.50,58.00,null
MBKET,20040312,57.00,58.50,56.00,56.00,null
MBKET,20040315,57.00,57.00,52.50,52.50,null
MBKET,20040316,51.50,55.00,51.50,53.50,null
MBKET,20040317,54.00,55.50,52.50,53.00,null
MBKET,20040318,54.00,55.50,53.50,54.50,null
MBKET,20040319,54.50,55.00,53.00,53.00,null
MBKET,20040322,52.50,53.00,52.00,52.50,null
MBKET,20040323,52.00,53.00,51.00,52.00,null
MBKET,20040324,52.00,53.50,52.00,52.50,null
MBKET,20040325,52.50,53.00,50.00,50.50,null
MBKET,20040326,51.00,51.50,49.25,49.75,null
MBKET,20040329,49.00,49.00,48.00,48.25,null
MBKET,20040330,48.50,49.25,47.50,47.50,null
MBKET,20040331,47.75,48.25,44.75,45.75,null
MBKET,20040401,45.50,50.50,44.75,50.00,null
MBKET,20040402,50.50,54.50,50.50,54.50,null
