<TICKER>,<DTYYYYMMDD>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
MINT,19881014,0.40684448,0.43396745,0.38958442,0.43396745,80665957.7392089
MINT,19881017,0.44136462,0.47588476,0.43643317,0.47588476,56535115.6804712
MINT,19881018,0.47588476,0.51287062,0.46848759,0.48081621,72514194.2874336
MINT,19881019,0.48574766,0.49561055,0.45615897,0.45862469,26483092.2090012
MINT,19881020,0.45862469,0.46848759,0.44383035,0.44629607,36824881.6627459
MINT,19881021,0.4487618,0.45862469,0.43643317,0.4388989,14884065.6059777
MINT,19881025,0.43396745,0.43396745,0.41177593,0.41424166,11436802.4547295
MINT,19881026,0.41177593,0.42657028,0.40437876,0.40684448,17398539.9045352
MINT,19881027,0.40191304,0.40191304,0.36985862,0.36985862,11964030.9366851
MINT,19881028,0.36246145,0.39451586,0.36246145,0.39451586,23035829.057753
MINT,19881031,0.39451586,0.39698159,0.37725579,0.38465297,16465751.0518445
MINT,19881101,0.37232435,0.37232435,0.35259855,0.35999573,10625681.7132593
MINT,19881102,0.35753,0.36985862,0.35259855,0.35259855,25144742.9855754
MINT,19881103,0.35999573,0.36246145,0.35753,0.35999573,13059043.9376698
MINT,19881104,0.35999573,0.3673929,0.35753,0.36246145,6326741.78346736
MINT,19881107,0.35999573,0.35999573,0.35753,0.35753,2555030.33563105
MINT,19881108,0.35999573,0.3673929,0.35999573,0.36246145,5191172.74540912
MINT,19881109,0.3673929,0.37479007,0.36492717,0.36492717,11639582.640097
MINT,19881110,0.3673929,0.38711869,0.3673929,0.37725579,22468044.5387238
MINT,19881111,0.37725579,0.37725579,0.36985862,0.36985862,5353396.89370315
MINT,19881114,0.3673929,0.3673929,0.35753,0.36246145,3001146.74343965
MINT,19881115,0.3673929,0.3673929,0.36492717,0.36492717,243336.22244105
MINT,19881116,0.3673929,0.3673929,0.36246145,0.36246145,2433362.22441052
MINT,19881117,0.35999573,0.35999573,0.35506428,0.35506428,2960590.70636614
MINT,19881118,0.35999573,0.36246145,0.35753,0.35999573,1338349.22342579
MINT,19881121,0.35999573,0.35999573,0.35506428,0.35753,1013900.92683772
MINT,19881122,0.35753,0.35753,0.35259855,0.35259855,2230582.03904298
MINT,19881123,0.34766711,0.35013283,0.34520138,0.35013283,3041702.78051316
MINT,19881124,0.35259855,0.35506428,0.35259855,0.35259855,1095013.00098474
MINT,19881125,0.35013283,0.35013283,0.34520138,0.34520138,5515621.04199719
MINT,19881128,0.33533848,0.33533848,0.31068124,0.31068124,2433362.22441052
