<TICKER>,<DTYYYYMMDD>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
MPIC,20020605,4.3396244241748,4.41998783943729,3.64849905291733,3.74493515123233,63913660.0058983
MPIC,20020606,3.85744393259982,4.74144150048728,3.84137124954732,4.74144150048728,95522197.1954002
MPIC,20020607,4.82180491574977,4.82180491574977,4.29944271654355,4.29944271654355,18497347.271075
MPIC,20020610,4.41998783943729,4.62089637759353,4.3396244241748,4.37980613180605,10146656.8753523
MPIC,20020611,4.37980613180605,4.54053296233104,4.17889759364981,4.17889759364981,11376320.8919601
MPIC,20020612,4.29944271654355,4.3396244241748,4.13871588601856,4.17889759364981,5641870.72586488
MPIC,20020613,4.37980613180605,4.66107808522478,4.2592610089123,4.62089637759353,16765589.1128954
MPIC,20020614,4.66107808522478,4.74144150048728,4.3396244241748,4.37980613180605,15422316.1864351
MPIC,20020617,4.41998783943729,4.70125979285603,4.37980613180605,4.37980613180605,8552399.09547183
MPIC,20020618,4.46016954706854,4.50035125469979,4.37980613180605,4.46016954706854,3377283.0474349
MPIC,20020619,4.46016954706854,4.50035125469979,4.21907930128105,4.2592610089123,3960633.06867122
MPIC,20020620,4.2592610089123,4.29944271654355,4.17889759364981,4.21907930128105,1761871.36320072
MPIC,20020621,4.21907930128105,4.21907930128105,4.13871588601856,4.21907930128105,1062423.73748201
MPIC,20020624,4.17889759364981,4.29944271654355,4.17889759364981,4.2592610089123,1055704.26198142
MPIC,20020625,4.2592610089123,4.3396244241748,4.21907930128105,4.3396244241748,507942.573951928
MPIC,20020626,4.2592610089123,4.2592610089123,4.00209808007231,4.01817076312481,1866520.97238582
MPIC,20020627,4.09853417838731,4.09853417838731,4.00209808007231,4.00209808007231,756189.863279242
MPIC,20020628,4.05835247075606,4.09853417838731,4.01817076312481,4.01817076312481,786178.633568908
MPIC,20020702,4.05835247075606,4.13871588601856,4.01817076312481,4.05835247075606,972084.122418535
MPIC,20020703,4.05835247075606,4.13871588601856,4.05835247075606,4.05835247075606,1019991.4940431
MPIC,20020704,4.58071466996229,4.90216833101227,4.50035125469979,4.70125979285603,22657822.518523
MPIC,20020705,4.74144150048728,4.78162320811853,4.50035125469979,4.58071466996229,7592136.27254507
MPIC,20020708,4.62089637759353,4.62089637759353,4.41998783943729,4.41998783943729,7306434.12903855
MPIC,20020709,4.46016954706854,4.58071466996229,4.41998783943729,4.54053296233104,5919484.61182439
MPIC,20020710,4.58071466996229,4.58071466996229,4.46016954706854,4.46016954706854,2856150.39194478
MPIC,20020711,4.41998783943729,4.58071466996229,4.41998783943729,4.46016954706854,4493462.58892163
MPIC,20020712,4.50035125469979,4.58071466996229,4.46016954706854,4.46016954706854,4168687.93972649
MPIC,20020715,4.54053296233104,4.78162320811853,4.54053296233104,4.62089637759353,13131223.9101972
MPIC,20020716,4.66107808522478,4.70125979285603,4.50035125469979,4.50035125469979,5871328.37073684
MPIC,20020717,4.54053296233104,4.58071466996229,4.46016954706854,4.54053296233104,3273006.74244428
MPIC,20020718,4.58071466996229,4.74144150048728,4.54053296233104,4.74144150048728,17801881.556764
MPIC,20020719,4.74144150048728,5.10307686916851,4.70125979285603,4.94235003864352,42765852.9540354
MPIC,20020722,4.86198662338102,4.98253174627477,4.86198662338102,4.86198662338102,14608886.3466693
MPIC,20020723,4.94235003864352,5.14325857679976,4.86198662338102,5.14325857679976,26510446.2402588
MPIC,20020724,5.10307686916851,5.22362199206226,5.02271345390601,5.06289516153726,21809675.3886709
MPIC,20020726,5.14325857679976,5.14325857679976,4.94235003864352,4.98253174627477,9084233.1378703
MPIC,20020729,5.10307686916851,5.2638036996935,5.02271345390601,5.2638036996935,9331733.81880866
MPIC,20020730,5.38434882258725,5.38434882258725,5.2638036996935,5.2638036996935,9193735.7015836
MPIC,20020731,5.2638036996935,5.4245305302185,5.2638036996935,5.344167114956,7783268.02011738
MPIC,20020801,5.344167114956,5.4245305302185,5.344167114956,5.344167114956,4717942.84453389
MPIC,20020802,5.344167114956,5.46471223784974,5.30398540732475,5.4245305302185,8223020.36121148
MPIC,20020805,5.4245305302185,5.50489394548099,5.344167114956,5.4245305302185,4342896.56381583
MPIC,20020806,5.38434882258725,5.4245305302185,5.38434882258725,5.38434882258725,3540790.2846159
MPIC,20020807,5.4245305302185,5.50489394548099,5.38434882258725,5.4245305302185,7113684.72995684
MPIC,20020808,5.4245305302185,5.4245305302185,4.78162320811853,4.86198662338102,10709101.8616979
MPIC,20020809,4.98253174627477,5.02271345390601,4.90216833101227,4.90216833101227,4480272.50738343
MPIC,20020813,3.92171588476192,4.28074621224012,3.92171588476192,4.28074621224012,2079751.88403919
MPIC,20020814,4.28074621224012,4.33598164723677,4.19789305974515,4.2531284947418,1817746.16251498
MPIC,20020815,4.2531284947418,4.30836392973845,4.17027534224683,4.2531284947418,2254494.78233601
MPIC,20020816,4.19789305974515,4.22551077724347,4.14265762474851,4.17027534224683,1886614.99644796
MPIC,20020819,4.14265762474851,4.14265762474851,3.94933360226024,4.00456903725689,559930.414268985
MPIC,20020820,4.03218675475521,4.08742218975186,3.97695131975856,4.00456903725689,1176563.5593156
MPIC,20020821,4.03218675475521,4.03218675475521,3.83886273226695,3.86648044976527,1072862.01337235
MPIC,20020822,3.86648044976527,3.97695131975856,3.83886273226695,3.86648044976527,2105170.34956019
MPIC,20020823,3.89409816726359,4.00456903725689,3.75600957977198,3.7836272972703,5097814.47393497
MPIC,20020826,3.75600957977198,3.81124501476862,3.70077414477533,3.72839186227365,1389035.86085016
MPIC,20020827,3.75600957977198,3.7836272972703,3.70077414477533,3.70077414477533,1550816.06590408
MPIC,20020828,3.72839186227365,3.81124501476862,3.67315642727701,3.70077414477533,5643406.26662801
MPIC,20020829,3.70077414477533,3.81124501476862,3.67315642727701,3.7836272972703,2208944.31278412
MPIC,20020830,3.81124501476862,3.92171588476192,3.81124501476862,3.86648044976527,7082265.21659056
MPIC,20020902,3.86648044976527,3.89409816726359,3.75600957977198,3.75600957977198,3323301.42798991
MPIC,20020903,3.75600957977198,3.81124501476862,3.67315642727701,3.70077414477533,1089517.98793027
MPIC,20020904,3.70077414477533,3.72839186227365,3.61792099228036,3.67315642727701,1584997.02238816
MPIC,20020905,3.70077414477533,3.75600957977198,3.64553870977868,3.75600957977198,1059175.14732258
MPIC,20020906,3.70077414477533,3.75600957977198,3.70077414477533,3.75600957977198,1245359.97596789
MPIC,20020909,3.75600957977198,3.86648044976527,3.75600957977198,3.7836272972703,5893970.05780373
MPIC,20020910,3.81124501476862,3.89409816726359,3.81124501476862,3.83886273226695,3714934.08194318
MPIC,20020911,3.83886273226695,3.94933360226024,3.81124501476862,3.83886273226695,5297396.49950731
MPIC,20020912,3.86648044976527,4.17027534224683,3.83886273226695,4.08742218975186,12212595.0495538
MPIC,20020913,4.00456903725689,4.11503990725018,3.94933360226024,3.94933360226024,6303634.61464797
MPIC,20020916,4.00456903725689,4.05980447225353,3.94933360226024,4.03218675475521,2302145.35302781
MPIC,20020917,4.05980447225353,4.08742218975186,3.97695131975856,4.05980447225353,3341623.00000363
MPIC,20020918,3.89409816726359,4.05980447225353,3.86648044976527,4.03218675475521,5416016.005272
MPIC,20020919,4.05980447225353,4.14265762474851,4.05980447225353,4.08742218975186,9506940.60854014
MPIC,20020920,4.05980447225353,4.14265762474851,4.03218675475521,4.14265762474851,6892242.27206885
MPIC,20020923,4.14265762474851,4.2531284947418,4.14265762474851,4.14265762474851,10376744.5668672
MPIC,20020924,4.11503990725018,4.14265762474851,4.08742218975186,4.08742218975186,4411371.07030645
MPIC,20020925,4.08742218975186,4.14265762474851,4.05980447225353,4.14265762474851,4126771.15720802
MPIC,20020926,4.19789305974515,4.19789305974515,4.05980447225353,4.08742218975186,6245266.28641455
MPIC,20020927,4.11503990725018,4.11503990725018,4.05980447225353,4.05980447225353,1874231.64145054
MPIC,20020930,4.00456903725689,4.03218675475521,4.00456903725689,4.03218675475521,1600856.40685853
MPIC,20021001,4.03218675475521,4.05980447225353,4.00456903725689,4.05980447225353,1273023.37719018
