<TICKER>,<DTYYYYMMDD>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
NCH,20040329,3.970911,4.0087292,3.1389106,3.1389106,15865.3769878
NCH,20040330,3.1578197,3.1956379,2.7796377,2.8174559,null
NCH,20040331,2.8741832,3.0443651,2.8552741,3.0065469,52884.58995933
NCH,20040401,2.9876378,3.1010924,2.9498196,3.025456,null
NCH,20040402,3.0632742,3.0821833,2.9120014,2.9876378,null
NCH,20040405,3.0065469,3.0821833,2.9687287,2.9687287,528.84589959
NCH,20040407,2.9876378,2.9876378,2.836365,2.836365,null
NCH,20040408,2.8552741,2.8930923,2.7418195,2.7418195,15865.3769878
NCH,20040409,2.7607286,2.7607286,2.647274,2.7418195,5288.45899593
NCH,20040412,2.7229104,2.7985468,2.7040013,2.7796377,null
NCH,20040416,2.7796377,2.9309105,2.7607286,2.8930923,10576.91799187
NCH,20040419,2.9309105,3.025456,2.836365,2.8930923,null
NCH,20040420,2.8930923,2.8930923,2.836365,2.836365,26442.29497967
NCH,20040421,2.836365,2.8552741,2.7796377,2.7796377,52884.58995933
NCH,20040422,2.7796377,2.7985468,2.6661831,2.6661831,47596.1309634
NCH,20040423,2.6661831,2.7040013,2.5338194,2.5716376,null
NCH,20040426,2.5716376,2.5716376,2.5149103,2.5338194,79326.884939
NCH,20040427,2.5338194,2.5905467,2.5338194,2.5716376,264422.94979666
NCH,20040428,2.5527285,2.5527285,2.4392739,2.458183,69278.81284672
NCH,20040429,2.458183,2.4770921,2.3447284,2.3447284,27499.98677885
NCH,20040430,2.3258193,2.3447284,2.3069102,2.3069102,null
NCH,20040504,2.3069102,2.3447284,2.2312738,2.2312738,null
NCH,20040506,2.2312738,2.2501829,2.1178192,2.1178192,null
NCH,20040507,2.1178192,2.1934556,2.080001,2.1745465,null
NCH,20040510,2.1745465,2.1745465,2.0043646,2.0043646,2697114.08792592
NCH,20040511,2.0043646,2.0421828,1.89091,1.9098191,1322114.74898329
NCH,20040512,1.9287282,2.0043646,1.9287282,1.9287282,68749.96694713
NCH,20040513,1.9098191,1.9287282,1.88145545,1.88145545,20624.99008414
NCH,20040514,1.88145545,1.89091,1.8152736,1.82472815,null
