<TICKER>,<DTYYYYMMDD>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
NEWS,20041008,6.91,7.61,5.61,5.81,39884604.76
NEWS,20041011,5.71,5.71,5.06,5.06,2042404.30
NEWS,20041012,5.11,5.21,4.61,4.63,1453210.80
NEWS,20041013,4.65,4.71,4.29,4.33,789619.15
NEWS,20041014,4.29,4.29,4.01,4.11,942709.59
NEWS,20041015,4.09,4.31,4.09,4.29,348023.61
NEWS,20041018,4.27,4.27,4.01,4.01,178555.59
NEWS,20041019,4.09,4.11,4.05,4.05,88578.75
NEWS,20041020,4.05,4.11,4.05,4.05,76695.02
NEWS,20041021,4.05,4.05,4.03,4.03,35451.47
NEWS,20041022,4.03,4.05,4.01,4.05,98764.81
NEWS,20041026,4.01,4.07,4.01,4.01,125827.76
NEWS,20041027,4.01,4.03,3.99,4.01,211410.61
NEWS,20041028,4.01,4.01,3.81,3.99,647613.53
NEWS,20041029,3.99,3.99,3.99,3.99,499.32
NEWS,20041101,3.91,4.01,3.91,4.01,7689.47
NEWS,20041102,3.97,4.01,3.50,3.99,62214.84
NEWS,20041103,3.89,3.99,3.89,3.99,16077.99
NEWS,20041104,3.85,4.19,3.81,3.89,264637.76
NEWS,20041105,3.95,3.95,3.73,3.73,39545.87
NEWS,20041108,3.99,3.99,3.99,3.99,136812.73
NEWS,20041109,3.97,3.97,3.97,3.97,99.86
NEWS,20041110,3.91,4.01,3.56,4.01,288105.63
NEWS,20041111,3.85,3.97,3.60,3.60,202722.51
NEWS,20041112,3.91,3.93,3.62,3.93,17975.39
NEWS,20041115,3.60,3.81,3.60,3.67,29060.22
NEWS,20041116,3.69,3.91,3.56,3.56,19273.62
NEWS,20041117,3.81,3.81,3.48,3.50,559234.50
NEWS,20041118,3.50,3.50,3.38,3.42,210711.57
NEWS,20041119,3.50,3.89,3.50,3.81,8088.93
NEWS,20041122,3.91,3.91,3.60,3.60,485834.97
NEWS,20041124,3.60,3.60,3.60,3.60,189740.28
NEWS,20041125,3.60,3.87,3.60,3.67,6291.39
NEWS,20041126,3.67,3.67,3.60,3.67,8088.93
NEWS,20041129,3.81,3.81,3.81,3.81,8588.24
NEWS,20041130,3.71,3.71,3.71,3.71,5492.48
NEWS,20041201,3.50,3.71,3.50,3.71,19872.80
NEWS,20041202,3.60,3.79,3.60,3.60,12882.37
NEWS,20041203,3.60,3.62,3.52,3.54,11284.55
NEWS,20041207,3.50,3.60,3.50,3.60,28560.90
NEWS,20041208,3.50,3.81,3.50,3.81,5692.21
NEWS,20041209,3.71,3.77,3.52,3.52,1298.22
NEWS,20041214,3.71,3.71,3.54,3.60,32455.57
NEWS,20041215,3.56,3.58,3.56,3.58,1315299.58
NEWS,20041217,3.52,3.69,3.48,3.54,31057.49
NEWS,20041220,3.50,3.54,3.46,3.46,11284.55
NEWS,20041221,3.42,3.46,3.42,3.46,8987.70
