<TICKER>,<DTYYYYMMDD>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
OCEAN,20131223,1.00052192,1.14726513,0.7670668,0.7670668,504590299.54097
OCEAN,20131224,0.7804071,0.8537787,0.76039666,0.76039666,103503169.649683
OCEAN,20131225,0.80041753,0.82042797,0.76039666,0.7804071,43409295.6590704
OCEAN,20131226,0.78707724,0.80041753,0.71370564,0.72037578,27072867.2927133
OCEAN,20131227,0.72704593,0.74038622,0.70703549,0.72037578,21333397.8666602
OCEAN,20140102,0.71370564,0.78707724,0.62032359,0.64700417,33990876.6009123
OCEAN,20140103,0.63366388,0.64700417,0.60031315,0.60031315,18806258.1193742
OCEAN,20140106,0.58697286,0.593643,0.55362213,0.55362213,5893029.41069706
OCEAN,20140107,0.56696242,0.62032359,0.56696242,0.6069833,26100907.3899093
OCEAN,20140108,0.593643,0.61365344,0.57363257,0.57363257,8926609.10733909
OCEAN,20140109,0.58030271,0.60031315,0.57363257,0.58697286,7289259.27107407
OCEAN,20140110,0.57363257,0.58030271,0.56029227,0.56029227,2321769.76782302
OCEAN,20140113,0.56029227,0.57363257,0.55362213,0.56696242,2694559.73054403
OCEAN,20140114,0.57363257,0.593643,0.56696242,0.58697286,7104129.28958707
OCEAN,20140115,0.58697286,0.6069833,0.56696242,0.56696242,6779079.32209207
OCEAN,20140116,0.57363257,0.64033403,0.57363257,0.6069833,32635456.7364543
OCEAN,20140117,0.6069833,0.61365344,0.58030271,0.58030271,10042778.9957221
OCEAN,20140120,0.58030271,0.58697286,0.57363257,0.58030271,3901259.60987404
OCEAN,20140121,0.58697286,0.6069833,0.57363257,0.60031315,15586118.4413882
OCEAN,20140122,0.593643,0.60031315,0.58030271,0.58030271,6943639.30563607
OCEAN,20140123,0.58697286,0.6069833,0.58697286,0.593643,7858509.21414908
OCEAN,20140124,0.6069833,0.62032359,0.593643,0.593643,12689818.7310181
OCEAN,20140127,0.58697286,0.58697286,0.57363257,0.57363257,4350389.56496104
OCEAN,20140128,0.58030271,0.593643,0.57363257,0.57363257,6973999.30260007
OCEAN,20140129,0.58030271,0.58697286,0.57363257,0.57363257,2062389.79376102
OCEAN,20140130,0.57363257,0.58697286,0.57363257,0.57363257,2418789.75812102
OCEAN,20140131,0.58030271,0.58697286,0.57363257,0.57363257,1909709.80902902
OCEAN,20140203,0.57363257,0.593643,0.57363257,0.58697286,2340689.76593102
OCEAN,20140204,0.58030271,0.6069833,0.58030271,0.593643,7545999.24540008
OCEAN,20140205,0.60031315,0.6069833,0.593643,0.60031315,4531339.54686605
OCEAN,20140206,0.60031315,0.62699374,0.60031315,0.6069833,10877018.9122981
OCEAN,20140207,0.61365344,0.62032359,0.6069833,0.6069833,7294209.27057907
OCEAN,20140210,0.61365344,0.62032359,0.60031315,0.60031315,4590299.54097005
OCEAN,20140211,0.60031315,0.6069833,0.593643,0.593643,3340479.66595203
OCEAN,20140212,0.60031315,0.60031315,0.593643,0.593643,2316049.76839502
OCEAN,20140213,0.593643,0.61365344,0.593643,0.60031315,9548989.0451011
OCEAN,20140217,0.6069833,0.6069833,0.60031315,0.60031315,3726909.62730904
OCEAN,20140218,0.60031315,0.60031315,0.60031315,0.60031315,2376439.76235602
OCEAN,20140219,0.60031315,0.6069833,0.593643,0.60031315,1292829.87071701
OCEAN,20140220,0.593643,0.60031315,0.58030271,0.58697286,5375479.46245205
