<TICKER>,<DTYYYYMMDD>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
ORI,20151007,10.50,10.60,8.90,8.90,259656100
ORI,20151008,8.95,9.10,7.65,7.70,70617500
ORI,20151009,7.90,9.10,7.85,9.00,102929500
ORI,20151012,9.25,11.40,9.10,11.00,176131400
ORI,20151013,11.00,11.10,10.60,11.00,50799600
ORI,20151014,11.30,12.00,11.00,11.60,100932800
ORI,20151015,11.60,12.90,11.30,12.80,65033700
ORI,20151016,12.80,13.50,11.90,12.30,74818100
ORI,20151019,12.40,13.10,12.20,12.80,42151500
ORI,20151020,12.80,13.00,12.40,12.40,29932000
ORI,20151021,12.60,13.50,12.50,13.20,62179200
ORI,20151022,13.20,13.90,12.90,13.30,61447500
ORI,20151026,13.40,14.10,13.40,14.10,48984200
ORI,20151027,14.10,14.70,13.90,13.90,44244000
ORI,20151028,14.00,14.40,13.70,14.00,32896100
ORI,20151029,14.20,14.30,13.80,13.80,23810000
ORI,20151030,14.00,14.20,13.80,14.00,20247300
