<TICKER>,<DTYYYYMMDD>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
PA,19890929,24.788104,25.652805,23.058701,23.346935,14384.157916
PA,19891002,23.346935,24.211636,21.041065,21.041065,4253.491945
PA,19891003,20.464597,20.464597,19.023429,19.023429,7813.10266
PA,19891004,19.599896,19.599896,17.58226,19.599896,6508.605946
PA,19891005,19.599896,19.88813,19.023429,19.455779,3080.832665
PA,19891006,19.599896,19.599896,18.879312,19.023429,2449.400745
PA,19891009,19.167545,19.311662,18.446961,18.879312,1658.376142
PA,19891010,18.446961,18.879312,18.446961,18.591078,1415.517711
PA,19891011,18.735195,18.735195,17.870493,18.302844,1013.066597
PA,19891012,18.302844,18.735195,18.158727,18.302844,1734.703077
PA,19891013,18.302844,18.591078,18.302844,18.446961,1179.598092
PA,19891016,16.717558,16.717558,16.717558,16.717558,1817.968825
PA,19891017,17.294026,17.870493,17.294026,17.58226,1311.435526
PA,19891018,17.58226,17.58226,16.429325,16.717558,1443.27296
PA,19891019,16.285208,16.573442,15.27639,15.27639,1672.253766
PA,19891020,15.852857,16.285208,15.564623,15.996974,1061.638283
PA,19891024,16.141091,16.285208,15.852857,16.285208,735.514105
PA,19891025,16.141091,16.429325,15.996974,16.141091,742.452917
PA,19891026,16.141091,16.141091,15.852857,16.141091,506.533299
PA,19891027,15.564623,16.141091,15.564623,15.996974,742.452917
PA,19891030,15.852857,15.996974,15.70874,15.996974,367.757052
PA,19891031,15.852857,17.58226,15.852857,17.58226,2088.582505
PA,19891101,17.294026,18.735195,17.294026,18.446961,4371.451755
PA,19891102,18.735195,18.735195,17.870493,18.735195,2400.829059
PA,19891103,18.302844,18.735195,18.158727,18.735195,2921.239982
PA,19891106,18.879312,20.176364,18.879312,19.455779,8389.024081
PA,19891107,19.311662,19.88813,19.023429,19.599896,2990.628105
PA,19891108,19.599896,19.88813,19.311662,19.311662,2234.297563
PA,19891109,19.455779,19.599896,19.023429,19.023429,1505.722271
PA,19891110,19.023429,19.599896,19.023429,19.599896,3226.547724
PA,19891113,19.744013,20.752831,19.744013,20.464597,4704.514745
PA,19891114,20.752831,21.041065,20.32048,20.752831,5030.638924
PA,19891115,20.608714,20.896948,20.464597,20.464597,1588.988019
PA,19891116,20.608714,21.041065,20.464597,20.464597,2942.056419
PA,19891117,20.464597,21.329299,20.464597,21.329299,5717.581342
PA,19891120,21.185182,21.761649,21.185182,21.617532,5807.785902
PA,19891121,21.473416,21.617532,20.752831,20.896948,3517.977841
PA,19891122,20.752831,21.041065,20.176364,20.32048,2074.70488
PA,19891123,20.176364,20.176364,19.455779,19.88813,1450.211773
PA,19891124,19.311662,19.311662,18.01461,19.311662,2345.31856
PA,19891127,19.311662,19.455779,18.879312,19.455779,770.208166
PA,19891128,19.455779,19.599896,19.311662,19.599896,936.739662
PA,19891129,19.599896,20.176364,19.599896,20.032247,1755.519514
PA,19891130,20.176364,20.752831,20.032247,20.032247,1644.498517
PA,19891201,20.032247,20.032247,19.744013,19.88813,742.452917
PA,19891204,20.176364,20.464597,20.176364,20.32048,548.166172
PA,19891206,20.464597,20.464597,20.32048,20.32048,888.167976
PA,19891207,20.464597,20.608714,20.176364,20.32048,2484.094807
PA,19891208,20.608714,20.752831,20.32048,20.752831,1547.355145
PA,19891212,21.041065,21.041065,20.752831,20.752831,1977.561508
PA,19891213,21.041065,21.041065,20.464597,20.608714,1519.599896
PA,19891214,20.752831,20.896948,20.608714,20.608714,908.984412
PA,19891215,20.608714,20.752831,20.464597,20.464597,1075.515908
PA,19891218,20.32048,20.32048,20.032247,20.032247,374.695865
PA,19891219,20.32048,20.32048,19.599896,20.032247,832.657477
PA,19891220,20.176364,20.752831,20.176364,20.752831,2352.257373
PA,19891221,20.896948,22.049883,20.896948,22.049883,9818.419417
PA,19891222,22.482234,23.923403,22.482234,23.923403,9304.947306
PA,19891225,23.635169,24.211636,23.058701,23.923403,5648.193219
PA,19891226,23.923403,23.923403,23.202818,23.491052,1942.867446
PA,19891227,23.635169,24.067519,23.202818,24.067519,4995.944862
PA,19891228,23.635169,25.796922,23.635169,24.49987,5322.069041
PA,19891229,25.076338,25.652805,24.788104,25.652805,5703.703718
PA,19900102,25.364571,28.102792,25.364571,28.102792,4017.572327
PA,19900103,28.102792,29.11161,28.102792,28.823377,8590.249638
PA,19900104,28.823377,30.120428,28.823377,30.120428,4572.677312
PA,19900105,29.976312,32.858649,29.976312,32.570416,3823.285582
PA,19900108,32.858649,33.723351,31.705714,33.146883,6661.259816
PA,19900109,32.570416,35.740987,32.570416,34.588052,3372.262782
PA,19900110,34.876286,35.740987,32.858649,32.858649,1172.65928
PA,19900111,32.282182,32.282182,29.688078,30.264545,1290.619089
PA,19900112,29.976312,30.264545,28.246909,29.976312,1068.577096
PA,19900115,29.688078,29.976312,29.11161,29.11161,1373.884837
PA,19900116,28.823377,28.823377,27.382208,28.246909,1651.437329
PA,19900117,28.246909,28.391026,27.382208,27.382208,645.309545
PA,19900118,27.093974,27.958675,26.80574,27.670441,568.982609
PA,19900119,28.246909,29.399844,28.246909,29.11161,846.535102
PA,19900122,29.399844,30.264545,29.399844,29.399844,416.328739
PA,19900123,29.976312,29.976312,28.823377,29.688078,416.328739
PA,19900124,29.688078,29.688078,27.958675,28.535143,742.452917
PA,19900125,28.823377,28.823377,27.093974,27.382208,964.494911
PA,19900126,27.093974,27.958675,26.80574,27.670441,936.739662
PA,19900129,27.958675,28.246909,27.382208,27.670441,430.206363
PA,19900130,27.670441,27.670441,27.093974,27.382208,312.246554
PA,19900131,27.382208,27.670441,26.80574,27.382208,180.40912
PA,19900201,27.093974,27.093974,26.80574,26.80574,111.020997
PA,19900202,26.661623,26.661623,25.364571,25.941039,492.655674
PA,19900205,26.229273,26.517506,26.085156,26.085156,485.716862
PA,19900206,24.932221,24.932221,24.49987,24.49987,20.816437
PA,19900207,23.346935,23.635169,22.049883,22.049883,187.347932
PA,19900208,21.905766,24.211636,21.473416,24.211636,721.63648
PA,19900212,24.788104,24.788104,23.346935,23.635169,173.470308
PA,19900213,23.346935,23.346935,22.482234,23.058701,915.923225
PA,19900214,22.770467,22.770467,22.194,22.482234,1852.662886
PA,19900215,23.058701,23.635169,22.770467,23.202818,1477.967022
PA,19900216,23.923403,25.220454,23.923403,25.220454,763.269354
PA,19900219,26.517506,26.517506,25.941039,26.229273,929.800849
PA,19900220,26.517506,26.80574,25.652805,26.80574,1061.638283
PA,19900221,26.229273,26.517506,25.941039,26.37339,471.839237
PA,19900222,25.652805,25.941039,24.788104,25.076338,346.940615
PA,19900223,25.364571,25.364571,24.49987,25.220454,548.166172
PA,19900226,24.788104,24.788104,24.211636,24.49987,235.919618
PA,19900227,24.49987,25.364571,24.49987,24.932221,624.493108
PA,19900228,25.652805,25.652805,25.076338,25.364571,464.900425
PA,19900301,24.788104,25.508688,24.788104,25.508688,555.104985
PA,19900302,25.076338,25.076338,24.932221,25.076338,208.164369
PA,19900305,24.932221,25.076338,24.788104,24.788104,215.103182
PA,19900306,24.211636,24.49987,24.211636,24.49987,166.531495
PA,19900307,24.49987,24.49987,23.923403,24.49987,166.531495
PA,19900308,24.49987,24.49987,24.49987,24.49987,83.265748
PA,19900309,24.788104,25.076338,24.49987,25.076338,291.430117
PA,19900312,24.49987,24.49987,24.211636,24.211636,41.632874
PA,19900313,23.635169,23.635169,23.202818,23.346935,145.715058
PA,19900314,22.770467,23.058701,22.770467,23.058701,138.776246
PA,19900315,23.058701,23.923403,23.058701,23.923403,249.797243
PA,19900316,24.49987,24.788104,24.49987,24.643987,277.552492
PA,19900319,24.49987,24.788104,24.49987,24.788104,235.919618
PA,19900320,24.49987,24.49987,23.923403,24.067519,138.776246
PA,19900321,23.923403,24.211636,23.923403,24.211636,104.082185
PA,19900322,23.635169,24.067519,23.635169,24.067519,97.143372
PA,19900323,24.067519,24.211636,24.067519,24.211636,180.40912
PA,19900326,24.211636,24.49987,24.211636,24.49987,409.389926
PA,19900327,25.076338,25.364571,24.49987,25.364571,929.800849
PA,19900328,24.788104,24.788104,23.923403,24.211636,1165.720468
PA,19900329,23.635169,24.211636,22.770467,23.779286,1977.561508
PA,19900330,23.779286,23.923403,23.491052,23.491052,1013.066597
