<TICKER>,<DTYYYYMMDD>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
PAE,19960213,5.46642729,5.57575584,5.28421305,5.42998445,48814859.9985038
PAE,19960214,5.35709875,5.46642729,5.28421305,5.46642729,6592115.85356017
PAE,19960215,5.46642729,5.46642729,5.3206559,5.35709875,2367996.84561256
PAE,19960216,5.3206559,5.3935416,5.3206559,5.3206559,362001.46520075
PAE,19960219,5.3206559,5.35709875,5.3206559,5.35709875,318192.37068601
PAE,19960220,5.3935416,5.3935416,5.2477702,5.3206559,700945.51223585
PAE,19960221,5.28421305,5.3206559,5.28421305,5.3206559,186765.08714179
PAE,19960222,5.3206559,5.72152723,5.3206559,5.50287014,22492511.4205944
PAE,19960223,5.53931299,5.57575584,5.3206559,5.35709875,2845285.40164157
PAE,19960226,5.28421305,5.3206559,5.02911311,5.06555596,1708554.68607488
PAE,19960227,4.99267026,5.13844166,4.99267026,5.13844166,3541619.43024429
PAE,19960228,5.17488451,5.28421305,5.02911311,5.13844166,1865345.12960132
PAE,19960304,5.13844166,5.2477702,5.13844166,5.17488451,1067558.46106973
PAE,19960305,5.21132735,5.2477702,5.10199881,5.10199881,1418031.21718765
PAE,19960306,5.10199881,5.13844166,5.06555596,5.10199881,172930.6362424
PAE,19960307,5.13844166,5.17488451,4.99267026,4.99267026,581046.93777445
PAE,19960308,4.99267026,5.17488451,4.95622741,5.17488451,947659.88660834
PAE,19960311,5.02911311,5.02911311,4.66468462,4.81045602,2455615.03464204
PAE,19960312,4.81045602,4.84689887,4.62824178,4.70112747,735531.63948433
PAE,19960313,4.66468462,4.70112747,4.59179893,4.62824178,892322.08301077
PAE,19960314,4.62824178,4.62824178,4.44602753,4.51891323,438090.94514741
PAE,19960315,4.55535608,4.59179893,4.08159905,4.40958468,491123.00692841
PAE,19960318,4.37314184,4.44602753,4.33669899,4.44602753,440396.68696397
PAE,19960319,4.44602753,4.55535608,4.40958468,4.55535608,306663.66160318
PAE,19960320,4.51891323,4.55535608,4.48247038,4.55535608,322803.85431914
PAE,19960321,4.59179893,4.73757032,4.59179893,4.73757032,468065.58876275
PAE,19960322,4.81045602,4.81045602,4.73757032,4.73757032,209822.50530744
PAE,19960325,4.77401317,4.88334172,4.70112747,4.77401317,325109.59613571
PAE,19960326,4.77401317,4.84689887,4.70112747,4.77401317,258243.08345531
PAE,19960327,4.81045602,4.81045602,4.70112747,4.77401317,131427.28354422
PAE,19960328,4.77401317,4.84689887,4.73757032,4.81045602,205211.02167431
PAE,19960329,4.81045602,4.84689887,4.77401317,4.81045602,136038.76717735
PAE,19960401,4.81045602,4.91978456,4.81045602,4.91978456,239797.14892279
PAE,19960402,4.88334172,4.99267026,4.88334172,4.95622741,624856.03228919
PAE,19960403,4.95622741,4.95622741,4.77401317,4.84689887,366612.94883388
PAE,19960404,4.84689887,4.99267026,4.77401317,4.84689887,278994.7598044
PAE,19960405,4.84689887,4.88334172,4.77401317,4.81045602,156790.44352644
PAE,19960409,4.77401317,4.84689887,4.73757032,4.81045602,267466.05072157
PAE,19960410,4.81045602,4.81045602,4.73757032,4.73757032,1554069.98436501
PAE,19960411,4.77401317,4.81045602,4.70112747,4.77401317,189070.82895835
PAE,19960416,4.77401317,4.88334172,4.70112747,4.73757032,569518.22869163
PAE,19960417,4.73757032,4.73757032,4.51891323,4.62824178,883099.11574451
PAE,19960418,4.59179893,4.62824178,4.51891323,4.62824178,486511.52329528
PAE,19960419,4.62824178,4.66468462,4.55535608,4.62824178,421950.75243145
PAE,19960422,4.59179893,4.59179893,4.48247038,4.59179893,712474.22131868
PAE,19960423,4.55535608,4.55535608,4.48247038,4.55535608,747060.34856716
PAE,19960424,4.51891323,4.59179893,4.44602753,4.59179893,1344247.47905757
PAE,19960425,4.55535608,4.55535608,4.51891323,4.51891323,698639.77041928
PAE,19960426,4.55535608,4.59179893,4.51891323,4.59179893,1175928.3264483
PAE,19960429,4.55535608,4.55535608,4.51891323,4.55535608,468065.58876275
PAE,19960430,4.55535608,4.55535608,4.48247038,4.55535608,717085.70495181
PAE,19960502,4.55535608,4.62824178,4.55535608,4.62824178,1293521.15909313
PAE,19960503,4.62824178,4.62824178,4.59179893,4.62824178,1044501.04290408
PAE,19960507,4.59179893,4.62824178,4.55535608,4.59179893,1166705.35918204
PAE,19960508,4.59179893,4.59179893,4.55535608,4.59179893,772423.50854937
PAE,19960509,4.59179893,4.59179893,4.55535608,4.59179893,781646.47581563
PAE,19960510,4.62824178,4.70112747,4.59179893,4.70112747,1611713.52977914
PAE,19960513,4.66468462,4.66468462,4.59179893,4.59179893,562601.00324193
PAE,19960514,4.62824178,4.73757032,4.62824178,4.73757032,1616325.01341227
PAE,19960515,4.73757032,4.84689887,4.70112747,4.84689887,1464146.05351896
PAE,19960516,4.84689887,4.88334172,4.73757032,4.81045602,3181923.7068601
PAE,19960517,4.77401317,4.77401317,4.70112747,4.77401317,2344939.4274469
PAE,19960520,4.73757032,4.77401317,4.73757032,4.73757032,666359.38498737
PAE,19960521,4.73757032,4.77401317,4.70112747,4.77401317,1328107.28634161
PAE,19960522,4.73757032,4.77401317,4.70112747,4.73757032,1113673.29740104
PAE,19960523,4.70112747,4.73757032,4.70112747,4.73757032,1348858.9626907
PAE,19960524,4.73757032,4.91978456,4.70112747,4.91978456,2388748.52196164
PAE,19960527,4.91978456,4.99267026,4.91978456,4.99267026,1480286.24623492
PAE,19960528,4.99267026,4.99267026,4.88334172,4.91978456,809315.37761442
PAE,19960529,4.91978456,4.91978456,4.84689887,4.88334172,235185.66528966
PAE,19960530,4.88334172,4.91978456,4.84689887,4.91978456,652524.93408798
PAE,19960603,4.91978456,4.95622741,4.81045602,4.84689887,1450311.60261957
PAE,19960604,4.81045602,4.81045602,4.66468462,4.81045602,2132811.1803229
PAE,19960605,4.77401317,4.77401317,4.73757032,4.77401317,481900.03966215
PAE,19960606,4.73757032,4.73757032,4.70112747,4.73757032,184459.34532522
PAE,19960607,4.73757032,4.77401317,4.73757032,4.77401317,666359.38498737
PAE,19960611,4.81045602,4.81045602,4.70112747,4.81045602,1805395.84237062
PAE,19960612,4.81045602,4.81045602,4.70112747,4.81045602,1489509.21350118
PAE,19960613,4.77401317,4.91978456,4.77401317,4.88334172,3329491.18312028
PAE,19960614,4.91978456,4.99267026,4.88334172,4.99267026,3516256.27026207
PAE,19960617,4.99267026,5.06555596,4.99267026,5.02911311,1729306.36242397
PAE,19960618,5.02911311,5.06555596,5.02911311,5.02911311,1826147.51871971
PAE,19960619,5.02911311,5.06555596,4.99267026,4.99267026,984551.75567338
PAE,19960620,4.99267026,5.02911311,4.99267026,5.02911311,1268157.99911091
PAE,19960621,5.02911311,5.10199881,4.99267026,5.10199881,1567904.4352644
PAE,19960624,5.06555596,5.13844166,5.06555596,5.10199881,936131.17752551
PAE,19960625,5.10199881,5.13844166,5.06555596,5.13844166,929213.95207581
PAE,19960626,5.13844166,5.2477702,5.13844166,5.2477702,2593959.54363595
PAE,19960627,5.21132735,5.2477702,5.17488451,5.21132735,1507955.1480337
PAE,19960628,5.2477702,5.3206559,5.21132735,5.3206559,2808393.53257653
PAE,19960702,5.3206559,5.3206559,5.21132735,5.21132735,1740835.0715068
PAE,19960703,5.17488451,5.28421305,5.17488451,5.21132735,1690108.75154236
PAE,19960704,5.2477702,5.3206559,5.21132735,5.2477702,1768503.97330558
PAE,19960705,5.21132735,5.35709875,5.21132735,5.35709875,2568596.38365374
PAE,19960708,5.2477702,5.3206559,5.17488451,5.21132735,1482591.98805148
PAE,19960709,5.21132735,5.28421305,5.21132735,5.2477702,1634770.94794479
PAE,19960710,5.2477702,5.35709875,5.2477702,5.3206559,2236569.56206833
PAE,19960711,5.3206559,5.35709875,5.28421305,5.35709875,2107448.02034068
PAE,19960712,5.35709875,5.35709875,5.21132735,5.2477702,1699331.71880862
PAE,19960715,5.2477702,5.2477702,5.10199881,5.13844166,894627.82482733
PAE,19960716,5.10199881,5.17488451,5.06555596,5.10199881,1358081.92995696
PAE,19960717,5.10199881,5.13844166,5.10199881,5.13844166,474982.81421245
PAE,19960718,5.13844166,5.2477702,5.10199881,5.2477702,2199677.69300329
PAE,19960719,5.2477702,5.28421305,5.17488451,5.21132735,749366.09038372
PAE,19960722,5.21132735,5.21132735,5.02911311,5.10199881,516486.16691063
PAE,19960723,5.06555596,5.10199881,4.95622741,5.10199881,1247406.32276182
PAE,19960724,5.06555596,5.10199881,5.06555596,5.10199881,92229.67266261
PAE,19960725,5.06555596,5.35709875,4.99267026,5.21132735,2746138.50352926
PAE,19960726,5.13844166,5.13844166,5.06555596,5.10199881,1106756.07195134
PAE,19960729,5.06555596,5.06555596,4.91978456,4.99267026,652524.93408798
PAE,19960731,4.95622741,4.95622741,4.81045602,4.88334172,1288909.67546
PAE,19960801,4.88334172,5.02911311,4.88334172,4.99267026,1471063.27896866
PAE,19960802,4.99267026,5.06555596,4.95622741,4.99267026,659442.15953767
PAE,19960805,4.99267026,5.06555596,4.99267026,5.06555596,631773.25773889
PAE,19960806,5.06555596,5.10199881,5.02911311,5.06555596,359695.72338419
PAE,19960807,5.02911311,5.02911311,4.99267026,4.99267026,106064.123562
PAE,19960808,4.99267026,5.02911311,4.95622741,4.99267026,788563.70126533
PAE,19960809,4.99267026,4.99267026,4.95622741,4.99267026,569518.22869163
PAE,19960813,4.95622741,4.99267026,4.91978456,4.95622741,611021.5813898
PAE,19960814,4.95622741,4.99267026,4.88334172,4.99267026,1328107.28634161
PAE,19960815,4.95622741,5.06555596,4.95622741,5.06555596,1016832.14110529
PAE,19960816,5.06555596,5.10199881,5.02911311,5.10199881,419645.01061488
PAE,19960819,5.10199881,5.10199881,5.02911311,5.06555596,285911.9852541
PAE,19960820,5.02911311,5.06555596,5.02911311,5.06555596,472677.07239589
PAE,19960821,5.06555596,5.17488451,5.06555596,5.17488451,700945.51223585
PAE,19960822,5.13844166,5.17488451,5.10199881,5.10199881,308969.40341975
PAE,19960823,5.13844166,5.21132735,5.13844166,5.21132735,998386.20657277
PAE,19960826,5.21132735,5.21132735,5.13844166,5.13844166,468065.58876275
PAE,19960827,5.13844166,5.13844166,5.10199881,5.13844166,435785.20333084
PAE,19960828,5.13844166,5.21132735,5.10199881,5.13844166,938436.91934207
PAE,19960829,5.13844166,5.21132735,5.13844166,5.21132735,534932.10144315
PAE,19960830,5.17488451,5.21132735,5.17488451,5.21132735,454231.13786336
PAE,19960902,5.21132735,5.21132735,5.13844166,5.13844166,251325.85800562
PAE,19960903,5.13844166,5.17488451,5.02911311,5.02911311,1044501.04290408
PAE,19960904,5.02911311,5.10199881,4.95622741,5.02911311,1210514.45369678
PAE,19960905,4.99267026,5.02911311,4.91978456,4.99267026,1913765.70774919
PAE,19960906,4.95622741,4.95622741,4.91978456,4.91978456,348167.01430136
PAE,19960909,4.88334172,4.88334172,4.81045602,4.81045602,232879.9234731
PAE,19960910,4.81045602,4.84689887,4.81045602,4.84689887,265160.30890501
PAE,19960911,4.84689887,4.88334172,4.84689887,4.84689887,191376.57077492
PAE,19960912,4.84689887,5.02911311,4.84689887,5.02911311,592575.64685728
