<TICKER>,<DTYYYYMMDD>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
PCA,20140623,6.55,7.00,4.90,5.00,373773200.00
PCA,20140624,5.20,5.65,4.96,5.05,82240600.00
PCA,20140625,5.10,5.15,4.84,4.84,18650700.00
PCA,20140626,4.86,5.05,4.86,4.90,14361100.00
PCA,20140627,4.92,5.05,4.92,4.94,12922400.00
PCA,20140630,5.00,5.05,4.90,4.92,9159400.00
PCA,20140702,4.96,5.15,4.94,5.00,16531800.00
PCA,20140703,5.00,5.05,4.94,4.98,7097800.00
PCA,20140704,5.00,5.05,4.98,4.98,8010100.00
PCA,20140707,5.00,5.00,4.90,4.92,4484900.00
PCA,20140708,4.94,4.94,4.88,4.88,2671300.00
PCA,20140709,4.90,4.94,4.86,4.90,2617700.00
PCA,20140710,4.90,4.98,4.88,4.88,4318400.00
PCA,20140714,4.90,4.92,4.86,4.86,1842100.00
PCA,20140715,4.90,5.05,4.84,5.05,11279500.00
PCA,20140716,5.10,5.25,5.05,5.25,32871400.00
PCA,20140717,5.25,5.45,5.20,5.25,19995000.00
PCA,20140718,5.25,5.35,4.96,5.05,8311400.00
PCA,20140721,5.05,5.20,5.05,5.10,4478300.00
PCA,20140722,5.10,5.10,4.94,4.96,4761900.00
PCA,20140723,5.00,5.30,5.00,5.20,14885400.00
PCA,20140724,5.25,5.35,5.20,5.25,12785000.00
PCA,20140725,5.35,5.35,5.15,5.25,6951900.00
PCA,20140728,5.25,5.25,5.05,5.10,2209300.00
PCA,20140729,5.20,5.20,4.90,4.90,7217700.00
PCA,20140730,4.90,4.90,4.68,4.74,3732700.00
PCA,20140731,4.74,4.78,4.66,4.66,1890100.00
PCA,20140801,4.60,4.60,4.50,4.58,773200.00
PCA,20140804,4.58,4.74,4.56,4.60,1809600.00
PCA,20140805,4.66,4.84,4.64,4.78,2097400.00
PCA,20140806,4.76,5.10,4.76,4.90,12345200.00
PCA,20140807,4.94,5.10,4.90,4.90,4140500.00
PCA,20140808,4.88,4.90,4.80,4.82,2314600.00
PCA,20140813,4.90,4.90,4.60,4.60,3728200.00
PCA,20140814,4.62,4.68,4.60,4.62,1081400.00
PCA,20140815,4.62,4.68,4.62,4.66,750900.00
PCA,20140818,4.62,4.90,4.62,4.78,3826100.00
PCA,20140819,4.78,5.10,4.78,5.05,9207500.00
PCA,20140820,5.15,5.15,4.82,4.86,9888000.00
PCA,20140821,4.90,4.92,4.84,4.84,1642600.00
PCA,20140822,4.88,4.98,4.88,4.92,4449000.00
PCA,20140825,5.00,5.05,4.98,5.00,4032400.00
PCA,20140826,5.05,5.05,4.92,4.94,2210900.00
PCA,20140827,4.98,5.60,4.94,5.30,50563600.00
PCA,20140828,5.30,5.50,5.10,5.15,18383400.00
