<TICKER>,<DTYYYYMMDD>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
PE,20060905,6.20,6.20,1.22,3.30,416260
PE,20060906,3.30,3.40,2.38,2.38,1138100
PE,20060907,2.34,2.54,2.20,2.22,800700
PE,20060908,2.20,2.24,2.14,2.20,1400
PE,20060911,2.16,2.24,2.10,2.24,329401
PE,20060912,2.26,2.34,2.18,2.18,1362801
PE,20060913,2.22,2.24,2.18,2.18,116500
PE,20060914,2.20,2.22,2.16,2.16,42600
PE,20060915,2.14,2.36,2.12,2.36,597400
PE,20060918,2.38,2.76,2.24,2.24,13358396
PE,20060919,2.30,2.40,2.10,2.12,385100
PE,20060921,2.00,2.00,1.84,1.84,642000
PE,20060922,1.84,1.84,1.66,1.70,173800
PE,20060925,1.79,1.79,1.72,1.72,800
PE,20060926,1.75,1.84,1.75,1.84,65100
PE,20060927,1.83,1.84,1.74,1.74,83800
PE,20060928,1.83,1.83,1.69,1.72,50100
PE,20060929,1.73,1.73,1.68,1.68,2400
PE,20061002,1.68,1.68,1.63,1.63,7000
PE,20061003,1.60,1.63,1.52,1.52,158400
PE,20061004,1.54,1.55,1.51,1.51,1000
PE,20061005,1.52,1.57,1.52,1.57,6800
PE,20061006,1.57,1.57,1.54,1.55,300
PE,20061009,1.54,1.59,1.54,1.59,3000
PE,20061010,1.59,1.68,1.57,1.58,31500
PE,20061011,1.59,1.59,1.53,1.53,19100
PE,20061012,1.59,1.59,1.55,1.56,25900
PE,20061013,1.56,1.57,1.48,1.48,19600
PE,20061016,1.49,1.55,1.47,1.55,20400
PE,20061017,1.55,1.55,1.41,1.41,47200
PE,20061018,1.41,1.45,1.41,1.45,600
PE,20061019,1.49,1.59,1.46,1.46,54000
PE,20061020,1.49,1.49,1.49,1.49,600
PE,20061024,1.58,1.58,1.41,1.44,22500
PE,20061025,1.44,1.50,1.44,1.50,6900
PE,20061026,1.50,1.51,1.49,1.51,7500
PE,20061027,1.51,1.54,1.45,1.46,23400
PE,20061030,1.47,1.51,1.47,1.47,5100
PE,20061031,1.49,1.49,1.45,1.45,139100
PE,20061101,1.43,1.43,1.43,1.43,3500
PE,20061102,1.52,1.53,1.40,1.44,42700
PE,20061103,1.45,1.47,1.42,1.44,12200
PE,20061106,1.47,1.47,1.47,1.47,100
PE,20061107,1.47,1.47,1.38,1.38,167800
PE,20061108,1.43,1.43,1.36,1.36,47500
PE,20061109,1.36,1.39,1.32,1.33,71900
PE,20061110,1.32,1.33,1.28,1.29,81200
PE,20061113,1.30,1.30,1.27,1.28,4900
PE,20061114,1.25,1.28,1.20,1.24,100
PE,20061115,1.25,1.27,1.25,1.27,9900
PE,20061116,1.24,1.31,1.24,1.28,302400
PE,20061117,1.29,1.32,1.27,1.27,671300
PE,20061120,1.29,1.48,1.29,1.40,808200
PE,20061121,1.40,1.43,1.25,1.25,100
PE,20061122,1.28,1.31,1.25,1.25,330576
PE,20061123,1.25,1.27,1.25,1.27,20100
PE,20061124,1.26,1.26,1.25,1.25,33601
PE,20061127,1.26,1.27,1.23,1.27,4400
PE,20061128,1.27,1.27,1.25,1.25,67000
PE,20061129,1.26,1.50,1.23,1.50,9723000
PE,20061130,1.54,1.90,1.22,1.22,32789200
PE,20061201,1.26,1.26,1.18,1.18,1218700
PE,20061204,1.19,1.19,1.13,1.15,659200
PE,20061206,1.18,1.24,1.16,1.16,100
PE,20061207,1.19,1.19,1.14,1.15,527000
PE,20061208,1.14,1.15,1.12,1.12,324901
PE,20061212,1.12,1.13,1.01,1.01,122000
PE,20061213,1.05,1.09,1.00,1.02,687100
PE,20061214,1.02,1.05,0.99,1.00,282100
PE,20061215,1.01,1.02,0.97,0.97,69800
PE,20061218,1.00,1.00,0.95,0.97,100
PE,20061219,0.94,0.97,0.63,0.76,470500
PE,20061220,0.82,0.95,0.82,0.88,188700
PE,20061221,0.88,0.88,0.82,0.84,65600
PE,20061222,0.85,0.93,0.85,0.90,98000
PE,20061225,0.91,0.92,0.84,0.84,298500
PE,20061226,0.87,0.87,0.84,0.84,500
PE,20061227,0.85,0.90,0.82,0.86,286400
PE,20061228,0.86,0.86,0.71,0.77,138600
PE,20061229,0.76,0.79,0.76,0.78,83600
PE,20070103,0.76,0.77,0.70,0.75,275600
PE,20070104,0.76,0.78,0.72,0.74,155100
PE,20070105,0.70,0.73,0.70,0.70,70800
PE,20070108,0.71,0.72,0.70,0.71,90100
PE,20070109,0.71,0.72,0.67,0.67,64600
PE,20070110,0.72,0.72,0.69,0.70,166400
PE,20070111,0.71,0.73,0.71,0.72,91900
PE,20070112,0.73,0.73,0.71,0.72,61200
PE,20070115,0.73,0.73,0.70,0.70,30400
PE,20070116,0.70,0.72,0.69,0.69,81200
PE,20070117,0.69,0.70,0.66,0.70,157900
PE,20070118,0.70,0.71,0.69,0.70,47300
PE,20070119,0.71,0.71,0.71,0.71,28000
PE,20070122,0.71,0.71,0.69,0.69,12000
PE,20070123,0.69,0.69,0.69,0.69,42400
PE,20070124,0.69,0.70,0.69,0.70,35600
PE,20070125,0.70,0.70,0.70,0.70,6000
PE,20070126,0.71,0.78,0.71,0.77,117100
PE,20070129,0.77,0.77,0.73,0.73,23900
PE,20070130,0.72,0.78,0.72,0.76,73400
PE,20070131,0.76,0.77,0.73,0.73,243000
PE,20070201,0.73,1.13,0.73,1.12,9636800
PE,20070202,1.19,1.29,1.01,1.05,5859000
PE,20070205,1.11,1.11,0.99,1.09,2401900
PE,20070206,1.09,1.41,1.08,1.41,25220500
PE,20070207,1.43,1.47,1.25,1.33,39698600
PE,20070208,1.36,1.66,1.35,1.61,73658700
PE,20070209,1.71,1.88,1.68,1.88,47961500
PE,20070212,2.02,2.30,1.99,2.30,52769700
PE,20070213,2.28,2.92,2.18,2.42,98062200
PE,20070214,2.44,2.78,2.22,2.30,48389900
PE,20070215,2.48,2.54,2.24,2.38,30117700
PE,20070216,2.42,2.44,2.24,2.26,13431900
PE,20070219,2.24,2.26,2.06,2.12,8540100
PE,20070220,2.16,2.72,2.16,2.70,61108900
PE,20070221,2.84,3.28,2.76,2.84,110437000
PE,20070222,2.94,3.16,2.86,2.94,48750400
PE,20070223,3.14,3.16,2.86,3.08,37586100
PE,20070226,3.12,3.20,2.96,3.20,38441500
PE,20070227,3.20,3.50,3.18,3.34,77747800
PE,20070228,3.34,3.46,3.22,3.30,44795800
PE,20070301,3.38,3.76,3.36,3.50,77304600
PE,20070302,3.68,3.82,3.40,3.44,49488000
PE,20070306,3.58,3.68,3.40,3.48,27042900
PE,20070307,3.40,3.44,2.72,3.22,71427200
PE,20070308,3.26,3.30,3.12,3.16,31106700
PE,20070309,3.18,3.44,3.14,3.26,55645700
PE,20070312,3.34,3.58,3.30,3.40,59140300
PE,20070313,3.46,3.50,3.32,3.36,22217100
PE,20070314,3.30,3.40,3.14,3.14,22488600
PE,20070315,3.18,3.22,2.66,2.74,17426300
PE,20070316,2.80,2.90,2.70,2.70,18179600
PE,20070319,2.76,2.88,2.66,2.74,27153700
PE,20070320,2.76,2.86,2.68,2.68,18911000
PE,20070321,2.72,2.78,2.44,2.52,17056100
PE,20070322,2.58,3.06,2.32,3.04,115066900
PE,20070323,3.14,3.18,2.80,2.80,71009600
PE,20070326,2.82,2.92,2.68,2.76,44826600
PE,20070327,2.78,2.86,2.72,2.76,29820300
PE,20070328,2.76,2.78,2.32,2.44,23368000
PE,20070329,2.40,2.46,2.34,2.34,8715600
PE,20070330,2.38,2.42,2.14,2.20,18211900
PE,20070402,2.22,2.28,2.18,2.20,37802800
PE,20070403,2.22,2.22,2.12,2.12,13940200
PE,20070404,2.14,2.30,2.14,2.28,36915900
PE,20070405,2.28,2.34,2.16,2.18,26404100
PE,20070409,2.20,2.22,2.02,2.08,10062600
PE,20070410,2.06,2.14,2.02,2.06,9414500
PE,20070411,2.06,2.12,2.02,2.04,6804600
PE,20070412,2.06,2.12,2.02,2.06,24178000
PE,20070417,2.10,2.14,2.06,2.10,12396700
PE,20070418,2.12,2.26,2.10,2.22,49910500
PE,20070419,2.24,2.32,2.18,2.18,38080300
PE,20070420,2.22,2.24,2.10,2.14,19415700
PE,20070423,2.18,2.26,2.16,2.26,39228200
PE,20070424,2.26,2.26,2.08,2.10,35921500
PE,20070425,2.12,2.14,2.00,2.02,15863200
PE,20070426,2.04,2.08,1.96,1.96,13989300
PE,20070427,1.97,1.99,1.81,1.83,15428400
PE,20070430,1.84,1.93,1.83,1.89,16703900
PE,20070502,1.90,1.92,1.85,1.87,10779100
PE,20070503,1.88,1.91,1.77,1.80,16078400
PE,20070504,1.82,1.82,1.66,1.66,9691200
PE,20070508,1.67,1.69,1.60,1.63,5851400
PE,20070509,1.64,1.67,1.61,1.61,6945500
PE,20070510,1.62,1.64,1.50,1.51,6253300
PE,20070511,1.47,1.52,1.44,1.44,7587000
PE,20070514,1.46,1.73,1.31,1.72,63194100
PE,20070515,1.73,1.80,1.65,1.65,67623600
PE,20070516,1.68,1.73,1.57,1.60,27298600
PE,20070517,1.61,1.67,1.59,1.61,20877600
PE,20070518,1.62,1.65,1.54,1.55,11492500
PE,20070521,1.55,1.60,1.53,1.54,12724800
PE,20070522,1.55,1.66,1.53,1.59,37984600
PE,20070523,1.60,1.63,1.56,1.56,9950200
PE,20070524,1.58,1.60,1.50,1.50,8420000
PE,20070525,1.53,1.58,1.49,1.50,17368600
PE,20070528,1.51,1.55,1.50,1.51,9059400
PE,20070529,1.52,1.53,1.47,1.47,9545700
PE,20070530,1.48,1.59,1.48,1.52,28988800
PE,20070601,1.54,1.56,1.52,1.52,12959700
