<TICKER>,<DTYYYYMMDD>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
PM,20080527,3.10,3.12,2.88,2.88,99731400
PM,20080528,2.92,2.94,2.68,2.68,25186400
PM,20080529,2.74,2.78,2.64,2.66,26736100
PM,20080530,2.68,2.78,2.66,2.72,27512500
PM,20080602,2.66,2.68,2.36,2.36,15394900
PM,20080603,2.42,2.58,2.38,2.56,25855200
PM,20080604,2.54,2.58,2.46,2.52,13696100
PM,20080605,2.52,2.66,2.50,2.62,25221500
PM,20080606,2.62,2.64,2.58,2.58,9890400
PM,20080609,2.52,2.56,2.46,2.48,6124200
PM,20080610,2.48,2.52,2.24,2.26,10176900
PM,20080611,2.28,2.40,2.26,2.32,11169700
PM,20080612,2.28,2.34,2.28,2.28,5888800
PM,20080613,2.30,2.34,2.18,2.18,9148500
PM,20080616,2.22,2.24,2.16,2.16,5139100
PM,20080617,2.16,2.24,2.12,2.16,10634800
PM,20080618,2.16,2.18,2.00,2.00,9706200
PM,20080619,2.02,2.02,1.85,1.85,6421300
PM,20080620,1.85,1.92,1.83,1.90,6186300
PM,20080623,1.88,2.12,1.86,2.06,14030100
PM,20080624,2.08,2.18,2.08,2.08,15465600
PM,20080625,2.10,2.26,2.10,2.14,18508300
PM,20080626,2.16,2.16,2.06,2.06,4705700
PM,20080627,2.02,2.06,2.02,2.04,2054300
PM,20080630,2.06,2.10,2.02,2.02,3343800
PM,20080702,2.04,2.04,1.96,1.96,1962100
PM,20080703,1.96,2.00,1.89,1.89,1994400
PM,20080704,1.90,1.92,1.89,1.89,1785300
PM,20080707,1.90,1.90,1.78,1.78,1269100
PM,20080708,1.78,1.81,1.73,1.76,782700
PM,20080709,1.78,1.81,1.74,1.74,2303300
PM,20080710,1.73,1.77,1.72,1.76,1510300
PM,20080711,1.77,1.83,1.76,1.78,6105200
PM,20080714,1.79,1.80,1.74,1.74,2433600
PM,20080715,1.74,1.74,1.63,1.63,1189300
PM,20080716,1.65,1.66,1.55,1.55,1478100
PM,20080718,1.56,1.60,1.54,1.54,425100
PM,20080721,1.55,1.58,1.55,1.57,998500
PM,20080722,1.58,1.65,1.56,1.60,3819000
PM,20080723,1.62,1.69,1.61,1.66,4101900
PM,20080724,1.66,1.69,1.65,1.65,2164000
PM,20080725,1.64,1.94,1.63,1.80,25496800
PM,20080728,1.80,1.85,1.74,1.78,12038600
PM,20080729,1.79,1.92,1.78,1.85,26697000
PM,20080730,1.90,1.98,1.90,1.90,23604300
PM,20080731,1.91,1.92,1.85,1.85,8073700
PM,20080801,1.82,1.86,1.81,1.84,4533700
PM,20080804,1.84,1.93,1.84,1.93,11614300
PM,20080805,1.92,1.93,1.84,1.85,7292600
PM,20080806,1.88,1.88,1.82,1.82,4451500
PM,20080807,1.82,1.86,1.81,1.83,4399500
PM,20080808,1.83,1.90,1.83,1.88,14662300
PM,20080811,1.88,1.88,1.81,1.81,5840000
PM,20080813,1.82,1.88,1.82,1.86,5691500
PM,20080814,1.87,1.87,1.78,1.78,5965800
PM,20080815,1.78,1.81,1.78,1.78,2145600
PM,20080818,1.79,1.80,1.74,1.74,1826000
PM,20080819,1.73,1.74,1.70,1.70,1517100
PM,20080820,1.70,1.73,1.70,1.71,1482900
PM,20080821,1.71,1.75,1.68,1.68,2728500
PM,20080822,1.69,1.71,1.66,1.67,3624500
PM,20080825,1.67,1.67,1.60,1.60,1007900
PM,20080826,1.55,1.57,1.51,1.53,1301000
PM,20080827,1.53,1.58,1.53,1.57,1608100
PM,20080828,1.58,1.63,1.57,1.59,2863700
PM,20080829,1.60,1.63,1.56,1.57,3321500
PM,20080901,1.56,1.56,1.54,1.54,1367100
PM,20080902,1.51,1.52,1.47,1.47,1362300
PM,20080903,1.48,1.49,1.45,1.46,537900
PM,20080904,1.47,1.51,1.47,1.48,4428900
PM,20080905,1.47,1.57,1.47,1.52,17904400
PM,20080908,1.54,1.58,1.53,1.56,10125600
PM,20080909,1.57,1.61,1.56,1.57,11726700
PM,20080910,1.58,1.58,1.53,1.53,2914400
PM,20080911,1.53,1.56,1.53,1.54,4264800
PM,20080912,1.55,1.60,1.55,1.57,9630000
PM,20080915,1.58,1.58,1.49,1.49,4443600
PM,20080916,1.46,1.46,1.44,1.46,1467400
PM,20080917,1.48,1.49,1.40,1.40,3170000
PM,20080918,1.39,1.39,1.25,1.32,2986000
PM,20080919,1.34,1.38,1.34,1.36,2293100
PM,20080922,1.37,1.40,1.30,1.30,2380300
PM,20080923,1.30,1.31,1.27,1.29,1159700
PM,20080924,1.31,1.32,1.30,1.32,1320200
PM,20080925,1.33,1.46,1.32,1.42,17986000
