<TICKER>,<DTYYYYMMDD>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
PPS,20120926,2.04,2.10,2.02,2.10,177455300.00
PPS,20120927,2.52,2.72,2.40,2.72,241896200.00
PPS,20120928,2.92,3.16,2.02,2.30,310999200.00
PPS,20121001,2.40,2.48,2.18,2.32,86312100.00
PPS,20121002,2.32,2.36,2.24,2.24,16700000.00
PPS,20121003,2.26,2.42,2.26,2.30,46051000.00
PPS,20121004,2.28,2.32,2.24,2.24,14334200.00
PPS,20121005,2.28,2.34,2.24,2.26,16276300.00
PPS,20121008,2.28,2.34,2.24,2.30,24446500.00
PPS,20121009,2.30,2.64,2.28,2.34,147354400.00
PPS,20121010,2.36,2.38,2.28,2.28,20718500.00
PPS,20121011,2.28,2.30,2.26,2.26,7921700.00
PPS,20121012,2.28,2.32,2.24,2.24,5859100.00
PPS,20121015,2.24,2.30,2.24,2.24,7655300.00
PPS,20121016,2.28,2.34,2.24,2.24,15025400.00
PPS,20121017,2.26,2.34,2.26,2.28,19835700.00
PPS,20121018,2.30,2.34,2.26,2.28,7612000.00
PPS,20121019,2.30,2.40,2.30,2.32,33361300.00
PPS,20121022,2.32,2.38,2.32,2.34,14172900.00
PPS,20121024,2.36,2.42,2.32,2.34,21081800.00
PPS,20121025,2.36,2.38,2.32,2.32,12187200.00
PPS,20121026,2.32,2.34,2.20,2.24,8901400.00
PPS,20121029,2.24,2.26,2.20,2.22,3856600.00
PPS,20121030,2.24,2.30,2.24,2.28,5915900.00
PPS,20121031,2.32,2.36,2.30,2.30,15626500.00
PPS,20121101,2.30,2.32,2.28,2.30,4897500.00
PPS,20121102,2.30,2.34,2.28,2.28,3456800.00
PPS,20121105,2.34,2.60,2.32,2.50,165767600.00
PPS,20121106,2.54,2.56,2.42,2.44,26518300.00
PPS,20121107,2.42,2.42,2.32,2.32,19497400.00
PPS,20121108,2.30,2.42,2.30,2.36,14412600.00
PPS,20121109,2.36,2.40,2.30,2.30,11284400.00
PPS,20121112,2.32,2.34,2.28,2.28,4723200.00
PPS,20121113,2.28,2.32,2.26,2.28,3395500.00
PPS,20121114,2.28,2.34,2.26,2.28,7996500.00
PPS,20121115,2.28,2.28,2.16,2.20,4965600.00
PPS,20121116,2.20,2.26,2.20,2.22,3300100.00
PPS,20121119,2.24,2.28,2.22,2.24,2135700.00
PPS,20121120,2.26,2.34,2.22,2.24,21887200.00
PPS,20121121,2.26,2.26,2.22,2.24,2323900.00
PPS,20121122,2.22,2.26,2.22,2.22,2304000.00
PPS,20121123,2.22,2.24,2.18,2.18,2679800.00
PPS,20121126,2.22,2.24,2.20,2.22,2139900.00
PPS,20121127,2.24,2.24,2.20,2.22,2724500.00
PPS,20121128,2.22,2.24,2.18,2.20,4320900.00
PPS,20121129,2.20,2.22,2.16,2.18,4567300.00
PPS,20121130,2.20,2.26,2.18,2.20,6887300.00
PPS,20121203,2.22,2.30,2.22,2.22,16037100.00
PPS,20121204,2.22,2.24,2.18,2.22,5732600.00
PPS,20121206,2.22,2.24,2.20,2.20,2981400.00
PPS,20121207,2.22,2.24,2.16,2.16,2436500.00
PPS,20121211,2.18,2.20,2.08,2.12,4993200.00
PPS,20121212,2.12,2.14,2.06,2.08,3304100.00
PPS,20121213,2.08,2.16,2.08,2.10,6008300.00
PPS,20121214,2.10,2.14,2.06,2.08,4397100.00
PPS,20121217,2.12,2.20,2.08,2.14,10937000.00
PPS,20121218,2.14,2.16,2.08,2.12,6141000.00
PPS,20121219,2.12,2.14,2.08,2.10,2052500.00
PPS,20121220,2.10,2.12,2.08,2.08,3590800.00
PPS,20121221,2.10,2.10,2.06,2.08,2000900.00
PPS,20121224,2.08,2.08,2.04,2.06,2125600.00
PPS,20121225,2.08,2.08,2.04,2.04,783200.00
PPS,20121226,2.08,2.12,2.06,2.06,2678800.00
PPS,20121227,2.06,2.10,2.04,2.06,3980400.00
PPS,20121228,2.06,2.08,2.04,2.04,1387300.00
PPS,20130102,2.12,2.12,2.06,2.06,757000.00
PPS,20130103,2.08,2.10,2.06,2.10,1433400.00
PPS,20130104,2.10,2.12,2.08,2.08,5507000.00
PPS,20130107,2.12,2.12,2.08,2.08,1957600.00
PPS,20130108,2.10,2.10,2.08,2.08,2721800.00
PPS,20130109,2.12,2.24,2.10,2.24,28716900.00
PPS,20130110,2.24,2.24,2.14,2.14,12145700.00
PPS,20130111,2.14,2.14,2.12,2.14,3625300.00
PPS,20130114,2.14,2.16,2.12,2.14,4198700.00
PPS,20130115,2.14,2.18,2.10,2.12,7063700.00
PPS,20130116,2.14,2.20,2.12,2.16,10443000.00
PPS,20130117,2.16,2.18,2.14,2.14,5961700.00
PPS,20130118,2.14,2.16,2.12,2.12,1769600.00
PPS,20130121,2.12,2.20,2.12,2.14,5296300.00
PPS,20130122,2.14,2.20,2.12,2.14,5445100.00
PPS,20130123,2.14,2.16,2.06,2.08,3617600.00
PPS,20130124,2.08,2.18,2.08,2.14,8366000.00
PPS,20130125,2.16,2.16,2.10,2.12,1959800.00
PPS,20130128,2.14,2.14,2.08,2.08,1626800.00
PPS,20130129,2.10,2.12,2.08,2.08,1966700.00
PPS,20130130,2.10,2.12,2.08,2.08,3436600.00
PPS,20130131,2.08,2.10,2.06,2.06,2433100.00
PPS,20130201,2.08,2.10,2.06,2.08,1992100.00
PPS,20130204,2.08,2.12,2.08,2.08,3551700.00
PPS,20130205,2.08,2.10,2.08,2.08,881900.00
PPS,20130206,2.10,2.10,2.04,2.06,3021900.00
PPS,20130207,2.06,2.06,2.04,2.04,1726700.00
PPS,20130208,2.06,2.08,2.04,2.04,1924600.00
PPS,20130211,2.06,2.08,2.02,2.02,1900000.00
PPS,20130212,2.04,2.12,2.04,2.06,6456000.00
PPS,20130213,2.08,2.10,2.04,2.04,2956200.00
PPS,20130214,2.04,2.08,1.98,1.99,2815200.00
PPS,20130215,1.99,2.00,1.94,1.99,2312500.00
PPS,20130218,2.00,2.04,1.96,1.96,1394700.00
PPS,20130219,1.97,1.99,1.95,1.95,1179400.00
PPS,20130220,1.98,2.00,1.90,1.95,1778200.00
PPS,20130221,1.95,1.96,1.90,1.90,2382700.00
PPS,20130222,1.89,1.92,1.88,1.88,2138800.00
PPS,20130226,1.85,1.85,1.81,1.82,2470300.00
PPS,20130227,1.80,1.84,1.79,1.79,788200.00
PPS,20130228,1.80,1.80,1.68,1.70,2098300.00
PPS,20130301,1.70,1.91,1.62,1.81,7554900.00
PPS,20130304,1.77,1.84,1.77,1.78,802900.00
PPS,20130305,1.80,1.80,1.78,1.78,423400.00
PPS,20130306,1.79,1.80,1.78,1.78,492100.00
PPS,20130307,1.80,1.94,1.78,1.88,6365500.00
PPS,20130308,1.88,1.91,1.88,1.88,2211800.00
PPS,20130311,1.89,1.93,1.89,1.91,3396700.00
PPS,20130312,1.94,2.02,1.93,1.97,7569200.00
PPS,20130313,2.00,2.02,1.93,1.93,3526100.00
PPS,20130314,1.93,1.93,1.89,1.91,1262600.00
PPS,20130315,1.93,1.94,1.91,1.92,565400.00
PPS,20130318,1.92,1.98,1.88,1.91,932600.00
PPS,20130319,1.92,1.99,1.85,1.86,2013500.00
PPS,20130320,1.87,1.88,1.80,1.81,648600.00
PPS,20130321,1.82,1.86,1.77,1.77,2284500.00
PPS,20130322,1.74,1.75,1.57,1.60,2355000.00
PPS,20130325,1.62,1.67,1.62,1.64,697900.00
PPS,20130326,1.66,1.70,1.64,1.66,591500.00
PPS,20130327,1.68,1.77,1.68,1.75,1814500.00
PPS,20130328,1.76,1.78,1.74,1.75,807700.00
PPS,20130329,1.75,1.82,1.73,1.76,1580400.00
PPS,20130401,1.76,1.76,1.75,1.75,309700.00
PPS,20130402,1.76,1.80,1.73,1.75,2927800.00
PPS,20130403,1.76,1.81,1.70,1.70,1776900.00
PPS,20130404,1.60,1.70,1.60,1.70,879900.00
PPS,20130405,1.70,1.75,1.68,1.69,2581200.00
PPS,20130409,1.69,1.73,1.60,1.60,609600.00
PPS,20130410,1.61,1.62,1.57,1.61,499900.00
PPS,20130411,1.61,1.64,1.60,1.64,513000.00
PPS,20130412,1.64,1.65,1.63,1.64,263600.00
PPS,20130417,1.63,1.66,1.62,1.63,428000.00
PPS,20130418,1.63,1.68,1.63,1.68,1376400.00
PPS,20130419,1.70,1.76,1.66,1.71,7332300.00
PPS,20130422,1.71,1.72,1.67,1.70,899800.00
PPS,20130423,1.67,1.69,1.63,1.66,465000.00
PPS,20130424,1.64,1.67,1.63,1.63,516000.00
PPS,20130425,1.65,1.66,1.64,1.64,108900.00
PPS,20130426,1.66,1.78,1.65,1.68,6757600.00
PPS,20130429,1.68,1.74,1.68,1.68,2530100.00
PPS,20130430,1.70,1.78,1.69,1.72,6153700.00
PPS,20130502,1.73,2.14,1.73,2.02,143327300.00
PPS,20130503,1.97,2.00,1.87,1.91,18741000.00
PPS,20130507,1.91,1.97,1.87,1.90,23308500.00
PPS,20130508,1.92,2.02,1.90,1.92,25527900.00
PPS,20130509,1.95,1.96,1.88,1.88,7318100.00
PPS,20130510,1.91,1.92,1.87,1.89,2040000.00
PPS,20130513,1.79,1.81,1.75,1.76,2961200.00
PPS,20130514,1.76,1.84,1.74,1.74,4117000.00
PPS,20130515,1.75,1.76,1.71,1.71,1996300.00
PPS,20130516,1.72,1.75,1.69,1.71,2580100.00
PPS,20130517,1.73,1.73,1.70,1.70,630000.00
PPS,20130520,1.71,1.73,1.71,1.71,665900.00
PPS,20130521,1.70,1.73,1.70,1.71,731000.00
PPS,20130522,1.72,1.73,1.69,1.69,516200.00
PPS,20130523,1.69,1.71,1.64,1.64,1070500.00
PPS,20130527,1.64,1.64,1.57,1.59,683800.00
PPS,20130528,1.58,1.63,1.57,1.60,856600.00
PPS,20130529,1.59,1.65,1.59,1.59,1194600.00
PPS,20130530,1.60,1.64,1.59,1.61,716800.00
PPS,20130531,1.64,1.67,1.60,1.60,540400.00
PPS,20130603,1.60,1.62,1.56,1.58,588700.00
PPS,20130604,1.59,1.59,1.55,1.58,358300.00
PPS,20130605,1.57,1.57,1.53,1.53,517700.00
PPS,20130606,1.45,1.49,1.35,1.38,1435500.00
PPS,20130607,1.38,1.40,1.36,1.38,184900.00
PPS,20130610,1.42,1.49,1.39,1.40,507600.00
