<TICKER>,<DTYYYYMMDD>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
PS,20051206,3.64,4.12,3.56,4.08,null
PS,20051207,4.12,4.22,4.06,4.10,null
PS,20051208,4.20,4.38,4.16,4.32,null
PS,20051209,4.38,4.46,4.36,4.44,null
PS,20051213,4.44,4.46,4.36,4.40,null
PS,20051214,4.40,4.40,4.34,4.34,null
PS,20051215,4.32,4.36,4.24,4.36,null
PS,20051216,4.32,4.40,4.32,4.40,null
PS,20051219,4.40,4.48,4.38,4.38,null
PS,20051220,4.40,4.42,4.32,4.38,null
PS,20051221,4.40,4.42,4.40,4.42,null
PS,20051222,4.40,4.42,4.38,4.40,null
PS,20051223,4.40,4.62,4.38,4.62,null
PS,20051226,4.62,4.96,4.62,4.90,null
PS,20051227,4.96,4.96,4.80,4.90,null
PS,20051228,4.88,5.10,4.82,5.00,8557100
PS,20051229,5.05,5.30,4.84,4.86,8032700
PS,20051230,4.86,4.94,4.86,4.86,781700
PS,20060103,4.86,5.15,4.86,5.15,null
PS,20060104,5.40,5.75,5.40,5.50,null
PS,20060105,5.40,5.45,5.10,5.20,null
PS,20060106,5.20,5.35,5.15,5.35,null
PS,20060109,5.40,5.55,5.25,5.35,null
PS,20060110,5.40,5.40,5.15,5.20,null
PS,20060111,5.30,6.05,5.25,6.05,null
PS,20060112,5.85,6.35,5.70,6.15,null
PS,20060113,6.20,6.55,6.10,6.30,null
PS,20060116,6.30,6.30,6.00,6.05,null
PS,20060117,6.05,6.20,6.00,6.05,null
PS,20060118,6.10,6.40,6.10,6.35,null
PS,20060119,6.50,7.15,6.50,6.75,null
PS,20060120,6.90,7.15,6.55,6.60,null
PS,20060123,6.55,6.55,6.20,6.25,null
PS,20060124,6.35,6.45,6.00,6.15,null
PS,20060125,6.15,6.65,6.15,6.60,null
PS,20060126,6.70,6.80,6.50,6.60,null
PS,20060127,6.80,6.80,6.50,6.55,null
PS,20060130,6.55,6.55,6.30,6.40,null
PS,20060131,6.30,6.30,6.15,6.20,null
PS,20060201,6.20,6.30,6.20,6.30,null
PS,20060202,6.30,6.30,6.00,6.05,null
PS,20060203,6.05,6.30,6.05,6.30,null
PS,20060206,6.35,6.35,6.15,6.15,null
PS,20060207,6.20,6.65,6.20,6.60,null
PS,20060208,6.65,6.65,6.30,6.30,null
PS,20060209,6.35,6.50,6.20,6.30,null
PS,20060210,6.35,6.95,6.35,6.75,null
PS,20060214,6.75,6.75,6.30,6.50,null
PS,20060215,6.65,6.65,6.45,6.45,null
PS,20060216,6.55,6.80,6.45,6.80,null
PS,20060217,6.80,6.85,6.65,6.70,null
PS,20060220,6.60,6.65,6.60,6.65,null
PS,20060221,6.60,6.80,6.50,6.70,null
PS,20060222,6.70,6.75,6.40,6.45,null
PS,20060223,6.45,6.55,6.30,6.35,null
PS,20060224,6.35,7.10,6.35,6.95,null
PS,20060227,7.05,7.15,7.00,7.00,null
PS,20060228,6.90,6.95,6.75,6.80,null
PS,20060301,6.80,6.90,6.70,6.85,null
PS,20060302,6.85,6.85,6.75,6.80,null
PS,20060303,6.70,6.85,6.70,6.80,null
PS,20060306,6.80,6.80,6.70,6.70,null
PS,20060307,6.70,6.75,6.70,6.70,null
PS,20060308,6.55,6.75,6.55,6.65,null
PS,20060309,6.70,6.85,6.70,6.85,null
PS,20060310,6.75,7.05,6.75,7.05,null
PS,20060313,7.00,7.05,7.00,7.00,null
PS,20060314,7.00,7.05,7.00,7.00,null
PS,20060315,7.00,7.00,6.75,6.75,null
PS,20060316,6.85,6.90,6.80,6.85,null
PS,20060317,7.00,7.00,6.80,6.90,null
PS,20060320,6.90,6.90,6.90,6.90,null
PS,20060321,6.90,6.90,6.90,6.90,null
PS,20060322,7.20,7.20,6.85,6.90,null
PS,20060323,6.90,7.05,6.90,6.90,null
PS,20060328,6.90,6.90,6.90,6.90,null
PS,20060329,6.90,6.95,6.90,6.90,null
PS,20060331,7.00,7.10,6.90,7.00,null
PS,20060403,7.00,7.00,6.95,6.95,null
PS,20060404,6.90,7.05,6.90,7.00,null
PS,20060405,7.15,7.35,7.15,7.30,null
PS,20060407,7.50,7.80,7.45,7.45,null
PS,20060410,7.45,7.45,7.40,7.40,null
PS,20060411,7.45,7.45,7.30,7.30,null
PS,20060412,7.30,7.40,7.15,7.30,null
PS,20060417,7.35,7.35,7.10,7.15,null
PS,20060418,7.15,7.15,7.00,7.05,null
PS,20060420,7.10,7.10,7.00,7.00,null
PS,20060421,7.00,7.00,6.70,6.90,null
PS,20060424,6.85,7.10,6.85,7.00,null
PS,20060425,7.05,7.45,7.05,7.35,null
PS,20060426,7.40,7.75,7.40,7.60,null
PS,20060427,7.60,7.90,7.60,7.80,null
PS,20060428,7.80,7.80,7.80,7.80,3900
PS,20060502,7.90,7.90,7.90,7.90,null
PS,20060503,7.90,7.95,7.65,7.95,null
PS,20060504,7.75,7.95,7.65,7.90,38000
PS,20060508,8.00,8.10,7.80,7.80,null
PS,20060509,7.80,7.80,7.40,7.40,null
PS,20060510,7.45,7.45,7.00,7.15,null
PS,20060511,7.15,7.30,7.00,7.30,null
PS,20060515,7.10,7.40,7.10,7.40,null
PS,20060516,7.00,7.35,7.00,7.35,null
PS,20060517,7.25,7.30,7.25,7.30,null
PS,20060518,7.10,7.10,6.90,7.00,null
PS,20060519,6.90,7.00,6.85,6.90,null
PS,20060522,6.80,6.90,6.70,6.75,null
PS,20060523,6.70,6.80,6.65,6.70,null
PS,20060524,6.70,6.85,6.70,6.85,null
PS,20060525,6.85,6.85,6.50,6.50,null
PS,20060526,6.60,6.60,6.25,6.55,null
PS,20060529,6.55,6.60,6.55,6.60,null
PS,20060530,6.50,6.60,6.40,6.60,null
PS,20060531,6.40,6.40,6.00,6.10,null
PS,20060601,6.10,6.10,5.85,5.90,null
PS,20060602,5.75,6.15,5.75,6.00,null
PS,20060605,6.00,6.00,5.90,5.90,null
PS,20060606,5.80,6.25,4.84,5.60,null
PS,20060607,5.60,5.95,5.60,5.95,null
PS,20060608,5.95,6.10,5.90,5.95,null
PS,20060609,5.65,5.85,5.60,5.85,null
PS,20060614,5.50,5.50,5.00,5.10,33000
PS,20060615,5.15,5.25,5.15,5.20,null
PS,20060616,5.25,5.30,5.20,5.25,null
PS,20060619,5.10,5.15,5.10,5.10,null
PS,20060620,5.10,5.15,5.00,5.15,null
PS,20060621,5.10,5.30,5.10,5.30,null
PS,20060622,5.30,5.30,5.20,5.30,null
PS,20060623,5.20,5.30,5.20,5.30,null
PS,20060626,5.20,5.25,5.20,5.20,null
PS,20060627,5.25,5.30,5.25,5.25,null
PS,20060628,5.20,5.45,5.20,5.40,null
PS,20060629,5.45,5.65,5.45,5.60,null
PS,20060630,5.85,6.10,5.75,5.95,null
PS,20060703,5.80,5.85,5.80,5.85,null
PS,20060704,5.90,5.90,5.70,5.70,null
PS,20060705,5.70,5.70,5.50,5.50,null
PS,20060706,5.50,5.60,5.50,5.55,null
PS,20060707,5.75,5.90,5.65,5.70,null
PS,20060710,5.50,5.75,5.50,5.75,null
PS,20060712,5.45,5.70,5.45,5.60,null
PS,20060713,5.60,5.70,5.60,5.70,null
PS,20060714,5.50,5.55,5.50,5.50,null
PS,20060717,5.50,5.60,5.50,5.60,null
PS,20060718,5.60,5.60,5.50,5.50,null
PS,20060719,5.50,5.60,5.50,5.60,null
PS,20060720,5.65,5.75,5.65,5.75,null
PS,20060721,5.55,6.40,5.55,6.05,67800
PS,20060724,6.05,6.05,6.00,6.00,null
PS,20060725,6.05,6.05,5.95,6.00,null
PS,20060726,6.05,6.40,6.05,6.15,null
PS,20060727,6.15,6.30,6.15,6.30,null
PS,20060728,6.25,6.25,6.20,6.25,null
PS,20060731,6.30,6.30,6.25,6.30,null
PS,20060801,6.30,6.30,6.05,6.15,null
PS,20060802,6.05,6.20,6.05,6.05,null
