<TICKER>,<DTYYYYMMDD>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
PTT,20011206,38.00,38.25,35.50,35.75,173680800
PTT,20011207,36.00,36.25,35.50,35.50,41253300
PTT,20011211,35.50,35.50,34.00,34.00,40915800
PTT,20011212,34.25,35.25,34.00,35.00,30729100
PTT,20011213,35.00,35.25,35.00,35.00,37296100
PTT,20011214,35.00,35.25,34.50,34.50,27018000
PTT,20011217,34.50,34.75,34.50,34.50,6989000
PTT,20011218,34.50,34.75,34.50,34.50,5838300
PTT,20011219,34.50,34.75,34.25,34.25,7877400
PTT,20011220,34.25,34.75,34.25,34.50,7051200
PTT,20011221,34.50,34.75,34.25,34.25,8558600
PTT,20011224,34.25,34.50,34.25,34.25,5293000
PTT,20011225,34.25,34.50,34.25,34.25,4459800
PTT,20011226,34.25,34.75,34.25,34.25,8217400
PTT,20011227,34.50,34.75,34.25,34.25,6248100
PTT,20011228,34.50,34.75,34.25,34.50,4812600
PTT,20020102,34.50,34.50,34.25,34.25,2889500
PTT,20020103,34.50,35.25,34.25,35.00,18305600
PTT,20020104,35.25,35.25,35.00,35.00,10738300
PTT,20020107,35.00,35.25,34.75,34.75,9619800
PTT,20020108,34.75,35.25,34.75,35.00,11686600
PTT,20020109,35.00,35.50,34.75,34.75,8868900
PTT,20020110,34.75,35.00,34.75,35.00,4322400
PTT,20020111,34.75,35.00,34.75,35.00,1415500
PTT,20020114,34.75,35.00,34.75,34.75,2125300
PTT,20020115,34.75,34.75,34.50,34.50,2913600
PTT,20020116,34.50,35.00,34.50,35.00,5077100
PTT,20020117,35.00,35.00,34.50,34.75,1984800
PTT,20020118,34.75,34.75,34.50,34.50,1960400
PTT,20020121,34.50,34.75,34.50,34.50,1633000
PTT,20020122,34.50,34.75,34.50,34.50,1446300
PTT,20020123,34.75,34.75,34.50,34.50,3263700
PTT,20020124,34.50,34.75,34.50,34.50,2721300
PTT,20020125,34.75,34.75,34.25,34.25,10357800
PTT,20020128,34.50,34.75,34.25,34.25,6371100
PTT,20020129,34.50,34.50,34.25,34.25,1119700
PTT,20020130,34.25,34.75,34.25,34.25,5295600
PTT,20020131,34.50,34.75,34.25,34.50,5818100
PTT,20020201,34.75,35.00,34.50,35.00,5922700
PTT,20020204,35.00,35.00,34.75,34.75,1656800
PTT,20020205,34.75,35.00,34.50,34.50,1731400
PTT,20020206,34.75,35.00,34.50,34.75,2302300
PTT,20020207,35.00,35.00,34.50,34.50,3258700
PTT,20020208,34.75,34.75,34.50,34.50,3921700
PTT,20020211,34.75,34.75,34.50,34.50,3801900
PTT,20020212,34.75,34.75,34.50,34.50,2200500
PTT,20020213,34.50,34.75,34.50,34.50,2605000
PTT,20020214,34.75,35.25,34.50,34.75,14062400
PTT,20020215,34.75,35.00,34.75,34.75,7410600
PTT,20020218,35.00,35.25,34.75,35.00,9283100
PTT,20020219,35.00,35.25,34.75,34.75,4671500
PTT,20020220,35.00,35.00,34.75,35.00,3004900
PTT,20020221,35.00,35.00,34.25,34.25,6508300
PTT,20020222,34.50,34.75,34.25,34.25,6367900
PTT,20020225,34.50,34.75,34.25,34.25,1801300
PTT,20020227,34.75,34.75,34.25,34.50,3872000
PTT,20020228,34.50,34.75,34.50,34.75,3838700
PTT,20020301,34.75,36.50,34.75,36.25,33728000
PTT,20020304,36.50,36.50,35.75,36.00,14765300
PTT,20020305,36.25,36.50,36.00,36.50,12605600
PTT,20020306,36.50,36.50,36.25,36.25,3198400
PTT,20020307,36.25,36.50,36.25,36.50,4169200
