<TICKER>,<DTYYYYMMDD>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
PTTGC,20111021,56,56,53.25,54,41140300
PTTGC,20111025,55.5,62.5,55,62,84388600
PTTGC,20111026,61,63,60,61.75,54874700
PTTGC,20111027,63.5,64.75,63.25,64.25,64698200
PTTGC,20111028,65,68.5,65,66.5,80811500
PTTGC,20111031,67.25,67.25,65,65.5,36729600
PTTGC,20111101,65,66.25,63.75,64.25,40635500
PTTGC,20111102,63.75,65.75,63.5,65.5,59484700
PTTGC,20111103,64.25,65,63.25,65,52181800
PTTGC,20111104,65.5,66.25,64.75,64.75,41454300
PTTGC,20111107,65,65,63.25,63.25,15946900
PTTGC,20111108,64,67.75,63.75,67.75,54495200
PTTGC,20111109,67.25,67.5,64.75,65,60609400
PTTGC,20111110,63.75,65.75,63.5,65.25,61815200
PTTGC,20111111,65,65.5,64.25,64.75,33524700
PTTGC,20111114,65.75,67.5,65.5,65.5,62286700
PTTGC,20111115,65.75,68.25,65.75,67,57397100
PTTGC,20111116,66.5,68,66.25,68,35207400
PTTGC,20111117,67.5,68,66.25,66.75,41917900
PTTGC,20111118,66.25,66.5,65.5,65.5,30436700
PTTGC,20111121,65,65.25,63,63,37478900
PTTGC,20111122,64,64.5,63.5,64,17760400
PTTGC,20111123,63.5,63.75,62,62.75,26359900
PTTGC,20111124,63,63.5,62.5,63,18141100
PTTGC,20111125,62.5,62.75,62,62.25,17249300
PTTGC,20111128,63,64.25,62.75,64.25,16692100
PTTGC,20111129,64,64.5,63.75,64,14352600
PTTGC,20111130,64.25,65.5,63.75,65.5,21186900
PTTGC,20111201,67,67,65.5,65.5,35803600
PTTGC,20111202,65.75,66.25,65,66.25,18408700
PTTGC,20111206,66.5,66.5,65.25,65.5,13525100
PTTGC,20111207,66,66.5,65.75,66.5,17800400
PTTGC,20111208,66,67.5,65.75,66.25,27059000
PTTGC,20111209,65.75,66,65,65.25,15889300
PTTGC,20111213,65,65,63,63,34102300
PTTGC,20111214,63.5,63.75,61.75,61.75,28890300
PTTGC,20111215,61.25,62.5,60.25,62,27407100
PTTGC,20111216,61.75,62.75,61.75,62.25,16584200
PTTGC,20111219,62,62.5,61.25,61.5,14337000
PTTGC,20111220,61.75,62.5,61.25,61.25,11965600
PTTGC,20111221,62.25,63.5,62.25,62.75,18432200
PTTGC,20111222,63,63.25,61.75,62,16660400
PTTGC,20111223,62.25,62.5,61.5,61.5,6787700
PTTGC,20111226,61.75,62,61,61,5205900
PTTGC,20111227,61,61.25,60.5,60.75,5214900
PTTGC,20111228,60.75,61.25,60.5,61,4232700
PTTGC,20111229,60.5,61.75,60.5,61,6443200
PTTGC,20111230,61.5,61.5,61,61,2926000
PTTGC,20120104,62,63,61.75,62.25,10828100
PTTGC,20120105,62.5,64,62.5,63.25,20984200
PTTGC,20120106,62.75,63.5,62.5,63.25,7747100
PTTGC,20120109,62.75,63.75,62.5,63.25,10926100
PTTGC,20120110,63.75,63.75,62.5,63,13349600
PTTGC,20120111,63,63.25,62.5,62.75,11925300
PTTGC,20120112,62.75,63,61.75,62,12328300
PTTGC,20120113,61.5,62,61,61,15327300
PTTGC,20120116,60.5,61,60.25,60.75,7198600
PTTGC,20120117,61.25,62.75,61,62.75,10885300
PTTGC,20120118,62.75,63.5,62.5,62.75,16160900
PTTGC,20120119,63.25,64,63,63.5,18180900
PTTGC,20120120,63.75,64,63,63.25,11149200
PTTGC,20120123,63,63.5,63,63,3652400
PTTGC,20120124,63.5,63.75,62.75,62.75,6448300
PTTGC,20120125,63,63,61.75,62,6514900
PTTGC,20120126,62.5,63.5,62.5,63.25,11700800
PTTGC,20120127,63.75,64.75,63.5,64.5,23930600
PTTGC,20120130,65,66.75,65,66,35729800
PTTGC,20120131,66,66.5,65.25,66.5,14437100
PTTGC,20120201,66,66.5,65.75,66.5,8838400
PTTGC,20120202,66.75,67.75,66.5,67,25194100
PTTGC,20120203,67,67.25,66.25,67.25,9679800
PTTGC,20120206,67.75,67.75,67,67,13286800
PTTGC,20120207,67.5,69.5,67.25,69.25,44333500
PTTGC,20120208,70.5,73.5,70.25,73.25,49959400
PTTGC,20120209,73.25,73.75,71.75,72.75,24675600
PTTGC,20120210,71.75,73,71.75,71.75,15223000
PTTGC,20120213,72,73.5,72,72.75,18522300
PTTGC,20120214,72.25,73,70.25,70.75,18538700
PTTGC,20120215,71.5,73.75,71.5,73,25677800
PTTGC,20120216,72.75,73.25,72.25,72.5,11106000
PTTGC,20120217,73.75,75.25,73,74.25,44568200
PTTGC,20120220,74.5,74.75,73.5,74,15763100
PTTGC,20120221,74.5,76,74.5,75.5,28992600
PTTGC,20120222,75,75.5,74.5,74.5,10674200
PTTGC,20120223,74.5,74.5,72,73.25,16695800
PTTGC,20120224,73.25,74,73,73,11393100
PTTGC,20120227,73.75,75,73.5,74,15885800
PTTGC,20120228,74.5,74.5,73.75,74.25,13518200
PTTGC,20120229,73.75,74.5,73.5,74.5,11083500
PTTGC,20120301,74.25,74.75,74,74.75,7174200
PTTGC,20120302,75,75,73.75,73.75,8164500
PTTGC,20120305,73,75,73,74.5,15326200
PTTGC,20120306,74.25,75,73.5,74,10261600
PTTGC,20120308,74,74.5,73.5,74.25,6132800
PTTGC,20120309,74.5,74.75,72.25,72.25,13360000
PTTGC,20120312,72.25,72.75,68.75,69.5,18970100
PTTGC,20120313,70,70.25,67.5,69.75,29350800
PTTGC,20120314,70.5,71,69,69.75,16730100
PTTGC,20120315,70,70,67.75,68.25,21124100
PTTGC,20120316,68.25,71,68.25,71,26014500
PTTGC,20120319,72,72,69.5,69.75,15758700
PTTGC,20120320,70,70.5,69.5,70.25,7873000
PTTGC,20120321,70.25,73,69.75,72.5,22522900
PTTGC,20120322,73,74.5,71.75,71.75,25792400
PTTGC,20120323,71.75,73,71,73,13154600
PTTGC,20120326,72.5,73,70.75,71,12285600
PTTGC,20120327,71.75,73.5,71.25,73.25,19773200
PTTGC,20120328,73,74,72.5,73,13768800
