<TICKER>,<DTYYYYMMDD>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
QLT,20090609,4.67,4.76,4.10,4.11,32191948.39
QLT,20090610,4.17,4.34,4.10,4.15,11292854.44
QLT,20090611,4.17,4.29,4.10,4.13,5167364.74
QLT,20090612,4.17,4.21,4.10,4.10,2306534.88
QLT,20090615,4.13,4.23,4.11,4.15,4172909.79
QLT,20090616,4.15,4.23,4.08,4.08,4352459.78
QLT,20090617,4.11,4.13,4.04,4.06,1640834.92
QLT,20090618,4.08,4.08,3.83,3.83,2042144.90
QLT,20090619,3.89,3.90,3.87,3.89,412964.98
QLT,20090622,3.92,3.98,3.90,3.90,806819.96
QLT,20090623,3.90,3.92,3.81,3.83,734999.96
QLT,20090624,3.85,3.87,3.85,3.87,176714.99
QLT,20090625,3.85,3.92,3.85,3.87,308804.98
QLT,20090626,3.89,3.96,3.87,3.89,1148594.94
QLT,20090629,3.89,3.89,3.85,3.87,241394.99
QLT,20090630,3.90,3.90,3.87,3.89,120854.99
QLT,20090702,3.90,3.90,3.83,3.85,180284.99
QLT,20090703,3.85,3.90,3.83,3.89,248639.99
QLT,20090708,3.85,3.90,3.83,3.89,97230.00
QLT,20090709,3.89,3.90,3.87,3.87,74445.00
QLT,20090710,3.87,3.87,3.81,3.81,402779.98
QLT,20090713,3.81,3.89,3.81,3.87,213674.99
QLT,20090714,3.87,3.87,3.81,3.81,461789.98
QLT,20090715,3.83,3.87,3.83,3.83,282554.99
QLT,20090716,3.85,3.96,3.83,3.83,2157644.89
QLT,20090717,3.87,3.90,3.87,3.87,293999.99
QLT,20090720,3.87,3.87,3.85,3.87,411074.98
QLT,20090721,3.87,3.89,3.87,3.87,302084.98
QLT,20090722,3.87,3.89,3.85,3.85,487514.98
QLT,20090723,3.87,3.94,3.87,3.92,1516934.92
QLT,20090724,4.02,4.10,3.98,4.06,3124799.84
QLT,20090727,4.08,4.15,3.98,4.00,2540999.87
QLT,20090728,4.02,4.02,3.98,4.02,374534.98
QLT,20090729,4.00,4.00,3.94,3.98,436904.98
QLT,20090730,3.96,3.98,3.92,3.98,327179.98
QLT,20090731,3.98,3.98,3.94,3.96,340514.98
QLT,20090803,3.98,4.00,3.96,3.98,101849.99
