<ticker>,<dtyyyymmdd>,<open>,<high>,<low>,<close>,<vol>
RANCH,20090723,35.0000,35.0000,35.0000,35.0000,100
RANCH,20090714,29.0000,35.5000,29.0000,35.5000,1141
RANCH,20090713,35.7500,35.7500,35.7500,35.7500,10520
RANCH,20090710,35.7500,35.7500,35.7500,35.7500,1360
RANCH,20090709,36.0000,36.0000,35.7500,35.7500,10020
RANCH,20090708,35.7500,35.7500,35.7500,35.7500,3803
RANCH,20090703,35.7500,35.7500,35.7500,35.7500,5440
RANCH,20090702,35.7500,35.7500,35.7500,35.7500,19600
RANCH,20090630,35.7500,35.7500,35.5000,35.5000,1530
RANCH,20090629,35.5000,35.5000,35.5000,35.5000,3000
RANCH,20090626,35.5000,35.5000,35.5000,35.5000,1700
RANCH,20090623,35.5000,36.0000,35.5000,36.0000,199900
RANCH,20090622,35.5000,35.5000,35.5000,35.5000,300
RANCH,20090617,35.7500,35.7500,35.7500,35.7500,1700
RANCH,20090616,35.7500,35.7500,35.7500,35.7500,500
RANCH,20090615,35.5000,35.5000,35.5000,35.5000,200
RANCH,20090612,35.5000,35.5000,35.5000,35.5000,480
RANCH,20090611,35.5000,35.5000,35.5000,35.5000,600
RANCH,20090610,35.5000,35.7500,35.5000,35.7500,2280
RANCH,20090609,35.5000,35.5000,35.5000,35.5000,14400
RANCH,20090608,35.7500,35.7500,35.7500,35.7500,1100
RANCH,20090605,35.5000,35.5000,35.5000,35.5000,600
RANCH,20090604,35.5000,35.7500,35.5000,35.5000,9500
RANCH,20090603,35.5000,35.5000,35.5000,35.5000,1100
RANCH,20090602,35.5000,35.5000,35.5000,35.5000,92400
RANCH,20090601,35.5000,35.5000,35.5000,35.5000,4220
RANCH,20090529,35.5000,35.7500,35.5000,35.7500,2400
RANCH,20090528,35.5000,35.5000,35.5000,35.5000,2900
RANCH,20090527,35.5000,35.5000,35.5000,35.5000,5660
RANCH,20090526,35.5000,35.5000,35.5000,35.5000,10879
RANCH,20090525,35.5000,35.5000,35.5000,35.5000,170279
RANCH,20090522,35.5000,35.5000,35.5000,35.5000,107452
RANCH,20090521,35.7500,35.7500,35.5000,35.5000,104399
RANCH,20090520,35.5000,35.5000,35.5000,35.5000,68100
RANCH,20090519,35.5000,35.5000,35.5000,35.5000,9800
RANCH,20090518,35.5000,35.5000,35.5000,35.5000,293503
RANCH,20090515,35.2500,35.5000,35.2500,35.5000,131841
RANCH,20090514,35.2500,35.2500,35.2500,35.2500,17180
RANCH,20090513,35.2500,35.5000,35.2500,35.2500,239792
RANCH,20090512,35.2500,35.2500,35.0000,35.2500,136400
RANCH,20090511,35.2500,35.5000,35.2500,35.5000,3800
