<TICKER>,<DTYYYYMMDD>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
RATCH,20001102,14.75,15.25,14.00,14.25,137095900
RATCH,20001103,14.25,14.50,13.75,14.00,41612500
RATCH,20001106,14.00,14.00,13.50,13.75,27231600
RATCH,20001107,13.75,14.25,13.75,14.00,24853900
RATCH,20001108,14.25,14.25,14.00,14.25,7512200
RATCH,20001109,14.00,14.00,13.75,13.75,8582100
RATCH,20001110,13.75,14.00,13.50,13.75,6309600
RATCH,20001113,13.75,13.75,13.50,13.50,5594200
RATCH,20001114,13.50,14.00,13.50,13.75,6500300
RATCH,20001115,13.75,14.00,13.75,13.75,5504600
RATCH,20001116,13.75,14.00,13.75,13.75,2308400
RATCH,20001117,13.75,14.00,13.75,13.75,1776400
RATCH,20001120,13.75,13.75,13.50,13.50,3802600
RATCH,20001121,13.50,13.75,13.50,13.50,685400
RATCH,20001122,13.50,13.75,13.25,13.25,8713200
RATCH,20001123,13.25,13.25,13.00,13.00,3593300
RATCH,20001124,13.00,13.25,13.00,13.00,485300
RATCH,20001127,13.00,13.25,13.00,13.00,1849200
RATCH,20001128,13.00,13.00,13.00,13.00,867000
RATCH,20001129,13.00,13.00,12.75,13.00,5331500
RATCH,20001130,13.00,13.00,12.75,13.00,778200
RATCH,20001201,13.00,13.00,12.75,13.00,1161200
RATCH,20001204,12.75,13.00,12.50,12.50,3413000
RATCH,20001206,12.75,12.75,12.50,12.75,3230400
RATCH,20001207,12.75,13.00,12.50,13.00,2332600
RATCH,20001208,13.00,13.00,13.00,13.00,1157200
RATCH,20001212,13.00,13.25,13.00,13.00,1993000
RATCH,20001213,13.00,13.00,13.00,13.00,1899900
RATCH,20001214,13.00,13.25,13.00,13.25,1449700
RATCH,20001215,13.00,13.25,13.00,13.25,726800
RATCH,20001218,13.00,13.00,13.00,13.00,1133300
RATCH,20001219,13.00,13.25,12.75,13.00,1488400
RATCH,20001220,13.00,13.00,12.75,12.75,995100
RATCH,20001221,12.75,13.00,12.50,12.50,2208000
RATCH,20001222,12.75,12.75,12.50,12.75,1840200
RATCH,20001225,12.50,12.75,12.50,12.75,706900
RATCH,20001226,12.75,13.00,12.50,12.50,827200
RATCH,20001227,12.75,12.75,12.50,12.75,185500
RATCH,20001228,12.75,13.00,12.75,13.00,413100
RATCH,20001229,12.75,13.00,12.75,12.75,1517400
RATCH,20010103,12.75,13.00,12.75,12.75,219000
RATCH,20010104,13.00,13.00,13.00,13.00,2693900
RATCH,20010105,13.00,13.25,13.00,13.00,2915100
RATCH,20010108,13.00,13.25,13.00,13.25,4648500
RATCH,20010109,13.25,13.50,13.00,13.00,4489600
RATCH,20010110,13.25,13.25,13.00,13.00,1364000
RATCH,20010111,13.25,13.50,13.00,13.25,3429900
RATCH,20010112,13.25,13.50,13.00,13.25,6677000
RATCH,20010115,13.50,13.75,13.25,13.50,12518300
RATCH,20010116,13.75,13.75,13.25,13.25,3038800
RATCH,20010117,13.25,13.50,13.25,13.25,2314400
RATCH,20010118,13.50,13.50,13.00,13.25,2515800
RATCH,20010119,13.25,13.25,13.00,13.25,1567400
RATCH,20010122,13.25,13.25,13.00,13.25,1403200
RATCH,20010123,13.25,13.50,13.00,13.25,1125300
RATCH,20010124,13.25,13.50,13.00,13.00,1511400
RATCH,20010125,13.25,13.50,13.25,13.25,2644700
RATCH,20010126,13.25,14.00,13.25,13.25,10722500
RATCH,20010129,13.25,13.50,13.00,13.00,3337600
RATCH,20010130,13.25,13.25,13.00,13.00,1338000
RATCH,20010131,13.25,13.25,13.00,13.00,1201300
RATCH,20010201,13.25,13.50,13.00,13.00,3183800
RATCH,20010202,13.00,13.50,13.00,13.25,1694000
RATCH,20010205,13.25,13.50,13.00,13.00,1717600
RATCH,20010206,13.25,13.25,13.00,13.00,1101900
RATCH,20010207,13.00,13.25,13.00,13.00,1109900
RATCH,20010209,13.25,13.25,13.00,13.00,336700
RATCH,20010212,13.00,13.25,13.00,13.00,2505800
RATCH,20010213,13.00,13.25,13.00,13.25,1400100
RATCH,20010214,13.00,13.25,13.00,13.00,1003200
RATCH,20010215,13.00,13.25,13.00,13.00,230100
RATCH,20010216,13.00,13.25,13.00,13.00,486400
RATCH,20010219,13.00,13.00,13.00,13.00,1854200
RATCH,20010220,13.00,13.00,12.75,12.75,413600
RATCH,20010221,13.00,13.25,13.00,13.00,1928700
RATCH,20010222,13.00,13.25,13.00,13.00,210400
RATCH,20010223,13.00,13.25,13.00,13.25,576400
RATCH,20010226,13.25,14.25,13.00,14.00,16137300
RATCH,20010227,14.25,14.25,13.50,13.75,9671200
RATCH,20010228,13.75,13.75,13.25,13.50,3922300
RATCH,20010301,13.50,13.50,13.25,13.50,2946900
RATCH,20010302,13.50,13.50,13.25,13.25,1228700
RATCH,20010305,13.25,13.75,13.25,13.75,3912800
RATCH,20010306,13.75,14.00,13.50,13.75,4745300
RATCH,20010307,14.00,14.00,13.75,14.00,2582900
RATCH,20010308,14.00,14.75,14.00,14.25,37855100
RATCH,20010309,14.50,14.50,14.25,14.25,9402000
RATCH,20010312,14.25,14.50,13.75,14.25,11176900
RATCH,20010313,14.00,14.50,14.00,14.25,8126600
RATCH,20010314,14.25,14.75,14.25,14.25,12712800
RATCH,20010315,14.25,14.50,14.00,14.25,3656800
RATCH,20010316,14.25,14.50,14.25,14.50,3509900
RATCH,20010319,14.25,15.00,14.25,14.50,16934600
RATCH,20010320,14.50,15.00,14.25,14.75,5285100
RATCH,20010321,14.75,15.25,14.75,15.25,22645600
RATCH,20010322,15.25,15.25,15.00,15.00,4465100
RATCH,20010323,15.25,15.50,15.25,15.25,14092600
RATCH,20010326,15.50,15.50,15.00,15.00,1072400
RATCH,20010327,15.00,15.25,14.75,14.75,1530300
RATCH,20010328,15.00,15.00,14.50,14.50,3743100
RATCH,20010329,14.50,15.00,14.50,15.00,2028500
RATCH,20010330,15.00,15.25,15.00,15.00,1714100
RATCH,20010402,15.00,15.25,15.00,15.25,502300
RATCH,20010403,15.25,15.25,14.75,14.75,2270500
RATCH,20010404,14.75,15.00,14.75,14.75,1040700
RATCH,20010405,14.75,14.75,14.50,14.75,693400
RATCH,20010409,14.75,14.75,14.50,14.75,1364800
RATCH,20010410,14.75,15.00,14.75,14.75,404400
RATCH,20010411,15.00,15.00,14.75,14.75,1845800
RATCH,20010412,15.00,15.00,14.75,15.00,1210500
RATCH,20010417,15.00,15.25,15.00,15.00,1830000
RATCH,20010418,15.00,15.50,15.00,15.00,4368100
RATCH,20010419,15.25,15.25,15.00,15.00,2245600
RATCH,20010420,15.25,15.25,15.00,15.00,1669700
RATCH,20010423,15.00,15.00,15.00,15.00,1124900
RATCH,20010424,15.00,15.00,15.00,15.00,870500
RATCH,20010425,15.00,15.50,15.00,15.25,4127300
RATCH,20010426,15.50,15.50,15.00,15.00,2503600
RATCH,20010427,15.25,15.50,15.25,15.25,2060500
RATCH,20010430,15.25,15.50,15.25,15.50,160300
RATCH,20010502,15.50,15.50,15.25,15.25,432100
RATCH,20010503,15.25,15.75,15.25,15.50,4709100
RATCH,20010504,15.50,16.00,15.25,15.75,1909600
RATCH,20010509,15.75,16.25,15.75,16.25,2586900
RATCH,20010510,16.00,16.75,16.00,16.50,5044700
RATCH,20010511,16.50,16.50,16.25,16.25,1887800
RATCH,20010514,16.50,16.50,16.25,16.25,358100
RATCH,20010515,16.50,16.75,16.50,16.75,2187200
RATCH,20010516,16.50,16.75,16.25,16.25,2343000
RATCH,20010517,16.50,16.50,16.00,16.00,1945000
RATCH,20010518,16.25,16.50,16.25,16.25,892300
RATCH,20010521,16.25,16.25,16.25,16.25,580000
RATCH,20010522,16.25,16.25,16.25,16.25,193000
RATCH,20010523,16.50,16.50,16.25,16.50,535100
RATCH,20010524,16.50,16.50,15.75,15.75,7221700
RATCH,20010525,15.75,16.00,15.50,15.50,1240000
RATCH,20010528,15.75,16.25,15.75,16.00,2362500
RATCH,20010529,16.00,16.00,15.75,15.75,996100
RATCH,20010530,16.00,16.00,15.75,15.75,810900
RATCH,20010531,16.00,16.25,15.75,15.75,1839300
RATCH,20010601,16.00,16.25,16.00,16.00,869100
RATCH,20010604,16.00,16.25,16.00,16.00,1142400
RATCH,20010605,16.00,16.25,16.00,16.25,1786500
RATCH,20010606,16.25,16.50,16.00,16.25,2708500
RATCH,20010607,16.25,16.50,16.25,16.25,1680000
RATCH,20010608,16.25,16.50,16.00,16.00,1607700
RATCH,20010611,16.25,16.25,16.00,16.25,425600
RATCH,20010612,16.25,16.50,16.25,16.25,301900
RATCH,20010613,16.25,16.50,16.25,16.25,1469800
RATCH,20010614,16.25,16.75,16.25,16.75,5134900
RATCH,20010615,16.75,16.75,16.50,16.50,2702100
RATCH,20010618,16.50,16.75,16.25,16.50,953400
RATCH,20010619,16.50,16.75,16.50,16.75,277700
RATCH,20010620,16.75,16.75,16.50,16.50,1713200
RATCH,20010621,16.50,16.75,16.50,16.50,107700
RATCH,20010622,16.50,17.25,16.50,17.00,4195200
RATCH,20010625,17.00,17.00,16.75,17.00,510700
RATCH,20010626,16.75,17.00,16.75,16.75,432500
RATCH,20010627,16.75,17.25,16.75,17.00,3398700
RATCH,20010628,17.00,17.25,17.00,17.00,555700
RATCH,20010629,17.00,17.50,17.00,17.25,2155600
RATCH,20010702,17.25,17.50,17.00,17.50,786800
RATCH,20010703,17.25,17.50,17.25,17.25,1205600
RATCH,20010704,17.25,17.50,17.00,17.00,4447600
RATCH,20010705,17.00,17.00,16.75,17.00,2894000
RATCH,20010709,17.00,17.00,16.75,16.75,778300
RATCH,20010710,16.75,17.00,16.75,17.00,2304200
RATCH,20010711,17.00,17.00,16.75,17.00,2169100
RATCH,20010712,17.00,17.00,16.75,16.75,239500
RATCH,20010713,17.00,17.00,16.75,16.75,2255600
RATCH,20010716,16.75,17.00,16.75,16.75,2363400
RATCH,20010717,17.00,17.00,16.75,17.00,2794700
RATCH,20010718,17.00,17.25,16.75,16.75,1794200
RATCH,20010719,16.75,17.00,16.75,17.00,1441400
RATCH,20010720,17.00,17.00,17.00,17.00,587900
RATCH,20010723,17.00,17.00,16.75,16.75,115500
RATCH,20010724,16.75,16.75,16.75,16.75,4838400
RATCH,20010725,16.75,16.75,16.75,16.75,2134200
RATCH,20010726,16.75,16.75,16.50,16.75,1412500
RATCH,20010727,16.75,16.75,16.25,16.50,2516500
RATCH,20010730,16.50,16.50,16.25,16.50,593500
RATCH,20010731,16.50,16.50,16.25,16.25,647000
RATCH,20010801,16.50,16.50,16.25,16.25,1022100
RATCH,20010802,16.25,16.50,16.25,16.25,1807900
RATCH,20010803,16.25,16.50,16.00,16.25,3186500
RATCH,20010806,16.50,16.75,16.25,16.25,1551800
RATCH,20010807,16.25,16.50,16.25,16.50,444400
RATCH,20010808,16.25,16.75,16.25,16.75,1202200
RATCH,20010809,16.50,16.50,16.25,16.25,1799100
RATCH,20010810,16.25,16.50,16.25,16.25,605500
RATCH,20010814,16.25,16.50,16.25,16.25,1240400
RATCH,20010815,16.25,16.25,16.25,16.25,591600
RATCH,20010816,16.25,16.50,16.25,16.25,77400
RATCH,20010817,16.50,16.50,16.25,16.25,1750200
RATCH,20010820,16.50,16.50,16.50,16.50,691500
RATCH,20010821,16.50,16.75,16.25,16.25,161500
RATCH,20010822,16.25,16.50,16.25,16.50,40600
RATCH,20010823,16.50,16.50,16.50,16.50,274700
RATCH,20010824,16.50,16.50,16.25,16.25,1843200
RATCH,20010827,16.25,16.50,16.25,16.50,1549700
RATCH,20010828,16.25,16.50,16.25,16.25,1268800
RATCH,20010829,16.50,16.50,16.25,16.25,1831900
RATCH,20010830,16.25,16.50,16.25,16.25,683700
RATCH,20010831,16.25,16.50,16.25,16.25,823800
RATCH,20010903,16.50,16.50,16.25,16.25,2555300
RATCH,20010904,16.25,16.50,16.25,16.25,168500
RATCH,20010905,16.25,16.75,16.25,16.50,2464400
RATCH,20010906,16.75,16.75,16.50,16.50,2559900
RATCH,20010907,16.75,16.75,16.25,16.50,4006300
RATCH,20010910,16.25,16.25,16.00,16.00,1469000
RATCH,20010911,16.00,16.25,16.00,16.00,106500
RATCH,20010913,15.00,15.75,14.75,15.75,3520100
RATCH,20010914,15.50,15.50,14.75,15.50,3047700
RATCH,20010917,14.75,15.25,14.25,15.00,2949000
RATCH,20010918,15.50,15.75,15.00,15.50,2382100
RATCH,20010919,15.50,16.00,15.50,16.00,2820500
RATCH,20010920,15.50,16.00,15.50,16.00,300800
RATCH,20010921,15.50,15.75,15.25,15.50,1356600
RATCH,20010924,15.50,15.75,15.50,15.75,172800
RATCH,20010925,15.50,15.75,15.50,15.50,309000
RATCH,20010926,15.50,15.75,15.50,15.75,383200
RATCH,20010927,15.75,15.75,15.50,15.75,109000
RATCH,20010928,15.75,16.00,15.75,16.00,188000
RATCH,20011001,15.75,16.00,15.50,15.50,1020700
RATCH,20011002,15.50,15.50,14.75,15.00,4588600
RATCH,20011003,14.75,14.75,14.25,14.50,4489500
RATCH,20011004,14.25,15.00,14.25,14.75,3098300
RATCH,20011005,14.75,14.75,14.50,14.75,1096200
RATCH,20011008,14.50,15.00,14.50,15.00,959400
RATCH,20011009,15.00,15.00,14.75,15.00,1605300
RATCH,20011010,15.00,15.00,14.75,14.75,355300
RATCH,20011011,15.00,15.75,15.00,15.50,2993300
RATCH,20011012,15.50,15.50,15.25,15.25,628200
RATCH,20011015,15.25,15.25,15.00,15.25,76900
RATCH,20011016,15.25,15.25,15.00,15.00,119200
RATCH,20011017,15.00,15.00,14.50,14.75,1397400
RATCH,20011018,14.50,15.00,14.50,15.00,1888300
RATCH,20011019,15.00,15.25,15.00,15.25,918800
RATCH,20011022,15.00,15.50,15.00,15.50,955200
RATCH,20011024,15.50,15.50,15.25,15.25,489400
RATCH,20011025,15.25,15.50,15.25,15.25,541100
RATCH,20011026,15.25,15.25,15.00,15.25,2019800
RATCH,20011029,15.00,15.25,15.00,15.00,666100
RATCH,20011030,15.00,15.25,15.00,15.00,629000
RATCH,20011031,15.00,15.00,14.75,15.00,848200
RATCH,20011101,14.75,15.00,14.75,14.75,152200
RATCH,20011102,14.75,15.00,14.75,14.75,617500
RATCH,20011105,14.80,15.00,14.80,15.00,1302500
RATCH,20011106,14.90,15.00,14.90,15.00,473300
RATCH,20011107,14.90,15.00,14.90,14.90,885600
RATCH,20011108,14.90,15.10,14.90,15.10,1821000
RATCH,20011109,15.10,15.40,15.10,15.20,1112400
RATCH,20011112,15.20,15.80,15.20,15.80,1949200
RATCH,20011113,15.60,15.80,15.50,15.80,734900
RATCH,20011114,15.80,16.00,15.80,16.00,1234000
RATCH,20011115,15.90,15.90,15.80,15.90,1406500
RATCH,20011116,15.80,15.90,15.80,15.80,1047100
