<TICKER>,<DTYYYYMMDD>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
S11,20150225,15.00,15.90,14.90,15.90,158424500
S11,20150226,15.80,16.00,13.70,13.90,93094900
S11,20150227,14.10,14.20,12.50,12.80,30290100
S11,20150302,12.30,12.50,11.20,11.20,28271400
S11,20150303,11.50,14.40,11.40,13.50,115702000
S11,20150305,13.80,16.20,13.30,14.00,136459600
S11,20150306,14.00,14.60,13.50,13.50,22685600
S11,20150309,13.20,13.60,12.30,12.60,8493200
S11,20150310,12.50,12.60,11.80,12.00,4293100
S11,20150311,11.80,13.30,11.80,13.30,10580200
S11,20150312,13.20,13.20,12.40,12.50,4832300
S11,20150313,12.50,12.60,11.70,12.00,5430400
S11,20150316,11.90,11.90,10.80,11.10,5350900
S11,20150317,11.90,11.90,10.40,10.50,9548200
S11,20150318,10.40,10.50,9.85,10.20,6102700
S11,20150319,10.30,10.80,10.10,10.30,4308900
S11,20150320,10.20,10.30,9.70,10.00,3927900
S11,20150323,10.10,10.30,9.75,9.85,1934600
S11,20150324,9.70,9.75,8.50,9.40,2241700
S11,20150325,9.40,9.80,9.20,9.70,1139700
S11,20150326,9.50,9.65,9.35,9.40,766700
S11,20150327,9.30,9.50,9.15,9.35,358200
S11,20150330,9.65,9.65,9.35,9.55,485200
S11,20150331,9.60,10.20,9.60,10.10,3902500
S11,20150401,10.00,10.60,9.95,10.10,3964100
S11,20150402,10.20,10.20,9.70,9.70,2866300
S11,20150403,9.75,10.40,9.75,10.40,2665900
S11,20150407,10.50,10.50,10.10,10.30,1162600
S11,20150408,10.30,10.30,10.00,10.10,850400
S11,20150409,10.20,10.30,10.00,10.00,627800
S11,20150410,10.20,10.20,10.00,10.10,814600
S11,20150416,10.20,11.40,10.20,11.40,8959200
S11,20150417,11.20,11.50,10.70,11.50,4786800
S11,20150420,11.40,11.80,11.10,11.20,5188700
S11,20150421,11.30,11.70,11.20,11.30,5990500
S11,20150422,11.40,12.20,11.30,12.10,26327000
S11,20150423,12.00,12.00,11.40,11.60,10424700
S11,20150424,11.70,11.70,11.20,11.40,4294700
S11,20150427,11.20,11.30,10.80,10.90,2753100
S11,20150428,10.80,11.40,10.50,10.50,5632900
S11,20150429,10.50,10.80,10.50,10.60,2318500
S11,20150430,10.70,10.90,10.60,10.60,1211900
S11,20150506,10.70,10.70,9.95,10.00,2438700
S11,20150507,9.95,10.10,9.50,9.50,2650100
S11,20150508,9.50,10.00,9.30,9.75,2636300
S11,20150511,9.90,10.20,9.75,9.75,2802700
S11,20150512,9.90,9.90,9.50,9.55,1485600
S11,20150513,9.60,9.70,9.45,9.60,443000
S11,20150514,9.65,9.70,9.50,9.55,640800
S11,20150515,9.60,10.10,9.60,9.90,6331100
S11,20150518,9.95,10.40,9.90,10.20,6292900
S11,20150519,10.30,10.50,10.10,10.20,5057800
S11,20150520,10.20,10.40,10.00,10.00,4636300
S11,20150521,10.10,10.60,10.00,10.60,5260900
S11,20150522,10.60,10.70,10.30,10.30,7588600
S11,20150525,10.40,10.50,10.30,10.30,1821900
S11,20150526,10.30,10.30,9.85,9.90,3247000
S11,20150527,9.90,10.10,9.75,9.95,2164300
S11,20150528,10.00,10.10,9.85,9.85,1395300
S11,20150529,9.95,10.10,9.95,9.95,1253900
S11,20150602,9.90,10.10,9.80,9.80,2267200
S11,20150603,9.85,10.20,9.85,9.85,3200300
S11,20150604,9.95,10.00,9.85,9.90,1637600
S11,20150605,9.95,10.40,9.95,10.30,12278800
S11,20150608,10.30,10.30,9.95,10.00,4532200
S11,20150609,10.00,10.10,9.85,9.85,1850500
S11,20150610,9.90,9.95,9.85,9.90,1428700
S11,20150611,10.00,10.00,9.90,9.90,1526000
S11,20150612,9.95,9.95,9.80,9.85,959900
S11,20150615,9.85,9.85,9.80,9.80,852600
S11,20150616,9.80,9.85,9.75,9.80,674400
S11,20150617,9.85,9.90,9.80,9.85,604600
S11,20150618,9.85,10.20,9.85,9.85,3891800
S11,20150619,9.95,9.95,9.60,9.60,1875600
S11,20150622,9.60,9.65,9.50,9.60,1669200
S11,20150623,9.70,9.70,9.55,9.70,1083500
S11,20150624,9.65,9.70,9.60,9.65,322900
S11,20150625,9.60,9.75,9.60,9.60,524200
S11,20150626,9.65,9.70,9.55,9.55,657600
S11,20150629,9.50,9.50,9.30,9.40,735300
S11,20150630,9.40,9.40,9.30,9.30,457000
S11,20150702,9.25,9.30,9.00,9.00,1290300
S11,20150703,9.00,9.00,8.50,8.70,1568600
S11,20150706,8.60,8.70,8.50,8.65,458100
S11,20150707,8.70,8.80,8.60,8.60,489900
S11,20150708,8.55,9.20,8.55,8.85,3530200
S11,20150709,8.85,8.95,8.75,8.75,534000
S11,20150710,8.85,8.95,8.75,8.75,789300
S11,20150713,8.80,9.05,8.80,8.85,1514300
S11,20150714,8.90,8.90,8.60,8.60,545700
S11,20150715,8.65,8.80,8.65,8.65,550800
S11,20150716,8.70,8.75,8.65,8.65,334800
S11,20150717,8.60,8.70,8.60,8.65,183300
S11,20150720,8.70,8.70,8.55,8.55,232600
S11,20150721,8.50,8.60,7.60,7.60,2685600
S11,20150722,7.65,8.00,7.30,8.00,1979000
S11,20150723,8.00,8.15,7.90,8.00,1139900
S11,20150724,8.00,8.00,7.75,7.90,1066700
S11,20150727,7.85,8.00,7.80,8.00,783500
S11,20150728,8.05,8.05,7.90,8.00,1014500
S11,20150729,8.00,8.10,8.00,8.10,585200
S11,20150731,8.05,8.10,7.90,8.00,109300
S11,20150803,7.95,8.05,7.95,8.05,86500
S11,20150804,8.05,8.05,8.00,8.00,79600
S11,20150805,7.95,8.05,7.95,7.95,247200
S11,20150806,8.00,8.00,7.90,7.90,69500
S11,20150807,7.95,8.15,7.90,8.00,310500
S11,20150810,8.00,8.00,7.90,7.90,114400
S11,20150811,7.90,7.95,7.75,7.80,570900
S11,20150813,7.70,7.70,7.55,7.60,304600
S11,20150814,7.50,7.75,7.50,7.75,174700
