<TICKER>,<DTYYYYMMDD>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
SAFARI,19950228,9.90,10.40,9.90,10.30,2233500
SAFARI,19950301,10.20,10.40,10.00,10.30,1534500
SAFARI,19950302,10.20,10.20,10.00,10.10,151500
SAFARI,19950303,9.85,9.95,9.70,9.75,655500
SAFARI,19950306,9.60,9.75,9.50,9.75,666000
SAFARI,19950307,9.80,9.95,9.75,9.85,896000
SAFARI,19950308,9.60,9.65,9.40,9.60,357500
SAFARI,19950309,9.60,9.75,9.55,9.65,515500
SAFARI,19950310,9.55,9.65,9.40,9.50,953500
SAFARI,19950313,9.50,9.50,9.35,9.40,141500
SAFARI,19950314,9.35,9.40,9.20,9.40,568000
SAFARI,19950315,9.40,9.40,9.25,9.30,263000
SAFARI,19950316,9.30,9.40,9.20,9.30,701000
SAFARI,19950317,9.25,9.80,9.20,9.75,876000
SAFARI,19950320,9.60,9.70,9.45,9.50,184500
SAFARI,19950321,9.50,9.55,9.20,9.50,1394000
SAFARI,19950322,9.30,9.95,9.30,9.80,1322000
SAFARI,19950323,9.80,9.85,9.70,9.75,371500
SAFARI,19950324,9.75,9.75,9.60,9.60,234500
SAFARI,19950327,9.60,9.65,9.40,9.60,297000
SAFARI,19950328,9.60,9.60,9.40,9.55,394500
SAFARI,19950329,9.40,9.55,9.35,9.40,504000
SAFARI,19950330,9.30,9.50,9.30,9.45,815500
SAFARI,19950331,9.45,9.45,9.40,9.45,156500
SAFARI,19950403,9.30,9.40,9.20,9.40,331500
SAFARI,19950404,9.25,9.40,9.20,9.40,410000
SAFARI,19950405,9.35,9.45,9.25,9.40,347500
SAFARI,19950407,9.25,9.40,9.25,9.40,244500
SAFARI,19950410,9.25,9.40,9.25,9.40,188500
SAFARI,19950411,9.30,9.45,9.30,9.45,456000
SAFARI,19950417,9.35,9.40,9.30,9.40,272000
SAFARI,19950418,9.45,9.65,9.45,9.65,1046000
SAFARI,19950419,9.60,10.20,9.55,9.80,3185500
SAFARI,19950420,9.90,9.90,9.60,9.80,205500
SAFARI,19950421,9.80,9.85,9.65,9.85,363500
SAFARI,19950424,9.85,9.90,9.75,9.80,246500
SAFARI,19950425,9.80,10.00,9.80,9.85,1946000
SAFARI,19950426,9.85,9.90,9.60,9.90,603500
SAFARI,19950427,9.75,10.00,9.75,9.95,678500
SAFARI,19950428,9.95,10.90,9.95,10.90,3655000
SAFARI,19950502,10.90,11.50,10.60,11.40,3356500
SAFARI,19950503,11.40,11.80,10.90,11.60,3220500
SAFARI,19950504,11.60,12.40,11.50,12.40,3797500
SAFARI,19950508,12.40,13.20,12.40,13.20,3201000
SAFARI,19950509,13.50,14.30,13.50,14.20,2849500
SAFARI,19950510,14.20,14.70,14.00,14.30,4544000
SAFARI,19950511,14.20,14.40,13.50,14.40,2234000
SAFARI,19950512,14.60,14.60,14.10,14.50,1677000
SAFARI,19950516,14.40,14.50,14.20,14.30,1109000
SAFARI,19950517,14.20,14.30,14.10,14.30,808000
SAFARI,19950518,14.20,14.40,13.90,13.90,603000
SAFARI,19950519,13.80,14.40,13.40,14.40,940000
SAFARI,19950522,14.30,15.60,14.30,15.40,2364000
SAFARI,19950523,15.70,15.90,15.40,15.60,1973500
SAFARI,19950524,15.80,16.50,15.60,16.30,3110000
SAFARI,19950525,16.50,16.70,16.20,16.50,2599500
SAFARI,19950526,16.40,16.50,16.00,16.20,1048000
SAFARI,19950529,16.10,16.70,16.10,16.50,1249000
SAFARI,19950530,16.60,16.70,16.00,16.40,799500
SAFARI,19950531,16.30,16.50,16.20,16.40,1186500
SAFARI,19950601,16.50,16.50,16.10,16.10,457000
SAFARI,19950602,16.20,16.30,16.00,16.30,232500
SAFARI,19950605,16.10,16.30,16.00,16.10,446000
SAFARI,19950606,16.20,16.40,15.90,16.10,324500
SAFARI,19950607,16.00,16.70,16.00,16.40,2070000
