<TICKER>,<DTYYYYMMDD>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
SAICO,19890517,167.020081,180.823393,157.357762,158.738093,17866.044912
SAICO,19890518,158.738093,165.639749,151.836437,161.498756,2963.056888
SAICO,19890522,155.977431,165.639749,155.977431,160.118424,2601.549458
SAICO,19890523,160.118424,160.118424,150.456106,155.977431,2103.842837
SAICO,19890524,155.977431,155.977431,140.793787,140.793787,1406.908674
SAICO,19890525,140.793787,144.934781,126.990474,126.990474,1932.869383
SAICO,19890526,126.990474,132.511799,122.849481,124.919978,1864.769787
SAICO,19890529,134.582296,137.342959,122.849481,122.849481,612.896364
SAICO,19890530,122.849481,125.610143,122.849481,122.849481,1001.208953
SAICO,19890531,122.849481,126.990474,121.469149,125.610143,886.743675
SAICO,19890601,125.610143,138.033124,125.610143,138.033124,1477.906125
SAICO,19890602,131.131468,146.315112,131.131468,146.315112,2603.722849
SAICO,19890605,146.315112,146.315112,132.511799,132.511799,744.748773
SAICO,19890606,129.751137,138.033124,124.229812,138.033124,1078.002115
SAICO,19890607,139.413456,143.554449,135.272462,135.272462,628.834567
SAICO,19890608,135.272462,138.033124,135.272462,136.652793,337.600125
SAICO,19890609,136.652793,140.793787,135.272462,136.652793,1463.416849
SAICO,19890612,138.033124,146.315112,136.652793,144.934781,1967.643645
SAICO,19890613,144.934781,155.977431,144.934781,149.075774,3673.031399
SAICO,19890614,150.456106,153.216768,146.315112,149.075774,2405.219772
SAICO,19890615,149.075774,150.456106,142.174118,142.174118,1619.901027
SAICO,19890616,143.554449,149.075774,138.033124,149.075774,583.917812
SAICO,19890619,149.075774,149.075774,138.033124,138.033124,1327.217657
SAICO,19890620,140.103621,143.554449,135.272462,138.033124,1007.004664
SAICO,19890621,136.652793,147.695443,136.652793,147.695443,1120.021014
SAICO,19890622,147.695443,147.695443,143.554449,146.315112,995.413243
SAICO,19890623,146.315112,147.695443,143.554449,146.315112,930.211502
SAICO,19890626,146.315112,151.836437,146.315112,146.315112,1231.588437
SAICO,19890627,149.075774,149.075774,143.554449,146.315112,620.141001
SAICO,19890628,146.315112,146.315112,140.793787,144.934781,459.310041
SAICO,19890629,144.934781,144.934781,142.174118,142.174118,820.093007
SAICO,19890630,144.934781,144.934781,140.793787,143.554449,333.253342
SAICO,19890704,143.554449,144.934781,143.554449,144.934781,552.041405
SAICO,19890705,142.174118,144.934781,139.413456,140.793787,641.874915
SAICO,19890706,139.413456,140.793787,139.413456,140.793787,286.88766
SAICO,19890707,139.413456,140.793787,135.272462,135.272462,304.27479
SAICO,19890710,138.033124,139.413456,136.652793,139.413456,221.685919
SAICO,19890711,139.413456,139.413456,136.652793,138.033124,408.597576
SAICO,19890712,139.413456,139.413456,137.342959,137.342959,181.115947
SAICO,19890713,140.103621,140.103621,137.342959,137.342959,341.946907
SAICO,19890714,138.033124,138.033124,136.652793,136.652793,146.341685
SAICO,19890717,137.342959,137.342959,135.962628,135.962628,523.062854
SAICO,19890719,138.033124,138.033124,135.272462,135.962628,408.597576
SAICO,19890720,135.272462,136.652793,133.892131,135.272462,783.869817
SAICO,19890721,136.652793,138.033124,136.652793,137.342959,578.122102
SAICO,19890724,138.033124,138.72329,137.342959,138.72329,314.417283
SAICO,19890725,139.413456,140.793787,138.033124,139.413456,286.88766
SAICO,19890726,139.413456,139.413456,135.272462,138.033124,470.901461
SAICO,19890727,138.033124,138.033124,135.272462,135.272462,501.32894
SAICO,19890728,135.272462,136.652793,133.892131,135.272462,281.091949
SAICO,19890731,138.033124,139.413456,131.131468,131.821634,763.584831
SAICO,19890801,132.511799,133.201965,129.751137,129.751137,627.385639
SAICO,19890802,128.370806,129.751137,125.610143,126.990474,920.069009
SAICO,19890803,127.68064,127.68064,126.300309,126.990474,594.060305
SAICO,19890804,126.990474,127.68064,126.990474,127.68064,131.852409
SAICO,19890807,129.060971,133.892131,128.370806,131.131468,594.060305
SAICO,19890808,131.131468,132.511799,128.370806,128.370806,907.028661
SAICO,19890809,126.990474,128.370806,126.300309,126.300309,234.726267
SAICO,19890810,124.919978,126.990474,124.919978,125.610143,543.34784
