<TICKER>,<DTYYYYMMDD>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
SCC,19810105,2.32098034,2.32098034,2.32098034,2.32098034,68764.0464890797
SCC,19810106,2.32098034,2.32098034,2.32098034,2.32098034,114606.744148466
SCC,19810107,2.32098034,2.32098034,2.32098034,2.32098034,114606.744148466
SCC,19810108,2.32098034,2.33843132,2.32098034,2.33843132,119878.654379296
SCC,19810109,2.33843132,2.33843132,2.33843132,2.33843132,11460.6744148466
SCC,19810112,2.32098034,2.33843132,2.32098034,2.33843132,110366.294614973
SCC,19810113,2.33843132,2.3558823,2.33843132,2.3558823,446966.302179018
SCC,19810114,2.3558823,2.37333328,2.3558823,2.37333328,481692.145656003
SCC,19810115,2.37333328,2.37333328,2.3558823,2.3558823,194831.465052392
SCC,19810116,2.3558823,2.3558823,2.3558823,2.3558823,1214831.48797374
SCC,19810120,2.3558823,2.3558823,2.3558823,2.3558823,284453.938976493
SCC,19810121,2.3558823,2.3558823,2.3558823,2.3558823,91685.3953187729
SCC,19810122,2.3558823,2.3558823,2.3558823,2.3558823,279984.275954703
SCC,19810123,2.37333328,2.37333328,2.37333328,2.37333328,447883.156132206
SCC,19810126,2.3558823,2.3558823,2.3558823,2.3558823,285026.972697235
SCC,19810128,2.37333328,2.37333328,2.37333328,2.37333328,389662.930104785
SCC,19810130,2.3558823,2.3558823,2.3558823,2.3558823,160449.441807853
SCC,19810202,2.3558823,2.3558823,2.3558823,2.3558823,11460.6744148466
SCC,19810204,2.33843132,2.33843132,2.33843132,2.33843132,137528.092978159
SCC,19810205,2.3558823,2.3558823,2.3558823,2.3558823,24296.6297594748
SCC,19810206,2.3558823,2.3558823,2.3558823,2.3558823,285370.792929681
SCC,19810209,2.33843132,2.3558823,2.33843132,2.3558823,121483.148797374
SCC,19810210,2.3558823,2.3558823,2.3558823,2.3558823,106469.665313925
SCC,19810211,2.3558823,2.37333328,2.3558823,2.37333328,839265.187399218
SCC,19810212,2.37333328,2.37333328,2.37333328,2.37333328,1392586.54814801
SCC,19810213,2.3558823,2.3558823,2.3558823,2.3558823,137528.092978159
SCC,19810216,2.3558823,2.3558823,2.3558823,2.3558823,462094.392406616
SCC,19810217,2.3558823,2.3558823,2.3558823,2.3558823,322274.164545487
SCC,19810218,2.3558823,2.3558823,2.3558823,2.3558823,668844.958850448
SCC,19810220,2.33843132,2.33843132,2.33843132,2.33843132,288121.354789244
SCC,19810223,2.3558823,2.37333328,2.3558823,2.37333328,1102746.09219654
SCC,19810224,2.37333328,2.37333328,2.3558823,2.3558823,473898.887053908
SCC,19810226,2.3558823,2.3558823,2.3558823,2.3558823,57876.4057949754
SCC,19810227,2.3558823,2.3558823,2.3558823,2.3558823,82058.4288103018
SCC,19810302,2.3558823,2.3558823,2.3558823,2.3558823,23494.3825504356
SCC,19810303,2.37333328,2.37333328,2.3558823,2.3558823,171910.116222699
SCC,19810304,2.3558823,2.3558823,2.3558823,2.3558823,22921.3488296932
SCC,19810305,2.3558823,2.37333328,2.3558823,2.37333328,341642.704306578
SCC,19810309,2.3558823,2.3558823,2.3558823,2.3558823,22921.3488296932
SCC,19810310,2.3558823,2.3558823,2.3558823,2.3558823,181307.869242873
SCC,19810311,2.3558823,2.3558823,2.3558823,2.3558823,45842.6976593865
SCC,19810312,2.3558823,2.3558823,2.3558823,2.3558823,11460.6744148466
SCC,19810313,2.3558823,2.3558823,2.3558823,2.3558823,22806.7420855448
SCC,19810316,2.3558823,2.3558823,2.3558823,2.3558823,68764.0464890797
SCC,19810317,2.3558823,2.3558823,2.3558823,2.3558823,34382.0232445399
SCC,19810320,2.33843132,2.3558823,2.33843132,2.3558823,126067.418563313
SCC,19810324,2.33843132,2.33843132,2.33843132,2.33843132,24755.0567360687
SCC,19810326,2.32098034,2.32098034,2.32098034,2.32098034,11460.6744148466
SCC,19810327,2.32098034,2.32098034,2.32098034,2.32098034,22921.3488296932
SCC,19810330,2.33843132,2.33843132,2.33843132,2.33843132,11460.6744148466
SCC,19810331,2.33843132,2.33843132,2.33843132,2.33843132,11460.6744148466
SCC,19810401,2.32098034,2.32098034,2.32098034,2.32098034,232307.870388941
SCC,19810402,2.30352936,2.30352936,2.25117642,2.25117642,117701.126240475
SCC,19810403,2.28607838,2.28607838,2.28607838,2.28607838,22921.3488296932
SCC,19810407,2.28607838,2.30352936,2.28607838,2.30352936,424044.953349325
SCC,19810408,2.28607838,2.28607838,2.2686274,2.2686274,91685.3953187729
SCC,19810409,2.23372544,2.23372544,2.23372544,2.23372544,34382.0232445399
SCC,19810410,2.1813725,2.1813725,2.16392152,2.1813725,641797.76723141
SCC,19810414,2.1813725,2.1813725,2.1813725,2.1813725,286516.860371165
SCC,19810415,2.1813725,2.1813725,2.16392152,2.16392152,206292.139467239
SCC,19810416,2.16392152,2.16392152,2.16392152,2.16392152,213970.791325186
SCC,19810417,2.16392152,2.16392152,2.14647054,2.14647054,79880.9006714809
SCC,19810420,2.16392152,2.16392152,2.14647054,2.16392152,217982.027370383
SCC,19810421,2.16392152,2.1813725,2.16392152,2.16392152,203312.364119379
SCC,19810424,2.16392152,2.16392152,2.16392152,2.16392152,11460.6744148466
SCC,19810427,2.14647054,2.14647054,2.14647054,2.14647054,11460.6744148466
SCC,19810430,2.12901956,2.12901956,2.12901956,2.12901956,11460.6744148466
SCC,19810504,2.12901956,2.12901956,2.12901956,2.12901956,84350.5636932711
SCC,19810506,2.12901956,2.12901956,2.12901956,2.12901956,781503.388348391
SCC,19810507,2.14647054,2.14647054,2.12901956,2.12901956,57303.3720742331
SCC,19810508,2.12901956,2.12901956,2.12901956,2.12901956,80224.7209039263
SCC,19810513,2.11156858,2.11156858,2.11156858,2.11156858,229213.488296932
SCC,19810515,2.11156858,2.11156858,2.11156858,2.11156858,103146.06973362
SCC,19810519,2.0941176,2.0941176,2.05921564,2.05921564,137528.092978159
SCC,19810520,2.05921564,2.05921564,2.04176466,2.04176466,148988.767393006
SCC,19810521,2.04176466,2.04176466,2.04176466,2.04176466,45842.6976593865
SCC,19810522,2.04176466,2.04176466,2.04176466,2.04176466,31402.2478966797
SCC,19810525,2.02431368,2.02431368,2.0068627,2.0068627,148988.767393006
SCC,19810526,2.0068627,2.0068627,2.0068627,2.0068627,234141.578295316
SCC,19810527,2.0068627,2.0068627,2.0068627,2.0068627,80224.7209039263
SCC,19810601,2.0068627,2.0068627,2.0068627,2.0068627,91685.3953187729
SCC,19810602,1.98941172,1.98941172,1.98941172,1.98941172,344966.299886883
SCC,19810603,1.97196074,1.97196074,1.95450976,1.95450976,252134.837126626
SCC,19810604,1.9196078,1.9196078,1.9196078,1.9196078,57303.3720742331
SCC,19810605,1.9196078,1.93705878,1.9196078,1.93705878,137528.092978159
SCC,19810608,1.9196078,1.9196078,1.9196078,1.9196078,34382.0232445399
