<TICKER>,<DTYYYYMMDD>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
SF,20021217,.98,.98,.64,.70,99152537.07
SF,20021218,.70,.70,.66,.66,7364783.99
SF,20021219,.66,.69,.66,.67,19676428.86
SF,20021220,.68,.71,.67,.69,23668075.91
SF,20021223,.70,.70,.66,.66,7842390.91
SF,20021224,.66,.67,.65,.65,5326262.53
SF,20021225,.66,.67,.65,.66,3696421.32
SF,20021226,.66,.68,.66,.67,6733464.51
SF,20021227,.68,.70,.68,.69,15247432.95
SF,20030102,.69,.69,.68,.68,3382286.50
SF,20030103,.68,.69,.68,.68,8288279.35
SF,20030106,.69,.82,.69,.80,175092646.20
SF,20030107,.82,.88,.75,.75,90220128.85
SF,20030108,.76,.78,.72,.72,20830493.07
SF,20030109,.73,.74,.73,.73,4249664.58
SF,20030110,.75,.76,.72,.72,8612783.67
SF,20030113,.73,.73,.71,.71,1863459.92
SF,20030114,.72,.74,.72,.73,4939541.23
SF,20030115,.74,.74,.72,.72,3778767.34
SF,20030116,.72,.73,.70,.70,1767694.55
SF,20030117,.70,.70,.66,.67,4457664.52
SF,20030120,.67,.67,.65,.67,1818932.07
SF,20030121,.67,.70,.67,.69,5465945.78
SF,20030122,.69,.70,.68,.68,4850485.53
SF,20030123,.68,.68,.67,.67,2266040.46
SF,20030124,.67,.67,.66,.66,500785.79
SF,20030127,.66,.66,.65,.65,1335835.43
SF,20030128,.65,.66,.65,.66,1348034.84
SF,20030129,.66,.68,.64,.64,6060057.06
SF,20030130,.65,.65,.64,.64,1336445.40
SF,20030131,.63,.64,.63,.64,396480.83
SF,20030203,.64,.65,.64,.64,1049149.29
SF,20030204,.64,.65,.64,.64,816140.55
SF,20030205,.64,.65,.64,.64,293395.82
SF,20030206,.64,.66,.64,.65,1344375.01
SF,20030207,.65,.66,.64,.64,1503577.32
SF,20030210,.64,.64,.62,.62,921055.48
SF,20030211,.63,.63,.62,.63,1470028.94
SF,20030212,.63,.65,.63,.64,1600562.63
SF,20030213,.64,.64,.62,.62,1055248.99
SF,20030214,.61,.62,.61,.62,97595.28
