<TICKER>,<DTYYYYMMDD>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
SGF,19880210,4.381942,4.564523,3.834199,4.290651,3795577.6648
SGF,19880211,4.290651,4.427587,4.199361,4.290651,848938.727336
SGF,19880212,4.290651,4.290651,4.153716,4.199361,432684.899739
SGF,19880215,4.199361,4.336296,4.199361,4.245006,405299.779502
SGF,19880216,4.199361,4.336296,4.199361,4.290651,586041.573064
SGF,19880217,4.290651,4.336296,4.245006,4.290651,761306.342579
SGF,19880218,4.290651,4.336296,4.245006,4.336296,607949.669254
SGF,19880219,4.427587,4.518877,4.381942,4.473232,712013.126153
SGF,19880222,4.564523,4.884039,4.518877,4.884039,2185332.594885
SGF,19880223,4.929684,5.06662,4.564523,4.747103,1489750.540874
SGF,19880224,4.838394,4.929684,4.747103,4.792749,991341.352567
SGF,19880225,4.792749,4.792749,4.564523,4.747103,914663.015904
SGF,19880226,4.747103,4.747103,4.564523,4.655813,772260.390674
SGF,19880229,4.655813,4.655813,4.473232,4.610168,629857.765443
SGF,19880301,4.564523,4.655813,4.564523,4.655813,328621.44284
SGF,19880303,4.655813,4.747103,4.610168,4.747103,542225.380686
SGF,19880304,4.838394,5.157911,4.838394,5.157911,3729853.376232
SGF,19880307,5.203556,5.386137,5.157911,5.249201,1933389.488708
SGF,19880308,5.294846,5.386137,5.203556,5.203556,3160242.87531
SGF,19880309,5.112265,5.340491,5.112265,5.340491,1122789.929703
SGF,19880310,5.386137,5.660008,5.386137,5.614363,1719785.550862
SGF,19880311,5.660008,5.796944,5.386137,5.386137,2628971.542719
SGF,19880314,5.477427,5.660008,5.386137,5.431782,607949.669254
SGF,19880315,5.386137,5.477427,5.203556,5.386137,503886.212354
SGF,19880316,5.294846,5.431782,5.294846,5.294846,262897.154272
SGF,19880317,5.386137,5.431782,5.340491,5.431782,295759.298556
SGF,19880318,5.523072,5.660008,5.477427,5.614363,805122.534958
SGF,19880321,5.660008,5.705653,5.568718,5.614363,1259715.530886
SGF,19880322,5.614363,5.614363,5.386137,5.477427,443638.947834
SGF,19880323,5.340491,5.431782,5.340491,5.386137,290282.274509
SGF,19880324,5.386137,5.431782,5.340491,5.431782,323144.418792
SGF,19880325,5.340491,5.340491,5.203556,5.294846,1758124.719193
SGF,19880328,5.112265,5.112265,4.792749,4.792749,460070.019976
SGF,19880329,4.701458,5.06662,4.701458,5.020975,427207.875692
SGF,19880330,5.203556,5.203556,5.112265,5.157911,366960.611171
SGF,19880331,5.020975,5.020975,4.929684,4.97533,290282.274509
SGF,19880401,4.929684,4.97533,4.838394,4.97533,180741.793562
SGF,19880404,4.884039,4.884039,4.838394,4.838394,295759.298556
SGF,19880405,4.792749,4.838394,4.747103,4.838394,131448.577136
SGF,19880407,5.020975,5.112265,4.929684,5.020975,629857.765443
SGF,19880408,5.020975,5.112265,5.020975,5.06662,668196.933774
SGF,19880411,5.112265,5.112265,5.020975,5.020975,21908.096189
SGF,19880412,5.020975,5.112265,5.020975,5.06662,158833.697373
SGF,19880414,5.112265,5.112265,5.06662,5.06662,71201.312615
SGF,19880415,4.747103,4.929684,4.747103,4.838394,273851.202367
SGF,19880418,4.884039,4.884039,4.792749,4.792749,558656.452828
SGF,19880419,4.655813,4.655813,4.564523,4.564523,284805.250461
SGF,19880420,4.381942,4.610168,4.381942,4.564523,925617.063999
SGF,19880421,4.610168,4.655813,4.473232,4.610168,251943.106177
SGF,19880422,4.655813,4.792749,4.655813,4.747103,147879.649278
SGF,19880425,4.747103,4.792749,4.701458,4.701458,284805.250461
SGF,19880426,4.655813,4.655813,4.518877,4.564523,284805.250461
SGF,19880427,4.564523,4.655813,4.381942,4.381942,1013249.448756
SGF,19880428,4.381942,4.473232,4.381942,4.427587,487455.140212
SGF,19880429,4.518877,4.518877,4.427587,4.427587,235512.034035
SGF,19880503,4.381942,4.473232,4.381942,4.427587,109540.480947
SGF,19880504,4.473232,4.518877,4.473232,4.518877,224557.985941
SGF,19880506,4.427587,4.518877,4.427587,4.518877,82155.36071
SGF,19880509,4.473232,4.473232,4.427587,4.427587,76678.336663
SGF,19880510,4.381942,4.427587,4.381942,4.381942,76678.336663
SGF,19880511,4.473232,4.473232,4.427587,4.427587,197172.865704
SGF,19880512,4.381942,4.381942,4.336296,4.336296,93109.408805
SGF,19880513,4.381942,4.473232,4.381942,4.427587,98586.432852
SGF,19880516,4.518877,4.518877,4.473232,4.473232,54770.240473
SGF,19880517,4.518877,4.518877,4.473232,4.518877,93109.408805
SGF,19880518,4.564523,4.564523,4.427587,4.427587,54770.240473
SGF,19880519,4.427587,4.473232,4.427587,4.427587,98586.432852
SGF,19880520,4.473232,4.473232,4.427587,4.427587,49293.216426
SGF,19880523,4.381942,4.381942,4.336296,4.381942,43816.192379
SGF,19880524,4.290651,4.336296,4.290651,4.336296,54770.240473
SGF,19880525,4.336296,4.381942,4.336296,4.381942,93109.408805
SGF,19880526,4.336296,4.336296,4.336296,4.336296,10954.048095
SGF,19880527,4.336296,4.336296,4.336296,4.336296,10954.048095
SGF,19880531,4.245006,4.336296,4.245006,4.336296,27385.120237
SGF,19880601,4.381942,4.381942,4.290651,4.290651,21908.096189
SGF,19880602,4.290651,4.290651,4.290651,4.290651,71201.312615
SGF,19880603,4.290651,4.290651,4.290651,4.290651,32862.144284
SGF,19880606,4.245006,4.290651,4.245006,4.290651,109540.480947
SGF,19880607,4.336296,4.381942,4.336296,4.336296,147879.649278
SGF,19880608,4.290651,4.381942,4.290651,4.381942,65724.288568
SGF,19880609,4.381942,4.427587,4.381942,4.381942,109540.480947
SGF,19880610,4.336296,4.336296,4.290651,4.336296,76678.336663
SGF,19880613,4.290651,4.290651,4.245006,4.290651,147879.649278
SGF,19880614,4.245006,4.245006,4.245006,4.245006,38339.168331
SGF,19880615,4.245006,4.290651,4.245006,4.290651,131448.577136
SGF,19880616,4.336296,4.381942,4.290651,4.381942,268374.178319
SGF,19880617,4.336296,4.381942,4.336296,4.381942,262897.154272
SGF,19880620,4.381942,4.427587,4.381942,4.381942,104063.456899
SGF,19880621,4.290651,4.290651,4.290651,4.290651,27385.120237
