<TICKER>,<DTYYYYMMDD>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
SINGHA,20031219,5.92,6.01,5.32,5.41,122899380.12
SINGHA,20031222,5.45,5.45,5.22,5.27,20674080.73
SINGHA,20031223,5.36,5.59,5.27,5.27,32168936.68
SINGHA,20031224,5.36,5.36,4.95,5.08,12180728.50
SINGHA,20031225,4.99,5.04,4.62,4.71,7294698.01
SINGHA,20031226,4.67,4.90,4.58,4.67,7652779.73
SINGHA,20031229,4.71,4.71,4.49,4.51,6249661.93
SINGHA,20031230,4.53,4.71,4.42,4.60,18316799.55
SINGHA,20031231,4.62,4.85,4.62,4.76,24915347.75
SINGHA,20040105,4.76,4.81,4.60,4.62,6647770.91
SINGHA,20040106,4.67,4.76,4.60,4.60,7712820.62
SINGHA,20040107,4.60,4.67,4.58,4.58,3614894.47
SINGHA,20040108,4.71,5.08,4.60,4.99,32825600.14
SINGHA,20040109,5.04,5.08,4.90,4.90,15500827.59
SINGHA,20040112,4.90,5.04,4.76,4.76,5045598.62
SINGHA,20040113,4.81,4.85,4.71,4.76,2441662.97
SINGHA,20040114,4.76,4.81,4.71,4.71,974717.92
SINGHA,20040115,4.71,4.90,4.60,4.60,6836548.14
SINGHA,20040116,4.60,4.67,4.57,4.62,1832058.59
SINGHA,20040119,4.67,4.76,4.62,4.62,5175957.68
SINGHA,20040120,4.67,4.67,4.57,4.57,1529149.58
SINGHA,20040121,4.60,4.62,4.42,4.42,2891699.21
SINGHA,20040122,4.44,4.47,4.38,4.38,709131.62
SINGHA,20040123,4.34,4.47,4.33,4.42,1160790.59
SINGHA,20040126,4.42,4.42,4.23,4.23,382963.53
SINGHA,20040127,4.23,4.25,4.18,4.20,853013.40
SINGHA,20040128,4.20,4.34,4.12,4.12,8912556.66
SINGHA,20040129,4.07,4.07,3.99,4.01,1501022.32
SINGHA,20040130,4.05,4.05,3.83,3.83,1310622.37
SINGHA,20040202,3.79,3.79,3.31,3.31,1545917.76
SINGHA,20040203,3.24,3.51,3.18,3.51,2082499.43
SINGHA,20040204,3.53,3.62,3.46,3.55,4860607.77
SINGHA,20040205,3.57,3.88,3.57,3.79,4118480.69
SINGHA,20040206,3.81,3.85,3.55,3.55,2899812.85
SINGHA,20040209,3.64,3.70,3.59,3.68,1768772.24
SINGHA,20040210,3.70,3.97,3.70,3.92,11016692.45
SINGHA,20040211,3.94,3.97,3.88,3.90,4668585.09
SINGHA,20040212,3.90,4.09,3.90,4.01,11284442.38
SINGHA,20040213,4.03,4.03,3.90,3.96,2837067.41
SINGHA,20040216,3.96,3.96,3.88,3.90,1382022.35
SINGHA,20040217,3.86,4.05,3.86,4.05,1942404.02
SINGHA,20040218,4.07,4.67,4.07,4.62,30244923.57
SINGHA,20040219,4.67,4.76,4.60,4.71,15921654.75
SINGHA,20040220,4.67,4.85,4.55,4.81,16028213.81
SINGHA,20040223,4.85,5.08,4.85,4.95,14874455.03
SINGHA,20040224,4.99,5.08,4.71,4.76,15318541.28
SINGHA,20040225,4.81,4.90,4.81,4.81,11226024.21
SINGHA,20040226,4.85,5.27,4.85,5.22,19931412.75
SINGHA,20040227,5.27,5.41,5.18,5.32,16105563.79
SINGHA,20040301,5.32,5.55,5.13,5.13,21062994.26
SINGHA,20040302,5.18,5.27,4.95,4.95,6144725.60
SINGHA,20040303,4.99,5.04,4.85,4.90,5003948.64
SINGHA,20040304,4.95,5.22,4.95,5.04,20253253.57
SINGHA,20040308,5.08,5.27,5.08,5.27,10444410.79
SINGHA,20040309,5.36,5.41,5.18,5.18,10385451.71
SINGHA,20040310,5.22,5.27,5.13,5.18,5150534.96
SINGHA,20040311,5.22,5.32,5.13,5.18,5462098.51
SINGHA,20040312,4.95,4.99,4.81,4.90,2213399.40
SINGHA,20040315,4.95,4.95,4.58,4.67,3058840.07
SINGHA,20040316,4.62,4.81,4.57,4.76,2040849.44
SINGHA,20040317,4.71,4.85,4.71,4.76,1538345.03
SINGHA,20040318,4.81,4.85,4.76,4.76,1117517.88
SINGHA,20040319,4.81,4.90,4.76,4.81,3823685.32
SINGHA,20040322,4.76,4.81,4.67,4.67,334281.73
SINGHA,20040323,4.62,4.67,4.62,4.62,471672.60
SINGHA,20040324,4.62,4.67,4.62,4.62,331577.18
SINGHA,20040325,4.67,4.67,4.49,4.51,645304.37
SINGHA,20040326,4.51,4.57,4.44,4.51,2991226.46
SINGHA,20040329,4.49,4.53,4.25,4.53,1590272.29
SINGHA,20040330,4.53,4.62,4.53,4.62,4846544.13
SINGHA,20040331,4.62,4.90,4.58,4.81,4143362.51
SINGHA,20040401,4.85,4.90,4.81,4.81,733472.53
SINGHA,20040402,4.81,5.08,4.76,5.04,5632484.83
SINGHA,20040405,5.04,5.13,4.90,4.90,1393922.35
SINGHA,20040407,4.95,4.99,4.76,4.76,1022317.90
SINGHA,20040408,4.76,4.90,4.71,4.71,658286.18
SINGHA,20040409,4.67,4.67,4.62,4.67,474918.05
SINGHA,20040412,4.67,4.85,4.67,4.81,1000140.64
SINGHA,20040416,4.85,4.90,4.76,4.81,200136.31
SINGHA,20040419,4.76,4.81,4.76,4.81,787563.42
SINGHA,20040420,4.81,4.85,4.81,4.85,226640.85
SINGHA,20040421,4.85,4.99,4.85,4.90,514945.31
SINGHA,20040422,4.85,4.85,4.71,4.71,1111026.97
SINGHA,20040423,4.71,4.71,4.57,4.62,3258435.47
SINGHA,20040426,4.58,4.62,4.55,4.55,203381.76
SINGHA,20040427,4.58,4.62,4.57,4.62,97904.52
SINGHA,20040428,4.58,4.62,4.57,4.58,42731.81
SINGHA,20040429,4.57,4.57,4.42,4.42,769172.52
SINGHA,20040430,4.38,4.49,4.27,4.42,373768.08
SINGHA,20040504,4.38,4.44,4.36,4.44,109804.52
SINGHA,20040506,4.40,4.40,4.38,4.38,70318.16
SINGHA,20040507,4.38,4.40,4.34,4.36,182827.22
SINGHA,20040510,4.34,4.34,4.22,4.22,326709.00
SINGHA,20040511,4.25,4.34,4.18,4.27,538204.40
SINGHA,20040512,4.22,4.62,4.22,4.34,545236.21
SINGHA,20040513,4.42,4.53,4.31,4.31,347804.45
SINGHA,20040514,4.33,4.51,4.33,4.42,769713.43
SINGHA,20040517,4.38,4.38,4.25,4.25,137931.78
SINGHA,20040518,4.25,4.27,4.22,4.25,236918.12
SINGHA,20040519,4.29,4.31,4.25,4.25,809740.69
SINGHA,20040520,4.23,4.31,4.20,4.27,416499.89
SINGHA,20040521,4.29,4.34,4.29,4.29,196890.86
SINGHA,20040524,4.31,4.44,4.29,4.31,449495.33
SINGHA,20040525,4.27,4.29,4.22,4.29,178499.95
SINGHA,20040526,4.27,4.36,4.27,4.29,334822.64
