<TICKER>,<DTYYYYMMDD>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
SIRI,19960719,9.2684875352071,9.70294788841993,9.05125735860068,9.2684875352071,33436652.8328158
SIRI,19960722,8.83402718199426,8.97884729973187,8.39956682878143,8.61679700538784,7604606.440076
SIRI,19960723,8.39956682878143,8.54438694651904,7.82028635783099,7.82028635783099,2221376.45670794
SIRI,19960724,7.60305618122457,7.89269641669979,7.05998073970853,7.16859582801174,2130919.41106642
SIRI,19960725,7.13239079857733,7.24100588688054,6.51690529819249,6.87895559253651,959120.888519528
SIRI,19960726,6.6617254159301,6.6617254159301,6.19106003328286,6.33588015102047,1767019.69310401
SIRI,19960729,5.93762482724205,6.04623991554525,5.72039465063563,5.72039465063563,463333.416988195
SIRI,19960731,5.3583443562916,5.53936950346361,5.17731920911959,5.3583443562916,1509458.79215528
SIRI,19960801,5.46695944459481,5.86521476837324,5.394549385726,5.86521476837324,1040601.28077677
SIRI,19960802,6.04623991554525,6.44449523932368,6.04623991554525,6.44449523932368,1836761.38478182
SIRI,19960805,6.95136565140532,7.05998073970853,6.95136565140532,7.05998073970853,1298852.69352429
SIRI,19960806,7.09618576914293,7.53064612235576,7.09618576914293,7.20480085744614,3435296.19898103
SIRI,19960807,7.16859582801174,7.38582600461815,6.95136565140532,7.09618576914293,1208395.64788277
SIRI,19960808,7.05998073970853,7.16859582801174,6.80654553366771,6.91516062197092,1249826.35581018
SIRI,19960809,6.84275056310211,6.84275056310211,6.6255203864957,6.84275056310211,151222.083935044
SIRI,19960813,6.58931535706129,6.87895559253651,6.51690529819249,6.87895559253651,100814.722623363
SIRI,19960814,6.6979304453645,6.80654553366771,6.44449523932368,6.80654553366771,341803.340401128
SIRI,19960815,6.51690529819249,6.7341354747989,6.51690529819249,6.51690529819249,200938.933447936
SIRI,19960816,6.55311032762689,6.6979304453645,6.37208518045488,6.44449523932368,515121.801897457
SIRI,19960819,6.11864997441406,6.11864997441406,5.86521476837324,5.86521476837324,226487.870003172
SIRI,19960820,5.93762482724205,5.93762482724205,5.72039465063563,5.79280470950443,171246.926099959
SIRI,19960821,5.90141979780764,5.97382985667645,5.79280470950443,5.86521476837324,332826.687016856
SIRI,19960822,5.86521476837324,5.93762482724205,5.79280470950443,5.93762482724205,85623.4630499795
SIRI,19960823,5.93762482724205,6.37208518045488,5.93762482724205,6.37208518045488,205082.004240677
SIRI,19960826,6.22726506271727,6.33588015102047,6.11864997441406,6.26347009215167,81480.3922572385
SIRI,19960827,6.08244494497966,6.19106003328286,6.08244494497966,6.19106003328286,13810.2359758031
SIRI,19960828,6.08244494497966,6.15485500384846,6.04623991554525,6.08244494497966,52478.8967080519
SIRI,19960829,5.97382985667645,6.04623991554525,5.93762482724205,5.93762482724205,39359.172531039
SIRI,19960830,5.86521476837324,6.11864997441406,5.82900973893884,5.93762482724205,154674.642928995
SIRI,19960902,5.86521476837324,5.86521476837324,5.75659968007003,5.75659968007003,34525.5899395079
SIRI,19960903,5.64798459176682,5.64798459176682,5.21352423855399,5.57557453289802,161579.760916897
SIRI,19960904,5.57557453289802,5.57557453289802,5.24972926798839,5.53936950346361,85623.4630499795
SIRI,19960905,5.57557453289802,5.57557453289802,5.06870412081638,5.17731920911959,87694.9984463499
SIRI,19960906,4.70665382647235,4.77906388534116,4.70665382647235,4.70665382647235,80789.8804584484
SIRI,19960909,4.48942364986594,4.48942364986594,4.23598844382512,4.27219347325952,140173.895154402
SIRI,19960910,4.19978341439071,4.27219347325952,3.87393814948109,3.87393814948109,340422.316803547
SIRI,19960911,4.19978341439071,4.23598844382512,4.19978341439071,4.23598844382512,33144.5663419275
SIRI,19960912,4.63424376760355,4.63424376760355,4.63424376760355,4.63424376760355,75956.2978669173
SIRI,19960913,5.06870412081638,5.06870412081638,5.06870412081638,5.06870412081638,49026.3377141012
SIRI,19960916,5.394549385726,5.57557453289802,5.394549385726,5.57557453289802,1976244.76813743
SIRI,19960917,5.64798459176682,5.72039465063563,5.17731920911959,5.3583443562916,1211848.20687673
SIRI,19960918,5.10490915025078,5.3583443562916,5.06870412081638,5.3583443562916,86313.9748487696
SIRI,19960919,5.2859342974228,5.46695944459481,5.2859342974228,5.394549385726,794779.080407471
SIRI,19960920,5.2859342974228,5.79280470950443,5.14111417968518,5.72039465063563,3110065.14175087
SIRI,19960923,5.82900973893884,6.15485500384846,5.75659968007003,6.15485500384846,874878.449067129
SIRI,19960924,6.08244494497966,6.33588015102047,5.86521476837324,6.33588015102047,884545.614250191
SIRI,19960925,6.29967512158607,6.6617254159301,6.08244494497966,6.6617254159301,2106060.98630998
SIRI,19960926,6.6617254159301,6.7341354747989,6.44449523932368,6.6617254159301,822399.552359077
SIRI,19960927,6.6255203864957,6.6255203864957,6.48070026875808,6.58931535706129,58693.5028971634
SIRI,19960930,6.6255203864957,6.80654553366771,6.58931535706129,6.6979304453645,1070983.79992353
SIRI,19961001,6.58931535706129,6.6979304453645,6.29967512158607,6.33588015102047,611102.941929289
SIRI,19961002,6.26347009215167,6.26347009215167,5.79280470950443,5.79280470950443,147769.524941094
SIRI,19961003,5.57557453289802,5.57557453289802,5.21352423855399,5.21352423855399,520645.896287779
SIRI,19961004,5.06870412081638,5.14111417968518,5.06870412081638,5.14111417968518,19334.3303661244
SIRI,19961007,4.70665382647235,4.70665382647235,4.63424376760355,4.63424376760355,168484.878904798
SIRI,19961008,4.63424376760355,5.06870412081638,4.27219347325952,5.06870412081638,113243.935001586
SIRI,19961009,5.06870412081638,5.17731920911959,4.70665382647235,4.85147394420996,185747.673874552
SIRI,19961010,4.56183370873474,4.56183370873474,4.38080856156273,4.56183370873474,159508.225520526
SIRI,19961011,4.34460353212832,4.92388400307877,4.34460353212832,4.92388400307877,102886.258019733
SIRI,19961014,4.56183370873474,4.67044879703795,4.52562867930034,4.67044879703795,55240.9439032126
SIRI,19961015,4.34460353212832,4.48942364986594,4.30839850269392,4.30839850269392,174008.97329512
SIRI,19961016,4.63424376760355,4.63424376760355,4.19978341439071,4.19978341439071,575886.840190991
SIRI,19961017,4.19978341439071,4.19978341439071,4.09116832608751,4.09116832608751,182985.626679392
SIRI,19961018,4.16357838495631,4.38080856156273,4.09116832608751,4.38080856156273,564838.651410348
SIRI,19961021,4.34460353212832,4.34460353212832,4.16357838495631,4.34460353212832,78027.8332632878
SIRI,19961022,4.30839850269392,4.34460353212832,4.19978341439071,4.34460353212832,37978.1489334586
SIRI,19961024,4.23598844382512,4.23598844382512,4.23598844382512,4.23598844382512,6905.11798790157
SIRI,19961025,4.16357838495631,4.16357838495631,4.16357838495631,4.16357838495631,6905.11798790157
SIRI,19961028,4.48942364986594,4.48942364986594,4.0549632966531,4.27219347325952,21405.8657624949
SIRI,19961029,4.34460353212832,4.34460353212832,3.9825532377843,3.9825532377843,7595.62978669173
SIRI,19961030,3.76532306117788,3.87393814948109,3.69291300230908,3.87393814948109,20024.8421649146
