<TICKER>,<DTYYYYMMDD>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
SMG,19860925,1.77091133056569,1.8373205054619,1.77091133056569,1.79858182010578,1328129.7371612
SMG,19860926,1.7764454284737,1.88712738663406,1.7764454284737,1.88712738663406,1165501.60608024
SMG,19860929,1.8981955824501,2.07528671550666,1.8981955824501,2.07528671550666,1662420.89549429
SMG,19860930,2.10849130295477,2.14169589040288,2.10849130295477,2.10849130295477,1472688.07589984
SMG,19861001,2.11955949877081,2.13062769458684,2.10849130295477,2.11955949877081,460779.704729397
SMG,19861002,2.11955949877081,2.19703686948305,2.11955949877081,2.19703686948305,749896.382206665
SMG,19861003,2.20810506529909,2.21917326111513,2.17490047785098,2.19703686948305,813140.655404818
SMG,19861006,2.19703686948305,2.21917326111513,2.19703686948305,2.19703686948305,596303.147296866
SMG,19861007,2.17490047785098,2.18596867366702,2.17490047785098,2.17490047785098,370430.74301775
SMG,19861008,2.16383228203495,2.16383228203495,2.14169589040288,2.14169589040288,831210.447747147
SMG,19861009,2.10849130295477,2.10849130295477,2.10849130295477,2.10849130295477,72279.1693693171
SMG,19861010,2.07528671550666,2.09742310713873,2.07528671550666,2.09742310713873,171663.027252128
SMG,19861013,2.11955949877081,2.13062769458684,2.11955949877081,2.11955949877081,54209.3770269878
SMG,19861014,2.14169589040288,2.14169589040288,2.13062769458684,2.13062769458684,216837.508107951
SMG,19861015,2.11955949877081,2.11955949877081,2.11955949877081,2.11955949877081,18069.7923423293
SMG,19861016,2.11955949877081,2.15276408621891,2.11955949877081,2.15276408621891,90348.9617116464
SMG,19861017,2.16383228203495,2.16383228203495,2.15276408621891,2.16383228203495,81314.0655404818
SMG,19861020,2.14169589040288,2.14169589040288,2.14169589040288,2.14169589040288,117453.65022514
SMG,19861021,2.14169589040288,2.17490047785098,2.14169589040288,2.17490047785098,252977.09279261
SMG,19861022,2.16383228203495,2.16383228203495,2.16383228203495,2.16383228203495,180697.923423293
SMG,19861027,2.17490047785098,2.17490047785098,2.16383228203495,2.16383228203495,144558.338738634
SMG,19861028,2.16383228203495,2.16383228203495,2.16383228203495,2.16383228203495,36139.5846846586
SMG,19861031,2.13062769458684,2.13062769458684,2.13062769458684,2.13062769458684,18069.7923423293
SMG,19861103,2.14169589040288,2.14169589040288,2.14169589040288,2.14169589040288,90348.9617116464
SMG,19861104,2.14169589040288,2.14169589040288,2.14169589040288,2.14169589040288,108418.754053976
SMG,19861105,2.14169589040288,2.14169589040288,2.14169589040288,2.14169589040288,36139.5846846586
SMG,19861106,2.14169589040288,2.19703686948305,2.14169589040288,2.19703686948305,361395.846846586
SMG,19861107,2.18596867366702,2.18596867366702,2.16383228203495,2.16383228203495,135523.44256747
SMG,19861110,2.16383228203495,2.19703686948305,2.16383228203495,2.19703686948305,144558.338738634
SMG,19861112,2.19703686948305,2.20810506529909,2.19703686948305,2.19703686948305,72279.1693693171
SMG,19861113,2.17490047785098,2.17490047785098,2.17490047785098,2.17490047785098,63244.2731981525
SMG,19861125,2.17490047785098,2.17490047785098,2.17490047785098,2.17490047785098,18069.7923423293
SMG,19861127,2.19703686948305,2.19703686948305,2.19703686948305,2.19703686948305,36139.5846846586
SMG,19861128,2.20810506529909,2.25237784856323,2.20810506529909,2.25237784856323,207802.611936787
SMG,19861201,2.25237784856323,2.25237784856323,2.25237784856323,2.25237784856323,361395.846846586
SMG,19861202,2.26344604437927,2.26344604437927,2.26344604437927,2.26344604437927,18069.7923423293
SMG,19861203,2.28558243601134,2.30771882764341,2.28558243601134,2.30771882764341,54209.3770269878
SMG,19861204,2.32985521927548,2.32985521927548,2.32985521927548,2.32985521927548,36139.5846846586
SMG,19861208,2.37412800253962,2.37412800253962,2.37412800253962,2.37412800253962,18069.7923423293
SMG,19861211,2.39626439417169,2.39626439417169,2.39626439417169,2.39626439417169,18069.7923423293
SMG,19861216,2.35199161090755,2.35199161090755,2.35199161090755,2.35199161090755,9034.89617116464
SMG,19861217,2.32985521927548,2.32985521927548,2.32985521927548,2.32985521927548,54209.3770269878
SMG,19861219,2.31878702345945,2.31878702345945,2.31878702345945,2.31878702345945,54209.3770269878
SMG,19861222,2.28558243601134,2.28558243601134,2.28558243601134,2.28558243601134,36139.5846846586
SMG,19861224,2.28558243601134,2.28558243601134,2.28558243601134,2.28558243601134,54209.3770269878
SMG,19861225,2.30771882764341,2.30771882764341,2.30771882764341,2.30771882764341,36139.5846846586
SMG,19861229,2.26344604437927,2.26344604437927,2.26344604437927,2.26344604437927,252977.09279261
SMG,19861230,2.23024145693116,2.23024145693116,2.23024145693116,2.23024145693116,54209.3770269878
SMG,19870105,2.23024145693116,2.23024145693116,2.23024145693116,2.23024145693116,36139.5846846586
SMG,19870107,2.28558243601134,2.28558243601134,2.28558243601134,2.28558243601134,54209.3770269878
SMG,19870108,2.28558243601134,2.28558243601134,2.28558243601134,2.28558243601134,117453.65022514
SMG,19870112,2.28558243601134,2.28558243601134,2.28558243601134,2.28558243601134,45174.4808558232
SMG,19870116,2.25237784856323,2.25237784856323,2.25237784856323,2.25237784856323,27104.6885134939
SMG,19870119,2.23024145693116,2.23024145693116,2.23024145693116,2.23024145693116,36139.5846846586
SMG,19870122,2.23024145693116,2.23024145693116,2.23024145693116,2.23024145693116,72279.1693693171
SMG,19870127,2.23024145693116,2.23024145693116,2.23024145693116,2.23024145693116,18069.7923423293
SMG,19870129,2.23024145693116,2.23024145693116,2.23024145693116,2.23024145693116,72279.1693693171
SMG,19870130,2.23024145693116,2.23024145693116,2.21917326111513,2.21917326111513,126488.546396305
SMG,19870205,2.21917326111513,2.21917326111513,2.21917326111513,2.21917326111513,18069.7923423293
SMG,19870209,2.23024145693116,2.23024145693116,2.23024145693116,2.23024145693116,90348.9617116464
SMG,19870216,2.23024145693116,2.23024145693116,2.23024145693116,2.23024145693116,9034.89617116464
SMG,19870218,2.23024145693116,2.23024145693116,2.23024145693116,2.23024145693116,54209.3770269878
SMG,19870225,2.2413096527472,2.2413096527472,2.2413096527472,2.2413096527472,9034.89617116464
SMG,19870226,2.2745142401953,2.2745142401953,2.2745142401953,2.2745142401953,9034.89617116464
SMG,19870227,2.2745142401953,2.2745142401953,2.2745142401953,2.2745142401953,36139.5846846586
SMG,19870302,2.31878702345945,2.31878702345945,2.31878702345945,2.31878702345945,9034.89617116464
SMG,19870316,2.25237784856323,2.25237784856323,2.25237784856323,2.25237784856323,36139.5846846586
SMG,19870318,2.38519619835566,2.47374176488394,2.38519619835566,2.47374176488394,90348.9617116464
SMG,19870415,2.51801454814809,2.51801454814809,2.49587815651601,2.49587815651601,27104.6885134939
SMG,19870416,2.54015093978016,2.54015093978016,2.54015093978016,2.54015093978016,9034.89617116464
SMG,19870427,2.5844237230443,2.5844237230443,2.5844237230443,2.5844237230443,9034.89617116464
SMG,19870428,2.62869650630844,2.76151485610087,2.62869650630844,2.76151485610087,36139.5846846586
SMG,19870429,2.80578763936501,2.89433320589329,2.80578763936501,2.89433320589329,54209.3770269878
SMG,19870507,2.91646959752536,2.96074238078951,2.91646959752536,2.96074238078951,18069.7923423293
SMG,19870512,3.00501516405365,3.04928794731779,3.00501516405365,3.04928794731779,18069.7923423293
SMG,19870513,3.09356073058193,3.09356073058193,3.09356073058193,3.09356073058193,9034.89617116464
SMG,19870515,3.13783351384608,3.18210629711022,3.13783351384608,3.18210629711022,18069.7923423293
SMG,19870518,3.18210629711022,3.18210629711022,3.18210629711022,3.18210629711022,36139.5846846586
SMG,19870519,3.18210629711022,3.18210629711022,3.18210629711022,3.18210629711022,18069.7923423293
SMG,19870520,3.22637908037436,3.22637908037436,3.22637908037436,3.22637908037436,9034.89617116464
SMG,19870528,3.24851547200643,3.24851547200643,3.24851547200643,3.24851547200643,18069.7923423293
SMG,19870609,3.28172005945454,3.28172005945454,3.28172005945454,3.28172005945454,36139.5846846586
SMG,19870624,3.29278825527057,3.29278825527057,3.29278825527057,3.29278825527057,45174.4808558232
SMG,19870625,3.29278825527057,3.29278825527057,3.29278825527057,3.29278825527057,18069.7923423293
SMG,19870706,3.33706103853472,3.34812923435075,3.33706103853472,3.34812923435075,45174.4808558232
SMG,19870707,3.38133382179886,3.38133382179886,3.38133382179886,3.38133382179886,18069.7923423293
SMG,19870708,3.41453840924696,3.56949315067146,3.41453840924696,3.56949315067146,72279.1693693171
SMG,19870709,3.64697052138371,3.64697052138371,3.5805613464875,3.5805613464875,27104.6885134939
SMG,19870716,3.5805613464875,3.6137659339356,3.5805613464875,3.6137659339356,36139.5846846586
SMG,19870730,3.59162954230353,3.59162954230353,3.52522036740732,3.54735675903939,81314.0655404818
SMG,19870731,3.48094758414318,3.48094758414318,3.48094758414318,3.48094758414318,36139.5846846586
SMG,19870805,3.54735675903939,3.54735675903939,3.54735675903939,3.54735675903939,18069.7923423293
SMG,19870806,3.54735675903939,3.54735675903939,3.54735675903939,3.54735675903939,18069.7923423293
SMG,19870901,3.59162954230353,3.59162954230353,3.59162954230353,3.59162954230353,18069.7923423293
SMG,19870904,3.59162954230353,3.59162954230353,3.59162954230353,3.59162954230353,36139.5846846586
SMG,19870918,3.6137659339356,3.63590232556768,3.6137659339356,3.6137659339356,81314.0655404818
SMG,19870922,3.63590232556768,3.63590232556768,3.63590232556768,3.63590232556768,18069.7923423293
SMG,19870923,3.6137659339356,3.6137659339356,3.6137659339356,3.6137659339356,18069.7923423293
SMG,19870928,3.6137659339356,3.6137659339356,3.6137659339356,3.6137659339356,9034.89617116464
SMG,19871001,3.63590232556768,3.70231150046389,3.63590232556768,3.70231150046389,27104.6885134939
SMG,19871002,3.79085706699217,3.90153902515253,3.79085706699217,3.90153902515253,27104.6885134939
SMG,19871007,3.90153902515253,3.90153902515253,3.90153902515253,3.90153902515253,90348.9617116464
SMG,19871008,3.9236754167846,3.9236754167846,3.9236754167846,3.9236754167846,9034.89617116464
SMG,19871020,3.9236754167846,3.9236754167846,3.9236754167846,3.9236754167846,18069.7923423293
SMG,19871103,3.83512985025631,3.83512985025631,3.83512985025631,3.83512985025631,18069.7923423293
SMG,19871104,3.83512985025631,3.83512985025631,3.83512985025631,3.83512985025631,72279.1693693171
SMG,19871106,3.65803871719975,3.65803871719975,3.65803871719975,3.65803871719975,27104.6885134939
SMG,19871126,3.65803871719975,3.65803871719975,3.65803871719975,3.65803871719975,81314.0655404818
SMG,19871222,3.30385645108661,3.30385645108661,3.30385645108661,3.30385645108661,18069.7923423293
SMG,19880106,3.21531088455832,3.21531088455832,3.21531088455832,3.21531088455832,18069.7923423293
SMG,19880107,3.21531088455832,3.21531088455832,3.21531088455832,3.21531088455832,18069.7923423293
SMG,19880118,3.25958366782247,3.25958366782247,3.25958366782247,3.25958366782247,36139.5846846586
SMG,19880222,3.30385645108661,3.34812923435075,3.30385645108661,3.34812923435075,54209.3770269878
SMG,19880316,3.32599284271868,3.34812923435075,3.32599284271868,3.34812923435075,81314.0655404818
SMG,19880318,3.37026562598282,3.37026562598282,3.37026562598282,3.37026562598282,36139.5846846586
SMG,19880322,3.39240201761489,3.39240201761489,3.39240201761489,3.39240201761489,72279.1693693171
SMG,19880323,3.39240201761489,3.39240201761489,3.39240201761489,3.39240201761489,9034.89617116464
SMG,19880510,3.72444789209596,3.72444789209596,3.72444789209596,3.72444789209596,27104.6885134939
SMG,19880511,3.85726624188839,3.85726624188839,3.85726624188839,3.85726624188839,9034.89617116464
SMG,19880513,3.96794820004874,4.01222098331288,3.96794820004874,4.01222098331288,81314.0655404818
SMG,19880516,4.10076654984117,4.10076654984117,4.10076654984117,4.10076654984117,18069.7923423293
SMG,19880614,4.49922159921845,4.49922159921845,4.49922159921845,4.49922159921845,36139.5846846586
SMG,19880615,4.58776716574673,4.58776716574673,4.58776716574673,4.58776716574673,9034.89617116464
SMG,19880616,4.67631273227502,4.67631273227502,4.67631273227502,4.67631273227502,81314.0655404818
SMG,19880622,4.78699469043537,4.78699469043537,4.78699469043537,4.78699469043537,18069.7923423293
SMG,19880623,4.74272190717123,4.74272190717123,4.74272190717123,4.74272190717123,36139.5846846586
SMG,19880624,5.20758613144472,5.20758613144472,5.20758613144472,5.20758613144472,36139.5846846586
SMG,19880628,5.20758613144472,5.20758613144472,5.20758613144472,5.20758613144472,63244.2731981525
SMG,19880629,5.20758613144472,5.20758613144472,5.20758613144472,5.20758613144472,9034.89617116464
SMG,19880630,5.29613169797301,5.38467726450129,5.29613169797301,5.38467726450129,18069.7923423293
SMG,19880704,5.47322283102957,5.47322283102957,5.47322283102957,5.47322283102957,9034.89617116464
SMG,19880706,5.56176839755786,5.56176839755786,5.56176839755786,5.56176839755786,36139.5846846586
SMG,19880707,5.69458674735029,5.69458674735029,5.69458674735029,5.69458674735029,9034.89617116464
SMG,19880708,5.82740509714271,5.82740509714271,5.82740509714271,5.82740509714271,9034.89617116464
SMG,19880713,5.72779133479839,5.72779133479839,5.72779133479839,5.72779133479839,36139.5846846586
SMG,19880720,5.7609959222465,5.7609959222465,5.7609959222465,5.7609959222465,54209.3770269878
SMG,19880721,5.7609959222465,5.7609959222465,5.7609959222465,5.7609959222465,45174.4808558232
SMG,19880726,5.79420050969461,5.92701885948703,5.79420050969461,5.92701885948703,72279.1693693171
SMG,19880727,6.05983720927946,6.05983720927946,6.05983720927946,6.05983720927946,18069.7923423293
SMG,19880728,5.99342803438325,5.99342803438325,5.99342803438325,5.99342803438325,45174.4808558232
SMG,19880801,5.92701885948703,5.92701885948703,5.92701885948703,5.92701885948703,9034.89617116464
SMG,19880809,6.22586014651999,6.49149684610484,6.22586014651999,6.49149684610484,54209.3770269878
SMG,19880811,6.62431519589727,7.02277024527455,6.62431519589727,7.02277024527455,81314.0655404818
SMG,19880815,7.15558859506698,7.15558859506698,7.12238400761887,7.12238400761887,27104.6885134939
SMG,19880816,6.98956565782644,6.98956565782644,6.98956565782644,6.98956565782644,18069.7923423293
SMG,19880817,7.12238400761887,7.12238400761887,7.12238400761887,7.12238400761887,36139.5846846586
SMG,19880818,7.2552023574113,7.45442988209994,7.2552023574113,7.45442988209994,54209.3770269878
SMG,19880819,7.55404364444426,8.18493080595828,7.55404364444426,8.18493080595828,45174.4808558232
SMG,19880822,8.18493080595828,8.18493080595828,8.11852163106207,8.11852163106207,36139.5846846586
SMG,19880902,8.11852163106207,8.11852163106207,7.85288493147721,7.85288493147721,63244.2731981525
SMG,19880908,7.98570328126964,7.98570328126964,7.98570328126964,7.98570328126964,9034.89617116464
SMG,19880909,8.11852163106207,8.11852163106207,8.11852163106207,8.11852163106207,9034.89617116464
SMG,19880912,8.18493080595828,8.2513399808545,8.18493080595828,8.2513399808545,27104.6885134939
SMG,19880913,8.18493080595828,8.18493080595828,8.18493080595828,8.18493080595828,9034.89617116464
SMG,19880914,8.05211245616586,8.05211245616586,8.05211245616586,8.05211245616586,18069.7923423293
SMG,19880915,8.05211245616586,8.18493080595828,8.05211245616586,8.11852163106207,126488.546396305
SMG,19880916,8.05211245616586,8.05211245616586,8.05211245616586,8.05211245616586,27104.6885134939
SMG,19880919,8.01890786871775,8.01890786871775,8.01890786871775,8.01890786871775,36139.5846846586
SMG,19880922,8.01890786871775,8.01890786871775,8.01890786871775,8.01890786871775,18069.7923423293
SMG,19880928,8.15172621851018,8.15172621851018,8.15172621851018,8.15172621851018,9034.89617116464
SMG,19880929,8.2845445683026,8.45056750554314,8.2845445683026,8.45056750554314,54209.3770269878
SMG,19880930,8.58338585533556,8.58338585533556,8.58338585533556,8.58338585533556,18069.7923423293
SMG,19881003,8.58338585533556,8.98184090471284,8.58338585533556,8.98184090471284,81314.0655404818
SMG,19881004,9.15893203776941,9.29175038756184,9.15893203776941,9.24747760429769,63244.2731981525
SMG,19881005,9.42456873735426,9.42456873735426,9.42456873735426,9.42456873735426,9034.89617116464
SMG,19881006,9.4688415206184,9.51311430388255,9.42456873735426,9.42456873735426,81314.0655404818
SMG,19881017,9.29175038756184,9.29175038756184,9.29175038756184,9.29175038756184,9034.89617116464
SMG,19881020,9.11465925450527,9.11465925450527,8.9375681214487,8.9375681214487,81314.0655404818
SMG,19881021,8.9375681214487,8.9375681214487,8.9375681214487,8.9375681214487,27104.6885134939
SMG,19881103,8.9375681214487,8.9375681214487,8.9375681214487,8.9375681214487,18069.7923423293
SMG,19881110,8.6276586385997,8.6276586385997,8.49484028880728,8.49484028880728,45174.4808558232
SMG,19881111,8.49484028880728,8.49484028880728,8.49484028880728,8.49484028880728,921559.409458793
SMG,19881117,8.67193142186385,8.67193142186385,8.67193142186385,8.67193142186385,9034.89617116464
SMG,19881118,8.67193142186385,8.67193142186385,8.67193142186385,8.67193142186385,9034.89617116464
SMG,19881121,8.67193142186385,8.71620420512799,8.67193142186385,8.71620420512799,45174.4808558232
SMG,19881128,8.53911307207142,8.53911307207142,8.36202193901485,8.36202193901485,18069.7923423293
SMG,19881129,8.27347637248657,8.27347637248657,8.27347637248657,8.27347637248657,9034.89617116464
SMG,19881130,8.27347637248657,8.27347637248657,8.27347637248657,8.27347637248657,36139.5846846586
SMG,19881201,8.27347637248657,8.37309013483089,8.27347637248657,8.37309013483089,27104.6885134939
SMG,19890119,8.2845445683026,8.2845445683026,8.2845445683026,8.2845445683026,54209.3770269878
SMG,19890120,8.2845445683026,8.2845445683026,8.2845445683026,8.2845445683026,72279.1693693171
SMG,19890131,8.2845445683026,8.2845445683026,8.2845445683026,8.2845445683026,36139.5846846586
SMG,19890215,8.41736291809503,8.41736291809503,8.41736291809503,8.41736291809503,72279.1693693171
SMG,19890216,8.5944540511516,8.5944540511516,8.5944540511516,8.5944540511516,18069.7923423293
SMG,19890224,8.46163570135917,8.46163570135917,8.46163570135917,8.46163570135917,9034.89617116464
SMG,19890227,8.32881735156674,8.32881735156674,8.32881735156674,8.32881735156674,9034.89617116464
SMG,19890228,8.32881735156674,8.32881735156674,8.32881735156674,8.32881735156674,18069.7923423293
SMG,19890301,8.32881735156674,8.32881735156674,8.32881735156674,8.32881735156674,18069.7923423293
SMG,19890307,8.32881735156674,8.32881735156674,8.32881735156674,8.32881735156674,9034.89617116464
SMG,19890310,8.15172621851018,8.15172621851018,8.15172621851018,8.15172621851018,18069.7923423293
SMG,19890331,8.01890786871775,8.01890786871775,8.01890786871775,8.01890786871775,9034.89617116464
