<TICKER>,<DTYYYYMMDD>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
SMPC,20131111,2.0444447,3.2000004,2.0444447,3.2000004,205520599.309925
SMPC,20131112,3.35555598,3.48888933,2.9333337,2.97777815,109427611.321549
SMPC,20131113,2.9333337,3.06666705,2.60000033,2.666667,50989493.6263133
SMPC,20131114,2.7555559,2.88888925,2.35555585,2.42222253,49313243.8358445
SMPC,20131115,2.4888892,2.4888892,2.21333361,2.3111114,19814622.5231722
SMPC,20131118,2.33333363,2.55555588,2.24444473,2.4888892,27096746.6129067
SMPC,20131119,2.46666698,2.53333365,2.26666695,2.26666695,11435623.5705471
SMPC,20131120,2.3111114,2.42222253,2.2222225,2.24444473,9480373.81495327
SMPC,20131121,2.26666695,2.26666695,2.1333336,2.1333336,5305499.33681258
SMPC,20131122,2.17777805,2.26666695,2.1333336,2.16000027,5926499.25918759
SMPC,20131125,2.1333336,2.15111138,2.08888915,2.08888915,2004749.74940628
SMPC,20131126,2.10666693,2.35555585,2.09777804,2.16000027,15938998.0076252
SMPC,20131127,2.17777805,2.19555583,2.16000027,2.16888916,2665124.66685942
SMPC,20131128,2.17777805,2.2222225,2.14222249,2.14222249,2981249.6273438
SMPC,20131129,2.15111138,2.16000027,2.12444471,2.12444471,2324249.70946879
SMPC,20131202,2.12444471,2.16000027,2.09777804,2.15111138,1833749.77078128
SMPC,20131203,2.16000027,2.24444473,2.16000027,2.16888916,3641624.54479693
SMPC,20131204,2.17777805,2.19555583,2.14222249,2.15111138,620999.92237501
SMPC,20131206,2.17777805,2.17777805,2.10666693,2.12444471,1196999.85037502
SMPC,20131209,2.11555582,2.14222249,2.10666693,2.10666693,655874.91801564
SMPC,20131211,2.09777804,2.10666693,2.09777804,2.09777804,433124.94585938
SMPC,20131212,2.10666693,2.14222249,2.09777804,2.12444471,632249.92096876
SMPC,20131213,2.12444471,2.1333336,2.08888915,2.08888915,1015874.87301564
SMPC,20131216,2.08888915,2.11555582,2.05333359,2.05333359,582749.92715626
SMPC,20131217,2.07111137,2.07111137,2.0444447,2.0444447,501749.93728126
SMPC,20131218,2.05333359,2.06222248,2.01777803,2.01777803,3085874.61426567
SMPC,20131219,2.00888914,2.01777803,2.00000025,2.00000025,507374.93657813
SMPC,20131220,2.02666692,2.02666692,2.00000025,2.00000025,572624.92842188
SMPC,20131223,2.00888914,2.00888914,1.9555558,1.9555558,3394124.57573443
SMPC,20131224,1.96444469,1.97333358,1.9555558,1.9555558,220499.9724375
SMPC,20131225,1.97333358,1.97333358,1.8666669,1.87555579,771749.90353126
SMPC,20131226,1.92000024,1.93777802,1.81333356,1.82222245,2071124.74110941
SMPC,20131227,1.82222245,1.82222245,1.78666689,1.79555578,517499.93531251
SMPC,20140102,1.79555578,1.79555578,1.74222244,1.74222244,1265624.84179689
SMPC,20140103,1.73333355,1.74222244,1.71555577,1.71555577,785249.90184376
SMPC,20140106,1.71555577,1.73333355,1.71555577,1.73333355,250874.96864063
SMPC,20140107,1.75111133,1.76888911,1.74222244,1.74222244,221624.97229688
SMPC,20140108,1.79555578,1.84000023,1.777778,1.777778,379124.95260938
SMPC,20140109,1.82222245,1.87555579,1.78666689,1.85777801,1083374.86457814
SMPC,20140110,1.84000023,1.84000023,1.79555578,1.81333356,695249.91309376
SMPC,20140113,1.777778,1.84888912,1.777778,1.82222245,686249.91421876
SMPC,20140114,1.84000023,1.89333357,1.84000023,1.88444468,703124.91210939
SMPC,20140115,1.91111135,1.94666691,1.91111135,1.92000024,668249.91646876
SMPC,20140116,1.9555558,1.99111136,1.93777802,1.93777802,380249.95246876
SMPC,20140117,1.96444469,2.01777803,1.93777802,2.01777803,995624.87554689
SMPC,20140120,2.01777803,2.09777804,2.01777803,2.02666692,2285999.71425004
SMPC,20140121,2.0444447,2.09777804,2.03555581,2.06222248,970874.87864064
SMPC,20140122,2.08888915,2.28888918,2.07111137,2.16888916,5081624.36479695
SMPC,20140123,2.1333336,2.15111138,2.08888915,2.09777804,978749.87765627
SMPC,20140124,2.09777804,2.10666693,2.0444447,2.09777804,869624.89129689
SMPC,20140127,2.07111137,2.07111137,2.02666692,2.0444447,1069874.86626564
SMPC,20140128,2.02666692,2.06222248,2.02666692,2.0444447,208124.97398438
SMPC,20140129,2.08000026,2.08888915,2.03555581,2.03555581,113624.98579688
SMPC,20140130,2.02666692,2.03555581,2.02666692,2.03555581,13499.9983125
SMPC,20140131,2.0444447,2.09777804,2.0444447,2.08000026,552374.93095313
SMPC,20140203,2.08000026,2.10666693,2.08000026,2.10666693,137249.98284375
SMPC,20140204,2.10666693,2.10666693,2.07111137,2.09777804,224999.971875
SMPC,20140205,2.08000026,2.08888915,2.07111137,2.07111137,150749.98115625
SMPC,20140206,2.10666693,2.12444471,2.08000026,2.08888915,619874.92251564
SMPC,20140207,2.09777804,2.14222249,2.08888915,2.12444471,529874.93376563
SMPC,20140210,2.12444471,2.1333336,2.10666693,2.1333336,77624.99029688
SMPC,20140211,2.15111138,2.17777805,2.12444471,2.15111138,435374.94557813
SMPC,20140212,2.19555583,2.19555583,2.15111138,2.16888916,213749.97328125
SMPC,20140213,2.21333361,2.3111114,2.21333361,2.26666695,3310874.58614068
SMPC,20140217,2.2222225,2.24444473,2.16888916,2.21333361,3581999.55225006
SMPC,20140218,2.2222225,2.4888892,2.21333361,2.42222253,12547123.4316096
SMPC,20140219,2.4888892,2.60000033,2.4888892,2.4888892,17209122.8488596
SMPC,20140220,2.53333365,2.53333365,2.4000003,2.4000003,4102874.48714069
SMPC,20140221,2.42222253,2.5777781,2.4000003,2.5777781,4619249.42259382
SMPC,20140224,2.62222255,2.68888923,2.53333365,2.5777781,6674624.16567198
SMPC,20140225,2.60000033,2.62222255,2.51111143,2.51111143,4567499.42906257
SMPC,20140226,2.51111143,2.51111143,2.46666698,2.51111143,958499.88018752
SMPC,20140227,2.53333365,2.55555588,2.51111143,2.53333365,499499.93756251
SMPC,20140228,2.55555588,2.5777781,2.51111143,2.51111143,601874.92476563
SMPC,20140303,2.53333365,2.53333365,2.46666698,2.4888892,894374.88820314
SMPC,20140304,2.4888892,2.55555588,2.46666698,2.4888892,1348874.83139065
SMPC,20140305,2.53333365,2.53333365,2.44444475,2.4888892,946124.88173439
SMPC,20140306,2.4888892,2.53333365,2.46666698,2.46666698,806624.89917189
SMPC,20140307,2.4888892,2.60000033,2.4888892,2.55555588,2468249.69146879
SMPC,20140310,2.60000033,2.60000033,2.51111143,2.53333365,551249.93109376
SMPC,20140311,2.53333365,2.64444478,2.53333365,2.64444478,2208374.72395316
SMPC,20140312,2.64444478,2.68888923,2.62222255,2.666667,1002374.87470314
SMPC,20140313,2.666667,2.9333337,2.62222255,2.9333337,15884998.0143752
SMPC,20140314,2.91111148,2.97777815,2.8444448,2.8444448,6736499.1579376
SMPC,20140317,2.8444448,2.91111148,2.8444448,2.88888925,1438874.82014065
SMPC,20140318,2.88888925,2.95555593,2.8444448,2.8444448,2666249.66671879
SMPC,20140319,2.86666703,2.95555593,2.86666703,2.91111148,1136249.85796877
SMPC,20140320,2.9333337,2.9333337,2.86666703,2.9333337,974249.87821877
SMPC,20140321,2.95555593,3.17777818,2.95555593,3.15555595,11229748.5962814
SMPC,20140324,3.15555595,3.15555595,3.06666705,3.1111115,3815999.52300006
