<TICKER>,<DTYYYYMMDD>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
SPSU,19960312,42.50,42.75,40.25,41.25,73318
SPSU,19960313,41.25,41.25,39.00,39.50,16486
SPSU,19960314,39.50,41.50,39.25,41.00,18136
SPSU,19960315,41.50,44.00,40.50,42.75,61608
SPSU,19960318,42.50,43.00,41.50,42.00,20540
SPSU,19960319,42.25,44.50,42.25,44.50,39328
SPSU,19960320,44.50,45.25,43.75,44.00,21970
SPSU,19960321,43.25,44.25,42.75,43.50,12752
SPSU,19960322,43.50,44.50,43.25,44.50,24350
SPSU,19960325,44.25,45.00,43.75,44.00,16856
SPSU,19960326,44.00,44.00,43.25,43.50,3158
SPSU,19960327,43.25,43.50,41.50,42.25,6338
SPSU,19960328,41.50,42.75,41.50,42.25,2872
SPSU,19960329,42.25,42.75,42.00,42.50,2488
SPSU,19960401,42.50,42.75,41.50,42.75,1448
SPSU,19960402,42.50,43.25,42.50,42.75,3728
SPSU,19960403,43.00,44.50,43.00,44.25,25200
SPSU,19960404,44.25,46.00,44.25,45.50,24424
SPSU,19960405,45.00,45.50,44.50,45.00,1586
SPSU,19960409,44.50,45.00,43.75,44.00,992
SPSU,19960410,43.50,44.25,43.25,44.25,1010
SPSU,19960411,43.50,44.25,43.00,43.75,1364
SPSU,19960416,43.75,44.25,43.25,44.00,5756
SPSU,19960417,44.25,44.50,43.00,43.50,4210
SPSU,19960418,43.25,43.50,43.00,43.50,810
SPSU,19960419,43.00,43.00,40.50,41.75,8274
SPSU,19960422,41.25,41.25,39.50,39.50,2956
SPSU,19960423,39.75,40.50,39.75,40.25,5046
SPSU,19960424,40.75,41.00,40.25,41.00,3856
SPSU,19960425,40.75,41.50,40.75,41.25,2760
SPSU,19960426,41.00,41.00,40.25,40.75,442
SPSU,19960429,40.75,40.75,40.00,40.50,90
SPSU,19960430,40.50,40.50,39.50,40.50,496
SPSU,19960502,40.50,40.50,39.75,40.50,662
SPSU,19960503,40.00,40.50,39.50,40.00,324
SPSU,19960507,39.50,40.00,38.50,40.00,1876
SPSU,19960508,40.00,40.00,38.75,39.00,4626
SPSU,19960509,38.50,39.00,37.00,37.50,670
SPSU,19960510,37.50,38.75,37.50,38.75,996
SPSU,19960513,38.75,38.75,38.00,38.00,408
SPSU,19960514,38.00,38.25,37.50,38.00,736
SPSU,19960515,37.75,38.00,37.50,38.00,1858
SPSU,19960516,37.75,37.75,36.00,37.00,540
SPSU,19960517,36.50,36.50,33.50,36.00,4268
SPSU,19960520,36.00,36.50,34.50,36.50,960
SPSU,19960521,36.00,36.50,35.25,35.75,1230
SPSU,19960522,35.75,35.75,34.50,35.00,1734
SPSU,19960523,35.00,35.25,34.50,35.25,562
SPSU,19960524,35.25,36.00,34.75,35.50,392
SPSU,19960527,35.25,36.00,35.00,36.00,64
SPSU,19960528,35.25,36.25,35.25,35.75,154
SPSU,19960529,35.00,35.75,35.00,35.75,138
SPSU,19960530,35.25,36.00,35.25,36.00,184
SPSU,19960603,35.25,35.50,34.75,35.50,172
SPSU,19960604,35.50,37.50,35.50,36.25,13334
SPSU,19960605,36.25,36.25,35.00,35.50,2470
SPSU,19960606,35.50,36.25,34.50,36.25,3762
SPSU,19960607,36.00,37.00,35.50,36.00,4296
SPSU,19960611,36.00,36.00,34.25,35.00,3780
SPSU,19960612,34.75,35.00,33.75,35.00,1884
SPSU,19960613,34.50,35.25,34.00,35.00,1794
SPSU,19960614,34.75,35.75,34.00,34.75,1310
SPSU,19960617,34.25,34.75,34.00,34.75,884
SPSU,19960618,34.25,35.00,34.00,35.00,618
SPSU,19960619,35.00,35.00,34.25,34.75,208
SPSU,19960620,34.25,34.75,33.75,34.75,1042
SPSU,19960621,34.00,34.25,33.50,34.25,628
SPSU,19960624,34.25,34.25,33.50,34.25,636
SPSU,19960625,34.00,34.50,33.50,34.50,466
SPSU,19960626,34.00,34.50,34.00,34.50,158
SPSU,19960627,33.75,34.50,33.50,34.50,1702
SPSU,19960628,34.50,34.50,33.50,34.00,692
