<TICKER>,<DTYYYYMMDD>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
SPVI,20131219,2.30,2.34,1.42,1.47,439071000
SPVI,20131220,1.40,1.41,1.24,1.28,107622600
SPVI,20131223,1.29,1.33,1.10,1.11,86831000
SPVI,20131224,1.13,1.22,1.10,1.12,77230000
SPVI,20131225,1.14,1.20,1.12,1.17,73809700
SPVI,20131226,1.18,1.18,1.05,1.06,30984600
SPVI,20131227,1.08,1.11,1.01,1.03,27144900
SPVI,20140102,1.02,1.05,0.95,0.95,16640000
SPVI,20140103,0.93,0.97,0.91,0.93,13170200
SPVI,20140106,0.93,0.96,0.90,0.90,14426300
SPVI,20140107,0.92,1.01,0.91,0.99,36582100
SPVI,20140108,0.98,0.98,0.93,0.94,17266300
SPVI,20140109,0.95,1.01,0.95,0.99,34027600
SPVI,20140110,0.99,1.01,0.93,0.93,25626700
SPVI,20140113,0.91,0.93,0.89,0.92,9193700
SPVI,20140114,0.93,0.97,0.93,0.95,12635500
SPVI,20140115,0.96,0.97,0.92,0.92,7305200
SPVI,20140116,0.93,0.99,0.93,0.97,20629300
SPVI,20140117,0.97,1.05,0.97,0.98,58652900
SPVI,20140120,0.99,1.01,0.95,0.96,12717700
SPVI,20140121,0.97,1.09,0.97,1.09,77443100
SPVI,20140122,1.07,1.08,1.04,1.04,34107600
SPVI,20140123,1.04,1.10,1.04,1.08,29657700
SPVI,20140124,1.10,1.12,1.06,1.06,23230400
SPVI,20140127,1.05,1.06,1.01,1.03,9810600
SPVI,20140128,1.04,1.05,0.99,0.99,11309600
SPVI,20140129,1.00,1.01,0.97,0.99,5318800
SPVI,20140130,0.99,1.00,0.97,0.99,4148900
SPVI,20140131,1.00,1.01,0.98,0.99,2965600
SPVI,20140203,1.00,1.04,1.00,1.04,10617500
SPVI,20140204,1.03,1.04,1.01,1.02,7287100
SPVI,20140205,1.03,1.05,1.01,1.02,8586200
SPVI,20140206,1.03,1.04,1.02,1.03,9224800
SPVI,20140207,1.04,1.06,1.02,1.03,10182000
SPVI,20140210,1.04,1.05,1.00,1.01,9410400
SPVI,20140211,1.01,1.01,0.99,1.00,6064900
SPVI,20140212,1.01,1.01,1.00,1.00,3906400
SPVI,20140213,1.00,1.01,0.99,1.00,3426900
SPVI,20140217,1.01,1.03,1.00,1.00,11164200
SPVI,20140218,1.00,1.02,0.99,0.99,8541100
SPVI,20140219,0.99,1.01,0.99,0.99,8220600
SPVI,20140220,0.99,1.00,0.98,0.98,3302900
SPVI,20140221,0.98,0.99,0.97,0.97,2315900
SPVI,20140224,0.97,0.98,0.96,0.97,2419000
SPVI,20140225,0.97,0.98,0.96,0.96,6417100
SPVI,20140226,0.96,0.97,0.94,0.94,3803600
SPVI,20140227,0.95,0.96,0.94,0.94,4950600
SPVI,20140228,0.94,0.95,0.94,0.94,2789200
SPVI,20140303,0.95,0.96,0.94,0.95,5820000
