<TICKER>,<DTYYYYMMDD>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
TGP,19830523,2.471323,2.471323,2.471323,2.471323,137.578124
TGP,19830524,2.529472,2.529472,2.529472,2.529472,68.789062
TGP,19830525,2.587621,2.587621,2.587621,2.587621,412.734371
TGP,19830527,2.587621,2.587621,2.587621,2.587621,825.468742
TGP,19830530,2.616695,2.616695,2.616695,2.616695,687.890618
TGP,19830531,2.674844,2.674844,2.674844,2.674844,963.046865
TGP,19830601,2.616695,2.616695,2.616695,2.616695,68.789062
TGP,19830623,2.674844,2.762067,2.674844,2.762067,343.945309
TGP,19830624,2.74753,2.762067,2.74753,2.762067,1375.781236
TGP,19830627,2.762067,2.820216,2.762067,2.805679,1100.624989
TGP,19830704,2.762067,2.762067,2.762067,2.762067,343.945309
TGP,19830930,3.038274,3.038274,3.038274,3.038274,68.789062
TGP,19831003,3.096423,3.096423,3.096423,3.096423,68.789062
TGP,19831004,3.154571,3.154571,3.154571,3.154571,68.789062
TGP,19831005,3.21272,3.21272,3.21272,3.21272,68.789062
TGP,19831010,3.241794,3.241794,3.241794,3.241794,619.101556
TGP,19831014,3.241794,3.270869,3.241794,3.270869,275.156247
TGP,19831020,3.329018,3.329018,3.329018,3.329018,121.068749
TGP,19831027,3.358092,3.358092,3.358092,3.358092,137.578124
TGP,19831104,3.387166,3.387166,3.387166,3.387166,68.789062
TGP,19831107,3.416241,3.416241,3.416241,3.416241,68.789062
TGP,19831108,3.445315,3.445315,3.445315,3.445315,68.789062
TGP,19831115,3.47439,3.47439,3.47439,3.47439,137.578124
TGP,19831116,3.503464,3.532538,3.503464,3.532538,206.367185
TGP,19831121,3.590687,3.590687,3.590687,3.590687,68.789062
TGP,19831122,3.619762,3.648836,3.619762,3.648836,206.367185
TGP,19831123,3.67791,3.67791,3.67791,3.67791,137.578124
TGP,19831124,3.706985,3.706985,3.706985,3.706985,137.578124
TGP,19831125,3.736059,3.765133,3.736059,3.765133,275.156247
TGP,19831216,3.736059,3.765133,3.736059,3.765133,11762.929568
TGP,19831221,3.765133,3.765133,3.765133,3.765133,2751.562472
TGP,19831227,3.765133,3.765133,3.765133,3.765133,4127.343708
TGP,19831229,3.765133,3.765133,3.765133,3.765133,6878.90618
TGP,19840110,3.765133,3.765133,3.765133,3.765133,7403.766722
TGP,19840118,3.765133,3.765133,3.765133,3.765133,671.381243
TGP,19850715,2.921976,2.921976,2.921976,2.921976,68.789062
TGP,19860908,3.51232,3.51232,3.51232,3.51232,45.838654
TGP,19861226,3.599582,3.599582,3.599582,3.599582,45.838654
TGP,19861229,3.839554,3.839554,3.839554,3.839554,45.838654
TGP,19870102,4.035895,4.035895,4.035895,4.035895,91.677309
TGP,19870121,3.948632,3.948632,3.926817,3.926817,5088.090628
TGP,19870409,4.144973,4.144973,4.144973,4.144973,45.838654
TGP,19870417,4.144973,4.144973,4.144973,4.144973,916.773086
TGP,19870422,4.057711,4.057711,3.970448,3.970448,320.87058
TGP,19870423,3.992264,3.992264,3.992264,3.992264,137.515963
TGP,19870424,4.014079,4.014079,4.014079,4.014079,45.838654
TGP,19870428,4.035895,4.035895,4.035895,4.035895,45.838654
TGP,19870429,4.101342,4.101342,4.101342,4.101342,45.838654
TGP,19870430,4.188605,4.188605,4.188605,4.188605,45.838654
TGP,19870507,4.275867,4.297683,4.275867,4.297683,183.354617
TGP,19870508,4.254052,4.254052,4.232236,4.254052,1100.127703
TGP,19870512,4.275867,4.668549,4.275867,4.668549,1100.127703
TGP,19870513,4.930337,5.104862,4.930337,5.104862,91.677309
TGP,19870514,5.36665,5.584806,5.36665,5.584806,412.547889
TGP,19870515,5.759331,5.890225,5.584806,5.584806,595.902506
TGP,19870518,5.410281,5.410281,5.323018,5.323018,229.193272
TGP,19870519,5.36665,5.453912,5.279387,5.36665,366.709234
TGP,19870520,5.672069,5.759331,5.672069,5.759331,183.354617
TGP,19870521,5.890225,6.326538,5.890225,6.326538,6142.379676
TGP,19870522,6.937376,6.937376,6.937376,6.937376,2475.287332
TGP,19870525,6.981008,7.591846,6.981008,7.591846,1191.805012
TGP,19870526,7.853634,8.028159,7.853634,8.028159,595.902506
TGP,19870527,8.028159,8.159053,7.984528,8.159053,21663.348023
TGP,19870528,7.940896,7.940896,7.810002,7.853634,3896.285616
TGP,19870529,7.853634,8.115421,7.853634,8.07179,9685.707654
TGP,19870601,8.202684,8.333578,8.202684,8.289947,1604.352901
TGP,19870602,8.464472,9.118941,8.464472,9.118941,412.547889
TGP,19870603,9.249835,9.249835,8.944416,8.944416,779.257123
TGP,19870604,8.988047,8.988047,8.988047,8.988047,45.838654
TGP,19870605,8.813522,8.900785,8.289947,8.289947,1283.48232
TGP,19870608,8.508103,8.72626,8.508103,8.72626,504.225197
TGP,19870609,8.813522,8.944416,8.72626,8.944416,1145.966358
TGP,19870610,9.118941,9.118941,9.118941,9.118941,137.515963
TGP,19870611,9.07531,9.07531,9.031679,9.031679,137.515963
TGP,19870612,8.944416,8.944416,8.944416,8.944416,45.838654
TGP,19870616,9.031679,9.07531,9.031679,9.07531,641.74116
TGP,19870618,8.944416,9.162573,8.944416,9.162573,1008.450395
TGP,19870619,9.249835,9.249835,9.249835,9.249835,45.838654
TGP,19870623,9.293467,9.467992,9.293467,9.467992,504.225197
TGP,19870624,9.467992,9.467992,9.467992,9.467992,45.838654
TGP,19870625,9.467992,9.598886,9.467992,9.598886,275.031926
TGP,19870626,9.72978,9.72978,9.72978,9.72978,45.838654
TGP,19870702,9.686148,9.773411,9.686148,9.773411,137.515963
TGP,19870703,9.904305,9.904305,9.904305,9.904305,45.838654
TGP,19870706,10.07883,10.07883,10.07883,10.07883,504.225197
TGP,19870707,10.253355,10.384249,10.253355,10.384249,137.515963
TGP,19870708,10.558774,10.558774,10.558774,10.558774,45.838654
TGP,19870709,10.689668,10.689668,10.689668,10.689668,595.902506
TGP,19870716,10.820562,10.995087,10.820562,10.995087,1145.966358
TGP,19870721,11.169612,11.387769,11.169612,11.387769,252.112599
TGP,19870722,11.562294,11.562294,11.562294,11.562294,45.838654
TGP,19870723,11.736819,11.736819,11.736819,11.736819,91.677309
TGP,19870724,12.216764,12.609445,12.216764,12.609445,2429.448678
TGP,19870727,12.827602,13.176652,12.827602,13.176652,2062.739444
TGP,19870730,13.176652,13.176652,13.089389,13.089389,4996.413319
TGP,19870807,11.780451,11.780451,11.780451,11.780451,45.838654
TGP,19870810,11.780451,11.867713,11.780451,11.867713,183.354617
TGP,19870811,11.824082,11.911344,11.824082,11.911344,183.354617
TGP,19870817,11.998607,11.998607,11.998607,11.998607,91.677309
TGP,19870818,12.08587,12.08587,12.08587,12.08587,91.677309
TGP,19870819,12.08587,12.08587,12.08587,12.08587,229.193272
TGP,19870825,12.871233,13.002127,12.871233,13.002127,91.677309
TGP,19870826,13.133021,13.307546,13.133021,13.307546,275.031926
TGP,19870827,13.569334,13.831122,13.569334,13.831122,412.547889
TGP,19870828,14.005647,14.005647,14.005647,14.005647,229.193272
TGP,19870901,15.227323,15.401848,15.227323,15.401848,2383.610024
TGP,19870902,15.750899,16.099949,15.750899,16.012686,458.386543
TGP,19870903,16.012686,16.012686,16.012686,16.012686,183.354617
TGP,19870909,16.187212,16.79805,16.099949,16.79805,1741.868863
TGP,19870910,17.059838,17.321625,17.059838,17.234363,320.87058
TGP,19870911,18.106989,18.106989,18.106989,18.106989,137.515963
TGP,19870914,18.106989,18.106989,18.106989,18.106989,275.031926
TGP,19870915,18.106989,18.106989,18.106989,18.106989,641.74116
TGP,19870916,18.194251,18.194251,18.019726,18.019726,641.74116
TGP,19870917,18.019726,18.106989,18.019726,18.106989,412.547889
TGP,19870918,18.106989,18.281514,18.106989,18.281514,458.386543
TGP,19870922,18.131609,18.131609,18.131609,18.131609,171.523661
TGP,19870923,18.364813,18.364813,18.364813,18.364813,102.914196
TGP,19870924,18.364813,18.364813,18.364813,18.364813,171.523661
TGP,19870925,18.364813,18.364813,18.364813,18.364813,137.218928
