<TICKER>,<DTYYYYMMDD>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
THIP,19941201,73.00,75.00,70.50,73.50,1920200
THIP,19941202,72.00,72.00,68.00,68.50,434000
THIP,19941206,68.50,71.50,68.50,70.00,147400
THIP,19941207,70.50,70.50,69.50,70.00,81900
THIP,19941208,69.50,73.00,68.50,71.00,376400
THIP,19941209,69.50,69.50,68.50,69.50,40200
THIP,19941213,72.00,73.00,70.50,71.50,72200
THIP,19941214,71.00,72.00,70.50,71.00,51700
THIP,19941215,71.00,72.00,71.00,72.00,52900
THIP,19941216,72.50,75.50,72.50,75.00,291700
THIP,19941219,75.00,77.00,74.50,75.00,194100
THIP,19941220,75.00,76.00,74.50,76.00,57200
THIP,19941221,76.00,76.00,74.50,75.00,41500
THIP,19941222,76.00,78.00,76.00,77.00,173700
THIP,19941223,77.50,78.00,75.00,77.00,49400
THIP,19941226,77.00,77.00,76.50,77.00,33200
THIP,19941227,77.00,77.50,76.50,77.00,23200
THIP,19941228,77.00,77.50,77.00,77.00,18700
THIP,19941229,77.00,77.00,76.50,76.50,17600
THIP,19941230,76.50,77.00,76.50,77.00,19000
THIP,19950103,76.50,77.00,76.50,76.50,15500
THIP,19950104,76.50,77.00,76.00,76.00,24800
THIP,19950105,76.50,77.00,75.50,77.00,67200
THIP,19950106,77.00,77.00,76.00,77.00,14600
THIP,19950109,77.00,77.00,76.00,76.50,18000
THIP,19950110,76.00,76.50,76.00,76.00,4800
THIP,19950111,76.50,76.50,75.00,76.50,17700
THIP,19950112,76.00,76.00,75.00,75.00,6900
THIP,19950113,75.00,75.00,67.50,74.50,8700
THIP,19950116,74.50,75.00,72.50,74.00,24200
THIP,19950117,74.00,75.00,74.00,75.00,18300
THIP,19950118,74.50,74.50,74.00,74.00,22300
THIP,19950119,74.50,74.50,74.00,74.50,17300
THIP,19950120,74.00,74.00,73.00,73.00,15300
THIP,19950123,73.00,73.00,70.50,72.50,10100
THIP,19950124,72.50,73.00,70.00,73.00,14400
THIP,19950125,73.00,76.00,73.00,75.50,53700
THIP,19950126,76.00,78.00,76.00,77.00,48800
THIP,19950127,77.00,79.00,76.50,79.00,32600
THIP,19950130,79.00,82.00,79.00,82.00,63500
THIP,19950131,81.50,82.50,81.00,82.50,17400
THIP,19950201,82.50,84.50,82.50,84.50,45100
THIP,19950202,84.50,85.50,83.50,84.00,31900
THIP,19950203,84.00,85.50,84.00,84.50,20500
THIP,19950206,84.50,87.00,84.50,87.00,45400
THIP,19950207,87.00,87.00,84.50,84.50,18700
THIP,19950208,85.00,85.00,83.00,84.00,13700
THIP,19950209,84.50,88.00,84.50,87.50,74500
THIP,19950210,87.50,92.00,87.50,91.00,155100
THIP,19950213,90.50,93.00,89.50,92.50,116300
THIP,19950215,93.00,96.00,91.00,93.50,191000
THIP,19950216,94.00,94.50,92.00,93.00,73100
THIP,19950217,93.50,94.00,91.00,92.00,64600
THIP,19950220,92.00,92.00,89.50,91.50,102900
THIP,19950221,91.50,94.00,90.50,93.00,143200
THIP,19950222,94.00,95.50,91.50,93.50,180100
THIP,19950223,93.50,96.50,92.00,96.50,145200
THIP,19950224,97.00,103.00,97.00,101.00,145600
THIP,19950227,101.00,105.00,99.50,102.00,164100
THIP,19950228,103.00,104.00,102.00,103.00,129500
THIP,19950301,104.00,106.00,100.00,103.00,199400
THIP,19950302,103.00,105.00,101.00,101.00,193300
THIP,19950303,103.00,103.00,99.50,101.00,126100
THIP,19950306,102.00,103.00,99.50,103.00,170300
THIP,19950307,103.00,104.00,100.00,104.00,158600
THIP,19950308,104.00,104.00,102.00,104.00,46700
THIP,19950309,104.00,109.00,103.00,109.00,142900
THIP,19950310,109.00,113.00,107.00,108.00,216500
THIP,19950313,108.00,111.00,108.00,110.00,132800
THIP,19950314,110.00,111.00,108.00,110.00,95400
THIP,19950315,110.00,115.00,110.00,113.00,211000
THIP,19950316,113.00,115.00,111.00,115.00,154100
THIP,19950317,114.00,120.00,114.00,117.00,211800
THIP,19950320,117.00,122.00,116.00,120.00,216900
THIP,19950321,121.00,123.00,118.00,120.00,217600
THIP,19950322,120.00,124.00,120.00,123.00,234300
THIP,19950323,123.00,128.00,123.00,125.00,263500
THIP,19950324,126.00,127.00,122.00,124.00,235900
THIP,19950327,124.00,128.00,123.00,126.00,274300
THIP,19950328,126.00,130.00,126.00,126.00,259500
THIP,19950329,126.00,128.00,124.00,124.00,146500
THIP,19950330,125.00,126.00,120.00,122.00,141400
THIP,19950331,123.00,123.00,121.00,121.00,30900
THIP,19950403,120.00,120.00,116.00,116.00,66000
THIP,19950404,113.00,113.00,109.00,109.00,13600
THIP,19950405,109.00,113.00,108.00,111.00,9300
THIP,19950407,109.00,111.00,109.00,111.00,2300
THIP,19950410,112.00,112.00,110.00,111.00,1600
THIP,19950411,109.00,111.00,109.00,111.00,800
THIP,19950418,109.00,109.00,108.00,108.00,700
THIP,19950419,108.00,108.00,106.00,106.00,2500
THIP,19950420,106.00,106.00,106.00,106.00,500
THIP,19950421,107.00,107.00,106.00,107.00,900
THIP,19950424,107.00,108.00,107.00,108.00,700
THIP,19950425,107.00,107.00,105.00,106.00,1200
THIP,19950426,106.00,106.00,106.00,106.00,300
THIP,19950427,106.00,108.00,106.00,108.00,200
THIP,19950428,107.00,109.00,105.00,108.00,2800
THIP,19950502,107.00,115.00,106.00,115.00,4600
THIP,19950503,110.00,114.00,109.00,114.00,1600
THIP,19950509,107.00,107.00,106.00,106.00,1000
THIP,19950510,107.00,110.00,105.00,110.00,9500
THIP,19950511,110.00,111.00,107.00,111.00,8900
THIP,19950512,107.00,111.00,105.00,111.00,7200
THIP,19950516,122.00,122.00,111.00,111.00,10300
THIP,19950517,115.00,117.00,115.00,117.00,1900
THIP,19950518,116.00,117.00,116.00,117.00,800
THIP,19950524,107.00,117.00,107.00,117.00,8800
