<TICKER>,<DTYYYYMMDD>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
THRE,19930226,0.99785876,1.24732345,0.99785876,1.15660902,78602707.2654379
THRE,19930301,1.15660902,1.15660902,1.10558215,1.1225911,12566908.7684561
THRE,19930302,1.08857319,1.1225911,1.08857319,1.1225911,4585819.34006818
THRE,19930303,1.11692145,1.11692145,1.0999125,1.0999125,4779834.77368645
THRE,19930304,1.0999125,1.12826076,1.0999125,1.10558215,3509915.57182142
THRE,19930305,1.10558215,1.1112518,1.10558215,1.1112518,828975.03455079
THRE,19930309,1.0999125,1.1112518,1.08857319,1.1112518,1296375.85190389
THRE,19930310,1.1112518,1.1112518,1.0999125,1.1112518,1472753.51882959
THRE,19930311,1.0999125,1.11692145,1.0999125,1.1112518,2301728.55338038
THRE,19930312,1.1112518,1.11692145,1.1112518,1.11692145,2777948.25407976
THRE,19930315,1.11692145,1.11692145,1.1112518,1.11692145,4391803.90644991
THRE,19930316,1.1112518,1.14526971,1.1112518,1.14526971,2372279.62015066
THRE,19930317,1.14526971,1.17928763,1.14526971,1.14526971,2239996.36995638
THRE,19930318,1.14526971,1.14526971,1.14526971,1.14526971,881888.3346285
THRE,19930319,1.14526971,1.14526971,1.13393041,1.13393041,626140.71758623
THRE,19930322,1.1112518,1.14526971,1.1112518,1.12826076,555589.65081595
THRE,19930323,1.13393041,1.13393041,1.1225911,1.12826076,423306.40062168
THRE,19930324,1.13393041,1.13393041,1.12826076,1.12826076,2019524.28629926
THRE,19930325,1.13393041,1.14526971,1.12826076,1.12826076,3950859.73913566
THRE,19930326,1.1225911,1.12826076,1.1225911,1.12826076,555589.65081595
THRE,19930329,1.1112518,1.1112518,1.08857319,1.08857319,264566.50038855
THRE,19930330,1.1112518,1.1112518,1.1112518,1.1112518,546770.76746967
THRE,19930331,1.09424284,1.1112518,1.09424284,1.1112518,449763.05066053
THRE,19930401,1.13393041,1.13393041,1.09424284,1.09424284,88188.83346285
THRE,19930402,1.09424284,1.20196623,1.09424284,1.20196623,1719682.25252557
THRE,19930405,1.13393041,1.15660902,1.1225911,1.14526971,537951.88412338
THRE,19930407,1.11692145,1.14526971,1.11692145,1.14526971,132283.25019427
THRE,19930408,1.13393041,1.14526971,1.13393041,1.14526971,1058266.0015542
THRE,19930409,1.14526971,1.14526971,1.12826076,1.13393041,361574.21719768
THRE,19930415,1.13393041,1.14526971,1.13393041,1.14526971,555589.65081595
THRE,19930416,1.14526971,1.14526971,1.13393041,1.14526971,1190549.25174847
THRE,19930419,1.13393041,1.14526971,1.13393041,1.14526971,661416.25097137
THRE,19930420,1.12826076,1.12826076,1.1225911,1.1225911,326298.68381254
THRE,19930421,1.1225911,1.1225911,1.1112518,1.1112518,291023.1504274
THRE,19930422,1.11692145,1.11692145,1.11692145,1.11692145,35275.53338514
THRE,19930423,1.11692145,1.11692145,1.0999125,1.10558215,670235.13431766
THRE,19930426,1.09424284,1.0999125,1.08857319,1.0999125,176377.6669257
THRE,19930427,1.0999125,1.0999125,1.08857319,1.08857319,264566.50038855
THRE,19930428,1.08857319,1.08857319,1.08290354,1.08290354,114645.48350171
THRE,19930429,1.0999125,1.1112518,1.0999125,1.1112518,35275.53338514
THRE,19930430,1.07723389,1.0999125,1.04321598,1.0999125,317479.80046626
THRE,19930506,1.02620702,1.02620702,1.02620702,1.02620702,8818.88334628
THRE,19930507,1.05455528,1.07156424,1.05455528,1.07156424,132283.25019427
THRE,19930512,1.04321598,1.05455528,1.04321598,1.05455528,105826.60015542
THRE,19930513,1.05455528,1.06022493,1.05455528,1.06022493,44094.41673142
THRE,19930514,1.07156424,1.07156424,1.06589458,1.07156424,352755.3338514
THRE,19930517,1.07156424,1.07156424,1.06022493,1.06589458,590865.18420109
THRE,19930518,1.05455528,1.05455528,1.03187667,1.03187667,185196.55027198
THRE,19930519,1.03187667,1.04321598,1.03187667,1.04321598,414487.51727539
THRE,19930520,1.03187667,1.04321598,1.03187667,1.04321598,158739.90023313
THRE,19930521,1.03754632,1.08857319,1.03754632,1.08290354,2539838.40373007
THRE,19930524,1.07723389,1.1112518,1.06589458,1.0999125,784880.61781936
THRE,19930525,1.07723389,1.1112518,1.07723389,1.1112518,1578580.11898501
THRE,19930526,1.0999125,1.10558215,1.07723389,1.07723389,485038.58404567
THRE,19930527,1.07723389,1.07723389,1.05455528,1.05455528,255747.61704226
THRE,19930528,1.07723389,1.0999125,1.07723389,1.08290354,326298.68381254
THRE,19930531,1.08857319,1.0999125,1.06589458,1.06589458,70551.06677028
THRE,19930601,1.05455528,1.06022493,1.04888563,1.06022493,335117.56715883
THRE,19930602,1.07723389,1.07723389,1.03187667,1.03187667,529133.0007771
THRE,19930603,1.03187667,1.07723389,1.03187667,1.07723389,220472.08365712
THRE,19930607,1.00919806,1.03187667,1.00919806,1.03187667,273385.38373483
THRE,19930608,1.02053737,1.02053737,1.02053737,1.02053737,88188.83346285
THRE,19930609,1.03187667,1.03187667,1.03187667,1.03187667,35275.53338514
THRE,19930610,1.02053737,1.02053737,0.96384085,0.96384085,35275.53338514
THRE,19930611,1.00352841,1.00352841,1.00352841,1.00352841,44094.41673142
THRE,19930614,1.00919806,1.01486772,1.00919806,1.01486772,132283.25019427
THRE,19930615,1.01486772,1.03187667,1.01486772,1.03187667,582046.30085481
THRE,19930616,0.99785876,0.99785876,0.99785876,0.99785876,17637.76669257
THRE,19930617,0.99785876,1.00919806,0.99785876,1.00919806,61732.18342399
THRE,19930618,0.99785876,0.99785876,0.99785876,0.99785876,70551.06677028
THRE,19930621,0.99785876,0.99785876,0.99785876,0.99785876,79369.95011656
THRE,19930622,1.00919806,1.04321598,1.00919806,1.04321598,2213539.71991753
THRE,19930623,0.98651946,0.99785876,0.98651946,0.99785876,643778.4842788
THRE,19930624,0.99785876,1.02620702,0.99785876,1.02620702,493857.46739196
THRE,19930625,1.02053737,1.02053737,1.01486772,1.02053737,449763.05066053
THRE,19930628,1.02053737,1.04321598,1.02053737,1.04321598,793699.50116565
THRE,19930629,1.04321598,1.04321598,1.02620702,1.02620702,352755.3338514
THRE,19930630,1.02053737,1.03187667,1.02053737,1.03187667,238109.85034969
THRE,19930702,1.03187667,1.03187667,1.02053737,1.03187667,273385.38373483
THRE,19930705,1.02620702,1.02620702,1.02620702,1.02620702,185196.55027198
THRE,19930706,1.02620702,1.03754632,1.02620702,1.03754632,335117.56715883
THRE,19930707,1.03187667,1.03187667,1.02620702,1.02620702,458581.93400682
THRE,19930708,1.02620702,1.02620702,1.02053737,1.02053737,440944.16731425
THRE,19930709,1.02620702,1.03187667,1.02620702,1.03187667,396849.75058282
THRE,19930712,1.03187667,1.04321598,1.03187667,1.04321598,758423.96778051
THRE,19930713,1.04321598,1.06022493,1.04321598,1.06022493,1587399.00233129
THRE,19930714,1.05455528,1.05455528,1.05455528,1.05455528,643778.4842788
THRE,19930715,1.05455528,1.05455528,1.05455528,1.05455528,1128817.06832448
THRE,19930716,1.05455528,1.08290354,1.05455528,1.08290354,2786767.13742605
THRE,19930719,1.07156424,1.07723389,1.07156424,1.07723389,1199368.13509476
THRE,19930720,1.07723389,1.08290354,1.07156424,1.08290354,1172911.4850559
THRE,19930721,1.07723389,1.07723389,1.07723389,1.07723389,1005352.70147649
THRE,19930722,1.07723389,1.08857319,1.07723389,1.08290354,2557476.17042264
THRE,19930723,1.07723389,1.07723389,1.07723389,1.07723389,978896.05143763
THRE,19930726,1.07723389,1.07723389,1.07156424,1.07723389,934801.63470621
THRE,19930727,1.07723389,1.07723389,1.07723389,1.07723389,687872.90101023
THRE,19930728,1.07723389,1.07723389,1.07723389,1.07723389,1014171.58482277
THRE,19930729,1.06589458,1.07723389,1.04321598,1.05455528,1022990.46816906
THRE,19930730,0.97518015,1.04888563,0.97518015,1.04888563,1084722.65159305
THRE,19930802,1.04888563,1.04888563,1.04321598,1.04321598,264566.50038855
THRE,19930804,1.04888563,1.07723389,1.04888563,1.06022493,440944.16731425
THRE,19930805,1.06022493,1.06589458,1.06022493,1.06589458,2204720.83657124
THRE,19930806,1.05455528,1.06589458,1.05455528,1.06589458,11473367.2335167
THRE,19930809,1.04321598,1.05455528,1.04321598,1.04888563,396849.75058282
THRE,19930810,1.06022493,1.06589458,1.05455528,1.06589458,5079676.80746014
