<TICKER>,<DTYYYYMMDD>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
TIC,19830524,5.63038875141822,5.63038875141822,5.63038875141822,5.63038875141822,4884.209814655
TIC,19850716,5.54849218776123,5.54849218776123,5.54849218776123,5.54849218776123,24421.049073275
TIC,19860225,3.58297465999341,3.58297465999341,3.58297465999341,3.58297465999341,4884.209814655
TIC,19860226,3.50107809633642,3.50107809633642,3.50107809633642,3.50107809633642,4884.209814655
TIC,19860227,3.50107809633642,3.50107809633642,3.41918153267943,3.41918153267943,48842.09814655
TIC,19860430,3.07112113713721,3.07112113713721,3.07112113713721,3.07112113713721,4884.209814655
TIC,19860917,3.48060395542217,3.48060395542217,3.48060395542217,3.48060395542217,4884.209814655
TIC,19860918,3.68534536456465,3.68534536456465,3.68534536456465,3.68534536456465,4884.209814655
TIC,19860919,4.05387990102112,4.05387990102112,4.05387990102112,4.05387990102112,4884.209814655
TIC,19860924,4.40194029656334,4.40194029656334,4.40194029656334,4.40194029656334,4884.209814655
TIC,19860926,4.52478514204883,4.52478514204883,4.52478514204883,4.52478514204883,4884.209814655
TIC,19860929,4.68857826936281,4.72952655119131,4.68857826936281,4.72952655119131,9768.41962931
TIC,19861022,4.64762998753432,4.64762998753432,4.64762998753432,4.64762998753432,9768.41962931
TIC,19861103,4.56573342387732,4.56573342387732,4.56573342387732,4.56573342387732,9768.41962931
TIC,19861104,4.40194029656334,4.40194029656334,4.40194029656334,4.40194029656334,4884.209814655
TIC,19861128,4.56573342387732,4.56573342387732,4.56573342387732,4.56573342387732,14652.629443965
TIC,19870210,5.01616452399078,5.01616452399078,5.01616452399078,5.01616452399078,4884.209814655
TIC,19870303,5.05711280581928,5.13900936947627,5.05711280581928,5.13900936947627,29305.25888793
TIC,19870309,5.26185421496176,5.26185421496176,5.26185421496176,5.26185421496176,4884.209814655
TIC,19870414,5.26185421496176,5.26185421496176,5.26185421496176,5.26185421496176,39073.67851724
TIC,19870520,5.38469906044725,5.38469906044725,5.38469906044725,5.38469906044725,19536.83925862
TIC,19870522,5.38469906044725,5.38469906044725,5.38469906044725,5.38469906044725,9768.41962931
TIC,19870609,5.46659562410424,5.46659562410424,5.46659562410424,5.46659562410424,4884.209814655
TIC,19870616,5.46659562410424,5.63038875141822,5.46659562410424,5.63038875141822,14652.629443965
TIC,19870721,5.67133703324672,5.67133703324672,5.67133703324672,5.67133703324672,4884.209814655
TIC,19870729,5.71228531507522,5.71228531507522,5.71228531507522,5.71228531507522,4884.209814655
TIC,19870813,6.24461297884567,6.24461297884567,6.24461297884567,6.24461297884567,4884.209814655
TIC,19870818,6.85883720627311,6.85883720627311,6.85883720627311,6.85883720627311,9768.41962931
TIC,19870819,6.85883720627311,6.85883720627311,6.85883720627311,6.85883720627311,9768.41962931
TIC,19870821,7.51400971552905,7.51400971552905,7.51400971552905,7.51400971552905,4884.209814655
TIC,19870824,8.25107878844198,8.25107878844198,8.25107878844198,8.25107878844198,14652.629443965
TIC,19870827,9.0700444250119,9.0700444250119,9.0700444250119,9.0700444250119,4884.209814655
TIC,19870903,9.97090662523882,9.97090662523882,9.97090662523882,9.97090662523882,9768.41962931
TIC,19870915,9.97090662523882,9.97090662523882,9.97090662523882,9.97090662523882,9768.41962931
TIC,19871001,10.1346997525528,10.1346997525528,10.1346997525528,10.1346997525528,4884.209814655
TIC,19871012,10.2984928798668,10.2984928798668,10.2984928798668,10.2984928798668,4884.209814655
TIC,19871013,10.6670274163233,10.6670274163233,10.6670274163233,10.6670274163233,14652.629443965
TIC,19871014,10.9946136709512,11.0355619527797,10.9946136709512,11.0355619527797,14652.629443965
TIC,19871019,12.1002172803206,12.1002172803206,12.1002172803206,12.1002172803206,4884.209814655
TIC,19871020,12.3049586894631,12.3049586894631,12.3049586894631,12.3049586894631,4884.209814655
TIC,19871021,12.3049586894631,12.3049586894631,12.3049586894631,12.3049586894631,29305.25888793
TIC,19871022,12.4687518167771,12.4687518167771,12.4687518167771,12.4687518167771,4884.209814655
TIC,19871027,12.3049586894631,12.3049586894631,12.3049586894631,12.3049586894631,4884.209814655
TIC,19871028,11.0765102346082,11.0765102346082,11.0765102346082,11.0765102346082,14652.629443965
TIC,19871030,10.5441825708378,10.5441825708378,10.5441825708378,10.5441825708378,4884.209814655
TIC,19871103,10.4622860071808,10.4622860071808,10.4622860071808,10.4622860071808,9768.41962931
TIC,19871104,10.6260791344948,10.6260791344948,10.4622860071808,10.4622860071808,14652.629443965
TIC,19871105,10.4622860071808,10.4622860071808,10.4622860071808,10.4622860071808,9768.41962931
TIC,19871126,9.43857896146837,9.43857896146837,9.43857896146837,9.43857896146837,9768.41962931
TIC,19880125,8.49676847941296,8.49676847941296,8.49676847941296,8.49676847941296,4884.209814655
TIC,19880126,7.88254425198551,7.88254425198551,7.88254425198551,7.88254425198551,24421.049073275
TIC,19880202,8.005389097471,8.005389097471,8.005389097471,8.005389097471,19536.83925862
TIC,19880216,8.0463373792995,8.0463373792995,8.0463373792995,8.0463373792995,4884.209814655
TIC,19880301,8.82435473404092,8.82435473404092,8.82435473404092,8.82435473404092,4884.209814655
TIC,19880425,8.82435473404092,8.82435473404092,8.82435473404092,8.82435473404092,9768.41962931
TIC,19880426,8.82435473404092,8.82435473404092,8.82435473404092,8.82435473404092,4884.209814655
TIC,19880506,9.68426865243934,9.68426865243934,9.68426865243934,9.68426865243934,4884.209814655
TIC,19880511,9.68426865243934,9.68426865243934,9.68426865243934,9.68426865243934,4884.209814655
TIC,19880518,9.88901006158182,9.88901006158182,9.88901006158182,9.88901006158182,4884.209814655
TIC,19880525,10.0528031888958,10.0528031888958,10.0528031888958,10.0528031888958,4884.209814655
TIC,19880614,11.0355619527797,11.0355619527797,11.0355619527797,11.0355619527797,14652.629443965
TIC,19880615,12.1002172803206,12.1002172803206,12.1002172803206,12.1002172803206,9768.41962931
TIC,19880620,12.1411655621491,12.1411655621491,12.1411655621491,12.1411655621491,19536.83925862
TIC,19880628,12.2640104076346,12.2640104076346,12.2640104076346,12.2640104076346,4884.209814655
TIC,19880629,12.2640104076346,12.2640104076346,12.2640104076346,12.2640104076346,58610.51777586
TIC,19880704,12.4278035349486,12.4278035349486,12.4278035349486,12.4278035349486,4884.209814655
TIC,19880707,12.7553897895766,12.7553897895766,12.7553897895766,12.7553897895766,4884.209814655
TIC,19880708,12.9191829168905,13.7381485534605,12.9191829168905,13.7381485534605,24421.049073275
TIC,19880711,14.0657348080884,14.3933210627164,14.0657348080884,14.3933210627164,9768.41962931
TIC,19880712,14.5571141900304,14.7209073173444,14.5571141900304,14.6390107536874,26765.4697843094
TIC,19880713,14.8028038810014,14.8028038810014,14.8028038810014,14.8028038810014,4884.209814655
TIC,19880715,14.7209073173444,14.7209073173444,14.7209073173444,14.7209073173444,9768.41962931
TIC,19880718,14.6390107536874,14.6390107536874,14.6390107536874,14.6390107536874,9768.41962931
TIC,19880725,14.6390107536874,14.6390107536874,14.6390107536874,14.6390107536874,14652.629443965
TIC,19880726,14.6390107536874,14.6390107536874,14.6390107536874,14.6390107536874,4884.209814655
TIC,19880727,14.6390107536874,14.6390107536874,14.6390107536874,14.6390107536874,9768.41962931
TIC,19880816,13.2467691715185,13.2467691715185,13.2467691715185,13.2467691715185,4884.209814655
TIC,19880817,13.0829760442045,13.0829760442045,13.0829760442045,13.0829760442045,4884.209814655
TIC,19880818,12.7553897895766,12.7553897895766,12.7553897895766,12.7553897895766,4884.209814655
TIC,19880819,12.4278035349486,12.4278035349486,12.4278035349486,12.4278035349486,4884.209814655
TIC,19880824,12.1002172803206,12.1002172803206,12.1002172803206,12.1002172803206,4884.209814655
TIC,19880912,11.6907344620357,11.6907344620357,11.6907344620357,11.6907344620357,4884.209814655
TIC,19880914,11.5269413347217,11.5269413347217,11.5269413347217,11.5269413347217,4884.209814655
TIC,19881003,12.6734932259196,12.6734932259196,12.6734932259196,12.6734932259196,9768.41962931
TIC,19881004,13.5743554261465,13.9019416807744,13.4924588624895,13.9019416807744,19536.83925862
TIC,19881005,14.3114244990594,15.2122866992863,14.3114244990594,15.2122866992863,48842.09814655
TIC,19881006,15.4579763902573,15.7036660812283,15.2122866992863,15.2122866992863,53726.307961205
TIC,19881110,13.7381485534605,13.7381485534605,13.7381485534605,13.7381485534605,4884.209814655
TIC,19881111,13.9838382444314,13.9838382444314,13.8200451171175,13.8200451171175,14652.629443965
TIC,19881116,13.8200451171175,13.8200451171175,13.8200451171175,13.8200451171175,9768.41962931
TIC,19881117,13.8200451171175,13.8200451171175,13.8200451171175,13.8200451171175,24421.049073275
TIC,19881118,13.8200451171175,13.8200451171175,13.8200451171175,13.8200451171175,14652.629443965
TIC,19881121,13.8200451171175,13.8200451171175,13.8200451171175,13.8200451171175,14652.629443965
TIC,19881122,13.8200451171175,13.8200451171175,13.8200451171175,13.8200451171175,4884.209814655
TIC,19881123,13.8200451171175,13.8200451171175,13.8200451171175,13.8200451171175,9768.41962931
TIC,19881124,13.8200451171175,14.0657348080884,13.8200451171175,14.0657348080884,24421.049073275
TIC,19881201,14.0657348080884,14.3114244990594,14.0657348080884,14.3114244990594,14652.629443965
TIC,19881202,14.3114244990594,14.3114244990594,14.3114244990594,14.3114244990594,24421.049073275
TIC,19881220,14.1476313717454,14.1476313717454,14.1476313717454,14.1476313717454,34189.468702585
TIC,19881221,13.9838382444314,13.9838382444314,13.9838382444314,13.9838382444314,4884.209814655
TIC,19890113,14.2295279354024,14.2295279354024,14.2295279354024,14.2295279354024,24421.049073275
TIC,19890222,14.5571141900304,14.5571141900304,14.5571141900304,14.5571141900304,4884.209814655
TIC,19890310,14.6390107536874,14.6390107536874,14.6390107536874,14.6390107536874,4884.209814655
TIC,19890330,14.6390107536874,14.6390107536874,14.6390107536874,14.6390107536874,9768.41962931
TIC,19890331,14.6390107536874,14.6390107536874,14.6390107536874,14.6390107536874,4884.209814655
TIC,19890511,14.3933210627164,14.3933210627164,14.3933210627164,14.3933210627164,4884.209814655
TIC,19890524,14.3933210627164,14.3933210627164,14.3933210627164,14.3933210627164,4884.209814655
TIC,19890601,14.8028038810014,15.1303901356293,14.8028038810014,15.1303901356293,9768.41962931
TIC,19890602,15.1303901356293,15.1303901356293,15.1303901356293,15.1303901356293,34189.468702585
TIC,19890605,15.2122866992863,15.2122866992863,15.2122866992863,15.2122866992863,9768.41962931
TIC,19890608,15.6217695175713,16.6864248451122,15.6217695175713,16.6864248451122,34189.468702585
TIC,19890609,17.9967698636241,18.324356118252,17.9967698636241,18.324356118252,24421.049073275
TIC,19890612,18.488149245566,18.733838936537,18.488149245566,18.733838936537,14652.629443965
TIC,19890613,19.061425191165,19.3890114457929,19.061425191165,19.3890114457929,24421.049073275
TIC,19890614,19.7165977004209,20.0441839550489,19.7165977004209,19.7165977004209,29305.25888793
TIC,19890616,19.7165977004209,19.7984942640779,19.7165977004209,19.7984942640779,9768.41962931
TIC,19890705,20.6993564643048,20.6993564643048,20.6993564643048,20.6993564643048,4884.209814655
TIC,19890706,21.1907358462468,21.1907358462468,21.1907358462468,21.1907358462468,48842.09814655
TIC,19890707,21.6821152281887,21.8049600736742,21.6821152281887,21.6821152281887,24421.049073275
TIC,19890710,22.1734946101307,22.1734946101307,22.1734946101307,22.1734946101307,9768.41962931
