<TICKER>,<DTYYYYMMDD>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
TKS,20031118,4.82093567,5.78512281,4.82093567,5.68181705,171025015.805015
TKS,20031119,5.7162523,6.06060485,5.0275472,5.7162523,54140299.2280636
TKS,20031120,6.02616959,6.71487469,5.85399332,6.47382791,92420834.8841735
TKS,20031121,6.47382791,6.64600418,5.99173434,5.99173434,32057988.4115999
TKS,20031124,5.92286383,5.92286383,5.19972348,5.23415873,13746522.3493054
TKS,20031125,5.44077026,5.68181705,5.09641771,5.68181705,15395268.6790548
TKS,20031126,5.68181705,6.02616959,5.57851128,6.02616959,24531980.5063978
TKS,20031127,6.06060485,6.50826316,5.92286383,6.19834587,49551397.510283
TKS,20031128,6.30165163,6.37052214,5.99173434,6.06060485,26528480.905698
TKS,20031201,6.12947536,6.12947536,5.61294654,5.64738179,5043232.60864687
TKS,20031202,5.75068756,5.92286383,5.64738179,5.7162523,7055124.21102534
TKS,20031203,5.75068756,5.85399332,5.61294654,5.7162523,5958428.39168609
TKS,20031204,5.81955806,5.81955806,5.50964077,5.54407603,1924771.58495445
TKS,20031208,5.57851128,5.7162523,5.50964077,5.54407603,1958748.39174982
TKS,20031209,5.61294654,5.78512281,5.54407603,5.54407603,5051944.61038928
TKS,20031211,5.57851128,5.61294654,5.09641771,5.16528822,3568435.91368743
TKS,20031212,5.44077026,5.44077026,5.06198246,5.19972348,3935646.78712963
TKS,20031215,5.23415873,5.26859399,4.95867669,4.99311195,2156365.63127328
TKS,20031216,5.0275472,5.09641771,4.82093567,4.92424144,1694919.93898411
TKS,20031217,4.95867669,5.0275472,4.78650042,4.78650042,2072730.41454623
TKS,20031218,4.82093567,5.26859399,4.82093567,5.26859399,8303844.46076947
TKS,20031219,5.37189975,5.40633501,5.06198246,5.13085297,3970059.19401212
TKS,20031222,4.88980618,5.09641771,4.85537093,4.85537093,1805126.76102548
TKS,20031223,4.95867669,5.09641771,4.85537093,4.88980618,2473772.89475475
TKS,20031224,4.95867669,5.30302924,4.92424144,5.06198246,7563033.91260731
TKS,20031225,5.09641771,5.13085297,4.75206517,4.85537093,4272510.85450247
TKS,20031226,4.85537093,4.88980618,4.82093567,4.82093567,817766.56355337
TKS,20031229,4.82093567,4.99311195,4.82093567,4.99311195,1781168.75623388
TKS,20031230,4.99311195,4.99311195,4.92424144,4.99311195,1123848.22476972
TKS,20031231,5.0275472,5.09641771,4.99311195,5.06198246,1903281.98065653
TKS,20040105,5.0275472,5.19972348,4.99311195,5.09641771,1245961.44919238
TKS,20040106,5.23415873,5.26859399,4.88980618,4.88980618,4069811.61396261
TKS,20040107,4.95867669,4.99311195,4.88980618,4.88980618,556116.11122326
TKS,20040108,4.88980618,4.95867669,4.82093567,4.85537093,1247994.24959894
TKS,20040109,4.82093567,4.92424144,4.82093567,4.88980618,1206467.04129349
