<TICKER>,<DTYYYYMMDD>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
TMC,20121026,11.00,11.10,8.10,8.10,197031900
TMC,20121029,7.70,7.90,7.00,7.10,42327100
TMC,20121030,7.25,8.15,7.25,8.15,59123300
TMC,20121031,8.05,8.15,7.85,7.85,22098400
TMC,20121101,7.85,8.35,7.80,8.10,33956200
TMC,20121102,8.25,8.25,8.05,8.15,17476400
TMC,20121105,8.20,8.80,8.20,8.65,33582000
TMC,20121106,8.80,8.85,8.55,8.60,19443900
TMC,20121107,8.60,9.20,8.60,9.00,41788600
TMC,20121108,8.90,9.35,8.90,9.25,32301300
TMC,20121109,9.35,9.65,8.60,8.85,43054300
TMC,20121112,8.95,9.05,8.70,8.75,12509700
TMC,20121113,8.75,8.90,8.60,8.70,8217700
TMC,20121114,8.85,8.90,8.45,8.45,9351000
TMC,20121115,8.45,8.45,7.95,8.00,11083800
TMC,20121116,8.05,8.30,8.05,8.20,9634400
TMC,20121119,8.25,8.45,8.25,8.35,6373300
TMC,20121120,8.40,8.40,8.10,8.10,6162400
TMC,20121121,8.20,8.20,8.00,8.00,4720200
TMC,20121122,8.00,8.10,7.90,7.90,3933200
TMC,20121123,7.85,7.85,7.60,7.65,4823200
TMC,20121126,7.65,7.75,7.55,7.70,3432300
TMC,20121127,7.75,7.75,7.55,7.55,1751000
TMC,20121128,7.55,7.75,7.45,7.60,4278700
TMC,20121129,7.65,8.15,7.60,8.10,8487200
TMC,20121130,8.10,8.20,8.00,8.10,4989500
TMC,20121203,8.15,8.15,7.95,7.95,2201700
TMC,20121204,8.00,8.00,7.65,7.70,4222300
TMC,20121206,7.70,7.85,7.65,7.75,1475100
TMC,20121207,7.80,7.85,7.65,7.65,1166300
TMC,20121211,7.75,8.05,7.65,8.00,5992400
TMC,20121212,8.10,8.10,7.80,7.80,4599200
TMC,20121213,7.90,7.90,7.80,7.80,846000
TMC,20121214,7.85,7.85,7.70,7.70,1495800
TMC,20121217,7.75,7.95,7.70,7.85,3943700
TMC,20121218,7.90,7.90,7.70,7.70,2545300
TMC,20121219,7.80,7.80,7.65,7.65,2655900
TMC,20121220,7.70,7.75,7.65,7.65,773800
TMC,20121221,7.65,7.70,7.60,7.60,775500
TMC,20121224,7.60,7.65,7.45,7.50,1599200
TMC,20121225,7.50,7.65,7.45,7.45,984200
TMC,20121226,7.45,7.60,7.45,7.50,932700
TMC,20121227,7.55,7.60,7.50,7.50,938900
TMC,20121228,7.55,7.55,7.45,7.50,1162200
TMC,20130102,7.60,7.65,7.50,7.60,1087500
TMC,20130103,7.60,7.65,7.50,7.50,1024700
TMC,20130104,7.55,7.60,7.50,7.50,2425800
TMC,20130107,7.60,7.80,7.55,7.80,5691000
TMC,20130108,7.90,7.95,7.75,7.75,4665700
TMC,20130109,7.80,7.90,7.75,7.80,2514000
TMC,20130110,7.80,7.80,7.55,7.55,3016000
TMC,20130111,7.60,7.65,7.50,7.55,655600
TMC,20130114,7.65,7.85,7.60,7.70,3417200
TMC,20130115,7.80,7.85,7.70,7.80,3364700
TMC,20130116,7.85,7.85,7.60,7.65,2531500
TMC,20130117,7.75,7.80,7.65,7.65,2519000
TMC,20130118,7.75,7.75,7.60,7.65,1562200
TMC,20130121,7.75,8.25,7.65,8.25,26967900
TMC,20130122,8.55,8.55,8.00,8.00,21938800
TMC,20130123,8.05,8.55,8.00,8.45,17723800
TMC,20130124,8.45,8.50,8.25,8.30,6607900
TMC,20130125,8.45,8.45,8.25,8.25,4166000
TMC,20130128,8.30,8.45,8.30,8.30,5185300
TMC,20130129,8.30,8.30,8.10,8.10,2944300
TMC,20130130,8.15,8.15,8.00,8.05,2903900
TMC,20130131,8.05,8.25,8.00,8.05,4382600
TMC,20130201,8.10,8.15,8.05,8.05,1361500
TMC,20130204,8.10,8.15,8.05,8.05,1575800
TMC,20130205,8.00,8.05,8.00,8.00,1284600
TMC,20130206,8.05,8.10,8.00,8.00,1365700
TMC,20130207,8.00,8.00,7.85,7.85,2720200
TMC,20130208,7.85,7.90,7.70,7.90,2619800
TMC,20130211,7.85,7.85,7.75,7.75,1273600
TMC,20130212,7.80,8.10,7.75,8.10,4219200
TMC,20130213,8.25,8.25,7.95,7.95,7046500
TMC,20130214,8.00,8.10,7.95,8.00,1349900
TMC,20130215,8.15,8.15,7.90,7.90,1490400
TMC,20130218,8.00,8.00,7.90,7.95,1051500
TMC,20130219,8.00,8.15,7.90,8.05,2508600
TMC,20130220,8.10,8.10,7.95,7.95,1217500
TMC,20130221,7.95,8.05,7.90,7.90,1313000
TMC,20130222,7.90,8.30,7.90,8.20,5890600
TMC,20130226,8.40,8.40,8.25,8.25,5504700
TMC,20130227,8.35,8.40,8.00,8.15,6111100
TMC,20130228,8.20,8.20,8.00,8.00,1837300
TMC,20130301,8.00,8.05,7.90,7.90,1596800
TMC,20130304,7.90,7.90,7.75,7.75,2496500
TMC,20130305,7.85,7.90,7.75,7.80,841200
TMC,20130306,7.85,8.00,7.85,7.90,2196500
TMC,20130307,7.90,7.95,7.75,7.80,1604100
TMC,20130308,7.80,7.85,7.70,7.75,1651300
TMC,20130311,7.75,7.75,7.60,7.60,2947700
TMC,20130312,7.60,7.85,7.55,7.55,2742100
TMC,20130313,7.60,7.80,7.55,7.70,2023600
TMC,20130314,7.70,7.95,7.65,7.75,3202300
TMC,20130315,7.90,7.95,7.70,7.70,3421300
TMC,20130318,7.75,7.75,7.60,7.60,1282700
TMC,20130319,7.65,7.70,7.20,7.40,1787900
TMC,20130320,7.45,7.45,7.05,7.15,2322200
TMC,20130321,7.15,7.35,7.05,7.20,2287600
TMC,20130322,7.15,7.15,6.30,6.40,3664400
TMC,20130325,6.45,6.75,6.45,6.70,1464900
TMC,20130326,6.80,7.30,6.65,7.25,3754600
TMC,20130327,7.45,7.75,7.40,7.45,6963400
TMC,20130328,7.45,7.55,7.25,7.25,1457900
