<TICKER>,<DTYYYYMMDD>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
TMT,20050218,6.8,6.85,6.25,6.3,97144200
TMT,20050221,6.35,6.9,6.35,6.55,68893900
TMT,20050222,6.6,6.7,6.5,6.5,25781700
TMT,20050224,6.55,6.55,6.35,6.45,10325800
TMT,20050225,6.6,6.85,6.6,6.85,39165400
TMT,20050228,6.8,6.8,6.3,6.3,23358400
TMT,20050301,6.4,6.5,6.35,6.4,7579900
TMT,20050302,6.35,6.55,6.3,6.35,12416600
TMT,20050303,6.4,6.45,6.3,6.3,8443200
TMT,20050304,6.35,6.35,6.1,6.15,4833000
TMT,20050307,6.2,6.2,6,6,5370500
TMT,20050308,6.15,6.25,6.05,6.05,7992400
TMT,20050309,6.1,6.2,6,6.05,3278500
TMT,20050310,6.05,6.05,5.95,6,2250300
TMT,20050311,6,6.05,5.95,5.95,3919600
TMT,20050314,5.95,5.95,5.8,5.85,2294100
TMT,20050315,5.95,6.05,5.9,5.9,2701300
TMT,20050316,5.95,6,5.9,6,809700
TMT,20050317,5.95,6.2,5.95,6.15,5639500
TMT,20050318,6.2,6.2,6.05,6.05,2609400
TMT,20050321,6.1,6.15,6,6.05,982100
TMT,20050322,6,6.05,5.95,6.05,731800
TMT,20050323,6,6,5.9,5.95,2151900
TMT,20050324,5.95,5.95,5.9,5.95,453900
TMT,20050325,5.95,6.05,5.95,6.05,386100
TMT,20050328,6.05,6.1,6.05,6.05,3201100
TMT,20050329,5.55,5.6,5.45,5.5,1720900
TMT,20050330,5.5,5.5,5.25,5.3,920700
TMT,20050331,5.35,5.35,5.2,5.2,379400
TMT,20050401,5.2,5.4,5.2,5.4,1551500
TMT,20050404,5.25,5.35,5.25,5.3,415900
TMT,20050405,5.3,5.3,5.1,5.1,561500
TMT,20050407,5.1,5.1,4.74,4.74,1865100
TMT,20050408,4.74,4.78,4.74,4.76,295500
TMT,20050411,4.74,4.74,4.62,4.72,479000
TMT,20050412,4.76,4.9,4.72,4.82,896400
TMT,20050418,4.76,4.76,4.64,4.66,240000
TMT,20050419,4.66,4.7,4.66,4.68,103100
TMT,20050420,4.68,4.72,4.64,4.64,329900
TMT,20050421,4.64,4.64,4.02,4.4,1005000
TMT,20050422,4.64,4.64,4.38,4.5,828800
TMT,20050425,4.44,4.44,4.34,4.34,258800
TMT,20050426,4.34,4.36,4.28,4.36,293300
TMT,20050427,4.34,4.44,4.34,4.34,307900
TMT,20050428,4.36,4.36,4.24,4.24,124700
TMT,20050429,4.24,4.24,4,4.08,784400
TMT,20050503,4.06,4.36,4.06,4.32,790600
TMT,20050504,4.36,4.74,4.32,4.74,4783000
TMT,20050506,4.74,5.05,4.66,4.84,6344400
TMT,20050509,4.84,5.1,4.82,5.05,6323500
TMT,20050510,5.05,5.05,4.92,4.94,2290400
TMT,20050511,4.94,5.25,4.94,5.25,13980700
TMT,20050512,5.1,5.4,5,5.15,12169100
TMT,20050513,5.15,5.15,4.88,4.88,4995400
TMT,20050516,4.92,4.92,4.72,4.76,2285800
TMT,20050517,4.8,4.82,4.74,4.74,842700
TMT,20050518,4.74,4.78,4.74,4.78,799100
TMT,20050519,4.8,4.88,4.8,4.88,2989200
TMT,20050520,4.9,4.96,4.82,4.88,3729500
TMT,20050524,4.88,4.94,4.88,4.92,1163200
TMT,20050525,4.92,5.05,4.9,4.96,8249300
TMT,20050526,5,5.1,4.92,5.1,5630700
TMT,20050527,5.1,5.2,5,5.1,7857900
TMT,20050530,5.15,5.15,5,5.05,1911100
TMT,20050531,5.05,5.05,4.98,5,3861100
TMT,20050601,5,5.05,4.94,4.96,4804900
TMT,20050602,5,5.05,4.96,4.96,1254900
TMT,20050603,4.98,5,4.92,4.92,2459500
TMT,20050606,4.96,5.05,4.96,5,1378200
TMT,20050607,5.05,5.1,4.96,4.96,2144400
TMT,20050608,5,5.1,4.96,4.98,3694700
TMT,20050609,5,5.1,4.92,4.92,2807200
TMT,20050610,4.94,5.05,4.94,4.98,1306400
TMT,20050613,4.96,4.96,4.96,4.96,693900
TMT,20050614,4.94,5,4.94,5,553100
TMT,20050615,4.98,5,4.96,5,1416900
TMT,20050616,4.98,5,4.98,4.98,309000
TMT,20050617,4.98,5.05,4.98,5,2023700
TMT,20050620,5.05,5.4,5.05,5.25,16514500
TMT,20050621,5.25,5.35,4.94,4.94,10882900
TMT,20050622,4.98,5.05,4.88,4.88,2100700
TMT,20050623,4.94,4.96,4.82,4.86,1811600
TMT,20050624,4.84,4.84,4.76,4.76,1202000
TMT,20050627,4.78,4.78,4.74,4.74,367000
TMT,20050628,4.76,4.82,4.76,4.78,393500
TMT,20050629,4.8,4.86,4.8,4.82,1711200
TMT,20050630,4.82,4.82,4.72,4.72,1022100
TMT,20050704,4.72,4.72,4.5,4.58,583500
TMT,20050705,4.56,4.56,4.38,4.38,659800
TMT,20050706,4.46,4.48,4.36,4.38,681600
TMT,20050707,4.32,4.32,4.1,4.1,541200
TMT,20050708,4.14,4.14,4.06,4.08,899000
TMT,20050711,4.12,4.16,4.04,4.04,590500
TMT,20050712,4.02,4.04,4,4.02,843300
TMT,20050713,4.02,4.1,4,4.02,1014400
TMT,20050714,4.04,4.1,4.02,4.06,2390900
TMT,20050715,4.06,4.1,4,4.04,1428700
TMT,20050718,4.02,4.02,3.96,3.96,296800
TMT,20050719,3.96,3.96,3.86,3.88,369100
TMT,20050720,3.88,3.9,3.82,3.9,96500
TMT,20050721,3.92,3.92,3.9,3.9,202900
TMT,20050725,3.88,4.04,3.88,3.98,511000
TMT,20050726,3.96,3.98,3.92,3.98,97200
TMT,20050727,3.96,3.98,3.9,3.92,925500
TMT,20050728,3.94,3.98,3.94,3.96,294600
TMT,20050729,3.96,4,3.92,3.94,96900
TMT,20050801,3.94,3.94,3.88,3.92,152600
TMT,20050802,3.92,3.94,3.88,3.88,506300
TMT,20050803,3.88,3.88,3.86,3.86,171100
TMT,20050804,3.86,3.88,3.82,3.86,878300
TMT,20050805,3.82,3.86,3.82,3.86,364800
TMT,20050808,3.86,3.86,3.84,3.84,306000
TMT,20050809,3.86,3.86,3.82,3.84,484900
TMT,20050810,3.84,3.86,3.82,3.82,166900
TMT,20050811,3.84,3.86,3.82,3.86,592200
TMT,20050815,3.82,3.84,3.82,3.82,247100
TMT,20050816,3.82,3.84,3.82,3.84,177800
TMT,20050817,3.84,3.84,3.84,3.84,178300
TMT,20050818,3.86,3.86,3.82,3.82,210000
TMT,20050819,3.82,4.1,3.82,3.88,795900
TMT,20050822,3.88,3.9,3.86,3.9,302700
TMT,20050823,3.88,3.9,3.86,3.86,527000
TMT,20050824,3.86,3.9,3.84,3.86,344400
TMT,20050825,3.88,3.88,3.84,3.86,584000
TMT,20050826,3.86,3.86,3.84,3.84,256200
TMT,20050829,3.84,3.86,3.84,3.84,694000
TMT,20050830,3.86,3.88,3.84,3.84,249700
TMT,20050831,3.86,3.86,3.84,3.86,55800
TMT,20050901,3.86,3.92,3.86,3.9,918200
TMT,20050902,3.9,3.94,3.86,3.9,1198900
TMT,20050905,3.92,3.94,3.92,3.92,513200
