<TICKER>,<DTYYYYMMDD>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
TMW,20031009,19.50,19.80,18.60,19.40,11038200
TMW,20031010,20.20,25.00,20.20,25.00,5242000
TMW,20031013,28.75,32.50,28.75,31.25,4855800
TMW,20031014,31.50,35.75,28.00,33.50,9292800
TMW,20031015,35.50,35.75,33.25,34.00,4752200
TMW,20031016,34.00,34.50,31.00,31.75,2651500
TMW,20031017,32.00,32.25,30.00,30.00,887900
TMW,20031020,30.00,31.75,30.00,30.00,1306000
TMW,20031021,30.25,32.50,30.25,31.50,1577200
TMW,20031022,32.00,32.25,30.25,30.25,1043400
TMW,20031024,30.50,31.50,30.00,30.50,600600
TMW,20031027,30.75,31.00,28.25,29.75,970600
TMW,20031028,29.25,31.75,29.25,31.50,1219700
TMW,20031029,32.00,34.50,31.00,32.50,2705000
TMW,20031030,33.00,33.25,32.00,32.25,715400
TMW,20031031,32.50,33.50,31.50,31.75,654900
TMW,20031103,32.25,32.50,30.00,30.25,946500
TMW,20031104,30.50,31.50,29.75,29.75,508700
TMW,20031105,30.00,30.75,29.75,30.00,183600
TMW,20031106,30.00,32.25,30.00,30.25,1147700
TMW,20031107,30.75,32.25,30.50,31.00,913600
TMW,20031110,32.25,40.25,32.00,40.25,8244300
TMW,20031111,40.50,44.50,37.75,38.50,4776400
TMW,20031112,39.25,40.75,38.25,39.00,1378400
TMW,20031113,39.50,41.75,38.25,38.75,1732600
TMW,20031114,39.25,47.50,38.75,45.25,6179200
TMW,20031117,43.25,46.00,43.00,43.75,1520200
TMW,20031118,44.50,56.50,43.75,56.50,5796600
TMW,20031119,58.00,71.00,56.50,60.00,5135800
TMW,20031120,63.50,69.50,62.50,66.00,4200300
TMW,20031121,66.50,82.50,66.50,71.00,5284000
TMW,20031124,74.50,79.50,61.00,65.00,2608900
TMW,20031125,68.50,68.50,57.50,61.00,1969100
TMW,20031126,61.00,64.50,61.00,63.00,807700
TMW,20031127,64.50,66.00,63.00,64.00,2600
TMW,20031128,65.00,67.00,61.00,62.50,2000
TMW,20031201,63.00,63.50,58.50,60.00,312100
TMW,20031202,60.00,60.00,55.00,55.00,308000
TMW,20031203,56.00,62.00,56.00,60.00,670400
TMW,20031204,60.00,62.50,58.00,58.50,1100
TMW,20031208,58.50,59.00,56.50,56.50,107100
TMW,20031209,58.50,64.50,57.00,62.00,1000
TMW,20031211,63.00,63.50,55.00,55.50,100
TMW,20031212,56.50,59.50,55.50,56.00,679400
TMW,20031215,57.00,58.00,53.50,55.00,1000
TMW,20031216,55.50,59.00,55.00,56.00,514300
TMW,20031217,56.50,58.00,55.00,55.00,398700
TMW,20031218,55.50,57.50,55.50,57.50,15000
TMW,20031219,58.50,58.50,56.00,56.00,3400
TMW,20031222,56.50,57.00,55.00,55.50,152400
TMW,20031223,55.50,60.50,50.00,53.00,1734800
TMW,20031224,54.00,54.00,49.75,50.00,4000
TMW,20031225,50.50,51.00,48.00,48.00,230700
TMW,20031226,48.00,53.00,48.00,49.50,388300
TMW,20031229,50.00,51.50,49.25,49.50,104900
TMW,20031230,50.00,51.50,49.00,49.00,48300
TMW,20031231,49.00,49.50,47.25,47.25,66100
TMW,20040105,48.00,49.50,47.50,47.50,64200
TMW,20040106,47.75,48.25,46.00,46.25,69000
TMW,20040107,46.50,49.25,45.50,47.25,161400
TMW,20040108,47.50,49.25,47.00,49.25,78300
TMW,20040109,48.75,50.00,48.50,49.75,20900
TMW,20040112,48.75,50.00,47.25,47.25,44000
TMW,20040113,47.50,48.00,46.50,46.50,75300
TMW,20040114,47.75,58.00,47.00,56.00,300
TMW,20040115,56.50,59.50,49.50,50.50,300
TMW,20040116,51.00,54.00,50.00,51.00,100
TMW,20040119,52.00,55.50,51.00,52.00,1518900
TMW,20040120,52.50,53.50,48.75,49.00,100
TMW,20040121,49.50,51.50,47.25,47.50,332500
TMW,20040122,48.50,49.75,47.00,47.00,258600
TMW,20040123,46.00,48.00,45.50,46.50,296700
TMW,20040126,46.50,49.00,44.00,44.00,731300
TMW,20040127,45.00,45.50,44.25,45.00,257700
TMW,20040128,45.50,46.50,42.75,43.00,607500
TMW,20040129,43.00,44.00,42.25,42.50,210300
TMW,20040130,43.00,43.25,37.00,38.25,255600
TMW,20040202,38.00,40.00,34.00,34.00,658200
TMW,20040203,34.00,35.00,32.00,34.00,1243100
TMW,20040204,35.00,35.50,33.50,35.00,1719800
TMW,20040205,36.25,39.25,36.00,39.00,3056200
TMW,20040206,39.25,39.75,35.00,36.00,1331400
TMW,20040209,37.50,37.75,36.75,37.00,359900
TMW,20040210,37.25,39.00,37.25,38.00,587900
TMW,20040211,38.75,39.75,38.25,39.75,881500
TMW,20040212,40.25,41.25,39.00,39.00,1054300
TMW,20040213,39.50,39.50,38.00,38.50,478500
TMW,20040216,38.50,38.75,36.00,36.25,342900
TMW,20040217,36.50,38.00,36.25,37.00,413100
TMW,20040218,37.25,40.25,37.00,40.00,7400
TMW,20040219,40.25,40.50,37.75,38.00,7000
TMW,20040220,37.25,38.00,36.75,38.00,222500
TMW,20040223,37.25,37.75,36.75,36.75,101400
TMW,20040224,37.25,37.75,37.00,37.00,96600
TMW,20040225,36.75,37.50,35.75,36.00,118000
TMW,20040226,36.50,37.00,35.25,36.50,124900
TMW,20040227,36.50,37.75,36.50,37.75,322700
TMW,20040301,37.75,38.50,37.00,37.00,187100
TMW,20040302,37.25,37.25,36.50,36.50,200
TMW,20040303,37.00,37.00,36.25,36.50,700
TMW,20040304,36.75,37.25,36.25,37.00,75700
TMW,20040308,37.00,37.00,36.25,36.25,35300
TMW,20040309,36.50,37.00,36.25,37.00,64400
TMW,20040310,37.25,37.25,36.25,36.25,1500
TMW,20040311,36.25,37.25,36.25,36.50,2200
TMW,20040312,36.50,38.25,36.25,36.75,9000
TMW,20040315,37.00,37.75,35.50,35.50,129500
TMW,20040316,35.00,36.50,35.00,35.50,2100
TMW,20040317,35.50,36.25,35.50,35.50,200
TMW,20040318,36.00,36.50,36.00,36.25,43600
TMW,20040319,36.00,36.75,35.75,35.75,5000
TMW,20040322,35.75,36.00,35.25,35.50,14300
TMW,20040323,35.75,36.50,35.50,35.50,5800
TMW,20040324,36.00,36.50,35.50,35.75,3500
TMW,20040325,36.00,36.00,35.00,35.25,7000
TMW,20040326,35.25,35.50,35.00,35.25,7000
TMW,20040329,35.00,35.25,33.00,33.50,5000
TMW,20040330,33.50,34.50,33.00,33.25,40000
TMW,20040331,33.25,33.25,32.00,32.00,30000
TMW,20040401,32.00,33.25,32.00,33.00,20000
TMW,20040402,33.50,34.50,33.25,34.00,20000
TMW,20040405,34.00,35.50,33.75,34.25,198300
TMW,20040407,35.00,35.00,33.00,33.00,25000
TMW,20040408,33.00,33.50,32.00,32.25,25000
TMW,20040409,32.50,32.50,32.00,32.00,10000
TMW,20040412,32.50,32.75,32.25,32.25,47500
TMW,20040416,32.50,33.25,32.50,33.00,127400
TMW,20040419,33.50,33.50,32.00,32.75,38100
TMW,20040420,32.75,33.00,32.25,32.50,45800
TMW,20040421,32.50,32.50,32.25,32.25,83600
TMW,20040422,32.00,32.00,31.00,31.75,74700
TMW,20040423,31.75,31.75,30.00,31.50,96900
TMW,20040426,30.50,30.75,29.25,29.25,2000
TMW,20040427,29.50,29.75,29.00,29.00,54900
TMW,20040428,29.00,29.25,28.50,29.00,28500
TMW,20040429,28.25,28.25,25.50,26.50,82100
TMW,20040430,26.50,27.25,26.00,26.00,43900
TMW,20040504,26.00,26.50,25.75,26.00,55900
TMW,20040506,26.50,26.50,25.00,25.50,40000
TMW,20040507,25.75,25.75,24.50,25.50,15000
TMW,20040510,25.00,25.00,22.30,22.30,61300
TMW,20040511,22.30,22.70,22.10,22.60,43100
TMW,20040512,20.20,22.70,20.00,21.90,78700
TMW,20040513,21.70,21.70,20.60,20.60,31400
TMW,20040514,20.30,24.40,20.00,24.00,168800
TMW,20040517,23.40,23.40,21.00,21.00,125800
TMW,20040518,21.20,23.00,20.70,22.70,86200
TMW,20040519,23.30,23.50,22.90,23.20,89600
TMW,20040520,23.30,23.30,22.50,22.80,59700
TMW,20040521,23.20,26.00,23.20,25.25,343500
TMW,20040524,26.00,27.00,24.90,25.25,181100
TMW,20040525,25.25,25.50,24.20,24.30,86900
TMW,20040526,25.00,25.50,23.30,23.60,208200
TMW,20040527,23.30,24.30,23.30,24.10,139600
TMW,20040528,23.70,24.30,23.30,23.60,77400
TMW,20040531,24.10,25.25,24.10,25.00,248900
TMW,20040601,25.25,26.00,24.50,24.50,344200
TMW,20040603,24.70,25.25,23.80,24.40,178000
TMW,20040604,24.70,24.70,24.00,24.20,34500
TMW,20040607,24.60,25.25,24.30,24.40,98100
TMW,20040608,24.60,30.75,24.30,27.75,7072900
TMW,20040609,28.25,28.75,26.25,28.25,3083800
TMW,20040610,28.25,31.25,28.00,31.25,6352700
TMW,20040611,31.25,33.25,30.25,31.00,4947800
TMW,20040614,31.25,31.75,27.75,28.75,1760500
TMW,20040615,28.25,30.00,28.00,29.00,1355900
TMW,20040616,30.00,32.25,30.00,32.25,2699300
TMW,20040617,32.75,32.75,30.25,30.75,1261500
TMW,20040618,30.50,32.75,30.50,32.50,2495800
TMW,20040621,32.50,32.75,31.25,31.25,1314200
TMW,20040622,31.50,32.75,30.75,31.00,1717500
TMW,20040623,31.25,31.25,29.50,29.75,1050700
TMW,20040624,30.50,30.50,29.50,29.50,615600
TMW,20040625,30.00,30.50,29.00,29.25,728000
TMW,20040628,29.50,30.75,29.25,30.25,790500
TMW,20040629,30.50,30.75,29.75,30.25,638500
TMW,20040630,30.50,30.75,29.25,29.25,526700
TMW,20040702,29.00,29.25,28.50,29.00,175300
TMW,20040705,29.00,30.00,29.00,30.00,10000
TMW,20040706,30.50,31.25,30.00,31.00,5000
TMW,20040707,30.75,31.50,30.25,30.50,504100
TMW,20040708,30.75,32.00,30.75,31.00,1000
TMW,20040709,31.50,31.50,31.00,31.25,594100
TMW,20040712,31.25,31.50,30.25,30.25,301700
TMW,20040713,30.25,31.00,30.00,30.00,418500
TMW,20040714,30.25,30.25,25.00,29.00,482700
TMW,20040715,29.00,29.50,28.50,28.75,95700
TMW,20040716,28.50,29.00,28.50,28.50,110200
TMW,20040719,28.50,28.50,27.25,27.50,145700
TMW,20040720,27.25,28.25,27.25,27.50,117900
TMW,20040721,28.25,28.75,28.00,28.25,162200
TMW,20040722,28.50,28.50,27.50,27.50,130700
TMW,20040723,27.50,27.75,27.00,27.00,123300
TMW,20040726,26.75,27.00,24.00,26.00,52800
TMW,20040727,26.75,26.75,26.00,26.00,39800
TMW,20040728,26.50,26.75,25.50,25.50,76900
TMW,20040729,25.75,26.00,24.00,24.60,100
TMW,20040730,24.70,25.75,24.50,25.25,78700
TMW,20040803,25.00,25.00,24.60,24.60,20500
TMW,20040804,24.20,24.20,23.00,23.00,149200
TMW,20040805,23.50,23.80,23.00,23.60,100600
TMW,20040806,23.00,23.40,23.00,23.20,75400
TMW,20040809,23.00,23.20,23.00,23.00,10000
TMW,20040810,23.30,23.90,23.10,23.70,5100
TMW,20040811,24.00,24.50,23.30,23.50,353400
TMW,20040813,23.50,23.50,22.50,22.50,30000
TMW,20040816,22.80,22.90,22.30,22.60,58200
TMW,20040817,22.90,23.50,22.70,23.10,345400
