<TICKER>,<DTYYYYMMDD>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
TPA,19941228,6.75,7.05,6.65,6.75,34868000
TPA,19941229,6.65,6.9,6.35,6.4,8408000
TPA,19941230,6.25,6.4,6.1,6.15,1704000
TPA,19950103,6.2,6.2,5.9,6,836000
TPA,19950104,6,6,5.5,5.75,1552000
TPA,19950105,5.7,5.95,5.5,5.7,2390000
TPA,19950106,5.55,5.65,5.45,5.5,692000
TPA,19950109,5.5,5.8,5.4,5.4,2026000
TPA,19950110,5.4,5.55,5.35,5.35,1877000
TPA,19950111,5.35,5.6,5.35,5.4,2992000
TPA,19950112,5.4,5.45,5.2,5.35,1884000
TPA,19950113,5.3,5.3,4.85,5.1,1056000
TPA,19950116,5.2,5.25,4.975,4.975,1511000
TPA,19950117,4.95,5,4.875,4.9,1688000
TPA,19950118,4.8,5,4.7,5,1221000
TPA,19950119,4.9,4.95,4.6,4.675,2248000
TPA,19950120,4.5,4.625,4.5,4.6,1043000
TPA,19950123,4.5,4.525,4.15,4.15,1332000
TPA,19950124,4.15,4.2,3.875,4.1,591000
TPA,19950125,4.2,4.5,4.15,4.5,1696000
TPA,19950126,4.95,4.95,4.725,4.725,2421000
TPA,19950127,4.725,4.75,4.575,4.675,494000
TPA,19950130,4.55,4.7,4.55,4.6,164000
TPA,19950131,4.55,4.6,4.5,4.6,53000
TPA,19950201,4.6,4.6,4.5,4.575,300000
TPA,19950202,4.6,4.65,4.55,4.55,313000
TPA,19950203,4.575,5,4.55,5,2214000
TPA,19950206,5.3,5.5,5.25,5.35,2615000
TPA,19950207,5.4,5.4,5.1,5.2,723000
TPA,19950208,5.1,5.1,5,5.1,806000
TPA,19950209,5.15,5.5,5.15,5.25,1734000
TPA,19950210,5.3,5.35,5.1,5.1,308000
TPA,19950213,5.15,5.25,5.1,5.25,568000
TPA,19950215,5.35,5.35,5.15,5.2,276000
TPA,19950216,5.3,5.55,5.25,5.4,2734000
TPA,19950217,5.45,5.45,5.2,5.2,1024000
TPA,19950220,5.2,5.5,5.2,5.4,1337000
TPA,19950221,5.5,5.9,5.5,5.9,4907000
TPA,19950222,6,6.25,5.8,5.8,6573000
TPA,19950223,6,6,5.6,5.75,1124000
TPA,19950224,5.9,6,5.8,5.85,1206000
TPA,19950227,5.5,5.7,5.4,5.6,1726000
TPA,19950228,5.5,5.65,5.45,5.65,785000
TPA,19950301,5.65,5.8,5.55,5.7,904000
TPA,19950302,5.75,5.85,5.65,5.75,316000
TPA,19950303,5.7,5.7,5.5,5.65,225000
TPA,19950306,5.5,5.5,5.25,5.35,443000
TPA,19950307,5.3,5.45,5.25,5.4,576000
TPA,19950308,5,5,4.8,4.85,214000
TPA,19950309,4.85,5,4.8,5,283000
TPA,19950310,5,5,4.65,4.95,179000
TPA,19950313,4.9,4.9,4.65,4.825,196000
TPA,19950314,4.525,4.6,4.4,4.575,197000
TPA,19950315,4.6,4.6,4.4,4.575,91000
TPA,19950316,4.375,4.375,4.125,4.3,285000
TPA,19950317,4.3,4.625,4.2,4.6,660000
TPA,19950320,4.5,4.75,4.5,4.6,137000
TPA,19950321,4.7,4.825,4.675,4.675,409000
TPA,19950322,4.675,4.825,4.675,4.75,416000
TPA,19950323,4.825,4.825,4.7,4.8,143000
TPA,19950324,4.8,4.8,4.6,4.6,166000
TPA,19950327,4.625,4.7,4.6,4.675,91000
TPA,19950328,4.675,4.675,4.6,4.65,181000
TPA,19950329,4.575,4.95,4.575,4.75,642000
TPA,19950330,4.875,5.2,4.8,5.2,1988000
TPA,19950331,5.35,5.35,5,5,1808000
TPA,19950403,5,5,4.8,4.8,329000
TPA,19950404,4.8,5.2,4.8,5,873000
TPA,19950405,5.1,5.25,4.95,5,663000
TPA,19950407,4.9,4.925,4.825,4.9,194000
TPA,19950410,4.8,4.9,4.8,4.9,100000
TPA,19950411,4.9,4.975,4.9,4.9,130000
TPA,19950417,4.9,4.9,4.8,4.9,112000
TPA,19950418,4.8,4.85,4.75,4.825,187000
TPA,19950419,4.8,4.8,4.725,4.725,207000
TPA,19950420,4.75,4.775,4.675,4.7,238000
TPA,19950421,4.8,4.825,4.7,4.8,172000
TPA,19950424,4.8,4.8,4.675,4.7,93000
TPA,19950425,4.7,4.725,4.7,4.7,52000
TPA,19950426,4.6,4.625,4.6,4.625,63000
TPA,19950427,4.6,4.625,4.6,4.625,60000
TPA,19950428,4.65,4.8,4.625,4.8,193000
TPA,19950502,4.8,5.05,4.8,4.9,705000
TPA,19950503,5,5.2,4.9,4.9,1592000
TPA,19950504,5,5.25,5,5.2,1762000
TPA,19950508,5.2,5.35,5.1,5.2,1419000
TPA,19950509,5.25,5.3,5.05,5.2,972000
TPA,19950510,5.2,5.5,5.15,5.3,2475000
TPA,19950511,5.35,5.35,5.15,5.3,538000
TPA,19950512,5.5,5.8,5.5,5.8,8191000
TPA,19950516,5.95,5.95,5.6,5.65,3330000
TPA,19950517,5.7,5.75,5.6,5.65,1227000
TPA,19950518,5.65,5.7,5.5,5.5,1232000
TPA,19950519,5.2,5.45,5.2,5.3,1503000
TPA,19950522,5.25,5.55,5.25,5.35,788000
TPA,19950523,5.5,5.5,5.35,5.4,580000
TPA,19950524,5.5,5.65,5.35,5.5,1795000
TPA,19950525,5.55,5.55,5.35,5.4,937000
TPA,19950526,5.4,5.55,5.35,5.35,979000
TPA,19950529,5.35,5.4,5.25,5.3,654000
TPA,19950530,5.45,5.45,5.2,5.2,1065000
TPA,19950531,5.15,5.35,5.15,5.15,351000
TPA,19950601,5.35,5.4,5.2,5.2,782000
TPA,19950602,5.25,5.35,5.2,5.35,709000
