<TICKER>,<DTYYYYMMDD>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
TPCORP,19870722,2.98449412103799,3.27770757854348,2.98449412103799,3.27770757854348,95493.5705823667
TPCORP,19870723,3.59186485444222,3.59186485444222,3.59186485444222,3.59186485444222,19098.7141164733
TPCORP,19870724,3.93743785793083,3.93743785793083,3.93743785793083,3.93743785793083,76394.8564658933
TPCORP,19870727,3.93743785793083,4.03168504070045,3.90602213034096,3.93743785793083,152789.712931787
TPCORP,19870728,3.9688535855207,4.0945164958802,3.9688535855207,4.0945164958802,171888.42704826
TPCORP,19870729,4.0945164958802,4.38772995338568,4.0945164958802,4.38772995338568,171888.42704826
TPCORP,19870730,4.38772995338568,4.47150522695868,4.38772995338568,4.38772995338568,114592.28469884
TPCORP,19870803,3.9688535855207,3.9688535855207,3.9688535855207,3.9688535855207,19098.7141164733
TPCORP,19870804,3.59186485444222,3.59186485444222,3.59186485444222,3.59186485444222,152789.712931787
TPCORP,19870805,3.27770757854348,3.27770757854348,3.27770757854348,3.27770757854348,76394.8564658933
TPCORP,19870806,3.14157275898736,3.14157275898736,3.14157275898736,3.14157275898736,19098.7141164733
TPCORP,19870819,3.16251657738061,3.18346039577386,3.16251657738061,3.18346039577386,57296.14234942
TPCORP,19870820,3.20440421416711,3.20440421416711,3.20440421416711,3.20440421416711,19098.7141164733
TPCORP,19870821,3.20440421416711,3.20440421416711,3.18346039577386,3.18346039577386,76394.8564658933
TPCORP,19870827,3.18346039577386,3.18346039577386,3.14157275898736,3.14157275898736,57296.14234942
TPCORP,19870831,3.16251657738061,3.16251657738061,3.16251657738061,3.16251657738061,38197.4282329467
TPCORP,19870901,3.16251657738061,3.20440421416711,3.16251657738061,3.20440421416711,57296.14234942
TPCORP,19870902,3.22534803256036,3.29865139693673,3.22534803256036,3.29865139693673,152789.712931787
TPCORP,19870908,3.38242667050973,3.38242667050973,3.38242667050973,3.38242667050973,19098.7141164733
TPCORP,19870916,3.46620194408272,3.46620194408272,3.38242667050973,3.38242667050973,76394.8564658933
TPCORP,19870917,3.46620194408272,3.46620194408272,3.46620194408272,3.46620194408272,19098.7141164733
TPCORP,19870918,3.54997721765572,3.54997721765572,3.54997721765572,3.54997721765572,19098.7141164733
TPCORP,19870921,3.61280867283547,3.61280867283547,3.61280867283547,3.61280867283547,19098.7141164733
TPCORP,19870929,3.54997721765572,3.61280867283547,3.54997721765572,3.54997721765572,190987.141164733
TPCORP,19871005,3.63375249122872,3.63375249122872,3.63375249122872,3.63375249122872,19098.7141164733
TPCORP,19871006,3.63375249122872,3.63375249122872,3.63375249122872,3.63375249122872,38197.4282329467
TPCORP,19871008,3.63375249122872,3.65469630962197,3.63375249122872,3.65469630962197,76394.8564658933
TPCORP,19871013,3.65469630962197,3.65469630962197,3.65469630962197,3.65469630962197,19098.7141164733
TPCORP,19871015,3.65469630962197,3.65469630962197,3.65469630962197,3.65469630962197,76394.8564658933
TPCORP,19871016,3.67564012801522,3.67564012801522,3.67564012801522,3.67564012801522,19098.7141164733
TPCORP,19871019,3.69658394640846,3.78035921998146,3.69658394640846,3.78035921998146,38197.4282329467
TPCORP,19880128,3.40337048890298,3.40337048890298,3.40337048890298,3.40337048890298,19098.7141164733
TPCORP,19880204,3.31959521532998,3.31959521532998,3.31959521532998,3.31959521532998,38197.4282329467
TPCORP,19880205,3.27770757854348,3.27770757854348,3.17298848657724,3.17298848657724,114592.28469884
TPCORP,19880208,3.15204466818399,3.15204466818399,3.15204466818399,3.15204466818399,95493.5705823667
TPCORP,19880210,3.15204466818399,3.15204466818399,3.15204466818399,3.15204466818399,38197.4282329467
TPCORP,19880217,3.15204466818399,3.15204466818399,3.15204466818399,3.15204466818399,38197.4282329467
TPCORP,19880219,3.15204466818399,3.15204466818399,3.15204466818399,3.15204466818399,19098.7141164733
TPCORP,19880222,3.15204466818399,3.15204466818399,3.15204466818399,3.15204466818399,76394.8564658933
TPCORP,19880223,3.19393230497049,3.19393230497049,3.17298848657724,3.17298848657724,76394.8564658933
TPCORP,19880224,3.19393230497049,3.23581994175698,3.19393230497049,3.23581994175698,152789.712931787
TPCORP,19880225,3.27770757854348,3.27770757854348,3.27770757854348,3.27770757854348,19098.7141164733
TPCORP,19880226,3.27770757854348,3.27770757854348,3.27770757854348,3.27770757854348,19098.7141164733
TPCORP,19880229,3.23581994175698,3.23581994175698,3.23581994175698,3.23581994175698,38197.4282329467
TPCORP,19880301,3.23581994175698,3.25676376015023,3.23581994175698,3.25676376015023,76394.8564658933
TPCORP,19880304,3.27770757854348,3.27770757854348,3.27770757854348,3.27770757854348,95493.5705823667
TPCORP,19880307,3.29865139693673,3.29865139693673,3.29865139693673,3.29865139693673,38197.4282329467
TPCORP,19880308,3.29865139693673,3.29865139693673,3.29865139693673,3.29865139693673,19098.7141164733
TPCORP,19880310,3.29865139693673,3.29865139693673,3.29865139693673,3.29865139693673,57296.14234942
TPCORP,19880318,3.29865139693673,3.34053903372323,3.27770757854348,3.34053903372323,305579.425863573
TPCORP,19880321,3.36148285211648,3.36148285211648,3.36148285211648,3.36148285211648,76394.8564658933
TPCORP,19880322,3.44525812568947,3.59186485444222,3.44525812568947,3.59186485444222,114592.28469884
TPCORP,19880323,3.67564012801522,3.80130303837471,3.67564012801522,3.78035921998146,171888.42704826
TPCORP,19880324,3.82224685676796,4.03168504070045,3.82224685676796,4.03168504070045,343776.85409652
TPCORP,19880325,4.07357267748695,4.42961759017218,4.0526288590937,4.34584231659918,649356.279960093
TPCORP,19880328,4.32489849820594,4.32489849820594,4.19923558784644,4.19923558784644,57296.14234942
TPCORP,19880329,4.22017940623969,4.26206704302619,4.19923558784644,4.19923558784644,381974.282329467
TPCORP,19880330,4.24112322463294,4.24112322463294,4.22017940623969,4.24112322463294,439270.424678887
TPCORP,19880331,4.15734795105994,4.15734795105994,4.15734795105994,4.15734795105994,38197.4282329467
TPCORP,19880401,4.11546031427345,4.17829176945319,4.07357267748695,4.07357267748695,76394.8564658933
TPCORP,19880404,4.0526288590937,4.0526288590937,4.0526288590937,4.0526288590937,19098.7141164733
TPCORP,19880405,4.03168504070045,4.03168504070045,4.0107412223072,4.0107412223072,190987.141164733
TPCORP,19880407,4.69341966629001,4.69341966629001,4.69341966629001,4.69341966629001,65623.7928630541
TPCORP,19880504,4.57151266197079,4.57151266197079,4.47398705851541,4.57151266197079,196871.378589162
TPCORP,19880506,4.54713126110695,4.54713126110695,4.54713126110695,4.54713126110695,16405.9482157635
TPCORP,19880509,4.54713126110695,4.57151266197079,4.54713126110695,4.54713126110695,131247.585726108
TPCORP,19880510,4.44960565765157,4.44960565765157,4.44960565765157,4.44960565765157,16405.9482157635
TPCORP,19880511,4.49836845937926,4.49836845937926,4.49836845937926,4.49836845937926,114841.637510345
TPCORP,19880512,4.49836845937926,4.49836845937926,4.49836845937926,4.49836845937926,16405.9482157635
TPCORP,19880513,4.49836845937926,4.49836845937926,4.49836845937926,4.49836845937926,16405.9482157635
TPCORP,19880516,4.49836845937926,4.49836845937926,4.49836845937926,4.49836845937926,32811.896431527
TPCORP,19880517,4.49836845937926,4.49836845937926,4.49836845937926,4.49836845937926,32811.896431527
TPCORP,19880518,4.54713126110695,4.64465686456232,4.54713126110695,4.62027546369848,98435.6892945811
TPCORP,19880524,4.44960565765157,4.44960565765157,4.44960565765157,4.44960565765157,16405.9482157635
TPCORP,19880525,4.44960565765157,4.44960565765157,4.44960565765157,4.44960565765157,32811.896431527
TPCORP,19880603,4.38865215549196,4.38865215549196,4.38865215549196,4.38865215549196,6562.37928630541
TPCORP,19880606,4.38865215549196,4.38865215549196,4.29722190225254,4.29722190225254,65623.7928630541
TPCORP,19880607,4.32769865333235,4.32769865333235,4.26674515117274,4.26674515117274,42655.4653609851
TPCORP,19880608,4.26674515117274,4.26674515117274,4.26674515117274,4.26674515117274,52499.0342904433
TPCORP,19880609,4.26674515117274,4.26674515117274,4.17531489793332,4.23626840009293,121404.01679665
TPCORP,19880610,4.32769865333235,4.6324661641304,4.26674515117274,4.6324661641304,659519.118273693
TPCORP,19880613,5.08961743032748,5.08961743032748,4.75437316844962,4.81532667060923,974513.324016353
TPCORP,19880614,4.75437316844962,4.96771042600826,4.75437316844962,4.90675692384865,741548.859352511
TPCORP,19880615,4.96771042600826,4.96771042600826,4.6629429152102,4.6629429152102,324837.774672118
TPCORP,19880616,4.6629429152102,4.69341966629001,4.44960565765157,4.69341966629001,518427.963618127
TPCORP,19880617,4.6324661641304,4.6629429152102,4.6324661641304,4.6324661641304,68904.9825062068
TPCORP,19880620,4.54103591089098,4.57151266197079,4.51055915981118,4.51055915981118,393742.757178325
TPCORP,19880621,4.51055915981118,4.51055915981118,4.38865215549196,4.38865215549196,16405.9482157635
TPCORP,19880622,4.38865215549196,4.44960565765157,4.38865215549196,4.44960565765157,124685.206439803
TPCORP,19880623,4.51055915981118,4.51055915981118,4.32769865333235,4.32769865333235,85310.9307219703
TPCORP,19880624,4.32769865333235,4.32769865333235,4.26674515117274,4.26674515117274,59061.4135767487
TPCORP,19880627,4.26674515117274,4.26674515117274,4.20579164901313,4.20579164901313,22968.3275020689
TPCORP,19880628,4.17531489793332,4.17531489793332,4.11436139577371,4.11436139577371,22968.3275020689
TPCORP,19880629,4.14483814685352,4.26674515117274,4.14483814685352,4.26674515117274,42655.4653609851
TPCORP,19880630,4.32769865333235,4.32769865333235,4.32769865333235,4.32769865333235,6562.37928630541
TPCORP,19880706,4.26674515117274,4.32769865333235,4.26674515117274,4.26674515117274,65623.7928630541
TPCORP,19880707,4.32769865333235,4.32769865333235,4.32769865333235,4.32769865333235,22968.3275020689
TPCORP,19880708,4.32769865333235,4.32769865333235,4.26674515117274,4.29722190225254,36093.0860746797
TPCORP,19880711,4.26674515117274,4.26674515117274,4.26674515117274,4.26674515117274,22968.3275020689
TPCORP,19880712,4.26674515117274,4.26674515117274,4.26674515117274,4.26674515117274,16405.9482157635
