<TICKER>,<DTYYYYMMDD>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
TPOLY,20090304,2.38024140242112,2.38024140242112,1.7355926892654,1.7355926892654,185813274.044441
TPOLY,20090305,1.71906323508192,1.7355926892654,1.38847415141232,1.42153305977928,87271242.2314417
TPOLY,20090306,1.4463272410545,1.59509232870582,1.43806251396276,1.51244505778842,98743732.3629988
TPOLY,20090309,1.4876508765132,1.49591560360494,1.29756215340318,1.31409160758666,53675819.5492459
TPOLY,20090310,1.34715051595362,1.39673887850406,1.31409160758666,1.34715051595362,55600142.0130687
TPOLY,20090311,1.3636799701371,1.41326833268754,1.3223563346784,1.33062106177014,57088152.429322
TPOLY,20090312,1.34715051595362,1.38020942432058,1.33062106177014,1.34715051595362,29982357.2211664
TPOLY,20090313,1.3636799701371,1.38020942432058,1.34715051595362,1.35541524304536,21487339.8756851
TPOLY,20090316,1.3636799701371,1.47938614942146,1.35541524304536,1.47112142232972,87546629.4250823
TPOLY,20090317,1.46285669523798,1.46285669523798,1.38847415141232,1.39673887850406,52576206.7127757
TPOLY,20090318,1.41326833268754,1.42979778687102,1.38020942432058,1.38847415141232,29490870.9379641
TPOLY,20090319,1.39673887850406,1.42153305977928,1.38847415141232,1.4050036055958,17274980.5789342
TPOLY,20090320,1.4050036055958,1.41326833268754,1.34715051595362,1.38847415141232,19137232.0276702
TPOLY,20090323,1.39673887850406,1.43806251396276,1.39673887850406,1.41326833268754,18431582.5929987
TPOLY,20090324,1.42153305977928,1.42153305977928,1.39673887850406,1.39673887850406,8469366.16575724
TPOLY,20090325,1.4050036055958,1.41326833268754,1.38847415141232,1.4050036055958,6323015.80196497
TPOLY,20090326,1.41326833268754,1.4463272410545,1.4050036055958,1.4050036055958,28871975.7290573
TPOLY,20090327,1.41326833268754,1.42979778687102,1.4050036055958,1.4050036055958,7005191.98726633
TPOLY,20090330,1.4050036055958,1.42153305977928,1.39673887850406,1.4050036055958,9690943.10204715
TPOLY,20090331,1.4050036055958,1.42153305977928,1.39673887850406,1.4050036055958,13107147.858308
TPOLY,20090401,1.4050036055958,1.46285669523798,1.4050036055958,1.4463272410545,53399101.3981667
TPOLY,20090402,1.45459196814624,1.45459196814624,1.42979778687102,1.4463272410545,27817131.4609734
TPOLY,20090403,1.45459196814624,1.47112142232972,1.42979778687102,1.4463272410545,26546914.0801125
TPOLY,20090407,1.4463272410545,1.50418033069668,1.4463272410545,1.47938614942146,55479992.8552105
TPOLY,20090408,1.46285669523798,1.4876508765132,1.45459196814624,1.47112142232972,7275013.35889138
TPOLY,20090409,1.47938614942146,1.49591560360494,1.47112142232972,1.47938614942146,19045274.9682823
TPOLY,20090410,1.47938614942146,1.4876508765132,1.47112142232972,1.47938614942146,5776597.27539155
TPOLY,20090416,1.47112142232972,1.47112142232972,1.45459196814624,1.46285669523798,4017071.54168236
TPOLY,20090417,1.46285669523798,1.50418033069668,1.4463272410545,1.4876508765132,15334202.6413262
TPOLY,20090420,1.4876508765132,1.55376869324712,1.4876508765132,1.52070978488016,42012518.5194589
TPOLY,20090421,1.49591560360494,1.53723923906364,1.49591560360494,1.52070978488016,28014718.1425266
TPOLY,20090422,1.5289745119719,1.53723923906364,1.49591560360494,1.50418033069668,12184915.3495519
TPOLY,20090423,1.51244505778842,1.51244505778842,1.47938614942146,1.47938614942146,10563083.212663
TPOLY,20090424,1.4876508765132,1.49591560360494,1.47112142232972,1.47112142232972,10299916.6282305
TPOLY,20090427,1.39673887850406,1.42153305977928,1.38847415141232,1.42153305977928,10422606.7048349
