<TICKER>,<DTYYYYMMDD>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
TPP,19901106,18.19909262556,24.69876856326,18.19909262556,22.618872263196,2090104.20368854
TPP,19901107,22.09889818818,22.878859300704,20.408982444378,21.838911150672,399250.674167961
TPP,19901108,21.838911150672,21.838911150672,20.668969481886,21.318937075656,288475.92064159
TPP,19901109,21.318937075656,21.838911150672,21.058950038148,21.838911150672,124236.963156312
TPP,19901112,21.838911150672,21.838911150672,21.578924113164,21.578924113164,50771.7620329199
TPP,19901113,22.09889818818,22.09889818818,21.318937075656,21.578924113164,265397.846990263
TPP,19901114,21.188943556902,21.318937075656,20.79896300064,20.79896300064,41925.1671332445
TPP,19901115,21.318937075656,22.878859300704,21.188943556902,22.878859300704,143853.32575994
TPP,19901116,23.138846338212,25.088749119522,23.138846338212,25.088749119522,1466226.94598099
TPP,19901119,25.478729675784,26.518677825816,25.218742638276,26.518677825816,1170058.33412229
TPP,19901120,26.518677825816,27.29863893834,25.9987037508,26.258690788308,795424.271849079
TPP,19901121,25.738716713292,26.258690788308,25.218742638276,26.258690788308,290014.458885012
TPP,19901122,25.9987037508,27.038651900832,24.958755600768,26.778664863324,496563.218064391
TPP,19901123,26.518677825816,27.29863893834,25.9987037508,26.778664863324,201548.509888258
TPP,19901126,25.738716713292,25.9987037508,24.178794488244,24.178794488244,270782.73084224
TPP,19901127,24.69876856326,24.69876856326,23.39883337572,24.69876856326,174624.090628376
TPP,19901128,25.218742638276,25.478729675784,24.69876856326,25.478729675784,311553.994292918
TPP,19901129,24.69876856326,24.958755600768,23.658820413228,24.178794488244,123852.328595456
TPP,19901130,23.39883337572,24.178794488244,23.39883337572,24.178794488244,51156.3965937754
TPP,19901203,26.518677825816,26.518677825816,26.518677825816,26.518677825816,243858.311582358
TPP,19901204,27.038651900832,27.29863893834,26.518677825816,27.038651900832,193855.818671149
TPP,19901206,27.558625975848,29.638522275912,27.558625975848,29.638522275912,526949.348371972
TPP,19901207,28.59857412588,32.4983796885,28.59857412588,32.4983796885,745037.144377014
TPP,19901211,35.618224138596,35.618224138596,34.578275988564,35.618224138596,637339.467337487
TPP,19901212,36.39818525112,36.918159326136,35.09825006358,35.09825006358,663494.617475658
TPP,19901213,35.878211176104,35.878211176104,35.09825006358,35.618224138596,155007.728024748
TPP,19901214,35.09825006358,36.918159326136,35.09825006358,36.658172288628,322708.396557726
TPP,19901217,34.838263026072,35.09825006358,33.538327838532,33.79831487604,287322.016959024
TPP,19901218,33.278340801024,34.318288951056,32.4983796885,32.4983796885,285014.209593891
TPP,19901219,34.058301913548,34.578275988564,31.978405613484,31.978405613484,166162.130289556
TPP,19901220,31.19844450096,31.458431538468,29.89850931342,30.158496350928,139237.711029674
TPP,19901221,28.59857412588,29.378535238404,27.558625975848,29.378535238404,40001.9943289672
TPP,19901224,28.59857412588,28.59857412588,26.518677825816,26.518677825816,130391.116129999
TPP,19901225,25.9987037508,26.778664863324,25.478729675784,26.778664863324,164623.592046134
TPP,19901226,27.038651900832,27.558625975848,26.778664863324,27.038651900832,101928.158626695
TPP,19901227,27.038651900832,28.078600050864,27.038651900832,27.29863893834,141160.883833952
TPP,19901228,27.29863893834,27.558625975848,27.038651900832,27.29863893834,79234.7195362235
TPP,19910102,26.258690788308,26.258690788308,25.218742638276,25.478729675784,62310.7988585835
TPP,19910103,24.958755600768,24.958755600768,23.918807450736,24.178794488244,15770.0169950736
TPP,19910104,25.9987037508,26.518677825816,25.9987037508,25.9987037508,157700.169950736
TPP,19910107,25.478729675784,25.478729675784,24.438781525752,24.69876856326,63849.3371020053
TPP,19910108,24.178794488244,24.438781525752,23.658820413228,24.438781525752,99620.3512615626
TPP,19910109,25.478729675784,25.478729675784,24.958755600768,24.958755600768,63464.7025411499
TPP,19910110,24.438781525752,24.69876856326,24.178794488244,24.438781525752,67695.6827105599
TPP,19910111,24.69876856326,24.69876856326,24.69876856326,24.69876856326,48079.3201069317
TPP,19910114,24.69876856326,25.478729675784,24.69876856326,24.958755600768,18077.8243602063
TPP,19910115,24.438781525752,24.438781525752,23.39883337572,23.918807450736,33847.8413552799
TPP,19910116,23.39883337572,23.39883337572,23.39883337572,23.39883337572,35386.3795987018
TPP,19910117,24.69876856326,25.738716713292,24.69876856326,25.738716713292,151161.382416193
TPP,19910118,28.208593569618,28.208593569618,27.29863893834,27.818613013356,360787.218082416
TPP,19910121,28.078600050864,28.078600050864,25.9987037508,25.9987037508,26155.1501381709
TPP,19910122,25.478729675784,25.9987037508,24.958755600768,25.9987037508,13846.8441907963
TPP,19910123,25.478729675784,25.478729675784,24.178794488244,24.178794488244,18462.4589210618
TPP,19910124,24.438781525752,25.738716713292,24.438781525752,25.738716713292,121159.886669468
