<TICKER>,<DTYYYYMMDD>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
TRT,20060510,2.64,2.68,2.39,2.45,248467218.35
TRT,20060511,2.45,2.52,2.43,2.45,28408374.96
TRT,20060515,2.27,2.27,2.15,2.15,28984818.90
TRT,20060516,2.15,2.20,1.91,1.93,23850063.41
TRT,20060517,1.96,2.00,1.94,1.95,8772496.92
TRT,20060518,1.95,1.95,1.84,1.84,12929088.51
TRT,20060519,1.84,1.99,1.84,1.95,26980575.10
TRT,20060522,1.96,2.01,1.88,1.88,23186499.48
TRT,20060523,1.86,1.92,1.82,1.84,9822292.82
TRT,20060524,1.88,1.93,1.83,1.86,15429432.26
TRT,20060525,1.86,1.86,1.77,1.78,11639228.64
TRT,20060526,1.82,1.83,1.78,1.78,4178369.38
TRT,20060529,1.79,1.80,1.77,1.77,1644145.64
TRT,20060530,1.77,1.78,1.75,1.75,3770841.42
TRT,20060531,1.74,1.75,1.67,1.69,6600929.94
TRT,20060601,1.69,1.71,1.66,1.66,1170309.68
TRT,20060602,1.75,1.75,1.70,1.73,2793645.52
TRT,20060605,1.74,1.74,1.68,1.68,1552192.24
TRT,20060606,1.68,1.69,1.67,1.69,1078349.69
TRT,20060607,1.68,1.69,1.65,1.65,1935513.61
TRT,20060608,1.65,1.67,1.63,1.64,1720133.63
TRT,20060609,1.65,1.65,1.61,1.61,817473.72
TRT,20060614,1.59,1.60,1.55,1.55,2166865.58
TRT,20060615,1.54,1.56,1.54,1.55,60013.79
TRT,20060616,1.55,1.58,1.55,1.55,1690125.63
TRT,20060619,1.55,1.55,1.53,1.55,889589.71
TRT,20060620,1.55,1.55,1.54,1.55,909917.71
TRT,20060621,1.55,1.56,1.55,1.55,810213.72
TRT,20060622,1.55,1.56,1.55,1.55,529977.75
TRT,20060623,1.55,1.56,1.55,1.56,358157.76
TRT,20060626,1.56,1.59,1.56,1.59,935569.71
TRT,20060627,1.58,1.62,1.58,1.61,1108841.69
TRT,20060628,1.60,1.62,1.60,1.62,412365.76
TRT,20060629,1.62,1.62,1.61,1.62,929761.71
TRT,20060630,1.62,1.62,1.61,1.62,2791225.52
TRT,20060703,1.62,1.65,1.62,1.65,313629.77
TRT,20060704,1.65,1.70,1.65,1.66,2001337.60
TRT,20060705,1.65,1.65,1.62,1.62,1025593.70
TRT,20060706,1.62,1.68,1.62,1.68,590961.74
TRT,20060707,1.68,1.68,1.67,1.68,510133.75
TRT,20060710,1.68,1.70,1.67,1.70,739065.73
TRT,20060712,1.70,1.73,1.70,1.73,666949.73
TRT,20060713,1.73,1.73,1.70,1.73,941377.71
TRT,20060714,1.69,1.71,1.69,1.71,598705.74
TRT,20060717,1.68,1.70,1.66,1.70,1181925.68
TRT,20060718,1.68,1.72,1.68,1.72,347025.77
TRT,20060719,1.72,1.81,1.72,1.75,14719404.33
TRT,20060720,1.77,1.81,1.72,1.73,5729105.23
TRT,20060721,1.73,1.75,1.72,1.75,1337773.67
TRT,20060724,1.75,1.79,1.75,1.77,2495985.55
TRT,20060725,1.77,1.83,1.73,1.73,9579808.84
TRT,20060726,1.74,1.76,1.74,1.75,1076413.69
TRT,20060727,1.77,1.77,1.75,1.76,1657213.63
TRT,20060728,1.75,1.78,1.75,1.76,1435541.66
TRT,20060731,1.75,1.77,1.75,1.77,445277.76
TRT,20060801,1.77,1.77,1.75,1.75,808277.72
TRT,20060802,1.75,1.77,1.75,1.77,859097.71
TRT,20060803,1.77,1.79,1.77,1.78,1103517.69
TRT,20060804,1.77,1.79,1.76,1.78,1809189.62
TRT,20060807,1.78,1.79,1.75,1.75,1419569.66
TRT,20060808,1.78,1.78,1.75,1.77,431241.76
TRT,20060809,1.76,1.77,1.75,1.75,925405.71
TRT,20060810,1.75,1.75,1.72,1.75,2524541.55
TRT,20060811,1.73,1.75,1.64,1.75,5494849.25
TRT,20060815,1.70,1.74,1.69,1.74,1291309.67
TRT,20060816,1.73,1.74,1.73,1.74,398813.76
TRT,20060817,1.73,1.74,1.72,1.74,164557.78
TRT,20060818,1.71,1.75,1.71,1.72,334925.77
TRT,20060821,1.72,1.75,1.72,1.75,400749.76
TRT,20060822,1.76,1.76,1.73,1.75,101637.79
TRT,20060823,1.74,1.74,1.74,1.74,4837.80
TRT,20060824,1.73,1.74,1.70,1.74,246837.78
TRT,20060828,1.73,1.73,1.72,1.72,116157.79
TRT,20060829,1.72,1.73,1.72,1.72,84697.79
TRT,20060830,1.72,1.73,1.72,1.73,198437.78
TRT,20060831,1.72,1.73,1.72,1.73,58077.79
TRT,20060901,1.73,1.74,1.73,1.74,145197.79
TRT,20060904,1.73,1.73,1.70,1.73,241997.78
TRT,20060905,1.73,1.73,1.71,1.73,624357.74
TRT,20060906,1.71,1.74,1.71,1.74,319437.77
TRT,20060907,1.73,1.74,1.73,1.73,515941.75
TRT,20060908,1.72,1.73,1.72,1.72,817957.72
TRT,20060911,1.73,1.73,1.73,1.73,4837.80
TRT,20060912,1.73,1.73,1.72,1.73,515941.75
TRT,20060913,1.73,1.73,1.72,1.73,211021.78
TRT,20060914,1.72,1.73,1.71,1.73,479157.75
TRT,20060915,1.71,1.73,1.71,1.73,290397.77
TRT,20060918,1.72,1.73,1.72,1.73,387197.76
TRT,20060919,1.72,1.73,1.72,1.73,435597.76
TRT,20060921,1.64,1.71,1.38,1.71,551757.74
TRT,20060922,1.71,1.71,1.64,1.70,1246297.68
TRT,20060925,1.71,1.72,1.68,1.72,77437.79
TRT,20060926,1.68,1.72,1.68,1.72,190209.78
TRT,20060927,1.71,1.72,1.70,1.72,457377.75
TRT,20060928,1.72,1.72,1.71,1.72,570633.74
TRT,20060929,1.72,1.72,1.70,1.72,60013.79
TRT,20061002,1.72,1.72,1.71,1.71,170365.78
TRT,20061003,1.73,1.73,1.73,1.73,48397.80
TRT,20061004,1.72,1.74,1.72,1.74,322341.77
TRT,20061005,1.74,1.75,1.72,1.75,772461.72
TRT,20061006,1.74,1.75,1.73,1.75,271521.77
TRT,20061009,1.75,1.75,1.75,1.75,563857.74
TRT,20061010,1.75,1.75,1.74,1.75,1053181.69
TRT,20061011,1.75,1.75,1.75,1.75,483997.75
TRT,20061012,1.75,1.75,1.73,1.75,1952937.60
TRT,20061013,1.74,1.75,1.74,1.75,307337.77
TRT,20061016,1.75,1.77,1.75,1.76,1769017.62
TRT,20061017,1.76,1.80,1.76,1.80,1882757.61
TRT,20061018,1.80,1.88,1.80,1.85,6126614.39
TRT,20061019,1.88,1.88,1.85,1.86,2177029.58
TRT,20061020,1.86,1.86,1.85,1.86,1261301.67
TRT,20061024,1.86,1.86,1.85,1.86,1265173.67
TRT,20061025,1.85,1.88,1.85,1.86,416721.76
TRT,20061026,1.87,1.87,1.85,1.87,554177.74
TRT,20061027,1.86,1.86,1.85,1.86,265713.77
TRT,20061030,1.86,1.86,1.85,1.86,338797.77
TRT,20061031,1.92,1.94,1.89,1.89,3770357.42
TRT,20061101,1.89,1.90,1.89,1.89,1600585.64
TRT,20061102,1.89,1.91,1.89,1.90,1165469.68
TRT,20061103,1.91,1.92,1.89,1.92,1907441.61
TRT,20061106,1.92,1.95,1.92,1.94,1303409.67
TRT,20061107,1.94,1.95,1.94,1.94,885717.71
TRT,20061108,1.95,1.95,1.88,1.88,1676573.63
TRT,20061109,1.91,1.91,1.88,1.88,1269045.67
TRT,20061110,1.88,1.92,1.88,1.91,487385.75
TRT,20061113,1.93,1.95,1.92,1.92,2287381.57
TRT,20061114,1.97,2.27,1.95,1.95,4126581.39
TRT,20061115,1.96,1.99,1.95,1.99,3428653.46
TRT,20061116,2.00,2.01,1.99,2.01,1426345.66
TRT,20061117,2.01,2.05,2.01,2.05,1981977.60
TRT,20061120,2.06,2.10,2.05,2.08,6345237.17
TRT,20061121,2.09,2.09,2.06,2.07,1449584.26
TRT,20061122,2.08,2.10,2.06,2.07,1201769.68
TRT,20061123,2.08,2.08,2.05,2.06,883788.31
TRT,20061124,2.05,2.07,2.05,2.07,309757.77
TRT,20061127,2.07,2.07,2.06,2.07,309280.37
TRT,20061128,2.05,2.05,2.05,2.05,150037.78
TRT,20061129,2.05,2.06,2.05,2.06,784077.72
TRT,20061130,2.05,2.05,2.05,2.05,1123361.69
TRT,20061201,2.05,2.06,2.02,2.05,2243337.58
TRT,20061204,2.05,2.05,2.02,2.03,170849.78
TRT,20061206,2.02,2.04,2.02,2.04,370257.76
TRT,20061207,2.02,2.02,2.00,2.02,868293.71
TRT,20061208,2.03,2.03,1.99,2.02,921533.71
TRT,20061212,2.00,2.02,1.98,2.02,965093.70
TRT,20061213,1.99,2.02,1.99,2.02,372677.76
TRT,20061214,1.99,2.01,1.98,2.01,1087545.69
TRT,20061215,1.99,2.01,1.99,2.01,99701.79
TRT,20061218,2.01,2.01,1.96,2.01,56625.79
TRT,20061219,1.95,1.95,1.78,1.90,2364337.56
TRT,20061220,1.92,1.95,1.91,1.95,980097.70
TRT,20061221,1.95,1.95,1.95,1.95,53237.79
TRT,20061222,1.97,1.97,1.97,1.97,72597.79
TRT,20061225,1.93,1.93,1.93,1.93,48397.80
TRT,20061226,1.93,1.96,1.92,1.96,133460.79
TRT,20061227,1.94,1.96,1.94,1.94,56539.99
TRT,20061228,1.94,1.97,1.91,1.97,287759.97
TRT,20061229,1.93,2.00,1.93,2.00,105599.99
TRT,20070103,1.93,1.99,1.86,1.99,257179.97
TRT,20070104,1.95,1.99,1.95,1.99,158399.98
TRT,20070105,1.95,1.95,1.93,1.95,473439.95
TRT,20070108,1.92,1.95,1.92,1.94,236059.98
TRT,20070109,1.99,1.99,1.88,1.88,181939.98
TRT,20070110,1.86,1.91,1.86,1.91,23320.00
TRT,20070111,1.94,1.95,1.92,1.92,76999.99
TRT,20070112,1.95,1.95,1.93,1.94,90199.99
TRT,20070115,1.95,1.95,1.94,1.95,51699.99
TRT,20070116,1.94,1.95,1.93,1.95,54999.99
TRT,20070117,1.94,1.94,1.91,1.91,50819.99
TRT,20070118,1.94,1.95,1.94,1.95,87999.99
TRT,20070119,1.95,1.95,1.94,1.95,993079.90
TRT,20070123,1.91,1.95,1.91,1.95,106039.99
TRT,20070124,1.92,1.98,1.92,1.98,13640.00
TRT,20070126,1.96,1.96,1.96,1.96,44000.00
TRT,20070129,1.93,1.95,1.93,1.95,37620.00
TRT,20070130,1.93,1.95,1.92,1.95,38060.00
TRT,20070131,1.95,1.95,1.93,1.95,94599.99
TRT,20070201,1.95,1.95,1.95,1.95,31900.00
TRT,20070202,1.95,1.96,1.95,1.95,86019.99
TRT,20070205,1.95,2.01,1.95,1.97,1073159.89
TRT,20070206,1.96,1.98,1.95,1.98,407879.96
TRT,20070207,1.97,1.99,1.96,1.99,267299.97
TRT,20070208,1.99,2.02,1.99,2.00,2003979.80
TRT,20070209,1.99,2.00,1.95,2.00,82719.99
TRT,20070212,2.00,2.03,2.00,2.02,1788599.82
TRT,20070213,2.03,2.04,2.02,2.03,1107919.89
TRT,20070214,2.03,2.04,2.03,2.03,1157199.88
TRT,20070215,2.04,2.08,2.04,2.07,1370159.86
TRT,20070216,2.08,2.15,2.08,2.14,2630759.74
TRT,20070219,2.14,2.21,2.14,2.17,1787279.82
TRT,20070220,2.18,2.19,2.15,2.18,1105279.89
TRT,20070221,2.18,2.32,2.18,2.30,5850239.41
TRT,20070222,2.21,2.24,2.18,2.20,2537699.75
TRT,20070223,2.19,2.20,2.15,2.16,951279.90
TRT,20070226,2.14,2.18,2.14,2.17,531739.95
TRT,20070227,2.17,2.17,2.16,2.16,370479.96
TRT,20070228,2.14,2.15,2.11,2.15,397319.96
TRT,20070301,2.15,2.15,2.13,2.14,76999.99
TRT,20070302,2.14,2.14,2.13,2.13,282039.97
TRT,20070306,2.15,2.18,2.13,2.18,63579.99
TRT,20070308,2.18,2.18,2.14,2.16,288859.97
TRT,20070309,2.15,2.16,2.15,2.15,217799.98
TRT,20070312,2.14,2.15,2.14,2.14,69519.99
TRT,20070313,2.14,2.14,2.14,2.14,24200.00
TRT,20070314,2.14,2.14,2.13,2.14,151139.98
TRT,20070315,2.14,2.14,2.09,2.09,868559.91
TRT,20070316,2.09,2.09,2.04,2.05,954359.90
TRT,20070319,2.05,2.05,2.04,2.05,80079.99
TRT,20070320,2.05,2.05,2.03,2.05,47960.00
TRT,20070321,2.04,2.04,2.04,2.04,106479.99
TRT,20070322,2.04,2.05,2.02,2.05,646359.94
TRT,20070323,2.04,2.05,2.04,2.05,61159.99
TRT,20070326,2.03,2.04,2.03,2.04,35860.00
TRT,20070327,2.04,2.05,2.04,2.04,434499.96
TRT,20070328,2.05,2.05,2.05,2.05,216479.98
TRT,20070329,2.05,2.07,2.05,2.06,218019.98
TRT,20070330,2.06,2.06,2.05,2.05,5280.00
TRT,20070402,2.05,2.05,2.05,2.05,440.00
TRT,20070403,2.06,2.07,2.05,2.06,190519.98
TRT,20070404,2.07,2.08,2.06,2.06,71499.99
TRT,20070405,2.05,2.05,2.04,2.05,308439.97
TRT,20070409,2.05,2.07,2.05,2.05,283139.97
TRT,20070410,2.05,2.05,2.05,2.05,81839.99
TRT,20070411,2.05,2.05,2.03,2.05,112419.99
TRT,20070412,2.04,2.04,2.01,2.01,264439.97
TRT,20070417,2.01,2.02,2.01,2.01,28820.00
TRT,20070418,2.01,2.01,2.01,2.01,220.00
TRT,20070419,2.01,2.02,1.95,1.95,2006839.80
TRT,20070420,1.95,1.95,1.94,1.95,296999.97
TRT,20070423,1.95,1.95,1.92,1.94,97239.99
TRT,20070424,1.93,2.05,1.92,2.05,177759.98
TRT,20070425,1.95,1.96,1.95,1.96,220219.98
TRT,20070426,1.96,1.98,1.91,1.91,2734159.73
TRT,20070427,1.92,1.92,1.91,1.91,607639.94
TRT,20070430,1.91,1.91,1.90,1.91,803219.92
TRT,20070502,1.93,2.04,1.91,2.04,174899.98
TRT,20070503,1.94,1.94,1.91,1.93,285559.97
TRT,20070504,1.93,1.93,1.91,1.92,703999.93
TRT,20070508,1.91,1.93,1.91,1.92,445059.96
TRT,20070509,1.92,1.92,1.92,1.92,5060.00
TRT,20070510,1.93,1.95,1.93,1.95,29700.00
TRT,20070511,1.93,2.03,1.92,1.93,398199.96
TRT,20070514,1.94,1.94,1.93,1.93,149819.99
TRT,20070515,1.76,1.85,1.73,1.84,2800379.72
TRT,20070516,1.82,1.85,1.82,1.82,35860.00
TRT,20070517,1.82,1.84,1.82,1.83,225499.98
TRT,20070518,1.83,1.85,1.82,1.85,681339.93
TRT,20070521,1.83,1.85,1.82,1.85,422399.96
TRT,20070522,1.83,1.85,1.83,1.85,278959.97
TRT,20070523,1.83,1.85,1.83,1.84,225499.98
TRT,20070524,1.82,1.84,1.82,1.84,100099.99
TRT,20070525,1.84,1.84,1.83,1.84,96799.99
TRT,20070528,1.84,1.84,1.83,1.84,133099.99
TRT,20070529,1.83,1.83,1.83,1.83,22000.00
TRT,20070530,1.84,1.84,1.84,1.84,11000.00
TRT,20070601,1.84,1.86,1.84,1.86,183699.98
TRT,20070604,1.84,1.88,1.84,1.88,690579.93
TRT,20070605,1.88,1.91,1.86,1.91,289299.97
TRT,20070606,1.93,1.93,1.88,1.92,35640.00
TRT,20070607,1.92,1.93,1.92,1.93,11000.00
TRT,20070608,1.92,1.93,1.92,1.93,98999.99
TRT,20070611,1.91,1.92,1.88,1.92,658459.93
TRT,20070612,1.90,1.92,1.89,1.92,203279.98
TRT,20070613,1.89,1.93,1.88,1.93,29260.00
TRT,20070614,1.90,1.93,1.89,1.93,225719.98
TRT,20070615,1.93,1.93,1.91,1.93,54999.99
TRT,20070618,1.91,1.93,1.88,1.93,230339.98
TRT,20070619,1.93,1.93,1.91,1.91,57419.99
TRT,20070620,1.93,1.94,1.91,1.93,172039.98
TRT,20070621,1.95,1.97,1.95,1.96,610059.94
TRT,20070622,1.96,1.96,1.92,1.96,530859.95
TRT,20070625,1.96,1.96,1.94,1.94,560119.94
TRT,20070626,1.94,1.95,1.94,1.95,102299.99
TRT,20070627,1.95,1.95,1.95,1.95,46420.00
TRT,20070628,1.95,1.98,1.95,1.98,550879.94
TRT,20070629,1.99,1.99,1.99,1.99,33000.00
TRT,20070702,1.96,1.96,1.93,1.95,976359.90
TRT,20070703,1.95,1.95,1.94,1.94,105379.99
TRT,20070704,1.94,1.95,1.92,1.95,578819.94
TRT,20070705,1.94,1.95,1.94,1.95,87999.99
TRT,20070706,1.95,1.96,1.95,1.95,164339.98
TRT,20070709,1.95,1.95,1.91,1.95,1191519.88
TRT,20070710,1.94,1.95,1.91,1.95,986039.90
TRT,20070711,1.92,1.93,1.89,1.93,572219.94
TRT,20070712,1.91,1.92,1.91,1.92,880.00
TRT,20070713,1.91,1.93,1.91,1.93,120999.99
TRT,20070716,1.95,1.95,1.95,1.95,27060.00
TRT,20070717,1.95,1.95,1.95,1.95,220.00
TRT,20070718,1.92,1.93,1.92,1.93,24200.00
TRT,20070719,1.92,1.93,1.89,1.93,476079.95
TRT,20070720,1.93,1.94,1.92,1.93,65999.99
TRT,20070723,1.94,1.95,1.93,1.95,120999.99
TRT,20070724,1.95,1.95,1.93,1.94,72159.99
TRT,20070725,1.95,1.95,1.93,1.95,274999.97
TRT,20070726,1.95,1.96,1.95,1.96,252779.97
TRT,20070727,1.93,1.95,1.92,1.95,173579.98
TRT,20070731,1.95,1.97,1.93,1.97,235839.98
TRT,20070801,1.97,1.97,1.94,1.94,440659.96
TRT,20070802,1.95,1.95,1.94,1.95,266199.97
TRT,20070803,2.00,2.00,1.96,1.99,188099.98
TRT,20070806,1.95,1.97,1.95,1.97,110439.99
TRT,20070807,2.00,2.00,1.98,1.98,157079.98
TRT,20070808,2.00,2.00,1.99,1.99,137719.99
TRT,20070809,2.00,2.00,1.97,2.00,320539.97
TRT,20070810,2.00,2.01,1.91,1.95,3534959.65
TRT,20070814,1.96,1.97,1.87,1.91,2165459.78
TRT,20070815,1.86,1.91,1.85,1.91,672539.93
TRT,20070816,1.90,1.91,1.85,1.91,302499.97
TRT,20070817,1.91,1.91,1.85,1.91,409419.96
TRT,20070820,1.91,1.94,1.91,1.94,175999.98
TRT,20070821,1.90,1.93,1.89,1.92,224399.98
TRT,20070822,1.94,1.95,1.94,1.94,13640.00
TRT,20070823,1.93,1.94,1.92,1.94,550659.94
TRT,20070824,1.94,1.96,1.94,1.94,485759.95
TRT,20070827,1.94,1.95,1.92,1.95,93499.99
TRT,20070828,1.93,1.95,1.93,1.95,34100.00
TRT,20070829,1.94,1.95,1.94,1.95,100319.99
TRT,20070830,1.95,1.95,1.94,1.95,535699.95
TRT,20070831,1.95,1.97,1.95,1.97,819719.92
TRT,20070903,1.94,1.97,1.93,1.97,163899.98
TRT,20070904,1.95,1.97,1.95,1.97,193819.98
TRT,20070905,1.96,1.96,1.95,1.95,112199.99
TRT,20070906,1.95,1.95,1.95,1.95,12100.00
TRT,20070907,1.95,1.95,1.95,1.95,215599.98
TRT,20070910,1.95,1.95,1.94,1.95,167419.98
TRT,20070911,1.96,1.96,1.95,1.95,340559.97
TRT,20070912,1.95,1.96,1.95,1.96,213399.98
TRT,20070913,1.95,1.96,1.95,1.96,38500.00
TRT,20070914,1.97,1.97,1.96,1.97,103619.99
TRT,20070917,1.97,1.98,1.96,1.98,168299.98
TRT,20070919,1.98,1.99,1.97,1.99,164779.98
TRT,20070920,1.99,2.02,1.99,2.02,413599.96
TRT,20070921,2.02,2.05,2.02,2.05,386099.96
TRT,20070924,2.05,2.05,2.04,2.05,210099.98
TRT,20070925,2.05,2.07,2.05,2.06,480699.95
TRT,20070926,2.06,2.09,2.06,2.09,211419.98
TRT,20070927,2.08,2.09,2.07,2.09,176219.98
TRT,20070928,2.09,2.10,2.09,2.09,373999.96
TRT,20071001,2.09,2.10,2.09,2.10,56539.99
TRT,20071002,2.10,2.12,2.09,2.11,232099.98
TRT,20071003,2.09,2.12,2.09,2.12,354859.96
TRT,20071004,2.12,2.12,2.11,2.12,415799.96
TRT,20071005,2.12,2.15,2.12,2.15,663519.93
TRT,20071008,2.15,2.15,2.14,2.15,219999.98
TRT,20071009,2.15,2.17,2.15,2.15,397539.96
TRT,20071010,2.15,2.18,2.15,2.18,606759.94
TRT,20071011,2.18,2.20,2.18,2.20,289739.97
TRT,20071012,2.21,2.23,2.20,2.23,1207799.88
TRT,20071015,2.23,2.25,2.23,2.25,2350699.76
TRT,20071016,2.26,2.27,2.25,2.27,1606439.84
TRT,20071017,2.26,2.32,2.23,2.32,2786079.72
TRT,20071018,2.34,2.34,2.24,2.24,398199.96
TRT,20071019,2.30,2.30,2.25,2.25,136399.99
TRT,20071022,2.25,2.30,2.25,2.27,513919.95
TRT,20071024,2.32,2.48,2.27,2.36,5115219.49
TRT,20071025,2.43,2.43,2.36,2.36,1527899.85
TRT,20071026,2.39,2.39,2.32,2.32,678919.93
TRT,20071029,2.34,2.39,2.32,2.34,872519.91
TRT,20071030,2.34,2.48,2.34,2.48,4144359.59
TRT,20071031,2.50,2.66,2.48,2.66,6709119.33
TRT,20071101,2.66,2.89,2.66,2.80,13364118.66
TRT,20071102,2.77,2.84,2.68,2.73,2383259.76
TRT,20071105,2.73,2.82,2.68,2.68,1942379.81
TRT,20071106,2.68,2.80,2.68,2.75,2596659.74
TRT,20071107,2.80,2.84,2.75,2.75,3648039.64
TRT,20071108,2.75,2.82,2.75,2.77,3606899.64
