<TICKER>,<DTYYYYMMDD>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
TRU,19941121,7.9999968,8.13333008,7.39999704,7.59999696,45295518.1182072
TRU,19941122,7.3333304,7.39999704,6.9999972,7.13333048,15858006.3432025
TRU,19941123,6.56666404,6.73333064,6.43333076,6.53333072,6499502.59980104
TRU,19941124,6.59999736,6.93333056,6.59999736,6.93333056,3429001.37160055
TRU,19941125,6.9999972,6.9999972,6.666664,6.79999728,4672501.86900075
TRU,19941128,6.86666392,6.86666392,6.59999736,6.666664,1543500.61740025
TRU,19941129,6.73333064,6.86666392,6.666664,6.86666392,2193000.87720035
TRU,19941130,6.86666392,7.13333048,6.666664,6.93333056,6964502.78580111
TRU,19941201,6.93333056,6.9999972,6.73333064,6.9999972,3147001.2588005
TRU,19941202,6.79999728,6.86666392,6.63333068,6.666664,3454501.38180055
TRU,19941206,6.666664,6.666664,6.63333068,6.666664,828000.33120013
TRU,19941207,6.666664,6.666664,6.59999736,6.666664,945000.37800015
TRU,19941208,6.53333072,6.63333068,6.4999974,6.59999736,1285500.51420021
TRU,19941209,6.46666408,6.53333072,6.43333076,6.53333072,2038500.81540033
TRU,19941213,6.63333068,6.73333064,6.53333072,6.53333072,751500.30060012
TRU,19941214,6.53333072,6.59999736,6.39999744,6.46666408,1141500.45660018
TRU,19941215,6.46666408,6.4999974,6.43333076,6.46666408,2626501.05060042
TRU,19941216,6.53333072,6.666664,6.46666408,6.666664,2461500.98460039
TRU,19941219,6.73333064,6.79999728,6.56666404,6.79999728,3306001.32240053
TRU,19941220,6.666664,6.93333056,6.666664,6.93333056,1653000.66120026
TRU,19941221,6.79999728,6.9999972,6.73333064,6.93333056,2211000.88440035
TRU,19941222,6.79999728,6.86666392,6.53333072,6.86666392,777000.31080012
TRU,19941223,6.86666392,6.86666392,6.73333064,6.79999728,316500.12660005
TRU,19941226,6.73333064,6.79999728,6.63333068,6.79999728,954000.38160015
TRU,19941227,6.79999728,6.86666392,6.666664,6.79999728,1041000.41640017
TRU,19941228,6.86666392,6.86666392,6.73333064,6.79999728,390000.15600006
TRU,19941229,6.73333064,6.79999728,6.666664,6.79999728,489000.19560008
TRU,19941230,6.79999728,6.93333056,6.73333064,6.93333056,1170000.46800019
TRU,19950103,6.93333056,6.9999972,6.79999728,6.86666392,294000.11760005
TRU,19950104,6.79999728,6.93333056,6.73333064,6.93333056,820500.32820013
TRU,19950105,6.93333056,6.9999972,6.86666392,6.9999972,1213500.48540019
TRU,19950106,6.93333056,6.9999972,6.86666392,6.93333056,351000.14040006
TRU,19950109,6.93333056,6.93333056,6.86666392,6.93333056,421500.16860007
TRU,19950110,6.79999728,6.86666392,6.73333064,6.86666392,520500.20820008
